	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201755110403	ダ	右	1300	晴	良	12:00	C2ー23組		2017-11-4	14	佐賀	1	(馬齢)		10.0	310.0	1.0	10.0	160	2.0	6.0	420.0	5.0	7.0	430	7.0	6-10	2210.0	10.0	6-10	750	9.0	7-10	880	11.0	6-7	2,120	27.0	10=>6	3270.0	11.0	6-7-10	9890.0	37.0	10=>6=>7	31590.0	102.0	561210879113.0	611025711938.0	611021179385.0	106271119385.0			6-8	700.0	3.0
201755110404	ダ	右	1300	晴	良	12:30	C2ー22組		2017-11-4	14	佐賀	1	(馬齢)		7.0	1840.0	7.0	7.0	440	9.0	5.0	180.0	3.0	8.0	160	2.0	5-7	8870.0	28.0	5-7	1,830	23.0	7-8	2,510	31.0	5-8	1,360	18.0	7=>5	19300.0	54.0	5-7-8	15840.0	53.0	7=>5=>8	188120.0	450.0	1145281310769.0	1158423101796.0	1158410327196.0	5118104273169.0			5-6	3950.0	13.0
201755110405	ダ	右	1400	晴	良	13:00	チャレンジシリーズ		2017-11-4	14	佐賀	1	(馬齢)		1.0	350.0	2.0	1.0	140	3.0	8.0	130.0	1.0	4.0	190	5.0	1-8	300.0	1.0	1-8	200	2.0	1-4	330	3.0	4-8	330	4.0	1=>8	790.0	2.0	1-4-8	630.0	1.0	1=>8=>4	2190.0	1.0	67138542.0	67138452.0	67183452.0	16847253.0					
201755110406	ダ	右	1400	曇	良	13:30	C2ー17組		2017-11-4	14	佐賀	1	(馬齢)		9.0	830.0	3.0	9.0	340	6.0	4.0	740.0	10.0	5.0	120	1.0	4-9	72150.0	55.0	4-9	7,400	50.0	5-9	320	2.0	4-5	3,640	34.0	9=>4	54910.0	83.0	4-5-9	24520.0	58.0	9=>4=>5	287460.0	471.0	569104712311128.0	561049712311128.0	564109127111382.0	546912710111832.0			4-7	27490.0	26.0
201755110407	ダ	右	1400	曇	良	14:00	2歳ー2組		2017-11-4	14	佐賀	1	(馬齢)		6.0	740.0	3.0	6.0	110	2.0	7.0	100.0	1.0	9.0	140	4.0	6-7	430.0	3.0	6-7	180	1.0	6-9	270	4.0	7-9	200	3.0	6=>7	1550.0	7.0	6-7-9	550.0	1.0	6=>7=>9	4050.0	14.0	5726981103.0	5726981103.0	5768921103.0	7569811023.0			6-7	320.0	2.0
201755110501	ダ	右	900	晴	良	11:00	C2ー28組		2017-11-5	14	佐賀	2	(馬齢)		7.0	410.0	2.0	7.0	130	2.0	11.0	100.0	1.0	10.0	160	3.0	7-11	350.0	1.0	7-11	200	1.0	7-10	570	8.0	10-11	340	3.0	7=>11	990.0	2.0	7-10-11	1630.0	3.0	7=>11=>10	6050.0	10.0			171129410861253.0	711124910861235.0			6-8	470.0	1.0
201755110502	ダ	右	1300	晴	良	11:30	2歳ー4組		2017-11-5	14	佐賀	2	(馬齢)		2.0	480.0	3.0	2.0	340	4.0	6.0	360.0	5.0	8.0	250	3.0	2-6	6110.0	15.0	2-6	1,370	15.0	2-8	500	4.0	6-8	1,020	14.0	2=>6	13990.0	39.0	2-6-8	9220.0	27.0	2=>6=>8	43920.0	141.0	672381594.0	672318549.0	672381549.0	627385149.0			2-6	7160.0	18.0
201755111101	ダ	右	1300	曇	良	11:00	2歳ー5組		2017-11-11	14	佐賀	4	(馬齢)		8.0	250.0	2.0	8.0	100	1.0	1.0	100.0	2.0	9.0	140	3.0	1-8	180.0	1.0	1-8	100	1.0	8-9	200	3.0	1-9	190	2.0	8=>1	340.0	1.0	1-8-9	260.0	1.0	8=>1=>9	830.0	1.0	895132674.0	895136274.0	891536274.0	891365247.0			1-8	140.0	1.0
201755111801	ダ	右	1300	曇	良	11:00	C2ー27組		2017-11-18	15	佐賀	1	(馬齢)		2.0	150.0	1.0	2.0	100	1.0	6.0	110.0	2.0	8.0	170	5.0	2-6	500.0	2.0	2-6	220	4.0	2-8	130	1.0	6-8	190	3.0	2=>6	550.0	2.0	2-6-8	400.0	1.0	2=>6=>8	1690.0	3.0	2683791045111.0	2681037495111.0	2683107495111.0	2683754910111.0			2-6	230.0	1.0
201755111802	ダ	右	1300	曇	良	11:30	C2ー25組		2017-11-18	15	佐賀	1	(馬齢)		10.0	280.0	2.0	10.0	100	2.0	9.0	100.0	1.0	1.0	190	4.0	9-10	170.0	1.0	9-10	150	1.0	1-10	450	7.0	1-9	340	6.0	10=>9	700.0	3.0	1-9-10	400.0	1.0	10=>9=>1	1440.0	3.0	10562914738.0	10659214738.0	10695213748.0	10961352748.0			8-8	180.0	1.0
