	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
201743011101	ダ	左	1200	晴	重	10:50	「ふなばし三番瀬海浜		2017-1-11	10	船橋	3	62万円以上87万円未満		1	130	1	1.0	110	1.0	5.0	190	3.0	1-5	560	2	1-5	270	2	1-8	290	3	5-8	920	14	1=>5	690	3	1-5-8	1190	4	1=>5=>8	3040	7		534718629	5,1,4,7,3,(6,8),9,2	514687392	12.9 - 12.1 - 12.4 - 12.9 - 12.8 - 13.4	12.9 - 25.0 - 37.4 - 50.3 - 63.1 - 76.5 (37.4-39.1)	8.0	260	6.0	1-5	490.0	2.0	1=>5	740.0	4.0
201743011102	ダ	左	1200	晴	重	11:20	YOUTUBE検索特		2017-1-11	10	船橋	3			11	160	1	11.0	110	1.0	1.0	140	2.0	1-11	510	1	1-11	220	1	3-11	290	3	1-3	720	10	11=>1	650	1	1-3-11	1240	2	11=>1=>3	3130	3		610111228159734.0	610111221859374.0	116121012853947.0	12.8 - 11.6 - 11.8 - 12.4 - 13.1 - 14.5	12.8 - 24.4 - 36.2 - 48.6 - 61.7 - 76.2 (36.2-40.0)	3.0	190	4.0	1-8	480.0	2.0	8=>1	750.0	2.0
201743011103	ダ	左	1500	晴	重	11:50	県ブランド認定船橋ス		2017-1-11	10	船橋	3			9	190	1	9.0	130	1.0	2.0	320	5.0	2-9	1040	5	2-9	350	2	8-9	2,330	23	2-8	6,180	43	9=>2	2110	7	2-8-9	10380	38	9=>2=>8	35080	126	197368112124105.0	197368112124105	197638211412105	916827113412105	7.5 - 12.3 - 12.5 - 12.5 - 12.7 - 13.2 - 12.7 - 14.4	7.5 - 19.8 - 32.3 - 44.8 - 57.5 - 70.7 - 83.4 - 97.8 (32.3-40.3)	8.0	2,790	12.0	2-7	1260.0	6.0	7=>2	2340.0	10.0
201743011104	ダ	左	1000	晴	重	12:20	船橋にんじん、枝豆、		2017-1-11	10	船橋	3			3	130	1	3.0	110	1.0	13.0	150	2.0	3-13	450	1	3-13	200	1	3-10	310	3	10-13	440	5	3=>13	590	1	3-10-13	860	1	3=>13=>10	2110	2			3,13,14,10,5,1,12,(2,6),7,4,11,9-8	3,13,14,10,5,1,12,2,6,11,4,7,9=8	12.8 - 11.4 - 12.1 - 11.9 - 14.2	12.8 - 24.2 - 36.3 - 48.2 - 62.4 (36.3-38.2)	10.0	170	4.0	3-8	230.0	1.0	3=>8	370.0	1.0
201743011105	ダ	左	1600	晴	重	12:50	観光協会ららぽーとオ 		2017-1-11	10	船橋	3	330万円以上		1	150	1	1.0	120	1.0	8.0	380	4.0	1-8	820	3	1-8	340	4	1-5	400	7	5-8	1,220	12	1=>8	990	4	1-5-8	2970	11	1=>8=>5	8740	28	3567148.0	3516748	(3,5),1,6,8,7,4	3518674	13.3 - 13.2 - 13.7 - 13.2 - 13.0 - 12.8 - 13.1 - 13.3	13.3 - 26.5 - 40.2 - 53.4 - 66.4 - 79.2 - 92.3 - 105.6 (40.2-39.2)									
201743011106	ダ	左	1500	晴	重	13:20	船橋ホンビノス貝カッ		2017-1-11	10	船橋	3			6	270	1	6.0	160	3.0	5.0	150	2.0	5-6	690	3	5-6	260	3	6-8	380	4	5-8	420	6	6=>5	1240	4	5-6-8	1210	4	6=>5=>8	4990	10	783642951.0	783649251	7,8,6,3,9,2,4,5-1	86739254	7.3 - 12.9 - 12.9 - 12.8 - 12.6 - 12.9 - 13.3 - 13.6	7.3 - 20.2 - 33.1 - 45.9 - 58.5 - 71.4 - 84.7 - 98.3 (33.1-39.8)	8.0	220	5.0	5-6	840.0	6.0	6=>5	1200.0	2.0
201743011107	ダ	左	1500	晴	重	13:50	ふなばしセレクション		2017-1-11	10	船橋	3			10	1490	6	10.0	280	4.0	12.0	170	2.0	10-12	1970	7	10-12	870	10	1-10	2,010	24	1-12	450	5	10=>12	6090	23	1-10-12	5270	19	10=>12=>1	44080	143	611259101184723.0	611259101184723	1,6,12,5,(9,10),11,8,7,4,2,3	112105961178423	7.5 - 12.1 - 12.5 - 13.1 - 13.2 - 13.0 - 13.6 - 13.9	7.5 - 19.6 - 32.1 - 45.2 - 58.4 - 71.4 - 85.0 - 98.9 (32.1-40.5)	1.0	290	5.0	7-8	280.0	1.0	7=>8	420.0	1.0
201743011108	ダ	左	1200	晴	重	14:20	「音楽のまちふなばし		2017-1-11	10	船橋	3			2	190	1	2.0	120	1.0	5.0	220	5.0	2-5	1000	4	2-5	380	4	2-10	250	2	5-10	710	9	2=>5	1230	5	2-5-10	1810	6	2=>5=>10	7020	17		2,8,5,3,10,4,1,6,9,11,12-7	(2,5),8,3,10,1,9,6,12,4,11-7	2,5,3,8,10,9,1,12,4,6,11-7	13.0 - 12.0 - 12.1 - 12.4 - 12.7 - 13.5	13.0 - 25.0 - 37.1 - 49.5 - 62.2 - 75.7 (37.1-38.6)	10.0	150	3.0	2-5	740.0	4.0	2=>5	1040.0	5.0
201743011109	ダ	左	1200	晴	重	14:55	ふなばし海苔ノリ杯		2017-1-11	10	船橋	3			6	400	2	6.0	180	2.0	12.0	190	3.0	6-12	910	4	6-12	440	4	4-6	1,480	19	4-12	1,410	17	6=>12	1700	5	4-6-12	6290	26	6=>12=>4	24370	75		261284105311197	2,6,12,4,8,(3,10,11),(1,5),9,7	261248310511197	12.7 - 11.5 - 11.9 - 12.4 - 13.2 - 14.3	12.7 - 24.2 - 36.1 - 48.5 - 61.7 - 76.0 (36.1-39.9)	4.0	480	9.0	5-8	740.0	4.0	5=>8	1460.0	6.0
201743011110	ダ	左	1600	晴	重	15:30	目利き番頭船えもんカ		2017-1-11	10	船橋	3			3	220	1	3.0	130	1.0	2.0	160	2.0	2-3	410	2	2-3	180	2	3-5	220	3	2-5	330	6	3=>2	650	1	2-3-5	550	2	3=>2=>5	1850	3	7216543.0	4271356	4,7,2,1,3,(6,5)	2714356	13.0 - 13.2 - 13.8 - 12.4 - 12.9 - 12.8 - 13.0 - 15.0	13.0 - 26.2 - 40.0 - 52.4 - 65.3 - 78.1 - 91.1 - 106.1 (40.0-40.8)									
201743011111	ダ	左	1000	晴	重	16:05	船橋記念	G	2017-1-11	10	船橋	3	(別定)		2	170	1	2.0	110	1.0	8.0	330	7.0	2-8	1240	5	2-8	590	6	2-14	390	3	8-14	2,210	23	2=>8	1640	7	2-8-14	4510	18	2=>8=>14	11510	33			2.813106471114154e+18	2.813610417511143e+18	12.2 - 10.7 - 11.5 - 12.4 - 13.7	12.2 - 22.9 - 34.4 - 46.8 - 60.5 (34.4-37.6)	14.0	270	4.0	2-5	1110.0	4.0	2=>5	1540.0	7.0
201743020801	ダ	左	1500	晴	良	11:10	C3八　九		2017-2-8	11	船橋	3			1	160	1	1.0	100	1.0	7.0	180	3.0	1-7	860	4	1-7	330	2	1-11	430	4	7-11	1,080	16	1=>7	1130	3	1-7-11	2650	8	1=>7=>11	7110	17	171112109583624.0	171191210853624	1,7,11,(10,12),9,8,6,5,2,3,4	171191012826534	7.1 - 12.5 - 13.6 - 13.4 - 12.9 - 13.2 - 13.4 - 13.7	7.1 - 19.6 - 33.2 - 46.6 - 59.5 - 72.7 - 86.1 - 99.8 (33.2-40.3)	11.0	190	5.0	1-6	840.0	4.0	1=>6	1290.0	4.0
201743020802	ダ	左	1200	晴	良	11:40	C3八　九		2017-2-8	11	船橋	3			9	310	2	9.0	130	1.0	12.0	480	7.0	9-12	5350	17	9-12	920	10	5-9	390	5	5-12	1,150	12	9=>12	6480	17	5-9-12	6970	23	9=>12=>5	32360	97		476109325128111.0	476109312581121.0	461093712511812.0	12.7 - 11.5 - 12.3 - 12.8 - 13.5 - 14.2	12.7 - 24.2 - 36.5 - 49.3 - 62.8 - 77.0 (36.5-40.5)	5.0	190	4.0	7-8	2340.0	8.0	7=>8	3590.0	12.0
201743020803	ダ	左	1200	晴	良	12:10	C3六　七		2017-2-8	11	船橋	3			11	240	1	11.0	120	1.0	6.0	140	2.0	6-11	480	1	6-11	250	1	2-11	310	3	2-6	430	6	11=>6	900	1	2-6-11	1030	1	11=>6=>2	3370	1		611781049125123.0	611810792411253.0	611108792411253.0	12.4 - 11.6 - 11.9 - 12.6 - 13.2 - 15.3	12.4 - 24.0 - 35.9 - 48.5 - 61.7 - 77.0 (35.9-41.1)	2.0	140	3.0	5-8	470.0	2.0	8=>5	810.0	2.0
201743020804	ダ	左	1500	晴	良	12:40	C3六　七		2017-2-8	11	船橋	3			7	300	2	7.0	120	1.0	9.0	120	2.0	7-9	490	1	7-9	210	1	3-7	400	3	3-9	340	2	7=>9	810	1	3-7-9	920	1	7=>9=>3	3310	1	122198341076511.0	122913874106115	12,9,7,2,1,3,(8,6),4,11,(5,10)	129731624118510	7.0 - 12.3 - 12.8 - 13.6 - 13.0 - 13.1 - 13.1 - 14.4	7.0 - 19.3 - 32.1 - 45.7 - 58.7 - 71.8 - 84.9 - 99.3 (32.1-40.6)	3.0	140	3.0	6-7	400.0	1.0	6=>7	870.0	1.0
201743020805	ダ	左	1200	晴	良	13:10	菜の花賞		2017-2-8	11	船橋	3			8	120	1	8.0	110	1.0	10.0	340	5.0	8-10	960	3	8-10	420	2	5-8	870	12	5-10	4,380	30	8=>10	960	3	5-8-10	10060	26	8=>10=>5	24190	64		67101354289	6,7,10,4,(1,5),8,(3,9),2	67105849123	12.5 - 11.7 - 12.4 - 13.0 - 13.4 - 13.6	12.5 - 24.2 - 36.6 - 49.6 - 63.0 - 76.6 (36.6-40.0)	5.0	550	8.0	7-8	520.0	2.0	7=>8	540.0	2.0
201743020806	ダ	左	1200	晴	良	13:40	C2五　六		2017-2-8	11	船橋	3			10	680	3	10.0	160	2.0	6.0	110	1.0	6-10	510	1	6-10	290	2	7-10	1,110	17	6-7	460	6	10=>6	1910	8	6-7-10	2260	11	10=>6=>7	14580	49		2416710119358	2,4,10,6,(1,7),9,11,8,3,5	2410671911835	12.4 - 11.9 - 12.1 - 12.9 - 12.9 - 14.2	12.4 - 24.3 - 36.4 - 49.3 - 62.2 - 76.4 (36.4-40.0)	7.0	260	7.0	6-8	300.0	1.0	8=>6	830.0	3.0
201743020807	ダ	左	1500	晴	良	14:10	C2五　六		2017-2-8	11	船橋	3			11	590	3	11.0	150	2.0	1.0	110	1.0	1-11	410	1	1-11	200	1	9-11	860	10	1-9	550	6	11=>1	1410	4	1-9-11	1770	5	11=>1=>9	13730	41	9311285164107.0	9311258611047	9,3,(2,11),(5,8),6,10,1,4,7	9311251068147	6.8 - 12.7 - 13.3 - 13.1 - 12.8 - 13.0 - 13.1 - 14.6	6.8 - 19.5 - 32.8 - 45.9 - 58.7 - 71.7 - 84.8 - 99.4 (32.8-40.7)	9.0	270	5.0	1-8	360.0	2.0	8=>1	1610.0	5.0
201743020808	ダ	左	1800	晴	良	14:40	寒明け賞		2017-2-8	11	船橋	3			5	320	1	5.0	120	1.0	14.0	170	4.0	5-14	850	3	5-14	350	4	2-5	280	1	2-14	340	3	5=>14	1570	4	2-5-14	1180	2	5=>14=>2	6180	9	1.3141231024576113e+18	1314123102457116198	13,14,(3,12),10,2,4,5,7,11,8,1,9,6	1425121331047111986	12.6 - 12.4 - 13.5 - 13.6 - 13.2 - 13.0 - 13.3 - 13.4 - 14.0	12.6 - 25.0 - 38.5 - 52.1 - 65.3 - 78.3 - 91.6 - 105.0 - 119.0 (38.5-40.7)	2.0	140	2.0	4-8	790.0	2.0	4=>8	1590.0	4.0
201743020809	ダ	左	1000	晴	良	15:15	早春スプリント		2017-2-8	11	船橋	3			11	3060	8	11.0	380	7.0	1.0	190	4.0	1-11	9220	21	1-11	1,070	16	3-11	790	10	1-3	210	1	11=>1	23320	46	1-3-11	4320	16	11=>1=>3	82660	197			(6,4,11),(3,7),2,1,(8,9),5,10	1146321785910	12.3 - 11.2 - 11.6 - 12.5 - 14.0	12.3 - 23.5 - 35.1 - 47.6 - 61.6 (35.1-38.1)	3.0	120	1.0	1-8	1040.0	5.0	8=>1	2260.0	9.0
201743020810	ダ	左	1600	晴	良	15:50	如月賞		2017-2-8	11	船橋	3			12	310	2	12.0	200	2.0	4.0	430	6.0	4-12	2560	10	4-12	880	10	8-12	430	4	4-8	1,170	13	12=>4	3730	14	4-8-12	4550	16	12=>4=>8	19460	58	1.4118121049253716e+18	1411812109425317613	10,9,12,(14,11),4,8,5,(2,3),7,6,1,13	1012495118146372131	12.6 - 12.5 - 14.0 - 13.0 - 12.7 - 13.3 - 13.4 - 14.1	12.6 - 25.1 - 39.1 - 52.1 - 64.8 - 78.1 - 91.5 - 105.6 (39.1-40.8)	8.0	230	3.0	3-7	730.0	4.0	7=>3	860.0	4.0
201743020811	ダ	左	1800	晴	良	16:25	報知グランプリカップ	G	2017-2-8	11	船橋	3	(別定)		11	580	2	11.0	220	3.0	12.0	190	2.0	11-12	1840	12	11-12	710	15	2-11	840	19	2-12	570	11	11=>12	3410	20	2-11-12	3800	16	11=>12=>2	20040	72	11912108427635.0	11912104273865	11,9,12,2,(10,4),5,7,6,3,8	11912210456783	12.7 - 12.0 - 13.0 - 12.9 - 12.9 - 12.4 - 12.8 - 13.3 - 13.8	12.7 - 24.7 - 37.7 - 50.6 - 63.5 - 75.9 - 88.7 - 102.0 - 115.8 (37.7-39.9)	2.0	260	5.0	8-8	1950.0	9.0	8=>8	1960.0	9.0
201743020812	ダ	左	1600	晴	良	17:00	アメジスト賞		2017-2-8	11	船橋	3			10	290	1	10.0	130	1.0	7.0	230	6.0	7-10	1470	5	7-10	590	8	10-12	260	1	7-12	490	4	10=>7	2410	6	7-10-12	1560	3	10=>7=>12	8830	16	8.371126101145139e+18	8371126101145913214	3,(8,7),12,6,(10,5),1,(4,9,11),2,13,14	3712105698413121411	12.3 - 12.6 - 13.3 - 13.1 - 12.6 - 13.1 - 13.7 - 14.2	12.3 - 24.9 - 38.2 - 51.3 - 63.9 - 77.0 - 90.7 - 104.9 (38.2-41.0)	12.0	130	2.0	5-6	1420.0	6.0	6=>5	2220.0	8.0
201743050201	ダ	左	1000	晴	稍重	10:30	スズランデビュー		2017-5-2	2	船橋	2			3	150	1	3.0	130	1.0	4.0	250	4.0	3-4	660	4	3-4	130	4	2-3	110	2	2-4	170	5	3=>4	840	7	2-3-4	240	1	3=>4=>2	1560	6			3,4,6,(1,2)	34621	13.2 - 11.8 - 12.4 - 12.9 - 13.0	13.2 - 25.0 - 37.4 - 50.3 - 63.3 (37.4-38.3)									
201743062301	ダ	左	1200	晴	重	15:00	3歳八		2017-6-23	3	船橋	5	33万円未満		11	220	2	11.0	100	2.0	8.0	140	4.0	8-11	840	3	8-11	250	2	3-11	140	1	3-8	260	5	11=>8	1500	6	3-8-11	350	1	11=>8=>3	3030	8		8511934610217	(5,8),11,3,9,10,4,6,2,7,1	1185391046721	12.8 - 11.7 - 12.3 - 12.7 - 12.7 - 13.6	12.8 - 24.5 - 36.8 - 49.5 - 62.2 - 75.8 (36.8-39.0)	3.0	100	1.0	7-8	450.0	3.0	8=>7	710.0	3.0
201743062302	ダ	左	1000	晴	重	15:30	ライラックデビュー		2017-6-23	3	船橋	5			4	1220	4	4.0	120	2.0	5.0	110	1.0	4-5	480	2	4-5	220	2	4-9	390	6	5-9	250	3	4=>5	2110	6	4-5-9	750	3	4=>5=>9	6220	18			5,8,10,9,4,2,7,1,(6,3)	58109472136	12.5 - 11.7 - 12.6 - 12.8 - 13.0	12.5 - 24.2 - 36.8 - 49.6 - 62.6 (36.8-38.4)	9.0	130	3.0	4-5	580.0	3.0	4=>5	1720.0	6.0
201743062303	ダ	左	1000	晴	重	16:00	ライラックデビュー		2017-6-23	3	船橋	5			7	150	1	7.0	100	1.0	6.0	130	3.0	6-7	430	2	6-7	170	2	3-7	140	1	3-6	200	3	7=>6	610	2	3-6-7	360	1	7=>6=>3	1600	2			47685321.0	74658312.0	12.2 - 11.5 - 11.8 - 13.0 - 13.4	12.2 - 23.7 - 35.5 - 48.5 - 61.9 (35.5-38.2)	3.0	120	2.0						
201743072101	ダ	左	1200	晴	良	15:00	C3六		2017-7-21	4	船橋	1			1	130	1	1.0	110	1.0	9.0	150	3.0	1-9	330	1	1-9	170	1	1-10	320	3	9-10	530	8	1=>9	500	1	1-9-10	890	2	1=>9=>10	2450	4		1141039126758	11,4,10,3,9,(1,2),6,7,5,8	1141093126758	13.2 - 12.2 - 12.6 - 13.0 - 13.6 - 13.5	13.2 - 25.4 - 38.0 - 51.0 - 64.6 - 78.1 (38.0-40.1)	10.0	210	4.0	1-7	190.0	1.0	1=>7	250.0	1.0
201743072102	ダ	左	1500	晴	良	15:30	3歳二		2017-7-21	4	船橋	1	205万円以上291万円未満		8	150	1	8.0	100	1.0	4.0	160	3.0	4-8	1360	5	4-8	490	9	1-8	150	1	1-4	460	7	8=>4	1580	6	1-4-8	780	4	8=>4=>1	3720	12	48176910523.0	48176910523	48179561032	48197510362	7.2 - 12.4 - 12.7 - 13.4 - 13.1 - 12.7 - 13.1 - 13.6	7.2 - 19.6 - 32.3 - 45.7 - 58.8 - 71.5 - 84.6 - 98.2 (32.3-39.4)	1.0	100	2.0	4-7	1320.0	5.0	7=>4	1160.0	5.0
201743072103	ダ	左	1500	晴	良	16:00	レイクサイドスター特 		2017-7-21	4	船橋	1	38万円以上		5	220	1	5.0	140	1.0	3.0	200	4.0	3-5	400	3	3-5	110	1	4-5	150	2	3-4	230	6	5=>3	680	2	3-4-5	380	2	5=>3=>4	1130	2	631542.0	631542	635142	635142	7.2 - 12.2 - 13.4 - 13.4 - 12.7 - 13.0 - 13.9 - 13.9	7.2 - 19.4 - 32.8 - 46.2 - 58.9 - 71.9 - 85.8 - 99.7 (32.8-40.8)									
201743080601	ダ	左	1500	晴	良	16:40	アブクマポーロ・メモ 		2017-8-6	5	船橋	1	56.5万円以上		7	420	3	7.0	130	2.0	3.0	110	1.0	3-7	360	2	3-7	130	2	1-7	160	3	1-3	120	1	7=>3	860	4	1-3-7	200	1	7=>3=>1	1670	6	673125.0	6,7,3,1,2-5	6,7,3,1,2-5	7,3,6,1,2-5	6.8 - 12.9 - 13.5 - 12.8 - 12.7 - 13.0 - 13.1 - 13.6	6.8 - 19.7 - 33.2 - 46.0 - 58.7 - 71.7 - 84.8 - 98.4 (33.2-39.7)									
201743090301	ダ	左	1500	曇	稍重	13:45	C3二　三　ア		2017-9-3	6	船橋	2			11	330	1	11.0	140	2.0	12.0	110	1.0	11-12	770	2	11-12	280	2	8-11	900	11	8-12	630	9	11=>12	1360	3	8-11-12	3290	10	11=>12=>8	12660	43	178111265210943.0	178111265102943	1,(7,8),11,12,5,6,(10,9),4,3,2	178111265910432	7.1 - 12.8 - 13.0 - 13.3 - 13.1 - 13.2 - 13.1 - 13.5	7.1 - 19.9 - 32.9 - 46.2 - 59.3 - 72.5 - 85.6 - 99.1 (32.9-39.8)	8.0	290	6.0	8-8	690.0	3.0	8=>8	760.0	3.0
201743090302	ダ	左	1200	晴	稍重	14:15	3歳三　四		2017-9-3	6	船橋	2	122万円以上214万円未満		2	620	3	2.0	420	8.0	5.0	360	6.0	2-5	3110	15	2-5	1,080	14	2-11	13,990	51	5-11	15,980	54	2=>5	5400	28	2-5-11	192150	162	2=>5=>11	1100860	905		106411329158712	(6,10),9,11,4,2,3,8,5,1,12,7	961011284351217	13.0 - 11.5 - 12.2 - 13.0 - 13.4 - 14.0	13.0 - 24.5 - 36.7 - 49.7 - 63.1 - 77.1 (36.7-40.4)	11.0	2,460	11.0	2-5	2050.0	12.0	2=>5	4480.0	22.0
201743090303	ダ	左	1500	晴	稍重	14:45	勝っても負けても泣い		2017-9-3	6	船橋	2	122万円以上214万円未満		2	460	2	2.0	150	4.0	7.0	120	1.0	2-7	710	1	2-7	300	2	2-11	340	5	7-11	310	3	2=>7	1270	1	2-7-11	730	1	2=>7=>11	4640	15	271961043511812.0	279164310511128	2,7,9,(1,6),(10,11),3,4,5,12,8	271691031145128	7.3 - 12.8 - 13.7 - 13.5 - 12.9 - 13.1 - 13.1 - 13.7	7.3 - 20.1 - 33.8 - 47.3 - 60.2 - 73.3 - 86.4 - 100.1 (33.8-39.9)	11.0	150	2.0	2-6	710.0	2.0	2=>6	1520.0	4.0
