	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200851062409	ダ	右	1500	曇	良	15:40	ひめじ広峰特別 		2008-6-24	1	姫路	4	(馬齢)		7	130	1	7	110	1	3	110	2	3-7	170	1	3-7	160	1	5-7	350	5	3-5	1,200	12	7=>3	230	1	3-5-7	1080	3	3,7,2,5,(8,10),6,4,9,1	32758106491	37258910461	37258941061			5.0	460	5.0	3-7	180.0	1.0	7=>3=>5	1810.0	3.0
200851062410	ダ	右	1400	曇	良	16:20	A3二　3歳以上 		2008-6-24	1	姫路	4	(馬齢)		2	330	1	2	200	3	7	1,010	10	2-7	8700	30	2-7	1,430	20	2-4	1,070	13	4-7	3,710	41	2=>7	15600	50	2-4-7	24330	75	14392856710	14329856710	1,4,3,9,(2,8),6,10,7,5	14392861075			4.0	270	5.0	2-7	1690.0	8.0	2=>7=>4	155400.0	429.0
200851062501	ダ	右	1400	曇	良	11:10	D2二　4歳以上		2008-6-25	1	姫路	5	(馬齢)		6	4740	6	6	350	6	7	160	2	6-7	4700	12	6-7	1,680	13	3-6	6,590	30	3-7	3,610	26	6=>7	14520	36	3-6-7	52970	64	678153249	678135249	672815349	6,7,2,1,8,(3,5),4,9			3.0	690	8.0	6-7	7060.0	15.0			
200851062502	ダ	右	1400	曇	良	11:45	D2一　4歳以上		2008-6-25	1	姫路	5	(馬齢)		1	550	3	1	170	4	3	160	2	1-3	620	2	1-3	220	2	1-8	640	11	3-8	310	4	1=>3	1480	6	1-3-8	1440	5	381629457	381629457	381629475	381629475			8.0	230	6.0	1-3	690.0	2.0			
200851062503	ダ	右	1400	曇	良	12:20	F2三　3歳		2008-6-25	1	姫路	5	(馬齢)		3	2220	6	3	400	6	6	130	2	3-6	4540	14	3-6	730	10	1-3	1,020	16	1-6	210	2	3=>6	10430	27	1-3-6	3720	13	57843621	57834621	5,7,8,(3,6),4,1,2	(5,7),(3,8),6,1,4-2			1.0	180	3.0						
200851062504	ダ	右	1400	曇	良	12:55	F2二　3歳		2008-6-25	1	姫路	5	(馬齢)		2	690	3	2	150	2	8	110	1	2-8	740	3	2-8	240	2	2-4	650	9	4-8	180	1	2=>8	2040	8	2-4-8	1420	4	4,6,8,2,3,1,(5,7)	46832751	48632571	48623571			4.0	190	6.0						
200851062505	ダ	右	1400	曇	良	13:30	F2一　3歳		2008-6-25	1	姫路	5	(馬齢)		9	560	3	9	130	2	2	200	4	2-9	3010	12	2-9	900	10	3-9	260	3	2-3	530	6	9=>2	5050	17	2-3-9	1640	6	942716385	942713658	947231568	924731568			3.0	130	3.0	2-8	2190.0	9.0			
200851062506	ダ	右	1400	曇	良	14:05	C5二　4歳以上		2008-6-25	1	姫路	5	(馬齢)		7	930	5	7	210	5	4	180	2	4-7	2220	10	4-7	860	12	5-7	690	9	4-5	510	6	7=>4	4260	19	4-5-7	3430	11	794185632	7,9,1,4,8,5,6,3-2	7,4,(3,6),1,9,(5,8),2	7,4,3,(1,6),5,8,9,2			5.0	230	6.0	4-7	2460.0	12.0			
200851062507	ダ	右	1400	曇	良	14:40	C5一　4歳以上		2008-6-25	1	姫路	5	(馬齢)		7	170	1	7	100	1	6	110	3	6-7	320	1	6-7	160	2	2-7	260	4	2-6	430	5	7=>6	460	1	2-6-7	680	3	76123104895	71623104859	7,1,6,2,3,10,4,8-5,9	7,6,1,2,3,10,4,8-5-9			2.0	210	4.0	6-7	400.0	2.0	7=>6=>2	1690.0	4.0
200851062508	ダ	右	1400	曇	良	15:15	神鍋山特別 		2008-6-25	1	姫路	5	(定量)		4	690	4	4	150	4	11	120	2	4-11	680	3	4-11	180	1	3-4	370	5	3-11	210	2	4=>11	1660	8	3-4-11	940	3	4118931265107	4118391265107	4113829176105	(4,11),3,2,8,9,1,7,6,10-5			3.0	150	3.0	4-8	670.0	3.0	4=>11=>3	5630.0	19.0
