	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200850011403	ダ	右	1400	曇	稍重	12:20	リミテッド競走		2008-1-14	20	園田	1	(馬齢)		6	320	2	6	150	2	4	170	4	4-6	1000	4	4-6	350	4	6-11	510	6	4-11	1,120	12	6=>4	1500	5	4-6-11	2590	9	4628711931051	4628117931051	4682117935110	6481127395110			11.0	340.0	6.0	4-6	880.0	4.0			
200850011404	ダ	右	1400	曇	稍重	12:55	D6三　4歳以上		2008-1-14	20	園田	1	(馬齢)		10	150	1	10	130	1	11	500	8	10-11	4170	13	10-11	1,310	14	9-10	540	5	9-11	5,460	35	10=>11	4830	14	9-10-11	11570	34	1,11,(5,10),2,9,7,6,3,4,12,8	1,11,10,2,(5,9),6,3,(4,12),8	11101965284312	11,10,9,6,4,5,1,(2,8),3,12			9.0	330.0	6.0	7-8	2000.0	8.0			
200850011405	ダ	右	1400	曇	稍重	13:30	D6二　4歳以上		2008-1-14	20	園田	1	(馬齢)		2	250	2	2	120	1	10	120	2	2-10	540	2	2-10	280	2	1-2	1,840	19	1-10	3,210	24	2=>10	790	2	1-2-10	6020	19	210111216375984	210121116375984	210611211359748	210611211359487			1.0	910.0	9.0	2-7	720.0	2.0			
200850011406	ダ	右	1230	曇	稍重	14:05	D6一　4歳以上		2008-1-14	20	園田	1	(馬齢)		1	200	1	1	150	1	2	920	9	1-2	15450	24	1-2	5,550	31	1-5	690	7	2-5	46,620	60	1=>2	21980	38	1-2-5	44670	59	1258147106923	1251847106923	1512810476293	1,5,12,8,10,4,2,(6,7),3,9			5.0	560.0	7.0	1-2	9640.0	17.0			
200850011407	ダ	右	1400	曇	稍重	14:40	C1二　4歳以上		2008-1-14	20	園田	1	(馬齢)		1	160	1	1	100	1	4	190	5	1-4	880	3	1-4	270	4	1-8	160	1	4-8	340	5	1=>4	1080	4	1-4-8	680	2	1174161058329	11,7,4,6,1,10,5,8,(2,3),9	11,1,6,4,7,8,9,10,(2,3),5	11,1,4,6,(8,9),7,10,2,3,5			8.0	140.0	3.0	1-4	830.0	2.0	1=>4=>8	2900.0	7.0
200850011408	ダ	右	1400	曇	稍重	15:15	C1一　4歳以上		2008-1-14	20	園田	1	(馬齢)		9	100	1	9	100	1	8	190	3	8-9	460	1	8-9	250	1	9-10	270	3	8-10	1,300	15	9=>8	510	1	8-9-10	1630	5	981176104112253	9,8,11,7,(6,10),(1,4),12,(2,5),3	9,10,8,6,7,1,11,(4,12),5,3,2	9,10,8,6,11,7,1,4,2,(5,12),3			10.0	150.0	2.0	6-7	250.0	1.0	9=>8=>10	3830.0	7.0
200850011409	ダ	右	1700	曇	稍重	15:55	有馬グランドホテル特 		2008-1-14	20	園田	1	(馬齢)		8	350	2	8	180	2	2	200	4	2-8	2030	8	2-8	430	5	8-9	470	6	2-9	660	10	8=>2	4350	13	2-8-9	3830	15	91078321654	91078213645	89257101643	89257101463			9.0	240.0	5.0	2-7	1490.0	5.0	8=>2=>9	18080.0	57.0
200850011410	ダ	右	1400	曇	稍重	16:25	B3二　4歳以上 		2008-1-14	20	園田	1	(馬齢)		5	580	4	5	230	5	10	160	2	5-10	980	4	5-10	340	2	5-8	880	13	8-10	590	8	5=>10	2760	12	5-8-10	4100	16	510812116941723	581012116491723	5,10,8,(11,12),6,4,9,1,(3,7),2	5,10,8,(11,12),6,4,(1,9),3,7,2			8.0	260.0	6.0	5-7	210.0	1.0	5=>10=>8	20290.0	76.0
200850011501	ダ	右	1400	晴	稍重	11:10	F5二　3歳		2008-1-15	20	園田	2	(馬齢)		6	140	1	6	100	1	8	100	2	6-8	330	1	6-8	130	1	6-10	230	3	8-10	410	5	6=>8	460	1	6-8-10	740	2	69587101432	6,9,(5,8),7,10,1,4,3,2	68105974312	6-8,10,5,9,4,7,3,1,2			10.0	140.0	4.0	6-7	280.0	2.0			
200850011502	ダ	右	1400	晴	稍重	11:40	F5一　3歳		2008-1-15	20	園田	2	(馬齢)		4	110	1	4	100	1	6	240	6	4-6	670	4	4-6	270	4	4-5	170	1	5-6	680	10	4=>6	750	4	4-5-6	960	4	3651742810	3,6,5,1,(4,7),2,8,10	(3,5,6),4,7,(2,8,10),1	6354278101			5.0	150.0	3.0	4-6	550.0	4.0			
200850011503	ダ	右	1400	晴	稍重	12:10	D5四　4歳以上		2008-1-15	20	園田	2	(馬齢)		7	160	1	7	100	1	6	140	4	6-7	340	1	6-7	150	2	5-7	140	1	5-6	190	3	7=>6	410	1	5-6-7	340	1	7,8,(3,6),2,9,5,4,1	786329541	768539214	768539214			5.0	110.0	2.0	6-7	340.0	2.0			
200850011504	ダ	右	1400	晴	稍重	12:40	D5三　4歳以上		2008-1-15	20	園田	2	(馬齢)		11	850	2	11	110	2	10	150	3	10-11	6910	14	10-11	1,080	10	8-11	180	1	8-10	400	5	11=>10	13490	22	8-10-11	1330	5	8964211710531	8964211710531	8,10,9,(4,6),2,11,5,7,3,1	8,10,9,2,(6,11),4,5,7,3,1			8.0	100.0	1.0	8-8	10730.0	12.0			
200850011505	ダ	右	1400	晴	稍重	13:10	D5二　4歳以上		2008-1-15	20	園田	2	(馬齢)		9	490	4	9	150	2	5	160	3	5-9	630	1	5-9	290	3	9-11	940	14	5-11	700	11	9=>5	1430	4	5-9-11	1840	8	9,10,5,11,8,7,6,4,(1,2),3	9105118674123	9111058761423	9111058716243			11.0	220.0	6.0	5-7	400.0	2.0			
200850011506	ダ	右	1400	晴	稍重	13:40	D5一　4歳以上		2008-1-15	20	園田	2	(馬齢)		4	130	1	4	110	1	2	230	5	2-4	530	2	2-4	270	3	4-12	340	4	2-12	830	11	4=>2	590	1	2-4-12	1100	5	12,5,2,(3,6),4,9,11,1,10,7,8	122594361111078	12,2,9,4,(5,11),1,3,6,10,7,8	122941151310678			12.0	220.0	4.0	2-4	570.0	3.0			
