	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200858051403	ダ	右	1700	曇	良	11:55	D3　ー2組		2008-5-14	2	札幌(地)	1	40万円以下	(規定)	5	370	2	5	140	2	2	110	1							2-5	240	1	5=>2	860	3	2-5-6	370	1	5=>2=>6	2520	8	2,(3,6),4,5,(1,7)	2,(3,6),4,5,1,7	2,6,3,(5,4),(1,7)	2,6,(3,5),4,(1,7)		
200858051404	ダ	右	1000	曇	良	12:30	D3　ー1組		2008-5-14	2	札幌(地)	1	40万円以下	(規定)	6	330	2	6	120	1	8	130	2	9.0	180	4.0	6-7	400.0	1.0	6-8	400	1	6=>8	890	3	6-8-9	490	1	6=>8=>9	2030	4			(3,6),(2,9),7,8,4,5,10,1	(3,6),(2,9),8,7,4,10,5,1		
200858051405	ダ	右	1000	曇	良	13:05	3歳　条件		2008-5-14	2	札幌(地)	1	100万円以下	(規定)	2	140	1	2	120	1	7	170	2							2-7	260	1	2=>7	420	1	1-2-7	300	1	2=>7=>1	860	1			2,(3,4),(1,7),6,5	2,4,(1,7),3,6,5		
200858051406	ダ	右	1000	曇	良	13:40	ルーキーチャレンジ競		2008-5-14	2	札幌(地)	1	(規定)		4	1690	5	4	320	6	8	120	1	10.0	170	4.0	4-7	2360.0	9.0	4-8	3700	13	4=>8	7990	24	4-8-10	4430	12	4=>8=>10	70120	132			8,10,2,4,5,6,7,9,(1,3)	8,10,4,2,(5,6),7,(1,9,3)		
200858051407	ダ	右	1000	曇	良	14:15	3歳　条件		2008-5-14	2	札幌(地)	1	100万円以下	(規定)	1	150	1	1	110	1	4	260	4							1-4	630	3	1=>4	750	3	1-3-4	500	2	1=>4=>3	2180	7			(1,2),3,(4,7),5,6	(1,2),(4,3,7),5,6		
200858051408	ダ	右	1700	曇	良	14:50	D1　ー1組		2008-5-14	2	札幌(地)	1	80万円以下	(規定)	5	440	3	5	120	2	9	100	1	4.0	120	3.0	5-8	290.0	1.0	5-9	430	2	5=>9	850	4	4-5-9	340	1	5=>9=>4	2050	5	5,1,(4,9),7,3,8,6,(2,10)	(1,5),9,(4,7),3,8,6,(2,10)	5,9,(4,7),3,1,6,8,(2,10)	5,9,(4,7),3,1,(6,10),2,8		
200858051409	ダ	右	1700	曇	良	15:25	雪印ストリングチーズ 		2008-5-14	2	札幌(地)	1	100万円以下	(規定)	8	370	3	8	100	1	4	130	2							4-8	360	2	8=>4	760	3	4-7-8	300	1	8=>4=>7	1320	3	2,(1,3),7,(4,8),5	2,3,7,(1,8),4,5	2,(3,7),8,1,(5,4)	(2,7),(3,8),(5,4),1		
200858051410	ダ	右	1700	曇	良	16:00	きたあかり特別 		2008-5-14	2	札幌(地)	1	130万円以下	(規定)	3	110	1	3	100	1	12	150	2	2.0	430	9.0	3-8	360.0	2.0	3-12	440	2	3=>12	520	2	2-3-12	3090	13	3=>12=>2	6030	18	7,12,1,(3,6),(2,9),(5,10),(4,8),11	7,12,1,3,6,2,9,10,5,(4,8),11	12,1,7,3,(5,2),(6,10,11),(9,8),4	12,(2,3),(5,1),6,10,4,(7,9,11),8		
200858051501	ダ	右	1700	晴	良	10:45	3歳　条件		2008-5-15	2	札幌(地)	2	(規定)		7	610	2	7	110	2	5	100	1	2.0	120	4.0				5-7	180	1	7=>5	720	3	2-5-7	320	1	7=>5=>2	1760	5	36758142	3,6,7,5,(4,8),1,2	3,(6,7),(4,5),(8,2),1	(3,7),5,(4,6,2),8,1		
200858051502	ダ	右	1700	曇	良	11:20	D3　ー1組		2008-5-15	2	札幌(地)	2	40万円以下	(規定)	6	170	1	6	160	2	1	500	4							1-6	540	2	6=>1	680	2	1-4-6	4540	12	6=>1=>4	14470	49	(1,2),6,7,5,(3,4)	1,2,6,7,(4,5),3	(1,2),6,(4,7),5,3	(1,2),6,4,5,(3,7)		
200858051503	ダ	右	1000	曇	良	11:55	3歳　条件		2008-5-15	2	札幌(地)	2	(規定)		3	130	1	3	100	1	8	170	3	6.0	280	7.0	3-7	840.0	4.0	3-8	820	4	3=>8	1260	5	3-6-8	4360	14	3=>8=>6	13620	40			1,(3,9),4,5,6,7,2,10,8	(1,3),9,4,(5,6),7,(2,10),8		
200858051504	ダ	右	1700	曇	良	12:30	D2　ー1組		2008-5-15	2	札幌(地)	2	60万円以下	(規定)	5	240	1	5	110	2	2	100	1							2-5	270	1	5=>2	400	1	2-5-7	5050	12	5=>2=>7	13800	36	3,5,(2,6),7,4,1	3562741	3,(2,5),6,7,(1,4)	(3,5),2,(7,6),4,1		
200858051505	ダ	右	1000	曇	良	13:05	フレッシュチャレンジ		2008-5-15	2	札幌(地)	2	牝(規定)		6	120	1	6	100	1	2	110	2	1.0	170	5.0				2-6	190	1	6=>2	270	1	1-2-6	340	1	6=>2=>1	720	1			2,6,8,(1,7),5,3,4	(2,6),(1,8),(7,5),3,4		
200858051506	ダ	右	1000	曇	良	13:40	フレッシュチャレンジ		2008-5-15	2	札幌(地)	2	(規定)		6	2590	5	6	400	5	3	300	4	2.0	240	3.0	3-6	6310.0	15.0	3-6	6070	16	6=>3	17810	29	2-3-6	7200	20	6=>3=>2	64340	123			(3,6),4,(9,7),2,5,(1,8)	(3,6),(4,7),9,2,5,(1,8)		
200858051507	ダ	右	1700	曇	良	14:15	3歳　条件		2008-5-15	2	札幌(地)	2	100万円以下	(規定)	3	2130	5	3	230	5	1	100	1	7.0	120	2.0	1-3	1200.0	5.0	1-3	1130	5	3=>1	3740	12	1-3-7	310	1	3=>1=>7	6280	17	57101382964	5,7,10,1,3,8-2,9,6,4	5,7,1,(10,3)=8,(2,9,4,6)	(1,7),3,5,10-8,(4,6),(2,9)		
200858051508	ダ	右	1000	曇	良	14:50	三笠の鶏醤賞		2008-5-15	2	札幌(地)	2	60万円以下	(規定)	2	140	1	2	160	1	10	550	8	8.0	380	6.0	2-8	830.0	5.0	2-10	3960	15	2=>10	7460	29	2-8-10	6980	23	2=>10=>8	52030	162			6,4,(2,7,8),9,1,11,10,3,5	6,4,2,(7,8),1,9,11,(3,10),5		
200858051509	ダ	右	1000	曇	良	15:25	K’Sガーデン特別 		2008-5-15	2	札幌(地)	2	100万円以下	(規定)	5	390	2	5	240	4	8	350	5	2.0	240	3.0	4-6	2050.0	7.0	5-8	2100	8	5=>8	4310	17	2-5-8	4190	12	5=>8=>2	25320	77			(5,6,7),(1,4,8,9),(10,11),2,13,3-12	5,(6,7),4,8,1,9,2,(10,11),(3,13),12		
200858051510	ダ	右	1700	曇	良	16:00	シックスセンス賞 		2008-5-15	2	札幌(地)	2	160万円以下	(規定)	10	340	2	10	150	1	2	280	5	8.0	570	8.0	2-7	1100.0	4.0	2-10	1510	7	10=>2	2190	6	2-8-10	19490	47	10=>2=>8	48430	165	(1,2),9,13,10,(4,8,11),(3,6,12),(5,7)	(1,2),9,13,(4,8),10,11,(3,6),(7,12),5	(1,2),9,8,(10,13),(4,6,5),(3,11),7,12	(1,2),(8,9),10,(3,6,5),11,7,13,4,12		
200858052101	ダ	右	1000	曇	重	10:45	3歳　条件		2008-5-21	2	札幌(地)	3	(規定)		2	400	3	2	120	2	3	130	3	9.0	110	1.0	2-3	1320.0	6.0	2-3	1080	6	2=>3	2690	11	2-3-9	740	2	2=>3=>9	5260	18			2,9,(4,10),11,6,1,3,8,12,7,5	2,9,(4,10),11,6,3,(1,7,12),8,5		
200858052102	ダ	右	1000	曇	重	11:20	D3　ー1組		2008-5-21	2	札幌(地)	3	40万円以下	(規定)	5	190	1	5	120	1	3	130	2	8.0	730	9.0	3-5	260.0	1.0	3-5	220	1	5=>3	400	1	3-5-8	2530	7	5=>3=>8	7740	19			(3,5),9,10,7,8,1,(2,4,11),6	(3,5),(9,10),7,8,1,2,4,11,6		
200858052103	ダ	右	1000	曇	重	11:55	ルーキーチャレンジ競		2008-5-21	2	札幌(地)	3	(規定)		6	180	1	6	100	2	5	100	1	8.0	130	3.0				5-6	210	1	6=>5	290	1	5-6-8	270	1	6=>5=>8	640	1			(5,6),1,8,2,4,7,3	(5,6),1,8,7,2,4,3		
200858052201	ダ	右	1000	曇	良	10:45	2歳　未勝利		2008-5-22	2	札幌(地)	4	(規定)		7	150	1	7	100	1	9	120	2	3.0	170	4.0	6-7	370.0	2.0	7-9	290	2	7=>9	390	2	3-7-9	1010	3	7=>9=>3	1620	5			7,(12,6,9),2,4,3,11,(1,8),5,10	7,9,6,12,2,4,3-11,1,8,5,10		
200858052202	ダ	右	1000	曇	良	11:20	3歳　条件		2008-5-22	2	札幌(地)	4	(規定)		1	120	1	1	100	1	9	100	2	2.0	140	3.0	1-7	130.0	1.0	1-9	160	1	1=>9	180	1	1-2-9	390	1	1=>9=>2	540	1			(1,8),9,(2,10),(4,11),(3,5),6,7	(1,8),9,2,10,(4,11),6,3,5,7		
200858052203	ダ	右	1700	曇	良	11:55	3歳　条件		2008-5-22	2	札幌(地)	4	(規定)		4	160	1	4	120	1	1	420	5	7.0	900	7.0				1-4	2280	7	4=>1	2990	10	1-4-7	15830	27	4=>1=>7	55980	87	2,3,6,5,(1,7),4,8	2,(3,6),7,(1,5),4,8	8,2,7,6,(5,4),1-3	(8,7),(5,4,1),6,2-3		
200858052204	ダ	右	1000	曇	良	12:30	D3　ー2組		2008-5-22	2	札幌(地)	4	40万円以下	(規定)	9	300	2	9	120	1	4	240	3	2.0	300	6.0	4-8	1510.0	6.0	4-9	1510	6	9=>4	1970	8	2-4-9	4380	16	9=>4=>2	16430	55			(4,9),10,2,6,8,5,7,3,1	94210685731		
200858052205	ダ	右	1000	曇	良	13:05	フレッシュチャレンジ		2008-5-22	2	札幌(地)	4	(規定)		8	190	1	8	170	3	7	340	6	6.0	120	1.0				7-8	2290	6	8=>7	3110	9	6-7-8	1870	6	8=>7=>6	11850	34			8,6,(7,5),(3,4),1,2	8,6,(7,5),3,4,1,2		
200858052206	ダ	右	1700	曇	良	13:40	フレッシュチャレンジ		2008-5-22	2	札幌(地)	4	(規定)		2	180	1	2	200	2	7	250	3	5.0	350	5.0	2-7	600.0	2.0	2-7	680	2	2=>7	950	3	2-5-7	9450	22	2=>7=>5	34440	77	(6,7),2,(5,9),4,10,8,(1,3)	(6,7),5,2,9,4,10,(1,3),8	(6,7),(5,2),9,(1,4,10,3),8	7,(6,2),5,9,1,(10,3),4,8		
200858052207	ダ	右	1700	曇	良	14:20	3歳　条件		2008-5-22	2	札幌(地)	4	100万円以下	(規定)	5	350	3	5	130	2	8	120	1	4.0	170	4.0				5-8	580	2	5=>8	1020	4	4-5-8	1840	8	5=>8=>4	7330	26	8,2,4,6,(1,5),3,7	8,2,4,6,1,(3,5)-7	8,(2,1,5),4,3-7,6	8,2,5,1,4,3,7-6		
200858052208	ダ	右	1000	曇	良	14:55	寿都町寿かき美肌賞		2008-5-22	2	札幌(地)	4	60万円以下	(規定)	6	100	1	6	100	1	4	100	2	5.0	120	3.0				4-6	190	1	6=>4	230	1	4-5-6	370	1	6=>4=>5	620	1			64528371	6,4,2,5,3,8,(1,7)		
200858052209	ダ	右	1000	曇	良	15:30	新冠町軽種馬生産振興		2008-5-22	2	札幌(地)	4	80万円以下	(規定)	8	220	1	8	130	2	7	180	4	1.0	150	3.0				7-8	500	2	8=>7	720	2	1-7-8	970	4	8=>7=>1	2840	4			(5,7,8),(6,3),2,(1,4)	(7,8),3,5,(1,4),6,2		
200858043001	ダ	右	1000	曇	良	10:30	3歳　条件		2008-4-30	1	札幌(地)	2	(規定)		2	120	1	2	160	3	3	130	1	9.0	200	5.0	2-3	640.0	3.0	2-3	500	3	2=>3	690	1	2-3-9	1200	3	2=>3=>9	6150	13			(4,9),2,1,3,5,6,8,7	(4,9),(1,2),3,5,6,7,8		
200858043002	ダ	右	1000	曇	良	11:00	3歳　条件		2008-4-30	1	札幌(地)	2	(規定)		8	1280	4	8	120	1	9	160	4	3.0	120	2.0	8-8	660.0	3.0	8-9	750	4	8=>9	1250	7	3-8-9	820	3	8=>9=>3	4460	14			(6,8),9,3,5,1-(2,4),7	(8,9),6,3,5,1,(2,4),7		
200858043003	ダ	右	1000	曇	良	11:35	D2　ー1組		2008-4-30	1	札幌(地)	2	60万円以下	(規定)	4	200	1	4	110	1	5	240	4	11.0	160	2.0	4-5	500.0	2.0	4-5	580	2	4=>5	780	2	4-5-11	1030	1	4=>5=>11	2520	2			4,10,(5,12),2,11,1,8,7,(6,9),3	4,10,(5,12),2,11,1,(6,7),8,(9,3)		
200858043004	ダ	右	1700	曇	良	12:10	D2　ー1組		2008-4-30	1	札幌(地)	2	60万円以下	(規定)	7	530	3	7	170	2	6	340	4							6-7	1550	5	7=>6	2670	10	5-6-7	1860	6	7=>6=>5	9870	26	(4,7),5,6,2,(1,3)	(4,7),5,(1,6),2,3	(4,7),5,1,6,3-2	7,4,5,(3,6),1-2		
200858043005	ダ	右	1000	曇	良	12:45	フレッシュチャレンジ		2008-4-30	1	札幌(地)	2	(規定)		5	160	1	5	130	1	1	130	2	11.0	260	6.0	1-5	320.0	1.0	1-5	330	1	5=>1	510	1	1-5-11	3100	9	5=>1=>11	6360	19			7,10,1,11,(8,5),9,6,2-4,3	7,(10,11),1,(8,5),2,(6,9),(3,4)		
200858043006	ダ	右	1700	曇	良	13:20	発寒特別 		2008-4-30	1	札幌(地)	2	100万円以下	(規定)	7	170	1	7	150	2	8	220	5	6.0	170	3.0	6-7	490.0	2.0	7-8	1240	4	7=>8	1610	4	6-7-8	1370	4	7=>8=>6	8350	21	(5,7),4,(10,11),6,8,(3,9),2,1	7,5,10,(4,6,11),8,9,3,2,1	7681154109132	7,6,8,(4,11),5,9,10,1,3,2		
200858043007	ダ	右	1000	曇	良	13:55	JAひだか東いちご特 		2008-4-30	1	札幌(地)	2	100万円以下	(規定)	14	15920	14	14	3,270	14	4	910	11	3.0	140	1.0	3-8	4090.0	13.0	4-14	122930	86	14=>4	1440650	161	3-4-14	405330	278	14=>4=>3	4251330	1766			(11,12),(3,14),9,(2,5,10),6,7,(1,4),8-13	(11,12,14),3,9,(2,10),5,(4,6),7,1,8-13		
200858043008	ダ	右	1700	曇	良	14:30	大通公園特別 		2008-4-30	1	札幌(地)	2	150万円以下	(馬齢)	7	240	1	7	140	1	11	730	10	1.0	150	2.0	6-8	2350.0	9.0	7-11	4550	14	7=>11	6010	24	1-7-11	7020	22	7=>11=>1	29810	85	(8,9),12,(1,7),11,2,(3,6),5-(4,10)	8,9,12,7,(1,11),2,3,6,5=10-4	(7,11),(9,12),5,1,3,2,6,8-10-4	7,11,9,12,(3,1),2,5,6-10,8,4		
200858043009	ダ	右	1000	曇	良	15:05	石狩川特別 		2008-4-30	1	札幌(地)	2	800万円以下	(別定)	1	350	2	1	250	3	6	440	5	10.0	110	1.0	1-6	5080.0	12.0	1-6	5510	13	1=>6	6730	18	1-6-10	1720	4	1=>6=>10	14400	41			(2,10),11,5,(6,9),(1,3,4),8	10,2,11,(6,9),5,1,(3,4),8		
200858043010	ダ	右	1000	曇	良	15:45	北斗盃〔H2〕	G	2008-4-30	1	札幌(地)	2	(馬齢)		5	1240	3	5	180	4	10	130	2	4.0	110	1.0	4-6	1280.0	6.0	5-10	2970	10	5=>10	5980	17	4-5-10	540	1	5=>10=>4	12510	32			5,10,14,(1,7),(9,13),4,(8,11),(12,6),(2,3)	5,10,14,(1,7,13),(12,4),9,(8,3),(2,6),11		
200858043011	ダ	右	1700	曇	良	16:20	くりやまオオムラサキ 		2008-4-30	1	札幌(地)	2	130万円以下	(規定)	10	400	2	10	210	4	12	200	3	11.0	950	9.0	7-8	370.0	1.0	10-12	470	1	10=>12	1150	3	10-11-12	2130	8	10=>12=>11	8710	23	(10,11),6,12,9,(1,4,7,8),3,5	11,10,6,(1,12),(4,7),9,8,3,5	11,10,(6,12),9,(1,7,5),8,4,3	(11,10),12,6,(1,9),(7,8),(4,3),5		
200858050601	ダ	右	1000	晴	稍重	10:30	3歳　条件		2008-5-6	1	札幌(地)	3	(規定)		1	260	2	1	120	1	4	200	3							1-4	530	3	1=>4	1220	7	1-4-7	790	3	1=>4=>7	2690	12			(1,4,6),7,5,3,2	(1,4),7,6-5,3,2		
200858050602	ダ	右	1000	晴	稍重	11:00	3歳　条件		2008-5-6	1	札幌(地)	3	(規定)		3	180	1	3	100	1	5	140	2							3-5	260	1	3=>5	350	1	1-3-5	510	2	3=>5=>1	1130	2			(3,5),6,7,1,2,4	(3,5),6,7,1,2,4		
200858050603	ダ	右	1000	晴	良	11:30	3歳　条件		2008-5-6	1	札幌(地)	3	(規定)		3	210	2	3	110	1	1	120	2							1-3	150	1	3=>1	280	1	1-3-4	230	1	3=>1=>4	610	2			1,3,(2,4,6),7	1,3,6,(2,4),7		
200858050604	ダ	右	1000	晴	良	12:00	D3　ー2組		2008-5-6	1	札幌(地)	3	40万円以下	(規定)	5	300	2	5	130	1	4	460	7	1.0	150	3.0				4-5	11140	18	5=>4	17440	34	1-4-5	7450	20	5=>4=>1	74560	130			65821734	(6,5),2,(1,8),7,3,4		
200858050605	ダ	右	1000	晴	良	12:55	D3　ー1組		2008-5-6	1	札幌(地)	3	40万円以下	(規定)	2	200	1	2	120	1	7	130	2	4.0	140	3.0	2-6	300.0	1.0	2-7	310	1	2=>7	500	1	2-4-7	660	1	2=>7=>4	1500	1			2,6,7,8,9,10,12,4,(3,11),5-1	2,(6,7),8,10,12,(3,4,9),11,5-1		
200858050606	ダ	右	1000	晴	良	13:30	フレッシュチャレンジ		2008-5-6	1	札幌(地)	3	(規定)		5	160	1	5	110	1	7	240	4	4.0	260	5.0				5-7	730	3	5=>7	830	3	4-5-7	3810	12	5=>7=>4	6910	21			2,3,5,7,4,(1,6),8	(2,5),3,7,4,(1,6),8		
200858050607	ダ	右	1700	晴	良	14:00	D3　ー1組		2008-5-6	1	札幌(地)	3	40万円以下	(規定)	5	240	1	5	120	1	4	160	2							4-5	390	1	5=>4	730	1	3-4-5	490	1	5=>4=>3	1670	1	(1,5),(4,6),3,7,2	1,5,(4,6),3,(2,7)	(1,5),(4,6),2,7,3	5,1,4,6,2,(3,7)		
200858050608	ダ	右	1700	晴	良	14:35	D1　ー1組		2008-5-6	1	札幌(地)	3	80万円以下	(規定)	8	160	1	8	100	1	6	110	2	2.0	140	4.0				6-8	170	1	8=>6	280	1	2-6-8	400	2	8=>6=>2	980	2	(1,5,8),4,6,7,3,2	1,5,8,4,6,7,(3,2)	(5,8),1,(4,6),7,2,3	8,(5,6),4,1,2,7,3		
200858050609	ダ	右	1700	晴	良	15:10	ノーザンホースパーク 		2008-5-6	1	札幌(地)	3	300万円以下	(規定)	6	300	2	6	130	2	11	160	3	13.0	130	1.0	4-7	1570.0	7.0	6-11	1820	4	6=>11	2480	7	6-11-13	1590	2	6=>11=>13	9730	20	7,(3,4,5,6,9),1,14,(2,8,10,11),12,13	3,4,(5,7),9,1,6,(2,8),14,(10,11),(12,13)	(4,5,7),3,(6,9),1,(2,8,11),14,(10,13),12	7,(4,5),(6,11),(9,13),1,(3,2),(14,8),10,12		
200858050610	ダ	右	1700	晴	良	15:50	カルビーポテト特別 		2008-5-6	1	札幌(地)	3	(別定)		1	720	2	1	200	5	8	100	1	11.0	150	2.0	1-6	880.0	4.0	1-8	750	4	1=>8	2850	10	1-8-11	1670	6	1=>8=>11	11900	39	1,11,12,8,(3,7,5),9,2,(4,6)	1,11,12,8,(3,7,5),9,2,(4,6)	1,11,(12,8),5,9,7,4,6,2,3	1,11,8,12,5,4,9,7,6,2-3		
200858050701	ダ	右	1000	晴	良	10:40	3歳　条件		2008-5-7	1	札幌(地)	4	(規定)		7	310	3	7	100	2	6	100	1	2.0	100	3.0				6-7	730	3	7=>6	1710	8	2-6-7	270	1	7=>6=>2	2970	10			(6,7),8,2,1,(5,4),3	(6,7),(2,8),1,(3,4),5		
200858050702	ダ	右	1700	晴	良	11:10	3歳　条件		2008-5-7	1	札幌(地)	4	(規定)		1	150	1	1	180	2	6	180	3							1-6	250	1	1=>6	350	1	1-4-6	4440	10	1=>6=>4	10000	31	(1,6),2,7,4,3,5	1,6,2,7,4-(3,5)	1624735	1624735		
200858050703	ダ	右	1000	晴	良	11:45	D3　ー2組		2008-5-7	1	札幌(地)	4	40万円以下	(規定)	3	710	3	3	230	3	2	430	6	4.0	180	2.0	2-3	2000.0	8.0	2-3	3040	10	3=>2	3990	13	2-3-4	1810	7	3=>2=>4	15010	42			3,4,8,(2,6),1,5,9,10,7	3,4,8,2,(1,6),5,9,10,7		
200858050704	ダ	右	1700	晴	良	12:20	D2　ー1組		2008-5-7	1	札幌(地)	4	60万円以下	(規定)	8	500	3	8	210	4	6	650	8	2.0	160	2.0				6-8	12970	26	8=>6	23390	42	2-6-8	14970	36	8=>6=>2	95660	188	1,2,5,8,4,(6,7),3	1,2,5,(4,8),(3,7),6	1,2,5,7,(4,8),(3,6)	1,(2,5),(8,7),(4,3,6)		
200858050705	ダ	右	1000	晴	良	12:55	ルーキーチャレンジ競		2008-5-7	1	札幌(地)	4	(規定)		6	150	1	6	100	1	7	210	3	4.0	270	5.0	6-7	380.0	2.0	6-7	370	2	6=>7	410	2	4-6-7	1290	6	6=>7=>4	1900	5			6,7,(8,10),4,(2,5),1,9,3	6,7,(8,10),4,(2,5),1,(3,9)		
200858050706	ダ	右	1000	晴	良	13:30	フレッシュチャレンジ		2008-5-7	1	札幌(地)	4	(規定)		2	290	1	2	110	1	8	130	3	1.0	120	2.0				2-8	370	1	2=>8	840	2	1-2-8	610	2	2=>8=>1	2350	4			1,2,8-6,4,7-5-3	1,2,8-6,4,7,5-3		
