	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200507010209	芝	左	1200	晴	良	14:20	4歳以上500万下		2005-3-6	1	中京	2	4歳以上500万下	(別定)	1	1460	6	1	330	6	6	570	10	5	120	1	1-3	1390	5	1-6	13080	44	1-6	3,330	42	1-5	640	6	5-6	1,030	8	1=>6	26880	82	1-5-6	8030	27			1(5,16)10(2,6,12)(14,13)-8(9,15)11(7,3)-4	1(5,16)(6,10,12)(14,13)-(2,8,11,15)9,3,7-4	12.1 - 10.5 - 11.3 - 11.8 - 11.5 - 11.9	12.1 - 22.6 - 33.9 - 45.7 - 57.2 - 69.1 (33.9-35.2)	1=>6=>5	98030.0	296.0
200507010210	芝	左	1800	晴	良	14:55	美濃特別 		2005-3-6	1	中京	2	4歳以上500万下	(混)(別定)	5	490	2	5	200	3	15	240	4	2	180	2	3-8	670	2	5-15	3390	11	5-15	1,200	14	2-5	700	5	2-15	850	7	5=>15	6230	22	2-5-15	6540	20	15-(7,10)-9,2,11(5,6)(3,4,13)16,12-8,14 1	15-(7,10)-9,2,11,6,5,13(3,4)16,12-8,14 1	15-7(10,11)(2,9,6)(5,3,4,13,16)-12-(8,14) 1	15-(7,2,11)(5,3,9,6)(10,16)(12,4)13-(8,14) 1	12.6 - 11.2 - 12.7 - 12.4 - 12.1 - 12.2 - 12.3 - 11.9 - 12.1	12.6 - 23.8 - 36.5 - 48.9 - 61.0 - 73.2 - 85.5 - 97.4 - 109.5 (36.5-36.3)	5=>15=>2	42130.0	122.0
200507010211	芝	左	2000	晴	良	15:30	トヨタ賞中京記念	G3	2005-3-6	1	中京	2	4歳以上オープン	(国際)(ハンデ)	7	430	2	7	200	2	14	410	6	4	500	9	4-8	3410	17	7-14	3610	14	7-14	1,490	19	4-7	1,930	28	4-14	3,800	55	7=>14	6480	21	4-7-14	29810	114	15=3,9(2,1,12)10,7,11,8,14(5,13)(4,6)	15=3,9(2,1,12)(7,10)11,8,14-(5,13)(4,6)	15-(3,9,1)(7,2,8,12,10)(11,14)5,13(4,6)	(*15,3,1)(7,9)(2,8,12,10)(5,11,14)(4,6,13)	12.0 - 10.7 - 11.1 - 12.6 - 12.1 - 12.3 - 12.4 - 12.3 - 11.9 - 12.1	12.0 - 22.7 - 33.8 - 46.4 - 58.5 - 70.8 - 83.2 - 95.5 - 107.4 - 119.5 (33.8-36.3)	7=>14=>4	124670.0	455.0
200507010212	ダ	左	1700	晴	良	16:10	伊良湖特別 		2005-3-6	1	中京	2	4歳以上1000万下	(混)(別定)	15	740	4	15	270	4	3	380	8	2	330	5	2-8	4170	19	3-15	5900	28	3-15	1,980	29	2-15	1,270	13	2-3	1,720	26	15=>3	11870	54	2-3-15	14750	50	(*10,11)(2,12)(4,13)(6,7)1(3,9)5,16,15,8,14	10(11,12)2(4,7,13)6(1,9)3-5(16,15)8,14	(10,*11,2)-12(4,6,7)15(1,9,3)(16,13,14)(8,5)	(*11,2)10,15(7,3)(4,12,6)(1,14)16(8,5,9,13)	6.8 - 10.9 - 11.5 - 13.2 - 12.7 - 12.7 - 13.2 - 12.9 - 13.0	6.8 - 17.7 - 29.2 - 42.4 - 55.1 - 67.8 - 81.0 - 93.9 - 106.9 (29.2-39.1)	15=>3=>2	93630.0	313.0
200507010301	ダ	左	1700	曇	不良	09:55	3歳未勝利		2005-3-12	1	中京	3	3歳未勝利	[指](馬齢)	12	210	1	12	120	1	6	770	10	10	290	5	3-6	5010	19	6-12	5260	18	6-12	2,240	24	10-12	460	2	6-10	6,100	53	12=>6	7930	29	6-10-12	13840	42	(6,*8)(10,12,16)7,9(2,11)(3,4)-13(5,15)14,1	(6,*8)10(7,12,16)9(2,11)(3,4)-13-(5,15)14-1	6(8,10,12)7(16,9)13(2,11)-(3,4)15-14=1=5	6(10,12)-8(7,16)13(2,9)(3,11)4,15,14=1=5	6.9 - 11.8 - 11.9 - 13.8 - 13.3 - 12.6 - 12.9 - 13.0 - 12.8	6.9 - 18.7 - 30.6 - 44.4 - 57.7 - 70.3 - 83.2 - 96.2 - 109.0 (30.6-38.7)			
200507010302	ダ	左	1000	曇	不良	10:25	3歳未勝利		2005-3-12	1	中京	3	3歳未勝利	[指](馬齢)	9	360	1	9	120	1	8	150	2	10	150	3	5-5	720	3	8-9	730	2	8-9	260	1	9-10	350	3	8-10	460	6	9=>8	1500	4	8-9-10	1190	3			(*8,9)(1,11)(2,6)(3,5,10)-4,7,15-14=(13,12)	(8,*9)-(1,11)(2,6)(3,5,10)4-7,15=14-13,12	12.5 - 11.2 - 11.8 - 12.0 - 12.6	12.5 - 23.7 - 35.5 - 47.5 - 60.1 (35.5-36.4)			
200507010303	芝	左	1800	曇	稍重	10:55	3歳未勝利		2005-3-12	1	中京	3	3歳未勝利	牝[指](馬齢)	1	230	1	1	110	1	7	170	2	15	610	8	1-4	550	2	1-7	570	1	1-7	270	1	1-15	1,350	15	7-15	2,030	22	1=>7	840	1	1-7-15	4710	14	10(6,12)(1,13)(3,5,8,11)-9(7,14)15,4(2,16)	10,6(1,12)13(3,11)8,5(7,9,14)15,4(2,16)	10(1,6)13(3,8,11)(7,12,15)-(4,5,14)(9,2,16)	(*10,1)6-(3,13,11)(7,8,15)-(4,12)-(5,16)(14,2)9	12.4 - 11.2 - 12.7 - 12.8 - 12.3 - 12.2 - 12.5 - 12.3 - 12.3	12.4 - 23.6 - 36.3 - 49.1 - 61.4 - 73.6 - 86.1 - 98.4 - 110.7 (36.3-37.1)			
200507010304	芝	左	1200	曇	稍重	11:25	3歳未勝利		2005-3-12	1	中京	3	3歳未勝利	(混)[指](馬齢)	4	590	5	4	160	3	6	170	4	8	140	1	2-3	1480	10	4-6	1680	8	4-6	510	9	4-8	260	1	6-8	300	3	4=>6	3310	18	4-6-8	1540	4			4,8(2,11)(6,13)14(5,10,12,16)(1,7,15)3-9	(*4,8)11(2,6,13)(5,12,14)(10,15,16)1(3,7)-9	12.2 - 10.7 - 11.3 - 12.3 - 11.9 - 12.7	12.2 - 22.9 - 34.2 - 46.5 - 58.4 - 71.1 (34.2-36.9)			
200507010305	ダ	左	1700	曇	不良	11:55	4歳以上500万下		2005-3-12	1	中京	3	4歳以上500万下	牝[指](別定)	8	4850	11	8	880	10	10	190	2	16	180	1	4-5	4270	20	8-10	15090	40	8-10	2,840	30	8-16	2,880	31	10-16	590	4	8=>10	35370	87	8-10-16	19810	63	(*12,11)(1,14)(5,15,16)(6,10)4(3,7,9)2,8-13	(*12,11)(1,5,14)(15,16)(4,6,10)(3,9)(2,7,8)-13	(*12,11)(1,5,14)16(6,10)8-(4,15)(3,7,9)2-13	(*12,11)-(1,14)(5,16)(6,10,8)-(4,15)(3,7)9,2-13	7.1 - 11.2 - 12.2 - 13.2 - 13.0 - 12.5 - 12.9 - 12.8 - 13.3	7.1 - 18.3 - 30.5 - 43.7 - 56.7 - 69.2 - 82.1 - 94.9 - 108.2 (30.5-39.0)			
200507010306	ダ	左	1000	曇	不良	12:45	4歳以上500万下		2005-3-12	1	中京	3	4歳以上500万下	(混)[指](別定)	2	470	2	2	160	3	1	110	1	3	160	2	1-1	660	2	1-2	710	2	1-2	300	2	2-3	480	5	1-3	230	1	2=>1	1770	5	1-2-3	990	1			1(2,5)3,15(7,14)(4,12)(8,9,11)16-(6,10)-13	(*1,2)-5(3,15)(4,7,14)9(8,12)11(6,10,16)-13	12.3 - 10.9 - 12.0 - 11.7 - 12.2	12.3 - 23.2 - 35.2 - 46.9 - 59.1 (35.2-35.9)			
