	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200756011710	ダ	右	1400	曇	重	16:30	サラブレッド系Cー2		2007-1-17	14	荒尾	4	(定量)		3.0	300.0	2.0	3.0	110	2.0	5.0	100	1.0	3-5	180.0	1.0	3=>5	440.0	2.0	587631492	586371492	586317492	538149762			9.0	190.0	5.0	3-5	150.0	1.0															
200756012301	ダ	右	1300	曇	良	11:00	サラブレッド系Cー2		2007-1-23	15	荒尾	1	(定量)		3.0	140.0	1.0	3.0	120	1.0	7.0	300	4.0	3-7	540.0	2.0	3=>7	560.0	2.0		4327158.0	4372518.0	3475281.0																							
200756012302	ダ	右	1300	曇	良	11:30	サラブレッド系Cー2		2007-1-23	15	荒尾	1	(定量)		4.0	160.0	1.0	4.0	110	1.0	7.0	270	5.0	4-7	710.0	3.0	4=>7	940.0	3.0		76354812	76435821	7,(6,4),3,2,5,8,1			6.0	120.0	3.0																		
200756012303	ダ	右	1300	曇	良	12:00	サラブレッド系Cー1		2007-1-23	15	荒尾	1	(定量)		6.0	1340.0	3.0	6.0	150	3.0	2.0	110	1.0	2-6	400.0	2.0	6=>2	2270.0	8.0		25684137	25684137	(2,6),8,4,5,7,1,3			8.0	190.0	4.0																		
200756012304	ダ	右	1300	曇	良	12:30	サラブレッド系Cー1		2007-1-23	15	荒尾	1	(定量)		4.0	300.0	2.0	4.0	100	2.0	7.0	140	3.0	4-7	440.0	2.0	4=>7	1190.0	4.0		78314265	7,8,3,(4,6),1,2,5	76834251			6.0	100.0	1.0																		
200756012305	ダ	右	950	曇	良	13:15	サラブレッド系Cー1		2007-1-23	15	荒尾	1	(定量)		4.0	290.0	2.0	4.0	120	2.0	7.0	100	1.0	4-7	240.0	1.0	4=>7	600.0	2.0			7,6,(4,8),3,2,1,5	47863521			8.0	180.0	5.0																		
200756012307	ダ	右	1400	曇	良	14:15	サラブレッド系Cー1		2007-1-23	15	荒尾	1	(定量)		7.0	510.0	3.0	7.0	140	2.0	3.0	370	4.0	3-7	780.0	3.0	7=>3	1170.0	4.0	3576142	3571264	3571624	3751264																							
200756012308	ダ	右	1500	曇	良	14:50	M&Kジョッキーズカ 		2007-1-23	15	荒尾	1	(定量)		11.0	210.0	2.0	11.0	100	1.0	8.0	110	2.0	8-11	160.0	1.0	11=>8	350.0	2.0	116821095734121	116289105374121	114862951273101	118429567123110			12.0	360.0	8.0	6-8	140.0	1.0															
200756031301	ダ	右	1300	晴	良	11:00	3歳		2007-3-13	17	荒尾	3	(定量)		5.0	130.0	1.0	5.0	100	1.0	4.0	480	4.0	4-5	1320.0	3.0	5=>4	1200.0	4.0		253416	251436	5-2,4,1,6=3																							
200756041801	ダ	右	1300	雨	不良	11:00	サラブレッド系3歳ー		2007-4-18	1	荒尾	2	(定量)		2.0	420.0	2.0	2.0	210	3.0	1.0	160	2.0	1-2	1030.0	5.0	2=>1	1440.0	7.0		2415367.0	2451637.0	2413576.0									1-2	260.0	3.0	2-3	930.0	10.0	1-3	1,210	13.0	1-2-3	4600.0	13.0	2=>1=>3	22290.0	57.0
