	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200753081608	ダ	右	1250	晴	良	14:45	C29		2007-8-16	8	福山	4	(馬齢)		4	510	4	4	210	4	8	400	6	7.0	170	2.0	4-8	2330	15	4=>8	3110	20	4=>8=>7	19960	98	894237561	894327561	894372561	894372561		
200753081609	ダ	右	1600	晴	良	15:20	カンナ特別 		2007-8-16	8	福山	4	(見込)		6	150	1	6	120	2	3	120	1	9.0	130	3.0	3-6	490	2	6=>3	730	2	6=>3=>9	1500	2	139824756	139284756	(1,3),9,2,8,4,7,6,5	391268475		
200753081610	ダ	右	1250	晴	良	16:00	日向杯ひまわり賞 		2007-8-16	8	福山	4	(馬齢)		1	310	2	1	140	2	8	220	3	10.0	470	9.0	1-8	820	3	1=>8	950	4	1=>8=>10	22910	71	15729341068	15293746108	1,5,9,(2,3,7),(4,10),8,6	15931087426		
200753090201	ダ	右	1250	晴	良	10:50	C26　ハ		2007-9-2	9	福山	2	(馬齢)		1	400	2	1	190	3	7	130	1				1-7	350	1	1=>7	860	4	1=>7=>2	8000	29	1273564	1273564	1723654	1725634		
200753090202	ダ	右	1250	晴	良	11:20	C26　ロ		2007-9-2	9	福山	2	(馬齢)		1	480	2	1	220	3	3	120	1				1-3	380	1	1=>3	1030	4	1=>3=>5	2750	6	5,7,3,6,4,(1,2)	5376412	5,3,6,1,(7,4),2	5316742		
200753090203	ダ	右	1250	晴	良	11:50	C26　イ		2007-9-2	9	福山	2	(馬齢)		2	160	1	2	100	1	7	100	2	4.0	140	3.0	2-7	260	1	2=>7	390	1	2=>7=>4	990	1	26734815	26374815	26734815	27364185		
200753090204	ダ	右	1250	晴	良	12:20	混合		2007-9-2	9	福山	2	(馬齢)		6	110	1	6	100	1	1	490	8	4.0	160	3.0	1-6	830	4	6=>1	910	4	6=>1=>4	3850	12	67143852	67143852	67148325	6-1,7,4,8,3,2,5		
200753093001	ダ	右	800	曇	重	10:50	混合		2007-9-30	10	福山	2	(馬齢)		5	1420	5	5	310	5	1	160	2	9.0	180	4.0	1-5	1530	8	5=>1	4310	17	5=>1=>9	11310	38			953741628	(5,9),7,1,3,4,6,2,8		
200753093002	ダ	右	1250	曇	重	11:20	C28		2007-9-30	10	福山	2	(馬齢)		8	520	3	8	480	2	6	860	4	4.0	2,820	7.0	6-8	1800	6	8=>6	3040	9	8=>6=>4	50220	99	82657413	86254713	86245713	86425371		
200753093003	ダ	右	1250	曇	重	11:50	C27		2007-9-30	10	福山	2	(馬齢)		1	380	2	1	160	2	2	200	4	8.0	230	5.0	1-2	930	5	1=>2	1650	7	1=>2=>8	9790	31	126743895	126748395	1,2,6,7,4,8,3,9-5	1,2,6,7,8,4,3,9-5		
200753093004	ダ	右	1250	曇	重	12:20	混合		2007-9-30	10	福山	2	(馬齢)		5	120	1	5	100	1	8	190	3	9.0	360	7.0	5-8	320	1	5=>8	400	1	5=>8=>9	6690	20	5,(4,8),(3,6),(7,9),2,1	584637921	5-8,4,6,(3,9),(7,2),1	5-8,(4,6),(3,9),2,(7,1)		
200753101401	ダ	右	1250	曇	良	10:50	C28		2007-10-14	11	福山	1	(馬齢)		6	270	2	6	170	3	3	470	4				3-6	500	2	6=>3	960	3	6=>3=>5	2800	7	7653412	7635412	7635412	6375421		
200753101402	ダ	右	1250	曇	良	11:20	C27		2007-10-14	11	福山	1	(馬齢)		7	310	2	7	120	1	5	120	2				5-7	370	1	7=>5	760	2	7=>5=>2	2740	10	3574261	3547261	3574261	(3,5),7,4,2,1,6		
200753101403	ダ	右	1250	曇	良	11:50	C27		2007-10-14	11	福山	1	(馬齢)		5	470	3	5	230	4	6	170	2				5-6	840	3	5=>6	1990	9	5=>6=>3	12280	53	5647231	5647231	5647321	5,(4,6),7,3,2,1		
200753101404	ダ	右	1250	曇	良	12:20	C26		2007-10-14	11	福山	1	(馬齢)		1	160	1	1	100	1	3	100	2	7.0	140	3.0	1-3	320	1	1=>3	680	1	1=>3=>7	2250	5	17384562	17384562	17384562	13784526		
200753101405	ダ	右	1250	曇	良	12:55	C26		2007-10-14	11	福山	1	(馬齢)		2	150	1	2	100	1	7	240	4	3.0	240	4.0	2-7	560	3	2=>7	760	4	2=>7=>3	4320	14	23178645	23178456	23716854	2,3,7,1,(8,6),5,4		
200753101406	ダ	右	1250	曇	良	13:30	C25		2007-10-14	11	福山	1	(馬齢)		1	150	1	1	100	1	8	250	6	7.0	150	3.0	1-8	950	5	1=>8	1040	5	1=>8=>7	5870	21	78361452	78316452	7,8,(3,1),4,5,6,2	78145326		
200753101407	ダ	右	1250	曇	良	14:05	C24		2007-10-14	11	福山	1	(馬齢)		2	260	1	2	130	1	1	350	6	3.0	670	8.0	1-2	1170	6	2=>1	1800	10	2=>1=>3	54050	118	58127346	(5,8),1,2,7,3,4,6	5,8,(1,2),7,3,4,6	(5,8,2),1,7,3,4,6		
200753101408	ダ	右	1250	曇	良	14:40	C23		2007-10-14	11	福山	1	(馬齢)		1	360	1	1	120	1	5	170	3	2.0	200	5.0	1-5	1600	9	1=>5	2420	9	1=>5=>2	12340	50	18234765	18243765	18235476	12853476		
200753101409	ダ	右	1600	曇	良	15:15	馬肥ゆる秋特別 		2007-10-14	11	福山	1	(馬齢)		4	180	1	4	110	1	6	140	2	7.0	150	4.0	4-6	690	4	4=>6	820	3	4=>6=>7	2210	4	1106475839	1106475839	4,6,7,1,10,(5,8),3,9	4671583910		
200753101410	ダ	右	1250	曇	良	15:50	しずない産米「万馬券 		2007-10-14	11	福山	1	(馬齢)		2	110	1	2	100	1	4	320	6	10.0	190	3.0	2-4	670	4	2=>4	700	4	2=>4=>10	6440	23	28349101657	28341016975	2-4,8,3,10,6,1,7,5,9	2-4,(3,8,10),1,6,7,5-9		
200753111801	ダ	右	1250	晴	良	10:50	3歳7　条件		2007-11-18	12	福山	4	(馬齢)		6	420	2	6	140	2	2	300	6	7.0	160	3.0	2-6	2200	8	6=>2	2920	13	6=>2=>7	10820	42	45278631	47258361	(4,7),2,8,6,5,3,1	(4,7),2,6,8-3,1,5		
200753112501	ダ	右	1250	晴	良	10:50	3歳7　条件		2007-11-25	13	福山	3	(馬齢)		7	350	2	7	100	1	6	100	2	9.0	150	4.0	6-7	340	1	7=>6	740	2	7=>6=>9	2600	10	2,7,9,5,8,(3,6),4,1	279586341	2,7,(5,6,9),8,3,4,1	769538412		
200753112502	ダ	右	1250	晴	良	11:20	3歳6　条件		2007-11-25	13	福山	3	(馬齢)		9	480	3	9	170	3	1	130	1	2.0	200	4.0	1-9	370	1	9=>1	730	2	9=>1=>2	3110	6	6,1,(2,8),5,9,3,7,4	612859347	6,1,(2,8),9,4,5,3,7	9,1,6,2,4,8,3,(5,7)		
200753112503	ダ	右	1250	晴	良	11:50	3歳5　条件		2007-11-25	13	福山	3	(馬齢)		3	230	1	3	120	1	5	430	7	4.0	230	4.0	3-5	5570	19	3=>5	5480	24	3=>5=>4	34410	123	35810271469	35810274169	35810724169	3,5,(7,8),10,2,4,1,9,6		
200753120901	ダ	右	1250	晴	良	10:50	C27		2007-12-9	14	福山	1	(馬齢)		8	330	2	8	100	2	9	120	4	5.0	100	1.0	8-9	440	1	8=>9	770	2	8=>9=>5	2590	13	69325841	69325814	96325841	93628541		
200753120902	ダ	右	1250	晴	良	11:20	C26		2007-12-9	14	福山	1	(馬齢)		7	230	1	7	100	1	6	310	6	9.0	140	2.0	6-7	1380	7	7=>6	1850	8	7=>6=>9	12990	52	298175364	298175634	2,9,1,8,7,6,5,(3,4)	976285134		
200753120903	ダ	右	1250	晴	良	11:50	C25		2007-12-9	14	福山	1	(馬齢)		4	130	1	4	100	1	7	270	6	3.0	140	2.0	4-7	820	4	4=>7	860	3	4=>7=>3	4390	13	14657823	14567823	1,4,6,7,5,3,(2,8)	41765328		
200753120904	ダ	右	1250	晴	良	12:20	C24		2007-12-9	14	福山	1	(馬齢)		6	830	2	6	240	4	3	410	6	9.0	120	1.0	3-6	4530	14	6=>3	8240	22	6=>3=>9	22280	64	123869457	123684957	123684957	321684597		
