	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200746040906	ダ	右	1400	曇	良	13:30	C22		2007-4-9	1	金沢	4	(馬齢)		1.0	140.0	1.0	1.0	100	1.0	5.0	120	2.0	10.0	260.0	6.0	1-5	280.0	1.0	1-5	320.0	1.0	1-5	130	1.0	1-10	430	5.0	5-10	1,100	14.0	1=>5	400.0	1.0	1=>5	420.0	1.0	1-5-10	1260.0	4.0	1=>5=>10	2380.0	7.0	4,5,7,1,(2,9),10,3,(6,8)	4,5,(1,7),2,9,10,(6,3),8	4,5,1,9,2,(10,7,3),6-8	4,5,1,9,2,(6,10),3,7-8		
200746040907	ダ	右	1500	曇	良	14:05	プロキオン特別 		2007-4-9	1	金沢	4	(馬齢)		8.0	130.0	1.0	8.0	100	1.0	10.0	130	3.0	5.0	120.0	2.0	7-8	370.0	3.0	8-10	800.0	3.0	8-10	450	3.0	5-8	920	7.0	5-10	10,190	27.0	7=>8	390.0	2.0	8=>10	1010.0	5.0	5-8-10	6440.0	18.0	8=>10=>5	27420.0	59.0	3,4,7,(1,10),6,8,9,2,5	3,4,(7,10),1,(6,8,9),2,5	(4,7,10),5,(3,1,8),9,6,2	10,7,5,4,8,1,3,(6,2),9		
200746040908	ダ	右	1400	曇	良	14:40	B23		2007-4-9	1	金沢	4	(馬齢)		2.0	3400.0	9.0	2.0	890	8.0	1.0	360	5.0	9.0	220.0	2.0	1-2	6260.0	15.0	1-2	13240.0	30.0	1-2	6,210	36.0	2-9	2,380	22.0	1-9	540	9.0	2=>1	18290.0	29.0	2=>1	17540.0	47.0	1-2-9	9090.0	33.0	2=>1=>9	336000.0	399.0	1,(2,7),9,(5,8),3,10,4,6	1,(2,7),9,(5,8),3,10,(4,6)	1,2,(7,9),8,5,3,10,6,4	12798536104		
200746040909	ダ	右	1500	曇	良	15:15	山桜特別 		2007-4-9	1	金沢	4	(馬齢)		1.0	200.0	1.0	1.0	110	1.0	3.0	230	4.0	8.0	230.0	4.0	1-3	490.0	2.0	1-3	530.0	2.0	1-3	160	1.0	1-8	180	2.0	3-8	390	7.0	1=>3	740.0	2.0	1=>3	850.0	2.0	1-3-8	610.0	1.0	1=>3=>8	2160.0	2.0	2,3,9,8,5,(1,6),10,4,7	2,3,9,(5,8),1,6,4,10,7	3,8,1,6,9,5,2,(4,10,7)	(1,3),8,6,5,9,4,7,(2,10)		
200746040910	ダ	右	1900	曇	良	15:50	ルビー特別 		2007-4-9	1	金沢	4	(馬齢)		7.0	1530.0	5.0	7.0	670	7.0	5.0	210	3.0	6.0	380.0	6.0	5-7	5740.0	13.0	5-7	4840.0	13.0	5-7	2,490	14.0	6-7	11,530	26.0	5-6	1,070	8.0	7=>5	17570.0	31.0	7=>5	11200.0	22.0	5-6-7	22220.0	36.0	7=>5=>6	196920.0	195.0	9-7,8,6,2,1,3,4,5	9-7,8,6,2,3,1,4,5	7,(8,6),2,5,1,(9,4),3	765823149		
200746042201	ダ	右	1300	曇	良	10:50	C46		2007-4-22	2	金沢	3	(馬齢)		10.0	120.0	1.0	10.0	100	1.0	11.0	150	2.0	4.0	480.0	8.0	7-8	220.0	1.0	10-11	250.0	1.0	10-11	150	1.0	4-10	1,250	13.0	4-11	1,840	20.0	7=>8	270.0	1.0	10=>11	270.0	1.0	4-10-11	3980.0	9.0	10=>11=>4	7460.0	22.0	4,12,1,(6,11),10,3,2,(5,7),9,8	4,(1,12),11,6,10,3,2,5,(7,9),8	(4,12,11),1,10,3-2,9,5,7,8	11412110329578		
200746042202	ダ	右	1300	曇	良	11:20	3歳B　3		2007-4-22	2	金沢	3	(馬齢)		10.0	120.0	1.0	10.0	100	1.0	6.0	120	2.0	4.0	130.0	4.0	6-8	190.0	1.0	6-10	200.0	1.0	6-10	140	2.0	4-10	130	1.0	4-6	180	3.0	8=>6	280.0	1.0	10=>6	290.0	2.0	4-6-10	150.0	1.0	10=>6=>4	440.0	2.0	41026315789	41062135789	4,10-6,1,2,3,5,7,8-9	(4,10)=6,1,(2,3),5,7,8-9		
200746042203	ダ	右	1400	曇	良	11:50	アザレア賞		2007-4-22	2	金沢	3	牝(定量)		5.0	270.0	2.0	5.0	100	1.0	4.0	150	4.0	10.0	120.0	2.0	4-5	2070.0	5.0	4-5	2110.0	5.0	4-5	590	9.0	5-10	130	1.0	4-10	470	5.0	5=>4	3080.0	10.0	5=>4	2510.0	8.0	4-5-10	720.0	2.0	5=>4=>10	7290.0	21.0	4,5,8,10,11,2,3,7-1,6,9	4,5,8,10,2,3,7,11-1,6,9	(4,5),8,10,7,3,11,2-(1,6),9	(4,5),8,10,3,7,2,11,1,6,9		
200746042204	ダ	右	1400	曇	良	12:20	C14		2007-4-22	2	金沢	3	(馬齢)		7.0	420.0	3.0	7.0	250	5.0	3.0	150	3.0	9.0	150.0	2.0	3-7	960.0	4.0	3-7	970.0	5.0	3-7	430	4.0	7-9	550	7.0	3-9	560	8.0	7=>3	1820.0	10.0	7=>3	2560.0	11.0	3-7-9	2530.0	10.0	7=>3=>9	14190.0	51.0	3,7,9,(2,6),1,10,(5,8),4	37926110584	(3,7)-9,6,(10,8,4),2,1,5	(3,7)-9,6,(2,10,8,4),1,5		
200746042205	ダ	右	1400	曇	良	12:55	C13		2007-4-22	2	金沢	3	(馬齢)		3.0	420.0	3.0	3.0	130	3.0	2.0	100	1.0	8.0	120.0	2.0	2-3	300.0	1.0	2-3	320.0	1.0	2-3	130	1.0	3-8	270	2.0	2-8	280	3.0	3=>2	1180.0	5.0	3=>2	970.0	4.0	2-3-8	410.0	1.0	3=>2=>8	2710.0	7.0	8,1,3,(5,6),9,4,2,10-7	8,1,3,(6,9),5,4,2,10-7	8,3,1,9,6,5,2,4,10-7	8,3,1,2,9,5,6,10,4-7		
