	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気
200953021503	ダ	右	1250	晴	稍重	11:50	C23		2009-2-15	19	福山	2	(馬齢)		7.0	160.0	1.0	7.0	100.0	1.0	1.0	110	2.0	3.0	130.0	3.0	1-7	210.0	1.0	7=>1	340.0	1.0	7=>1=>3	640.0	1.0	37186425	3,7,1,(6,8),2,4,5	3,7,1,8,(2,6),4,5	(3,7),1,2,6,8,4,5																	
200953021504	ダ	右	1250	晴	稍重	12:20	C22		2009-2-15	19	福山	2	(馬齢)		7.0	310.0	1.0	7.0	130.0	1.0	5.0	170	3.0	3.0	380.0	7.0	5-7	890.0	2.0	7=>5	1470.0	1.0	7=>5=>3	11030.0	36.0	23518647	23158467	23516874	23571684																	
200953021505	ダ	右	1250	晴	稍重	12:55	C21		2009-2-15	19	福山	2	(馬齢)		4.0	560.0	3.0	4.0	130.0	3.0	2.0	170	4.0	5.0	100.0	1.0	2-4	1580.0	6.0	4=>2	2930.0	11.0	4=>2=>5	9060.0	30.0	2,7,1,(4,6),3,5,8	27146358	24175368	(2,4),1,5,3,7,8,6																	
200953021506	ダ	右	1250	晴	稍重	13:30	C210		2009-2-15	19	福山	2	(馬齢)		2.0	820.0	4.0	2.0	410.0	6.0	3.0	270	5.0	6.0	160.0	3.0	2-3	2940.0	13.0	2=>3	6560.0	26.0	2=>3=>6	22740.0	80.0	34527168	34251768	34275618	32476581																	
200953021507	ダ	右	1250	晴	良	14:05	C29		2009-2-15	19	福山	2	(馬齢)		4.0	240.0	1.0	4.0	110.0	1.0	2.0	140	2.0	6.0	340.0	6.0	2-4	550.0	3.0	4=>2	810.0	3.0	4=>2=>6	13860.0	48.0	37128654	37125684	37126548	3,(7,2,6,4),1,8,5																	
200953021508	ダ	右	1250	晴	良	14:40	C28		2009-2-15	19	福山	2	(馬齢)		5.0	910.0	4.0	5.0	230.0	4.0	2.0	350	5.0	6.0	140.0	3.0	2-5	3730.0	13.0	5=>2	8070.0	27.0	5=>2=>6	38910.0	111.0	57836124	5,8,(3,7,6),1,2-4	5,(8,6),3,7,2,1,4	56832714																	
200953022201	ダ	右	1250	曇	重	10:50	C222		2009-2-22	19	福山	4	(馬齢)		3.0	160.0	1.0	3.0	100.0	1.0	6.0	140	2.0	8.0	190.0	5.0	3-6	270.0	1.0	3=>6	270.0	1.0	3=>6=>8	1010.0	1.0	23178654	23178564	(2,3),8,6,(1,7),5,4	(2,3),8,6,1,7,5,4																	
200953022202	ダ	右	1250	曇	重	11:20	C221		2009-2-22	19	福山	4	(馬齢)		6.0	1280.0	6.0	6.0	210.0	4.0	1.0	120	1.0	2.0	240.0	5.0	1-6	910.0	5.0	6=>1	3330.0	13.0	6=>1=>2	22340.0	68.0	1,7,(2,5,6),(3,4),8	17256438	1,(7,6),2,5,4,3,8	16275438																	
200953022203	ダ	右	1250	曇	重	11:50	C220		2009-2-22	19	福山	4	(馬齢)		7.0	360.0	2.0	7.0	230.0	4.0	8.0	180	2.0	9.0	180.0	3.0	7-8	2050.0	9.0	7=>8	5110.0	20.0	7=>8=>9	15500.0	55.0	1,8,9,2,4,5,(3,6),7	189245367	189265473	891256743																	
200953022204	ダ	右	1250	曇	重	12:20	C219		2009-2-22	19	福山	4	(馬齢)		3.0	370.0	2.0	3.0	130.0	2.0	6.0	160	4.0	7.0	100.0	1.0	3-6	340.0	1.0	3=>6	660.0	1.0	3=>6=>7	1980.0	2.0	197364285	197634285	196734852	916738542																	
