	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気
200953092709	ダ	右	1600	曇	良	15:15	ほととぎす特別 		2009-9-27	10	福山	4	(馬齢)		4.0	130.0	1.0	4.0	100.0	1.0	6.0	130	2.0				4-6	180.0	1.0	4=>6	240.0	1.0	4=>6=>5	1470.0	5.0	4567231	4567231	4,(5,6),2,3,7,1	4652371																	
200953101101	ダ	右	1250	晴	稍重	10:50	2歳3		2009-10-11	11	福山	2	(馬齢)		5.0	3010.0	7.0	5.0	280.0	5.0	1.0	120	1.0	7.0	120	2.0	1-5	1450.0	6.0	5=>1	8010.0	25.0	5=>1=>7	39190.0	116.0	(5,7),4,8,1,6,3,2	(5,7),4,8,1,(6,3),2	57143826	57143268																	
200953101102	ダ	右	1250	晴	稍重	11:20	2歳2		2009-10-11	11	福山	2	(馬齢)		7.0	230.0	1.0	7.0	140.0	2.0	4.0	260	4.0	2.0	260	5.0	4-7	760.0	3.0	7=>4	1160.0	3.0	7=>4=>2	6040.0	16.0	7,6,9,(3,4),8,1,5,2	7,6,9,3,4,8,1,(2,5)	764389215	7,6,4,3,(2,8),1,9,5																	
200953101103	ダ	右	1250	晴	稍重	11:50	2歳1		2009-10-11	11	福山	2	(馬齢)		5.0	160.0	1.0	5.0	100.0	1.0	9.0	140	3.0	6.0	100	2.0	5-9	750.0	3.0	5=>9	810.0	3.0	5=>9=>6	2210.0	7.0	1,3,6,8,9,(7,5),4,2	1,3,8,6,9,5,(7,4),2	1,(3,6,9,5),8,7,4,2	(1,6,9,5),3,8,7,4,2																	
200953101104	ダ	右	1130	晴	稍重	12:20	C6		2009-10-11	11	福山	2	(馬齢)		9.0	870.0	4.0	9.0	130.0	2.0	3.0	140	3.0	7.0	100	1.0	3-9	2090.0	8.0	9=>3	4150.0	15.0	9=>3=>7	8670.0	29.0	4,9,(3,10),7,2,1,8,5,6	49731082165	(4,9),7,3,8,10,2,6,1,5	94738621015																	
200953101105	ダ	右	1130	晴	稍重	12:55	C5		2009-10-11	11	福山	2	(馬齢)		1.0	2870.0	8.0	1.0	380.0	7.0	2.0	150	2.0	3.0	210	3.0	1-2	1220.0	6.0	1=>2	5460.0	23.0	1=>2=>3	13220.0	51.0	2,4,(1,5,8),3,10,7,9,6	24815310796	24815310976	2,4,(1,8),5,3,10,9,6,7																	
200953101106	ダ	右	1130	晴	稍重	13:30	C4		2009-10-11	11	福山	2	(馬齢)		4.0	200.0	1.0	4.0	130.0	2.0	3.0	140	3.0	6.0	540	8.0	3-4	320.0	1.0	4=>3	590.0	1.0	4=>3=>6	2340.0	7.0	41062379851	41062379851	41062379851	4,6,(2,10,3),7,9,8,5,1																	
200953101107	ダ	右	1600	晴	稍重	14:05	3歳2　条件		2009-10-11	11	福山	2	(馬齢)		9.0	2160.0	4.0	9.0	230.0	4.0	1.0	150	3.0	7.0	120	1.0	1-9	2390.0	9.0	9=>1	6800.0	21.0	9=>1=>7	15370.0	48.0	56981274103	56981274103	9,8,(5,6),1,2,7,4,10-3	9,8,1,2,7,6,5,4,10-3																	
200953101108	ダ	右	1600	晴	稍重	14:40	3歳1　条件		2009-10-11	11	福山	2	(馬齢)		6.0	490.0	2.0	6.0	190.0	2.0	1.0	210	4.0	2.0	230	5.0	1-6	1140.0	5.0	6=>1	4010.0	17.0	6=>1=>2	13380.0	45.0	8,9,10,5,(7,2),1,3,6,4	89105723164	10,(8,9,6),(5,7),1,3,2,4	10612978534																	
200953101109	ダ	右	1600	晴	稍重	15:15	栗拾い特別 		2009-10-11	11	福山	2	(馬齢)		2.0	280.0	2.0	2.0	130.0	3.0	1.0	100	1.0	4.0	330	5.0	1-2	170.0	1.0	2=>1	590.0	2.0	2=>1=>4	4750.0	11.0	12473685	12478365	12487635	(1,2)-4,8,7,6,5,3																	
200953101801	ダ	右	1250	晴	良	10:50	C4		2009-10-18	11	福山	4	(馬齢)		7.0	1160.0	4.0	7.0	300.0	6.0	6.0	100	1.0	9.0	1,390	10.0	6-7	1430.0	6.0	7=>6	3850.0	15.0	7=>6=>9	293040.0	337.0	1,4,10,(2,5),7,6,3,9,8	14102567398	(4,10),1,2,7,6,5,3,9,8	10472691385																	
200953101802	ダ	右	1250	晴	良	11:20	C3		2009-10-18	11	福山	4	(馬齢)		8.0	560.0	2.0	8.0	130.0	2.0	2.0	100	1.0	4.0	1,190	9.0	2-8	160.0	1.0	8=>2	570.0	2.0	8=>2=>4	11250.0	31.0	74285136109	74825136109	7,4,8,(2,5),1,3,6,10,9	(7,4),8,2,1,5,3,6,10,9																	
200953101803	ダ	右	1130	晴	良	11:50	3歳6　条件		2009-10-18	11	福山	4	(馬齢)		8.0	570.0	3.0	8.0	270.0	6.0	6.0	140	3.0	5.0	110	1.0	6-8	1180.0	7.0	8=>6	3110.0	15.0	8=>6=>5	5820.0	19.0	7,8,(2,6),9,1,5,3,4	782691534	786529134	8,6,7,5,2,9,(1,3),4																	
200953101804	ダ	右	1250	晴	良	12:20	3歳5　条件		2009-10-18	11	福山	4	(馬齢)		8.0	130.0	1.0	8.0	100.0	1.0	7.0	150	4.0	9.0	120	2.0	7-8	520.0	3.0	8=>7	850.0	3.0	8=>7=>9	1830.0	4.0	9,5,8,7,2,6,(1,3),4	9,8,5,7-2,6,1,3,4	9,8,(5,7),2,3,6,4,1	(9,8),7,5,2,3,6,4,1																	
200953101805	ダ	右	1250	晴	良	12:55	C2		2009-10-18	11	福山	4	(馬齢)		8.0	410.0	2.0	8.0	100.0	2.0	6.0	100	1.0	7.0	160	4.0	6-8	230.0	1.0	8=>6	780.0	3.0	8=>6=>7	4200.0	17.0	986751342	9,8,6,7,5,1-3,4,2	867951342	8,6,7,5,9,1,3,4-2																	
200953101806	ダ	右	1250	晴	良	13:30	C1		2009-10-18	11	福山	4	(馬齢)		6.0	110.0	1.0	6.0	100.0	1.0	2.0	140	3.0	1.0	170	4.0	2-6	200.0	1.0	6=>2	250.0	1.0	6=>2=>1	980.0	3.0	8,9,4,10,3,6,1,5,2-7	8,9,10,4,3,6,1,5,2-7	8,9,(10,6),3,4,1,2,5-7	6,8,9,10,2,3,1,4,5-7																	
200953101807	ダ	右	1250	晴	良	14:05	B6		2009-10-18	11	福山	4	(馬齢)		8.0	260.0	2.0	8.0	100.0	1.0	1.0	170	4.0	2.0	110	2.0	1-8	1390.0	6.0	8=>1	2490.0	10.0	8=>1=>2	5810.0	19.0	1,8,2,4,9,(6,7),3,5	182647935	182679435	182673945																	
200953101808	ダ	右	1250	晴	良	14:40	B5		2009-10-18	11	福山	4	(規定)		8.0	260.0	1.0	8.0	120.0	3.0	5.0	100	1.0	3.0	220	4.0	5-8	420.0	1.0	8=>5	600.0	1.0	8=>5=>3	2650.0	5.0	(2,5),8,(4,9),3,6,(1,7)	258493617	528934671	5,8,(2,3),9,4,6,7,1																	
200953101809	ダ	右	1600	晴	良	15:15	錦秋特別 		2009-10-18	11	福山	4	(馬齢)		1.0	130.0	1.0	1.0	100.0	2.0	3.0	170	4.0	6.0	100	1.0	1-3	840.0	2.0	1=>3	1070.0	3.0	1=>3=>6	1610.0	6.0	637281459	632781459	632481759	6,3,(2,4),1,8,7,5,9																	
200953102601	ダ	右	1250	曇	稍重	10:50	2歳5		2009-10-26	11	福山	6	(馬齢)		3.0	140.0	1.0	3.0	100.0	1.0	2.0	300	7.0	8.0	140	2.0	2-3	770.0	4.0	3=>2	910.0	4.0	3=>2=>8	5160.0	17.0	16827345	16827345	(1,8),3,2,7,6,4,5	83127645																	
200953102602	ダ	右	1250	曇	稍重	11:20	2歳4		2009-10-26	11	福山	6	(馬齢)		4.0	670.0	2.0	4.0	140.0	3.0	3.0	100	1.0	7.0	110	2.0	3-4	370.0	2.0	4=>3	1260.0	5.0	4=>3=>7	2560.0	7.0	149763528	149673528	413976528	437196528																	
200953102603	ダ	右	1250	曇	稍重	11:50	2歳3		2009-10-26	11	福山	6	(馬齢)		2.0	400.0	2.0	2.0	100.0	1.0	3.0	120	2.0	6.0	200	4.0	2-3	250.0	1.0	2=>3	490.0	2.0	2=>3=>6	3490.0	9.0	1,3,8,(2,9),4,7,5,6	1,3,8,(2,9),4,5,7,6	(1,3),(2,9),8,(7,6),4,5	3,1,2,9,8,(7,6),4,5																	
200953102604	ダ	右	1130	曇	稍重	12:20	C　11		2009-10-26	11	福山	6	(馬齢)		8.0	200.0	1.0	8.0	110.0	2.0	9.0	170	4.0	3.0	100	1.0	8-9	550.0	2.0	8=>9	860.0	2.0	8=>9=>3	1670.0	2.0	8,(1,4,9),5,3,6,7,2	891453672	895163427	891536427																	
200953102605	ダ	右	1250	曇	稍重	12:55	C　10		2009-10-26	11	福山	6	(馬齢)		10.0	700.0	4.0	10.0	140.0	2.0	2.0	650	8.0	6.0	100	1.0	2-10	11110.0	22.0	10=>2	18430.0	36.0	10=>2=>6	114270.0	195.0	6,10,7,2,4,5,9,(3,8),1	6,10,7,2,4,5,9,(3,8),1	6,10,2,7,(5,9),4,8,3,1	6,10,2,5,(7,9),(3,4,8),1																	
200953102606	ダ	右	1250	曇	稍重	13:30	C9		2009-10-26	11	福山	6	(馬齢)		4.0	180.0	1.0	4.0	130.0	2.0	5.0	390	7.0	2.0	100	1.0	4-5	3890.0	12.0	4=>5	4160.0	16.0	4=>5=>2	20400.0	61.0	9,10,1,8,4,7,2,5,(3,6)	91081427563	9,10,8,1,4,2,5,7,6-3	9,8,4,1,10,2,5,7,6-3																	
200953102607	ダ	右	1250	曇	稍重	14:05	3歳2　条件		2009-10-26	11	福山	6	(馬齢)		7.0	480.0	3.0	7.0	270.0	6.0	6.0	1,000	9.0	5.0	140	1.0	6-7	9650.0	29.0	7=>6	18830.0	41.0	7=>6=>5	156790.0	290.0	6,10,3,8,9,2,5,(4,7),1	61038295741	6,10,3,8,(5,9),7,2,4,1	61037859421																	
200953102608	ダ	右	1250	曇	稍重	14:40	3歳1　条件		2009-10-26	11	福山	6	(馬齢)		10.0	420.0	3.0	10.0	160.0	2.0	7.0	180	3.0	6.0	210	5.0	7-10	420.0	1.0	10=>7	650.0	1.0	10=>7=>6	2120.0	1.0	5,8,6,3,(4,2),1,10,9,7	58634219107	58614931027	58619410273																	
200953102609	ダ	右	1600	曇	稍重	15:15	11月3日は競馬の祭 		2009-10-26	11	福山	6	(馬齢)		6.0	250.0	2.0	6.0	100.0	2.0	8.0	100	1.0	3.0	130	3.0	6-8	180.0	1.0	6=>8	450.0	2.0	6=>8=>3	1690.0	5.0	3,6,1,8,(2,5,9),7,4,10	36185927410	36819524710	36819457210																	
200953102610	ダ	右	1250	曇	稍重	15:55	福山・高知交流	G	2009-10-26	11	福山	6	(馬齢)		9.0	110.0	1.0	9.0	100.0	1.0	3.0	110	2.0	2.0	380	6.0	3-9	150.0	1.0	9=>3	170.0	1.0	9=>3=>2	2030.0	5.0	2,6,7,(3,10),4,9,1,8,5	26731049185	26793104185	27936104185																	
200953110101	ダ	右	1250	曇	良	10:50	C4		2009-11-1	12	福山	1	(馬齢)		9.0	390.0	2.0	9.0	120.0	2.0	8.0	170	3.0	5.0	270	5.0	8-9	880.0	5.0	9=>8	1620.0	8.0	9=>8=>5	3670.0	14.0	(4,6,8),(1,9),5,(2,3),7,10	4,6,8,(1,9),(2,5,3),7,10	8,4,9,3,6,1,(2,5,7),10	8,4,9,(1,3),(2,5,7),6,10																	
200953110102	ダ	右	1250	曇	良	11:20	C3		2009-11-1	12	福山	1	(馬齢)		9.0	740.0	3.0	9.0	190.0	3.0	4.0	110	1.0	3.0	970	9.0	4-9	440.0	2.0	9=>4	1320.0	6.0	9=>4=>3	46000.0	74.0	3,4,(2,9),7,8,5,10,1,6	34927851016	34972851016	34975810216																	
200953110103	ダ	右	1130	曇	良	11:50	C2		2009-11-1	12	福山	1	(馬齢)		7.0	190.0	1.0	7.0	140.0	2.0	6.0	360	4.0	3.0	820	9.0	6-7	1080.0	4.0	7=>6	1470.0	6.0	7=>6=>3	15440.0	42.0	3,7,9,10,5,6,8,4,(1,2)	37951068421	7,(3,9),10,5,(4,6),8,2,1	7,(3,9),10,5,6,4,8,1,2																	
200953110104	ダ	右	1250	雨	良	12:20	C1		2009-11-1	12	福山	1	(馬齢)		3.0	250.0	2.0	3.0	120.0	2.0	6.0	100	1.0	7.0	130	3.0	3-6	460.0	2.0	3=>6	920.0	4.0	3=>6=>7	1850.0	3.0	3,7,8,2,(5,6),10,1,4,9	37826510149	3,7,6,8,5,(1,10),2,4,9	3,7,6,5,(1,8),10,4,9,2																	
200953110105	ダ	右	1250	雨	良	12:55	3歳3　条件		2009-11-1	12	福山	1	(馬齢)		8.0	100.0	1.0	8.0	100.0	1.0	5.0	180	3.0	7.0	190	4.0	5-8	290.0	2.0	8=>5	250.0	1.0	8=>5=>7	1220.0	3.0	359827416	352987416	352987416	532879461																	
200953110106	ダ	右	1600	雨	稍重	13:30	3歳2　条件		2009-11-1	12	福山	1	(馬齢)		2.0	1290.0	7.0	2.0	310.0	6.0	5.0	130	2.0	3.0	130	1.0	2-5	5400.0	21.0	2=>5	13730.0	42.0	2=>5=>3	43570.0	144.0	237586419	2,3,(5,7),8,(4,6),1,9	2,3,5,7,8,4,1,6-9	2,3,5,4,7,8,1,6-9																	
200953110107	ダ	右	1600	雨	稍重	14:05	福山・高知連携対潮楼		2009-11-1	12	福山	1	(馬齢)		5.0	100.0	1.0	5.0	100.0	1.0	3.0	140	3.0	2.0	140	4.0	3-5	240.0	1.0	5=>3	240.0	1.0	5=>3=>2	580.0	1.0	9,7,(1,5),4,2,8,3,6	975142386	759412386	5,7,4,(9,1,2),3,8,6																	
200953110108	ダ	右	1600	雨	重	14:40	弁天島特別 		2009-11-1	12	福山	1	(馬齢)		8.0	180.0	1.0	8.0	110.0	1.0	2.0	120	2.0	9.0	360	7.0	2-8	350.0	2.0	8=>2	440.0	2.0	8=>2=>9	3060.0	9.0	3,8,10,2,9,6,(1,7),5,4	38102961754	3,8,2,9,(1,6),10,5,7,4	83291657410																	
200953110109	ダ	右	1600	雨	重	15:15	磯菊特別 		2009-11-1	12	福山	1	(馬齢)		5.0	10260.0	7.0	5.0	590.0	5.0	10.0	1,040	9.0	2.0	110	1.0	5-10	59200.0	32.0	5=>10	311710.0	73.0	特	70.0		51039261748	5,(3,10),9,2,6,1,7,4,8	5,3,10,2,(9,7),1,6,4,8	51023791648																	
200953111401	ダ	右	1250	晴	不良	10:50	2歳5		2009-11-14	12	福山	3	(馬齢)		6.0	140.0	1.0	6.0	100.0	2.0	2.0	100	1.0	8.0	300	7.0	2-6	270.0	1.0	6=>2	350.0	1.0	6=>2=>8	4020.0	12.0	78261354	78621534	(8,6),7,2-1,4,5,3	6,8,2,7=1,4,5,3																	
200953111402	ダ	右	1250	晴	不良	11:20	2歳4		2009-11-14	12	福山	3	(馬齢)		6.0	110.0	1.0	6.0	110.0	1.0	4.0	190	4.0	8.0	160	3.0	4-6	420.0	2.0	6=>4	420.0	2.0	6=>4=>8	1150.0	3.0	7,6,8,4,5,1,(2,3)	78641532	(7,8),6,4,5,1,3,2	8,(7,6),4,1,5,2,3																	
200953111403	ダ	右	1250	晴	不良	11:50	2歳3		2009-11-14	12	福山	3	(馬齢)		8.0	180.0	2.0	8.0	110.0	2.0	3.0	100	1.0	5.0	110	3.0	3-8	400.0	2.0	8=>3	500.0	2.0	8=>3=>5	2490.0	8.0	189635274	1,8,9,6,(3,5),2,7,4	(1,8),9,3,6,(2,5),7,4	832165974																	
200953111404	ダ	右	1250	晴	不良	12:20	2歳2		2009-11-14	12	福山	3	(馬齢)		4.0	3950.0	4.0	4.0	210.0	4.0	1.0	110	1.0	6.0	320	5.0	1-4	740.0	4.0	4=>1	2850.0	12.0	4=>1=>6	96730.0	124.0	46175823	46175823	4,(1,6),7,5,2,3,8	4,(1,6),7,5,2,3,8																	
200953111405	ダ	右	1250	晴	不良	12:55	2歳1		2009-11-14	12	福山	3	(規定)		9.0	110.0	1.0	9.0	100.0	1.0	2.0	110	2.0	8.0	120	3.0	2-9	140.0	1.0	9=>2	130.0	1.0	9=>2=>8	350.0	1.0	378126945	378129645	(7,8),2,(1,9),6,3,5,4	(7,8,2),9,1,6,5,4,3																	
200953112201	ダ	右	1250	曇	稍重	10:50	2歳6		2009-11-22	12	福山	5	(馬齢)		3.0	280.0	2.0	3.0	110.0	3.0	5.0	100	1.0	7.0	110	2.0	3-5	230.0	1.0	3=>5	700.0	3.0	3=>5=>7	1350.0	3.0	7,3,5,(4,6),8,2,1	7,3,5,6,4,(2,8),1	(7,3),5-6,2,4,8,1	(7,3),5,(6,2)-4,8,1																	
200953112202	ダ	右	1250	曇	稍重	11:20	2歳5		2009-11-22	12	福山	5	(馬齢)		7.0	250.0	1.0	7.0	170.0	2.0	6.0	180	3.0	2.0	360	6.0	6-7	450.0	2.0	7=>6	580.0	2.0	7=>6=>2	5920.0	22.0	12738564	1,2,7,3,(5,8),6,4	(1,2),7,5,8,6,3,4	(2,7),1,5,(8,6),3,4																	
200953112203	ダ	右	1250	曇	稍重	11:50	2歳4		2009-11-22	12	福山	5	(馬齢)		2.0	540.0	2.0	2.0	110.0	2.0	5.0	100	1.0	8.0	110	3.0	2-5	250.0	2.0	2=>5	910.0	3.0	2=>5=>8	1660.0	7.0	5872416	5872416	(5,8),2,7,1,4,6	(5,8),2,7,1,(4,6)																	
200953112204	ダ	右	1130	曇	稍重	12:20	C4		2009-11-22	12	福山	5	(馬齢)		7.0	120.0	1.0	7.0	100.0	1.0	6.0	310	6.0	2.0	120	2.0	6-7	3220.0	8.0	7=>6	4410.0	11.0	7=>6=>2	7010.0	21.0	8,7,(4,6),5,1,3,2	8,7,(4,6),5,1,3,2	(8,7),6,4,5,2,1,3	78645213																	
200953112205	ダ	右	1250	曇	稍重	12:55	C3		2009-11-22	12	福山	5	(馬齢)		7.0	690.0	3.0	7.0	130.0	3.0	1.0	100	1.0	2.0	150	4.0	1-7	330.0	2.0	7=>1	1120.0	4.0	7=>1=>2	5620.0	18.0	87641532	87461532	(8,7),1,(4,5),3,(6,2)	7,8,1,(4,5),3,2-6																	
200953112206	ダ	右	1250	曇	稍重	13:30	C2		2009-11-22	12	福山	5	(馬齢)		4.0	110.0	1.0	4.0	100.0	1.0	7.0	200	4.0	2.0	140	3.0	4-7	720.0	3.0	4=>7	930.0	3.0	4=>7=>2	2180.0	6.0	6,7,4,(2,9),3,8,1,5	674923815	7,4,(6,9),1,2,8,3,5	7,4,1,9,(6,8),2,3,5																	
200953112207	ダ	右	1250	雨	稍重	14:05	C1		2009-11-22	12	福山	5	(馬齢)		8.0	4060.0	8.0	8.0	400.0	7.0	5.0	110	1.0	9.0	160	3.0	5-8	2000.0	7.0	8=>5	10990.0	25.0	8=>5=>9	80070.0	143.0	259713864	259713864	5,9,(3,7,8),6,1,4,2	5,9,8,3,7,6,1,4=2																	
200953112208	ダ	右	1600	雨	稍重	14:40	かえで特別 		2009-11-22	12	福山	5	(馬齢)		4.0	110.0	1.0	4.0	110.0	2.0	9.0	110	1.0	1.0	160	4.0	4-9	250.0	1.0	4=>9	370.0	1.0	4=>9=>1	1570.0	3.0	4,9,3,2,5,(1,6),8,7	4,9,(3,2),5,1,6,8,7	4,9,(3,2),(1,5),6,7,8	4,9,(3,1),2,5,7,6,8																	
200953112301	ダ	右	1250	曇	重	10:50	2歳3		2009-11-23	12	福山	6	(馬齢)		2.0	270.0	2.0	2.0	130.0	2.0	4.0	120	1.0				2-4	280.0	1.0	2=>4	610.0	2.0	2=>4=>5	1330.0	3.0	7,2,(1,4),5,3,6	7,2,(1,4),5,3,6	(2,4),(7,5),1,3,6	(2,4),(7,5),1,6,3																	
200953112302	ダ	右	1250	晴	重	11:20	2歳2		2009-11-23	12	福山	6	(馬齢)		7.0	180.0	1.0	7.0	110.0	1.0	3.0	260	4.0				3-7	530.0	2.0	7=>3	660.0	2.0	7=>3=>4	1750.0	2.0	1,4,5,3,6,(2,7)	1,4,5,3,(7,6),2	1,4,(3,5),6,7,2	1,4,3,(7,5),2,6																	
200953112303	ダ	右	1250	晴	重	11:50	2歳1		2009-11-23	12	福山	6	(馬齢)		2.0	140.0	1.0	2.0	100.0	1.0	6.0	140	2.0				2-6	120.0	1.0	2=>6	160.0	1.0	2=>6=>3	270.0	1.0	3,6,(1,2),(4,7)	361247	(3,6),2,1,(4,7)	(3,6),2,1,7,4																	
200953112801	ダ	右	1250	晴	重	10:50	2歳6		2009-11-28	13	福山	1	(馬齢)		4.0	110.0	1.0	4.0	100.0	1.0	1.0	130	3.0	6.0	120	2.0	1-4	300.0	1.0	4=>1	380.0	1.0	4=>1=>6	880.0	1.0	68194532	6,(1,8),(9,4),5,3,2	48619532	4,(6,1),8,9,5,3,2																	
200953112901	ダ	右	1600	曇	稍重	10:50	2歳3		2009-11-29	13	福山	2	(馬齢)		7.0	160.0	1.0	7.0	120.0	1.0	2.0	390	4.0				2-7	420.0	2.0	7=>2	690.0	2.0	7=>2=>3	1460.0	3.0	4251736	4,2,5,(1,7),3,6	(2,7),5,(4,3)-1,6	(2,7)-5,3,4=(1,6)																	
200953112902	ダ	右	1600	曇	稍重	11:20	2歳2		2009-11-29	13	福山	2	(馬齢)		3.0	240.0	2.0	3.0	1,270	2.0	7.0	7,590	5.0	6.0	7,590	5.0	3-7	600.0	3.0	3=>7	920.0	5.0	3=>7=>6	3770.0	13.0	(4,6),7,5,1,2,8,3	(4,6),7,5,1,2,8,3	(6,7),(4,5),3,2,1,8	6,7,(5,3),4,2,1,8																	
200953112903	ダ	右	1600	曇	稍重	11:50	2歳1		2009-11-29	13	福山	2	(規定)		3.0	100.0	1.0	3.0	100	2.0	1.0	100	3.0	8.0	100	1.0	1-3	140.0	1.0	3=>1	160.0	1.0	3=>1=>8	370.0	1.0	4,7,8,(3,6),1,5,2	4,7,8,3,(1,6),5,2	38715462	38175462																	
200953120501	ダ	右	1250	晴	稍重	10:50	C6		2009-12-5	13	福山	3	(馬齢)		6.0	100.0	1.0	6.0	100	1.0	7.0	120	2.0	4.0	290	5.0	6-7	160.0	1.0	6=>7	210.0	1.0	6=>7=>4	1620.0	4.0	6,(9,10),3,8,5,1,2,7,4	6,(9,10),3,8,5,2,1,7,4	6,(9,10),3,8,7,4,5,2-1	6,9,10,(3,8,7),4,5,2=1																	
200953120502	ダ	右	1250	晴	稍重	11:20	C5		2009-12-5	13	福山	3	(馬齢)		8.0	730.0	3.0	8.0	350	3.0	7.0	1,610	10.0	5.0	1,170	9.0	7-8	5380.0	11.0	8=>7	14530.0	32.0	8=>7=>5	152860.0	192.0	4,5,7,10,6,(1,8),3,2,9	4,(5,7),10,6,(1,8),3,2,9	(4,5,7),10,(6,8),2,1,(9,3)	(4,5,7),10,8,6,2,1,9,3																	
200953120503	ダ	右	1130	晴	稍重	11:50	C4		2009-12-5	13	福山	3	(馬齢)		4.0	130.0	1.0	4.0	100	1.0	8.0	150	3.0	6.0	110	2.0	4-8	720.0	2.0	4=>8	940.0	3.0	4=>8=>6	1320.0	3.0	4,6,1,(8,9),2,3,10,5,7	4,6,(1,9),8,2,(3,10),5,7	4,6,(1,9),8,2,3,10,5,7	4,1,6,(8,9),2,3,5,10,7																	
200953120504	ダ	右	1250	晴	稍重	12:20	C3		2009-12-5	13	福山	3	(馬齢)		10.0	210.0	2.0	10.0	110	2.0	1.0	110	1.0	9.0	170	4.0	1-10	180.0	1.0	10=>1	300.0	1.0	10=>1=>9	920.0	1.0	1,4,(5,9),10,3,7,6,2,8	(1,4),9,5,10,3,7,6,2,8	(1,4),10,9,3,7,5,6,(2,8)	1,10,4,9,3,7,5,(6,8),2																	
200953120505	ダ	右	1250	晴	稍重	12:55	C2		2009-12-5	13	福山	3	(馬齢)		10.0	1170.0	2.0	10.0	250	5.0	5.0	210	4.0	7.0	110	1.0	5-10	3050.0	10.0	10=>5	12970.0	22.0	10=>5=>7	27020.0	65.0	7,10,1,(2,9),4,5,3,8,6	7,10,1,9,2,(4,5),3,8,6	7,10,1,5,9,2,(4,8),3,6	7,10,1,5,(2,9),4,8,3,6																	
200953120506	ダ	右	1250	雨	稍重	13:30	C1		2009-12-5	13	福山	3	(馬齢)		7.0	140.0	1.0	7.0	160	2.0	10.0	310	4.0	2.0	650	7.0	7-10	1260.0	5.0	7=>10	1380.0	5.0	7=>10=>2	21550.0	54.0	(1,2),4,6,3,9,8,7,10,5	1,2,4,3,6,(8,9),7,5,10	2,(4,7),9,6,3,(5,10),8,1	7,2,4,9,3,(6,10),5-8=1																	
200953120507	ダ	右	1600	曇	稍重	14:05	B6		2009-12-5	13	福山	3	(馬齢)		1.0	280.0	2.0	1.0	160	4.0	4.0	250	5.0	9.0	110	1.0	1-4	2960.0	7.0	1=>4	2960.0	8.0	1=>4=>9	6530.0	20.0	1,4,8,3,(10,9),(2,6),7,5	14839102675	1,4,(8,9),3,10,(2,6),7,5	1,4,8,(3,9),10,2,6,7,5																	
200953120508	ダ	右	1600	曇	稍重	14:40	ミルキーホースカップ		2009-12-5	13	福山	3	(馬齢)		1.0	2580.0	7.0	1.0	570	5.0	5.0	560	4.0	6.0	240	2.0	1-5	8870.0	20.0	1=>5	25010.0	37.0	1=>5=>6	88710.0	142.0	2,6,7,8,(1,10),3,(4,5)=9	2,6,7,8,10,1,3,4,5=9	2,6,(7,8),1,10,5,4,3=9	6,2,1,8,(10,5),7,4,3-9																	
200953120509	ダ	右	1600	曇	稍重	15:15	サフラン特別 		2009-12-5	13	福山	3	(馬齢)		7.0	1090.0	4.0	7.0	190	4.0	2.0	100	1.0	6.0	100	2.0	2-7	3190.0	10.0	7=>2	6850.0	18.0	7=>2=>6	14050.0	42.0	24375618	2,4,(3,7),6,5,(1,8)	2,(4,7),3,6,5,8,1	2,(3,4,7),6,5,8,1																	
200953121201	ダ	右	1250	晴	不良	10:50	2歳3		2009-12-12	13	福山	5	(馬齢)		2.0	120.0	1.0	2.0	100	1.0	7.0	370	3.0				2-7	550.0	2.0	2=>7	850.0	3.0	2=>7=>1	1230.0	4.0	1673254	1673245	1,(7,2),6,3,4=5	1,2,7,6,3,4=5																	
200953121202	ダ	右	1250	曇	不良	11:20	2歳2		2009-12-12	13	福山	5	(馬齢)		7.0	130.0	1.0	7.0	100	1.0	5.0	180	4.0	6.0	420	7.0	5-7	280.0	1.0	7=>5	310.0	1.0	7=>5=>6	1100.0	1.0	45723816	4,5,7,2,(3,8),1,6	(4,5),7,3,2,8,6,1	(5,7),4,3,(2,6),8,1																	
200953121203	ダ	右	1250	曇	不良	11:50	2歳1		2009-12-12	13	福山	5	(馬齢)		6.0	100.0	1.0	6.0	110	2.0	4.0	660	4.0	7.0	660	4.0	4-6	900.0	4.0	6=>4	990.0	4.0	6=>4=>7	5440.0	17.0	(5,7),8,1,6,3,4,2	(5,7),8,1,6,3,4,2	6,7,4,8,(5,1,3),2	64718325																	
