	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気
200954061302	ダ	右	1300	曇	重	13:40	Eニ		2009-6-13	5	高知	1	(馬齢)		5	110	1	4-5	120	1	4-5	120	2	2-5	100	1	2-4	180	3	5=>4	140	1.0	2-4-5	170	1	5=>4=>2	300	1	6,5,3,(1,4,7),2	6513742	6523147	5462371											
200954061303	ダ	右	1300	曇	重	14:10	D5		2009-6-13	5	高知	1	(馬齢)		6	190	1	5-6	160	1	5-6	120	1	4-6	680	10	4-5	750	11	6=>5	290	1.0	4-5-6	1040	4	6=>5=>4	1590	5	1345627	1365247	3612547	6352417											
200954061304	ダ	右	1300	曇	重	14:40	3歳2		2009-6-13	5	高知	1	(馬齢)		5	180	1	5-6	220	1	5-6	130	1	5-9	290	5	6-9	200	3	5=>6	300	1.0	5-6-9	500	2	5=>6=>9	880	2	9,8,(1,4),(7,5),6,2,3	914857623	945681723	569427381											
200954062601	ダ	右	1300	晴	重	13:10	3歳3		2009-6-26	5	高知	3	(馬齢)		3	370	2	3-6	220	1	3-6	140	1	3-4	320	5	4-6	320	6	3=>6	500	2.0	3-4-6	650	3	3=>6=>4	4880	15	7,6,(2,5),3,4,1	7,(2,6),(5,3),1,4	7,6,(2,3),(5,1),4	3672145											
200954062602	ダ	右	1300	晴	重	13:40	3歳2		2009-6-26	5	高知	3	(馬齢)		3	130	1	3-7	320	2	3-7	140	1	3-5	540	6	5-7	1,070	11	3=>7	330	1.0	3-5-7	1460	5	3=>7=>5	2360	8	3725641	3725461	3752461	3752461											
200954062603	ダ	右	1300	晴	稍重	14:10	D7		2009-6-26	5	高知	3	(馬齢)		3	260	2	3-6	110	1	3-6	110	1	1-3	270	6	1-6	230	3	3=>6	450	2.0	1-3-6	230	1	3=>6=>1	610	2	1346257	1346257	1,3,(6,5),(2,4),7	1,(6,3),(4,5),2,7											
200954062604	ダ	右	1300	晴	稍重	14:40	D6		2009-6-26	5	高知	3	(馬齢)		7	5110	6	1-7	7560	10	1-7	1,000	8	4-7	630	6	1-4	140	2	7=>1	21450	22.0	1-4-7	1540	4	7=>1=>4	29560	57	4576213	4576123	4,5,7,(6,1),(2,3)	(4,5),(7,1),(6,2),3											
200954062605	ダ	右	1400	晴	稍重	15:10	D5		2009-6-26	5	高知	3	(馬齢)		8	140	1	7-8	210	1	7-8	120	1	1-8	270	4	1-7	520	8	8=>7	230	1.0	1-7-8	800	2	8=>7=>1	1280	5	57381462	57381462	57813462	75814632											
200954062606	ダ	右	1300	晴	稍重	15:40	D4		2009-6-26	5	高知	3	(馬齢)		7	110	1	6-7	150	1	6-7	120	1	5-7	180	3	5-6	370	6	7=>6	150	1.0	5-6-7	580	2	7=>6=>5	750	3	36175842	3,6,(1,7),5,4,8,2	(3,6,7),1,5,4,8,2	76351842											
200954062607	ダ	右	1300	晴	稍重	16:10	D3		2009-6-26	5	高知	3	(馬齢)		7	500	4	2-7	250	1	2-7	120	1	7-8	430	5	2-8	440	7	7=>2	580	2.0	2-7-8	570	3	7=>2=>8	2070	6	68135724	68723154	78625134	72856341											
