	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200104010301	ダ	左	1700	晴	良	10:00	3歳未勝利		2001-7-21	1	新潟	3	3歳未勝利	[指](馬齢)	3	230	1	3	120	1	13	150	3	11.0	1,490	11.0	3-8	440	1	3-13	580.0	1.0	3-13	270	1.0	3-11	2,970	31.0	11-13	4,390	38.0					7.1 - 11.1 - 12.6 - 14.0 - 13.0 - 12.5 - 12.9 - 12.8 - 14.0	7.1 - 18.2 - 30.8 - 44.8 - 57.8 - 70.3 - 83.2 - 96.0 - 110.0 (7.1-7.1)									
200104010302	ダ	左	1200	晴	良	10:25	3歳未勝利		2001-7-21	1	新潟	3	3歳未勝利	[指](馬齢)	13	2960	6	13	640	6	8	1,200	9	10.0	890	8.0	5-8	7550	13	8-13	76680.0	56.0	8-13	12,820	57.0	10-13	9,170	51.0	8-10	12,460	56.0					12.4 - 11.2 - 12.2 - 12.7 - 12.5 - 13.8	12.4 - 23.6 - 35.8 - 48.5 - 61.0 - 74.8 (12.4-12.4)									
200104010303	芝	左	1400	晴	良	10:50	3歳未勝利		2001-7-21	1	新潟	3	3歳未勝利	牝[指](馬齢)	6	3660	9	6	720	8	10	160	2	3.0	130	1.0	3-5	1900	11	6-10	8420.0	27.0	6-10	2,470	28.0	3-6	1,970	23.0	3-10	350	1.0					12.3 - 10.4 - 11.2 - 11.7 - 11.7 - 12.1 - 12.4	12.3 - 22.7 - 33.9 - 45.6 - 57.3 - 69.4 - 81.8 (12.3-12.3)									
200104010304	芝	左	2000	晴	良	11:20	3歳未勝利		2001-7-21	1	新潟	3	3歳未勝利	(混)[指](馬齢)	7	3690	9	7	1,030	10	8	250	5	3.0	150	1.0	5-5	9660	17	7-8	10450.0	32.0	7-8	2,460	31.0	3-7	2,100	25.0	3-8	580	3.0					12.8 - 11.4 - 12.2 - 12.3 - 13.0 - 12.7 - 12.2 - 11.6 - 10.3 - 12.2	12.8 - 24.2 - 36.4 - 48.7 - 61.7 - 74.4 - 86.6 - 98.2 - 108.5 - 120.7 (12.8-12.8)									
200104010305	芝	直	1000	晴	良	11:50	3歳未勝利		2001-7-21	1	新潟	3	3歳未勝利	[指](馬齢)	14	170	1	14	110	1	2	300	5	17.0	380	6.0	1-7	320	1	2-14	1180.0	4.0	2-14	600	3.0	14-17	780	5.0	2-17	2,750	26.0					12.3 - 10.4 - 11.3 - 9.8 - 11.4	12.3 - 22.7 - 34.0 - 43.8 - 55.2 (12.3-12.3)									
200104010306	芝	左	1200	晴	良	12:50	2歳新馬		2001-7-21	1	新潟	3	2歳新馬	牝[指](馬齢)	1	470	2	1	180	2	13	160	1	5.0	280	6.0	1-8	890	1	1-13	1080.0	2.0	1-13	450	1.0	1-5	740	8.0	5-13	740	7.0					12.3 - 10.9 - 11.5 - 11.7 - 11.8 - 12.3	12.3 - 23.2 - 34.7 - 46.4 - 58.2 - 70.5 (12.3-12.3)									
200104010307	芝	左	1400	晴	良	13:20	2歳新馬		2001-7-21	1	新潟	3	2歳新馬	[指](馬齢)	5	700	4	5	290	4	12	840	7	8.0	1,190	8.0	4-8	5180	16	5-12	8280.0	23.0	5-12	1,920	19.0	5-8	4,220	37.0	8-12	6,390	52.0					12.8 - 11.1 - 12.0 - 12.3 - 11.5 - 11.7 - 12.3	12.8 - 23.9 - 35.9 - 48.2 - 59.7 - 71.4 - 83.7 (12.8-12.8)									
200104010308	芝	左	1800	晴	良	13:55	3歳以上500万下		2001-7-21	1	新潟	3	3歳以上500万下	(父)[指](別定)	5	1290	5	5	330	5	12	140	1	8.0	760	11.0	3-6	720	1	5-12	2070.0	4.0	5-12	940	5.0	5-8	6,990	79.0	8-12	2,670	31.0					12.6 - 11.3 - 11.6 - 12.5 - 12.1 - 12.1 - 11.3 - 10.4 - 12.5	12.6 - 23.9 - 35.5 - 48.0 - 60.1 - 72.2 - 83.5 - 93.9 - 106.4 (12.6-12.6)									
200104010309	ダ	左	1800	晴	良	14:30	柏崎特別 		2001-7-21	1	新潟	3	3歳以上500万下	(混)[指](別定)	3	360	2	3	150	1	8	680	9	14.0	200	3.0	3-5	2300	11	3-8	3890.0	15.0	3-8	1,360	20.0	3-14	590	4.0	8-14	3,030	35.0					12.5 - 11.1 - 12.1 - 13.3 - 12.4 - 12.5 - 13.4 - 13.4 - 13.6	12.5 - 23.6 - 35.7 - 49.0 - 61.4 - 73.9 - 87.3 - 100.7 - 114.3 (12.5-12.5)									
200104010310	ダ	左	1200	晴	良	15:00	岩室特別 		2001-7-21	1	新潟	3	3歳以上1000万下	(混)[指](別定)	11	370	1	11	170	2	5	210	3	12.0	2,860	13.0	4-7	950	3	5-11	990.0	3.0	5-11	430	2.0	11-12	6,520	52.0	5-12	8,040	56.0					12.1 - 10.6 - 11.4 - 12.4 - 12.2 - 13.8	12.1 - 22.7 - 34.1 - 46.5 - 58.7 - 72.5 (12.1-12.1)									
200104010311	芝	左	1600	晴	良	15:35	豊栄特別 		2001-7-21	1	新潟	3	3歳以上1000万下	(混)(特指)(別定)	2	1550	8	2	420	7	5	210	2	11.0	1,350	12.0	1-3	1880	9	2-5	2880.0	10.0	2-5	990	9.0	2-11	7,510	73.0	5-11	3,840	41.0					12.4 - 11.0 - 11.6 - 11.4 - 11.6 - 11.7 - 10.7 - 11.7	12.4 - 23.4 - 35.0 - 46.4 - 58.0 - 69.7 - 80.4 - 92.1 (12.4-12.4)									
200104010312	ダ	左	1200	晴	良	16:15	3歳以上500万下		2001-7-21	1	新潟	3	3歳以上500万下	(混)[指](別定)	12	250	1	12	150	1	1	180	3	8.0	300	5.0	1-7	960	4	1-12	990.0	2.0	1-12	460	2.0	8-12	720	4.0	1-8	1,070	15.0					12.3 - 10.7 - 11.8 - 12.4 - 12.7 - 13.2	12.3 - 23.0 - 34.8 - 47.2 - 59.9 - 73.1 (12.3-12.3)									
200104010401	ダ	左	1200	晴	良	10:00	3歳未勝利		2001-7-22	1	新潟	4	3歳未勝利	[指](馬齢)	5	330	1	5	140	1	10	150	3	6.0	320	6.0	4-6	420	2	5-10	600.0	2.0	5-10	320	3.0	5-6	990	12.0	6-10	1,450	17.0					12.2 - 11.1 - 11.7 - 12.5 - 12.8 - 13.9	12.2 - 23.3 - 35.0 - 47.5 - 60.3 - 74.2 (12.2-12.2)									
200104010402	芝	左	1800	晴	良	10:25	3歳未勝利		2001-7-22	1	新潟	4	3歳未勝利	[指](馬齢)	2	1870	8	2	500	8	15	150	1	4.0	210	3.0	1-8	2970	14	2-15	3730.0	14.0	2-15	1,290	14.0	2-4	1,940	26.0	4-15	680	3.0					12.7 - 11.0 - 11.4 - 12.0 - 12.4 - 12.2 - 11.6 - 10.9 - 12.7	12.7 - 23.7 - 35.1 - 47.1 - 59.5 - 71.7 - 83.3 - 94.2 - 106.9 (12.7-12.7)									
200104010403	芝	左	1600	晴	良	10:50	3歳未勝利		2001-7-22	1	新潟	4	3歳未勝利	(混)[指](馬齢)	4	580	2	4	210	2	3	870	8	17.0	720	6.0	2-2	8500	18	3-4	7680.0	21.0	3-4	1,880	18.0	4-17	1,520	13.0	3-17	4,970	46.0					12.6 - 10.8 - 11.9 - 12.1 - 12.1 - 11.9 - 10.3 - 12.4	12.6 - 23.4 - 35.3 - 47.4 - 59.5 - 71.4 - 81.7 - 94.1 (12.6-12.6)									
200104010404	ダ	左	1800	晴	良	11:20	3歳未勝利		2001-7-22	1	新潟	4	3歳未勝利	(混)[指](馬齢)	3	600	2	3	140	2	5	110	1	10.0	470	8.0	3-4	270	1	3-5	340.0	1.0	3-5	180	1.0	3-10	1,700	22.0	5-10	1,110	15.0					12.8 - 11.5 - 13.1 - 14.3 - 12.8 - 12.8 - 13.1 - 12.9 - 14.0	12.8 - 24.3 - 37.4 - 51.7 - 64.5 - 77.3 - 90.4 - 103.3 - 117.3 (12.8-12.8)									
200104010405	障		2850	晴	良	11:55	障害3歳以上未勝利		2001-7-22	1	新潟	4	障害3歳以上未勝利	(馬齢)	1	150	1	1	110	1	2	210	3	10.0	220	5.0	1-2	690	3	1-2	700.0	3.0	1-2	370	3.0	1-10	350	2.0	2-10	850	12.0															
200104010406	芝	直	1000	晴	良	12:50	2歳新馬		2001-7-22	1	新潟	4	2歳新馬	(混)[指](馬齢)	5	910	4	5	170	3	7	110	1	9.0	180	4.0	5-7	520	3	5-7	670.0	3.0	5-7	320	3.0	5-9	740	9.0	7-9	300	2.0					12.5 - 10.6 - 11.0 - 10.0 - 12.2	12.5 - 23.1 - 34.1 - 44.1 - 56.3 (12.5-12.5)									
200104010407	ダ	左	1700	晴	良	13:20	3歳以上500万下		2001-7-22	1	新潟	4	3歳以上500万下	牝[指](別定)	8	380	2	8	170	3	1	130	1	11.0	360	6.0	1-6	610	1	1-8	640.0	1.0	1-8	300	1.0	8-11	930	12.0	1-11	770	8.0					7.0 - 11.0 - 12.0 - 12.9 - 12.8 - 12.5 - 13.3 - 12.6 - 13.7	7.0 - 18.0 - 30.0 - 42.9 - 55.7 - 68.2 - 81.5 - 94.1 - 107.8 (7.0-7.0)									
200104010408	芝	左	2200	晴	良	13:50	3歳以上500万下		2001-7-22	1	新潟	4	3歳以上500万下	(混)[指](別定)	10	750	5	10	260	5	1	180	3	4.0	580	7.0	1-7	2280	8	1-10	2000.0	10.0	1-10	710	8.0	4-10	2,060	27.0	1-4	1,650	24.0					12.7 - 10.1 - 10.9 - 11.8 - 12.0 - 12.7 - 12.3 - 12.5 - 13.0 - 12.2 - 12.3	12.7 - 22.8 - 33.7 - 45.5 - 57.5 - 70.2 - 82.5 - 95.0 - 108.0 - 120.2 - 132.5 (12.7-12.7)									
200104010409	芝	左	1400	晴	良	14:25	五泉特別 		2001-7-22	1	新潟	4	3歳以上500万下	(混)(特指)(別定)	8	170	1	8	110	1	18	230	3	9.0	430	8.0	4-8	400	2	8-18	710.0	2.0	8-18	420	2.0	8-9	960	10.0	9-18	2,910	32.0					12.4 - 10.8 - 11.0 - 11.4 - 11.7 - 11.6 - 12.0	12.4 - 23.2 - 34.2 - 45.6 - 57.3 - 68.9 - 80.9 (12.4-12.4)									
200104010410	ダ	左	1800	晴	良	15:00	北陸ステークス 		2001-7-22	1	新潟	4	3歳以上オープン	(混)[指](ハンデ)	2	200	1	2	120	1	7	120	2	1.0	270	6.0	2-7	370	1																	12.6 - 11.4 - 12.4 - 12.3 - 12.3 - 12.1 - 13.0 - 12.5 - 12.5	12.6 - 24.0 - 36.4 - 48.7 - 61.0 - 73.1 - 86.1 - 98.6 - 111.1 (12.6-12.6)									
