	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200110010407	芝	右	1800	雨	良	13:10	4歳以上500万下		2001-2-4	1	小倉	4	4歳以上500万下	(混)(別定)	4	640	4	4	190	4	10	180	3	7.0	130	1.0	3-6	1030	5	4-10	1410.0	6.0	4-10	510	6.0	4-7	280	1.0	7-10	340	2.0					12.5 - 11.8 - 12.4 - 12.1 - 12.1 - 12.3 - 12.1 - 12.5 - 13.0	12.5 - 24.3 - 36.7 - 48.8 - 60.9 - 73.2 - 85.3 - 97.8 - 110.8 (12.5-12.5)									
200110010408	芝	右	1200	雨	良	13:45	4歳以上500万下		2001-2-4	1	小倉	4	4歳以上500万下	(別定)	10	190	1	10	110	1	5	510	7	4.0	970	9.0	4-7	1730	7	5-10	2090.0	7.0	5-10	780	9.0	4-10	2,300	22.0	4-5	6,890	41.0					12.1 - 10.6 - 11.4 - 11.8 - 12.4 - 12.6	12.1 - 22.7 - 34.1 - 45.9 - 58.3 - 70.9 (12.1-12.1)									
200110010409	ダ	右	2400	雨	稍重	14:20	背振山特別 		2001-2-4	1	小倉	4	4歳以上500万下	(混)(別定)	4	150	1	4	110	1	6	200	5	7.0	170	3.0	4-6	1040	4																	12.8 - 12.0 - 13.0 - 13.4 - 13.4 - 14.0 - 14.5 - 14.0 - 13.4 - 13.2 - 12.8 - 13.0	12.8 - 24.8 - 37.8 - 51.2 - 64.6 - 78.6 - 93.1 - 107.1 - 120.5 - 133.7 - 146.5 - 159.5 (12.8-12.8)									
200110010410	芝	右	2000	雨	稍重	14:55	周防灘特別 		2001-2-4	1	小倉	4	4歳以上900万下	(別定)	8	1030	5	8	350	7	10	350	6	7.0	1,190	9.0	7-8	780	3	8-10	4880.0	19.0	8-10	1,430	20.0	7-8	4,370	39.0	7-10	5,350	40.0					12.8 - 11.1 - 12.0 - 12.6 - 12.4 - 12.4 - 12.6 - 12.7 - 12.5 - 12.3	12.8 - 23.9 - 35.9 - 48.5 - 60.9 - 73.3 - 85.9 - 98.6 - 111.1 - 123.4 (12.8-12.8)									
200110010411	芝	右	1800	雨	稍重	15:30	小倉大賞典	G3	2001-2-4	1	小倉	4	4歳以上オープン	(ハンデ)	6	450	2	6	150	2	11	300	7	3.0	130	1.0	3-6	710	2	6-11	2070.0	8.0	6-11	750	3.0	3-6	320	1.0	3-11	810	7.0					12.1 - 11.3 - 11.8 - 11.8 - 11.8 - 12.5 - 12.6 - 12.7 - 12.9	12.1 - 23.4 - 35.2 - 47.0 - 58.8 - 71.3 - 83.9 - 96.6 - 109.5 (12.1-12.1)									
200110010501	ダ	右	1700	晴	稍重	09:50	3歳新馬		2001-2-10	1	小倉	5	3歳新馬	(馬齢)	6	120	1	6	100	1	4	130	3	7.0	110	2.0	4-6	360	2																	7.2 - 11.6 - 13.1 - 14.7 - 13.7 - 13.3 - 13.2 - 12.8 - 12.8	7.2 - 18.8 - 31.9 - 46.6 - 60.3 - 73.6 - 86.8 - 99.6 - 112.4 (7.2-7.2)									
200110010502	ダ	右	1000	晴	稍重	10:15	3歳未勝利		2001-2-10	1	小倉	5	3歳未勝利	(馬齢)	3	240	1	3	110	1	7	190	5	10.0	120	2.0	3-6	480	1	3-7	1890.0	9.0	3-7	720	11.0	3-10	250	1.0	7-10	730	12.0					12.7 - 11.2 - 12.0 - 12.3 - 12.9	12.7 - 23.9 - 35.9 - 48.2 - 61.1 (12.7-12.7)									
200110010503	芝	右	1800	晴	良	10:45	3歳未勝利		2001-2-10	1	小倉	5	3歳未勝利	(混)(馬齢)	10	170	1	10	100	1	7	130	2	11.0	200	4.0	5-7	190	1	7-10	450.0	1.0	7-10	210	1.0	10-11	300	4.0	7-11	600	9.0					12.3 - 11.8 - 12.1 - 12.2 - 12.3 - 12.4 - 12.0 - 12.2 - 13.2	12.3 - 24.1 - 36.2 - 48.4 - 60.7 - 73.1 - 85.1 - 97.3 - 110.5 (12.3-12.3)									
200110010504	芝	右	1200	晴	良	11:15	3歳未勝利		2001-2-10	1	小倉	5	3歳未勝利	(父)(馬齢)	7	5550	10	7	1,230	10	6	370	6	3.0	210	2.0	4-4	29710	32	6-7	37230.0	72.0	6-7	7,630	66.0	3-7	3,280	40.0	3-6	1,000	12.0					12.5 - 10.9 - 11.6 - 11.7 - 12.2 - 12.8	12.5 - 23.4 - 35.0 - 46.7 - 58.9 - 71.7 (12.5-12.5)									
200110010505	ダ	右	1700	晴	稍重	11:45	4歳以上500万下		2001-2-10	1	小倉	5	4歳以上500万下	(別定)	10	650	4	10	210	3	13	140	1	12.0	1,650	11.0	7-8	590	1	10-13	760.0	1.0	10-13	340	1.0	10-12	4,560	40.0	12-13	1,920	29.0					6.9 - 11.1 - 11.7 - 12.6 - 12.6 - 13.1 - 13.5 - 13.9 - 14.2	6.9 - 18.0 - 29.7 - 42.3 - 54.9 - 68.0 - 81.5 - 95.4 - 109.6 (6.9-6.9)									
