	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気
200203010209	芝	右	2000	晴	良	14:25	広瀬川特別 		2002-6-16	1	福島	2	3歳以上500万下	(混)(特指)(定量)	15	170	1	15	120	1	4	420	7	3	520	8	2-8	1190	4	4-15	1850.0	6.0	4-15	800	7.0	3-15	950	10.0	3-4	3,960	43.0	3-4-15	17500	53	(*5,11)=(7,14)-4,15,3(2,8)6(12,10)16,13,1,9	(*5,11)=(7,14)=4,15(3,8,6)2-10(16,13)(1,9)12	(5,*11)(7,14)-(2,4,15,6)(3,8)-9,16,13,10-1-12	(*5,11)(7,14,4)(2,3)(9,15)(16,8)6,13,10-1-12	12.8 - 10.7 - 11.0 - 11.9 - 12.7 - 12.9 - 12.6 - 12.0 - 12.4 - 12.5	12.8 - 23.5 - 34.5 - 46.4 - 59.1 - 72.0 - 84.6 - 96.6 - 109.0 - 121.5 (34.5-36.9)	15=>4	2840.0	9.0
200203010210	芝	右	2600	晴	良	15:00	信夫山特別 		2002-6-16	1	福島	2	3歳以上1000万下	(混)(特指)(定量)	2	800	5	2	280	6	1	210	3	6	230	4	1-2	2110	11	1-2	2080.0	11.0	1-2	710	11.0	2-6	1,010	14.0	1-6	660	10.0	1-2-6	5190	20	5,10(2,3)9(1,6)-(8,4)7	5,10(2,3)(1,9)6(8,4)7	10-5,2-(1,9)(6,3)(8,7)4	10-2,5-(1,9)6-8,7-4,3	13.8 - 11.9 - 11.8 - 12.4 - 12.5 - 12.8 - 13.0 - 13.2 - 12.0 - 11.6 - 11.8 - 12.3 - 12.5	13.8 - 25.7 - 37.5 - 49.9 - 62.4 - 75.2 - 88.2 - 101.4 - 113.4 - 125.0 - 136.8 - 149.1 - 161.6 (37.5-36.6)	2=>1	4870.0	22.0
200203010211	芝	右	1200	晴	良	15:35	バーデンバーデンC 		2002-6-16	1	福島	2	3歳以上オープン	(混)[指](ハンデ)	4	750	4	4	220	5	5	140	1	3	180	3	3-4	540	1	4-5	1170.0	4.0	4-5	540	4.0	3-4	680	7.0	3-5	480	2.0	3-4-5	2300	6			(*4,6)(5,9,12)1(2,7,11)(3,10,13,14)8	4,6(1,5)(9,12)(2,7)(3,11)(10,13,14)-8	11.9 - 10.5 - 11.0 - 11.3 - 11.8 - 12.4	11.9 - 22.4 - 33.4 - 44.7 - 56.5 - 68.9 (33.4-35.5)	4=>5	2860.0	9.0
200203010212	芝	右	1200	晴	良	16:15	3歳以上500万下		2002-6-16	1	福島	2	3歳以上500万下	[指](定量)	15	210	1	15	130	1	1	210	3	9	260	4	1-8	840	3	1-15	990.0	2.0	1-15	490	2.0	9-15	520	3.0	1-9	990	14.0	1-9-15	2680	4			(*15,7,8)(4,12)6(1,5)-(3,9,16)(2,10,14)13-11	15(7,8)(4,12)(1,6)-5,9(3,2,10)(16,14)13,11	12.1 - 10.6 - 10.9 - 11.4 - 12.3 - 12.3	12.1 - 22.7 - 33.6 - 45.0 - 57.3 - 69.6 (33.6-36.0)	15=>1	1510.0	3.0
200203010301	ダ	右	1700	曇	不良	10:00	3歳未勝利		2002-6-22	1	福島	3	3歳未勝利	(父)[指](馬齢)	1	360	1	1	140	1	3	300	6	2	230	4	1-3	2260	12	1-3	2100.0	12.0	1-3	830	12.0	1-2	580	6.0	2-3	1,180	17.0	1-2-3	3590	14	5(1,3,12)4(2,11)10(6,13)-(9,8,7)	5(1,3)(4,12)-2,11,10-(6,13)(9,8)7	(*5,3)(1,4,12)-(2,11)-(10,6)8-7(9,13)	(*5,3)-1-(4,12)(2,11)(10,6)-8=7-9,13	7.0 - 11.6 - 12.3 - 12.7 - 13.1 - 12.7 - 12.7 - 13.6 - 15.1	7.0 - 18.6 - 30.9 - 43.6 - 56.7 - 69.4 - 82.1 - 95.7 - 110.8 (30.9-41.4)			
200203010302	ダ	右	1000	曇	不良	10:25	3歳未勝利		2002-6-22	1	福島	3	3歳未勝利	[指](馬齢)	9	1200	6	9	350	6	6	350	7	3	270	4	5-7	270	1	6-9	7060.0	27.0	6-9	1,770	25.0	3-9	1,530	22.0	3-6	1,470	21.0	3-6-9	8670	38			(3,*9)12-(5,11)(6,10,8)7-(1,4)=2	(3,*9)-12-(5,11)(6,10)(8,7)1,4=2	12.4 - 10.8 - 11.5 - 12.5 - 13.6	12.4 - 23.2 - 34.7 - 47.2 - 60.8 (34.7-37.6)			
200203010303	ダ	右	1700	曇	不良	10:50	3歳未勝利		2002-6-22	1	福島	3	3歳未勝利	牝[指](馬齢)	6	610	4	6	200	4	5	290	5	3	190	3	4-5	1650	7	5-6	2930.0	11.0	5-6	940	13.0	3-6	490	5.0	3-5	820	10.0	3-5-6	3940	12	3,6,4-1,9(5,13)8(2,11,12)7 10	3-6(4,1)-(5,9)13,8(11,12)2,7 10	3-6-(1,9)5,4(8,13)(11,7)-(2,12) 10	3,6,9,5=(11,1)(4,13)(8,7)-2,12 10	7.0 - 11.4 - 12.1 - 13.5 - 13.8 - 12.9 - 12.8 - 13.2 - 13.3	7.0 - 18.4 - 30.5 - 44.0 - 57.8 - 70.7 - 83.5 - 96.7 - 110.0 (30.5-39.3)			
200203010304	ダ	右	1700	曇	不良	11:20	3歳未勝利		2002-6-22	1	福島	3	3歳未勝利	[指](馬齢)	5	940	3	5	240	5	10	100	1	6	480	7	4-7	700	4	5-10	800.0	4.0	5-10	400	4.0	5-6	1,970	23.0	6-10	710	8.0	5-6-10	3950	16	7(10,13)(6,3)(5,8,11,12)9-(4,1)=2	(*7,10,13)(6,3)(5,12)8(9,11)-(4,1)-2	(*7,10)(6,13)(3,12)5-9(8,11)(4,1)-2	(*7,10)(6,12)5,3-(9,13)(4,11)8(1,2)	7.1 - 11.5 - 12.2 - 12.7 - 13.0 - 12.9 - 13.1 - 13.7 - 13.8	7.1 - 18.6 - 30.8 - 43.5 - 56.5 - 69.4 - 82.5 - 96.2 - 110.0 (30.8-40.6)	5=>10	2110.0	9.0
200203010305	障		3350	曇	稍重	11:50	障害3歳以上オープン		2002-6-22	1	福島	3	障害3歳以上オープン	(混)(別定)	3	330	2	3	150	2	4	370	8	1	260	5	3-4	3650	18													1-3-4	12540	47	8=3,4-2-(5,6)1,7	8=(3,4)2,5,6(7,1)	3-4-8-2(1,6)(7,5)	3,4-8-(2,1)-7,6-5			3=>4	7050.0	35.0
200203010306	芝	右	1200	曇	稍重	12:50	2歳新馬		2002-6-22	1	福島	3	2歳新馬	[指](馬齢)	5	380	2	5	150	3	10	130	1	3	370	6	4-7	520	1	5-10	610.0	2.0	5-10	300	2.0	3-5	1,320	18.0	3-10	1,220	15.0	3-5-10	4430	16			5,10(4,7)11-3-(1,9,13,6)-8(2,12)	5,10-4,7-3(11,6)1,13-(8,9)2-12	12.2 - 10.8 - 11.2 - 11.5 - 12.0 - 12.6	12.2 - 23.0 - 34.2 - 45.7 - 57.7 - 70.3 (34.2-36.1)	5=>10	1280.0	3.0
