	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
200210010308	芝	右	1200	雨	不良	13:50	4歳以上500万下		2002-1-26	1	小倉	3	4歳以上500万下	(混)[指](別定)	12	2740	11	12	640	9	5	520	7	14.0	250	3.0	3-6	2010	8	5-12	4,910	55.0	12-14	3,000	34.0	5-14	1,490	15.0														11.9 - 10.8 - 11.5 - 11.9 - 12.8 - 13.0	11.9 - 22.7 - 34.2 - 46.1 - 58.9 - 71.9 (11.9-11.9)	5-12	27190.0	66.0
200210010309	芝	右	1800	雨	不良	14:25	くすのき賞 		2002-1-26	1	小倉	3	3歳500万下	(混)(特指)(馬齢)	1	2460	5	1	310	5	5	230	4	6.0	130	1.0	1-4	1370	5	1-5	1,590	16.0	1-6	1,020	7.0	5-6	380	2.0														12.3 - 12.1 - 12.4 - 12.6 - 12.6 - 12.5 - 12.2 - 13.0 - 13.1	12.3 - 24.4 - 36.8 - 49.4 - 62.0 - 74.5 - 86.7 - 99.7 - 112.8 (12.3-12.3)	1-5	5670.0	19.0
200210010310	芝	右	1800	雨	不良	14:55	遠賀川特別 		2002-1-26	1	小倉	3	4歳以上500万下	(混)[指](別定)	10	850	5	10	190	4	12	140	1	15.0	200	5.0	5-6	970	4	10-12	550	3.0	10-15	780	8.0	12-15	520	2.0														12.5 - 12.1 - 12.3 - 12.2 - 12.5 - 12.5 - 12.4 - 12.9 - 12.9	12.5 - 24.6 - 36.9 - 49.1 - 61.6 - 74.1 - 86.5 - 99.4 - 112.3 (12.5-12.5)	10-12	1440.0	3.0
200210010401	芝	右	2000	曇	不良	09:55	3歳新馬		2002-1-27	1	小倉	4	3歳新馬	(混)(馬齢)	5	460	3	5	210	3	4	210	2				4-5	770	3																							12.8 - 12.4 - 13.2 - 13.1 - 13.3 - 12.6 - 12.7 - 12.2 - 12.3 - 12.3	12.8 - 25.2 - 38.4 - 51.5 - 64.8 - 77.4 - 90.1 - 102.3 - 114.6 - 126.9 (12.8-12.8)			
200210010402	ダ	右	1700	曇	不良	10:20	3歳未勝利		2002-1-27	1	小倉	4	3歳未勝利	(馬齢)	1	2220	6	1	510	6	15	330	4	9.0	330	3.0	1-8	1280	5	1-15	1,620	18.0	1-9	2,330	25.0	9-15	1,380	15.0														7.1 - 11.1 - 11.9 - 13.5 - 13.7 - 13.5 - 13.3 - 13.4 - 13.2	7.1 - 18.2 - 30.1 - 43.6 - 57.3 - 70.8 - 84.1 - 97.5 - 110.7 (7.1-7.1)	1-15	5370.0	16.0
200210010403	芝	右	1200	曇	不良	10:45	3歳未勝利		2002-1-27	1	小倉	4	3歳未勝利	(馬齢)	11	680	4	11	200	4	9	190	3	7.0	190	2.0	5-6	1070	4	9-11	630	7.0	7-11	780	11.0	7-9	540	4.0														12.2 - 10.8 - 11.5 - 11.9 - 12.7 - 13.6	12.2 - 23.0 - 34.5 - 46.4 - 59.1 - 72.7 (12.2-12.2)	9-11	1660.0	6.0
200210010404	芝	右	2000	曇	不良	11:15	3歳未勝利		2002-1-27	1	小倉	4	3歳未勝利	(混)(馬齢)	4	290	2	4	120	1	3	200	4	7.0	130	2.0	3-4	1200	5	3-4	360	3.0	4-7	170	1.0	3-7	410	5.0														12.5 - 11.1 - 12.5 - 13.0 - 13.0 - 12.9 - 12.9 - 12.5 - 12.8 - 13.1	12.5 - 23.6 - 36.1 - 49.1 - 62.1 - 75.0 - 87.9 - 100.4 - 113.2 - 126.3 (12.5-12.5)	3-4	1180.0	3.0
200210010405	ダ	右	1700	曇	不良	11:45	4歳以上500万下		2002-1-27	1	小倉	4	4歳以上500万下	(父)(別定)	14	1830	9	14	690	10	13	220	3	12.0	910	12.0	7-8	7900	21	13-14	2,260	31.0	12-14	15,820	87.0	12-13	2,810	39.0														7.0 - 10.8 - 11.4 - 13.2 - 13.3 - 13.1 - 13.3 - 13.6 - 13.5	7.0 - 17.8 - 29.2 - 42.4 - 55.7 - 68.8 - 82.1 - 95.7 - 109.2 (7.0-7.0)	13-14	6570.0	29.0
200210010406	ダ	右	1000	曇	不良	12:45	4歳以上500万下		2002-1-27	1	小倉	4	4歳以上500万下	(混)(別定)	2	1790	6	2	350	6	6	130	2	1.0	120	1.0	2-4	2760	11	2-6	1,060	12.0	1-2	720	8.0	1-6	230	1.0														12.5 - 10.8 - 11.8 - 12.0 - 12.8	12.5 - 23.3 - 35.1 - 47.1 - 59.9 (12.5-12.5)	2-6	3780.0	12.0
200210010407	芝	右	2000	曇	不良	13:15	4歳以上500万下		2002-1-27	1	小倉	4	4歳以上500万下	牝(別定)	11	400	1	11	170	2	15	140	1	8.0	460	9.0	6-8	990	3	11-15	450	1.0	8-11	1,850	24.0	8-15	2,470	30.0														12.4 - 10.8 - 11.9 - 12.8 - 12.7 - 12.7 - 12.9 - 13.1 - 13.1 - 12.5	12.4 - 23.2 - 35.1 - 47.9 - 60.6 - 73.3 - 86.2 - 99.3 - 112.4 - 124.9 (12.4-12.4)	11-15	1250.0	1.0
200210010408	芝	右	1200	曇	不良	13:45	4歳以上500万下		2002-1-27	1	小倉	4	4歳以上500万下	(別定)	9	2800	12	9	1,010	12	16	300	4	5.0	460	8.0	5-8	6080	28	9-16	3,190	45.0	5-9	4,650	59.0	5-16	2,320	32.0														12.3 - 10.8 - 11.8 - 11.6 - 12.1 - 12.7	12.3 - 23.1 - 34.9 - 46.5 - 58.6 - 71.3 (12.3-12.3)	9-16	10500.0	49.0
200210010501	ダ	右	1000	曇	良	09:55	3歳未勝利		2002-2-2	1	小倉	5	3歳未勝利	[指](馬齢)	13	180	1	13	100	1	5	150	2	11.0	190	4.0	4-8	490	2	5-13	220	1.0	11-13	260	2.0	5-11	830	12.0														12.4 - 11.0 - 11.8 - 12.8 - 13.5	12.4 - 23.4 - 35.2 - 48.0 - 61.5 (12.4-12.4)	5-13	650.0	2.0
200210010502	ダ	右	1700	曇	良	10:20	3歳未勝利		2002-2-2	1	小倉	5	3歳未勝利	(混)[指](馬齢)	5	140	1	5	100	1	11	440	5	3.0	1,570	10.0	5-8	850	2	5-11	430	3.0	3-5	2,520	24.0	3-11	7,400	40.0														7.1 - 11.8 - 12.4 - 13.1 - 13.0 - 12.8 - 12.8 - 12.8 - 13.5	7.1 - 18.9 - 31.3 - 44.4 - 57.4 - 70.2 - 83.0 - 95.8 - 109.3 (7.1-7.1)	5-11	1080.0	3.0
200210010503	芝	右	1800	曇	良	10:45	3歳未勝利		2002-2-2	1	小倉	5	3歳未勝利	牝[指](馬齢)	7	900	5	7	460	6	16	170	2	13.0	2,680	12.0	4-8	2680	12	7-16	1,090	11.0	7-13	7,670	51.0	13-16	5,410	41.0														12.7 - 12.0 - 12.5 - 12.6 - 12.1 - 12.2 - 12.2 - 12.6 - 12.7	12.7 - 24.7 - 37.2 - 49.8 - 61.9 - 74.1 - 86.3 - 98.9 - 111.6 (12.7-12.7)	7-16	2460.0	10.0
