	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200206010211	芝	右	1800	晴	良	15:35	中山記念	G2	2002-2-24	1	中山	2	4歳以上オープン	(混)[指](別定)	11	1740	8	11	390	7	14	490	8	7.0	230	3.0	7-8	1520	4	11-14	8440.0	28.0	11-14	2,320	28.0	7-11	1,500	19.0	7-14	1,750	25.0					12.7 - 11.6 - 11.4 - 11.3 - 11.3 - 12.1 - 11.7 - 11.4 - 11.9	12.7 - 24.3 - 35.7 - 47.0 - 58.3 - 70.4 - 82.1 - 93.5 - 105.4 (12.7-12.7)									
200206010212	ダ	右	1200	晴	良	16:15	4歳以上1000万下		2002-2-24	1	中山	2	4歳以上1000万下	[指](別定)	2	4060	9	2	720	9	10	150	1	9.0	160	2.0	1-5	370	1	2-10	9240.0	26.0	2-10	2,310	24.0	2-9	2,920	31.0	9-10	330	2.0					12.2 - 10.6 - 11.3 - 11.9 - 12.4 - 13.1	12.2 - 22.8 - 34.1 - 46.0 - 58.4 - 71.5 (12.2-12.2)									
200206010301	ダ	右	1800	曇	良	10:00	3歳未勝利		2002-3-2	1	中山	3	3歳未勝利	(市)(抽)[指](馬齢)	15	420	2	15	160	1	16	450	7	7.0	590	9.0	8-8	2590	12	15-16	2520.0	8.0	15-16	1,070	12.0	7-15	1,380	20.0	7-16	4,090	39.0					13.1 - 11.4 - 13.1 - 13.8 - 13.1 - 13.2 - 13.2 - 13.6 - 13.9	13.1 - 24.5 - 37.6 - 51.4 - 64.5 - 77.7 - 90.9 - 104.5 - 118.4 (13.1-13.1)									
200206010302	ダ	右	1200	曇	良	10:25	3歳未勝利		2002-3-2	1	中山	3	3歳未勝利	[指](馬齢)	15	400	3	15	140	2	8	290	6	7.0	120	1.0	4-8	530	2	8-15	2620.0	12.0	8-15	810	12.0	7-15	270	2.0	7-8	630	8.0					12.2 - 10.7 - 11.6 - 12.7 - 12.5 - 13.2	12.2 - 22.9 - 34.5 - 47.2 - 59.7 - 72.9 (12.2-12.2)									
200206010303	ダ	右	1800	曇	良	10:50	3歳新馬		2002-3-2	1	中山	3	3歳新馬	牝[指](馬齢)	4	160	1	4	120	1	13	230	5	14.0	230	4.0	3-7	580	2	4-13	790.0	2.0	4-13	360	2.0	4-14	430	4.0	13-14	920	12.0					13.0 - 12.0 - 13.2 - 14.5 - 14.0 - 13.2 - 13.0 - 12.9 - 12.7	13.0 - 25.0 - 38.2 - 52.7 - 66.7 - 79.9 - 92.9 - 105.8 - 118.5 (13.0-13.0)									
200206010304	ダ	右	1200	曇	良	11:20	3歳新馬		2002-3-2	1	中山	3	3歳新馬	(混)[指](馬齢)	7	530	3	7	190	3	16	140	2	8.0	590	7.0	4-8	750	3	7-16	930.0	3.0	7-16	410	3.0	7-8	1,460	17.0	8-16	1,400	16.0					12.5 - 10.9 - 11.6 - 12.3 - 12.4 - 13.5	12.5 - 23.4 - 35.0 - 47.3 - 59.7 - 73.2 (12.5-12.5)									
200206010305	障		3200	曇	良  ダート	11:50	障害4歳以上オープン		2002-3-2	1	中山	3	障害4歳以上オープン	(混)(別定)	1	420	3	1	180	3	9	130	2	2.0	440	7.0	1-8	640	3	1-9	660.0	3.0	1-9	320	3.0	1-2	1,070	11.0	2-9	1,140	14.0															
200206010306	芝	右	1200	曇	良	12:50	3歳未勝利		2002-3-2	1	中山	3	3歳未勝利	(混)[指](馬齢)	12	180	1	12	120	1	1	140	2	7.0	620	8.0	1-6	360	1	1-12	410.0	1.0	1-12	210	1.0	7-12	1,200	16.0	1-7	2,160	26.0					11.9 - 10.7 - 11.0 - 11.6 - 11.9 - 12.5	11.9 - 22.6 - 33.6 - 45.2 - 57.1 - 69.6 (11.9-11.9)									
200206010307	ダ	右	1800	曇	良	13:20	4歳以上500万下		2002-3-2	1	中山	3	4歳以上500万下	牝[指](別定)	2	550	2	2	180	2	7	1,060	9	6.0	750	7.0	1-4	5770	19	2-7	10410.0	24.0	2-7	2,140	22.0	2-6	1,580	18.0	6-7	4,740	40.0					12.9 - 11.9 - 12.6 - 13.0 - 12.7 - 12.5 - 12.6 - 12.7 - 13.1	12.9 - 24.8 - 37.4 - 50.4 - 63.1 - 75.6 - 88.2 - 100.9 - 114.0 (12.9-12.9)									
200206010308	ダ	右	1200	曇	良	13:55	4歳以上500万下		2002-3-2	1	中山	3	4歳以上500万下	[指](別定)	8	2880	9	8	720	9	1	190	3	2.0	3,850	14.0	1-4	760	2	1-8	6520.0	22.0	1-8	1,960	21.0	2-8	22,080	87.0	1-2	7,850	59.0					12.1 - 10.7 - 11.2 - 11.9 - 12.5 - 13.4	12.1 - 22.8 - 34.0 - 45.9 - 58.4 - 71.8 (12.1-12.1)									
