	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気
200204010302	芝	左	2000	晴	良	10:20	3歳未出走		2002-4-27	1	新潟	3	3歳未出走	[指](馬齢)	12	240	2	12	110	2	3	280	5	8.0	100	1.0	2-6	3290	12	3-12	2300.0	7.0	3-12	650	7.0	8-12	150	1.0	3-8	540	5.0					13.0 - 11.4 - 12.5 - 13.7 - 13.8 - 12.8 - 12.9 - 12.0 - 12.2 - 11.8	13.0 - 24.4 - 36.9 - 50.6 - 64.4 - 77.2 - 90.1 - 102.1 - 114.3 - 126.1 (13.0-13.0)						
200204010303	ダ	左	1800	晴	良	10:50	3歳未勝利		2002-4-27	1	新潟	3	3歳未勝利	(父)[指](馬齢)	12	260	1	12	120	1	9	130	3	11.0	120	2.0	6-7	210	1	9-12	360.0	1.0	9-12	160	1.0	11-12	210	2.0	9-11	240	3.0					13.1 - 11.2 - 13.2 - 14.0 - 13.3 - 13.0 - 13.1 - 12.8 - 12.9	13.1 - 24.3 - 37.5 - 51.5 - 64.8 - 77.8 - 90.9 - 103.7 - 116.6 (13.1-13.1)						
200204010304	芝	左	1800	晴	良	11:15	3歳未勝利		2002-4-27	1	新潟	3	3歳未勝利	(混)[指](馬齢)	14	2590	9	14	690	10	10	240	4	3.0	160	1.0	5-7	2190	9	10-14	12290.0	35.0	10-14	3,210	32.0	3-14	1,350	16.0	3-10	580	4.0					13.0 - 11.3 - 11.8 - 12.9 - 12.9 - 12.2 - 11.3 - 11.5 - 12.0	13.0 - 24.3 - 36.1 - 49.0 - 61.9 - 74.1 - 85.4 - 96.9 - 108.9 (13.0-13.0)						
200204010305	芝	左	1200	晴	良	11:45	3歳未勝利		2002-4-27	1	新潟	3	3歳未勝利	[指](馬齢)	13	720	4	13	270	4	9	280	5	10.0	510	7.0	5-7	1970	10	9-13	3430.0	12.0	9-13	1,030	11.0	10-13	2,430	24.0	9-10	1,870	18.0					12.4 - 10.8 - 11.7 - 11.9 - 12.0 - 12.3	12.4 - 23.2 - 34.9 - 46.8 - 58.8 - 71.1 (12.4-12.4)						
200204010306	ダ	左	1800	晴	良	12:45	4歳以上500万下		2002-4-27	1	新潟	3	4歳以上500万下	(混)[指](別定)	2	330	2	2	140	1	13	220	4	12.0	250	5.0	2-8	990	3	2-13	940.0	3.0	2-13	480	4.0	2-12	600	7.0	12-13	910	12.0					12.7 - 10.6 - 11.9 - 13.0 - 12.9 - 13.5 - 14.2 - 13.4 - 13.2	12.7 - 23.3 - 35.2 - 48.2 - 61.1 - 74.6 - 88.8 - 102.2 - 115.4 (12.7-12.7)						
200204010307	ダ	左	1200	晴	良	13:15	4歳以上500万下		2002-4-27	1	新潟	3	4歳以上500万下	(混)[指](別定)	5	700	3	5	220	3	10	170	2	13.0	170	1.0	4-6	1090	2	5-10	1010.0	2.0	5-10	490	2.0	5-13	610	3.0	10-13	340	1.0					12.3 - 10.7 - 11.8 - 12.6 - 12.9 - 12.7	12.3 - 23.0 - 34.8 - 47.4 - 60.3 - 73.0 (12.3-12.3)						
200204010308	芝	左	2000	晴	良	13:50	4歳以上500万下		2002-4-27	1	新潟	3	4歳以上500万下	[指](別定)	5	1280	4	5	410	8	16	150	2	6.0	140	1.0	3-8	410	1	5-16	3560.0	13.0	5-16	1,250	14.0	5-6	950	11.0	6-16	270	1.0					13.0 - 11.9 - 12.4 - 12.7 - 12.7 - 12.5 - 12.1 - 11.3 - 11.1 - 12.0	13.0 - 24.9 - 37.3 - 50.0 - 62.7 - 75.2 - 87.3 - 98.6 - 109.7 - 121.7 (13.0-13.0)						
200204010309	芝	直	1000	晴	良	14:25	はやぶさ賞 		2002-4-27	1	新潟	3	3歳500万下	(混)(特指)(馬齢)	15	1360	6	15	320	5	6	330	7	10.0	140	1.0	3-8	3200	11	6-15	7370.0	24.0	6-15	2,030	24.0	10-15	850	7.0	6-10	750	6.0					12.0 - 10.3 - 10.7 - 10.2 - 11.9	12.0 - 22.3 - 33.0 - 43.2 - 55.1 (12.0-12.0)						
200204010310	芝	左	1600	晴	良	14:55	二王子特別 		2002-4-27	1	新潟	3	4歳以上500万下	(混)[指](別定)	16	640	3	16	200	2	6	590	11	14.0	140	1.0	3-8	2390	12	6-16	7250.0	29.0	6-16	1,870	26.0	14-16	390	1.0	6-14	1,510	16.0					13.0 - 11.4 - 11.9 - 12.2 - 12.0 - 11.2 - 11.2 - 12.1	13.0 - 24.4 - 36.3 - 48.5 - 60.5 - 71.7 - 82.9 - 95.0 (13.0-13.0)						
200204010311	ダ	左	1200	晴	良	15:30	大日岳特別 		2002-4-27	1	新潟	3	4歳以上1000万下	(混)[指](別定)	7	450	2	7	180	4	2	130	1	12.0	150	2.0	2-5	880	2	2-7	910.0	2.0	2-7	390	2.0	7-12	480	3.0	2-12	280	1.0					12.4 - 11.2 - 11.8 - 12.3 - 12.0 - 12.6	12.4 - 23.6 - 35.4 - 47.7 - 59.7 - 72.3 (12.4-12.4)						
200204010401	ダ	左	1800	晴	良	09:55	3歳未出走		2002-4-28	1	新潟	4	3歳未出走	(混)(馬齢)	6	350	1	6	130	1	11	380	6	4.0	150	2.0	4-7	790	4	6-11	2900.0	11.0	6-11	1,080	12.0	4-6	350	1.0	4-11	960	10.0					13.3 - 11.6 - 13.2 - 13.7 - 13.2 - 13.3 - 13.5 - 13.2 - 13.6	13.3 - 24.9 - 38.1 - 51.8 - 65.0 - 78.3 - 91.8 - 105.0 - 118.6 (13.3-13.3)						
200204010402	芝	直	1000	晴	良	10:20	3歳未出走		2002-4-28	1	新潟	4	3歳未出走	(混)(馬齢)	10	770	2	10	160	2	12	110	1	8.0	190	3.0	5-6	570	1	10-12	600.0	1.0	10-12	270	1.0	8-10	580	6.0	8-12	320	2.0					12.6 - 10.6 - 11.1 - 10.3 - 12.0	12.6 - 23.2 - 34.3 - 44.6 - 56.6 (12.6-12.6)						
