	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201655022001	ダ	右	1300	雨	不良	12:30	C2ー34組		2016-2-20	22	佐賀	1	(馬齢)		4	170	1	4.0	110	1.0	3.0	130	2.0	3-4	420	3	3-4	140	2	4-5	130	1	3-5	180	4	4=>3	420	2	3-4-5	250	1	4=>3=>5	910	2	245316.0	245316.0	243516.0	423516.0								
201655022002	ダ	右	1300	雨	不良	13:00	C2ー33組		2016-2-20	22	佐賀	1	(馬齢)		6	1870	4	6.0	600	5.0	3.0	180	2.0	3-6	1840	7	3-6	500	7	2-6	1,330	12	2-3	470	5	6=>3	7890	18	2-3-6	4730	13	6=>3=>2	54840	83	1372654.0	1327654.0	1327654.0	3261745.0								
201655022003	ダ	右	1300	曇	不良	13:30	C2ー30組		2016-2-20	22	佐賀	1	(馬齢)		4	500	3	4.0	100	2.0	3.0	100	1.0	3-4	290	2	3-4	140	2	4-8	160	3	3-8	130	1	4=>3	860	3	3-4-8	170	1	4=>3=>8	1790	4	82573416.0	85273461.0	87542361.0	74835261.0			8.0	100.0	3.0			
201655022004	ダ	右	1300	曇	不良	14:00	C2ー28組		2016-2-20	22	佐賀	1	(馬齢)		5	120	1	5.0	100	1.0	8.0	250	4.0	5-8	420	2	5-8	250	3	2-5	360	5	2-8	980	12	5=>8	480	1	2-5-8	1260	5	5=>8=>2	1910	5	58243761.0	58243761.0	58243761.0	58273416.0			2.0	310.0	5.0			
201655022005	ダ	右	1400	曇	不良	14:30	C2ー26組		2016-2-20	22	佐賀	1	(馬齢)		6	120	1	6.0	100	1.0	1.0	150	5.0	1-6	390	2	1-6	270	4	6-7	210	2	1-7	400	7	6=>1	600	2	1-6-7	640	4	6=>1=>7	1670	8	67351842.0	67351842.0	67351842.0	67135842.0			7.0	140.0	4.0			
201655022006	ダ	右	1400	曇	不良	15:05	C2ー24組		2016-2-20	22	佐賀	1	(馬齢)		6	370	3	6.0	220	3.0	3.0	140	2.0	3-6	400	3	3-6	170	2	2-6	370	6	2-3	290	4	6=>3	840	6	2-3-6	850	3	6=>3=>2	3450	12	7325461.0	7325461.0	7352641.0	3765241.0								
201655022007	ダ	右	1400	曇	不良	15:35	3歳ー3組		2016-2-20	22	佐賀	1	(馬齢)		2	180	1	2.0	100	2.0	3.0	300	7.0	2-3	1860	6	2-3	340	6	1-2	120	1	1-3	380	7	2=>3	2310	6	1-2-3	520	2	2=>3=>1	5000	17	12836457.0	12836475.0	12834657.0	21384657.0			1.0	100.0	1.0			
201655022009	ダ	右	1400	曇	不良	16:35	セントポーリア賞		2016-2-20	22	佐賀	1	(馬齢)		4	120	1	4.0	110	1.0	7.0	120	3.0	4-7	510	2	4-7	210	2	1-4	290	3	1-7	1,580	16	4=>7	580	2	1-4-7	1920	7	4=>7=>1	3370	12	24713856.0	24713685.0	24716385.0	47213685.0			1.0	390.0	7.0			
201655022101	ダ	右	1300	晴	不良	12:30	C2ー32組		2016-2-21	22	佐賀	2	(馬齢)		2	210	1	2.0	100	1.0	5.0	100	2.0	2-5	200	1	2-5	120	1	2-3	210	3	3-5	220	4	2=>5	440	2	2-3-5	410	2	2=>5=>3	1280	4	52683174.0	52683174.0	52683174.0	52836174.0			3.0	130.0	3.0			
201655022102	ダ	右	1300	晴	不良	13:00	C2ー31組		2016-2-21	22	佐賀	2	(馬齢)		4	120	1	4.0	110	1.0	6.0	370	5.0	4-6	730	4	4-6	200	3	3-4	180	1	3-6	570	9	4=>6	750	4	3-4-6	850	4	4=>6=>3	2640	10	4752631.0	4752613.0	4752631.0	4572631.0								
