	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201344012210	ダ	右	1800	晴	不良	15:30	睦月特別競走 		2013-1-22	16	大井	2			11	160	1	11	130	1	7	2,630	16	15.0	800	9.0	4-6	4940.0	14.0	7-11	14060	25	7-11	2,950	26	11-15	1,420	13	7-15	29,670	101	6=>4	4440.0	17.0	11=>7	16720	37	7-11-15	119960	168	11=>7=>15	342410	528	45716101411153113212986	4,5,7,16,(15,10),14,11,1,3,(2,13),12,8,9,6	4,5,7,15,11,16,(10,14),1,13,(2,3),12,8,6,9	4,5,11,7,15,10,14,1,(2,16),3,13,8,12,9,6	12.7 - 12.2 - 13.2 - 12.8 - 12.7 - 12.9 - 13.5 - 13.1 - 14.1	12.7 - 24.9 - 38.1 - 50.9 - 63.6 - 76.5 - 90.0 - 103.1 - 117.2 (38.1-40.7)
201344012211	ダ	右	1600	晴	不良	16:05	’13桃花賞競走 		2013-1-22	16	大井	2	牝(別定)		12	680	5	12	280	5	8	200	2	1.0	1,210	12.0	5-7	540.0	1.0	8-12	2180	8	8-12	920	9	1-12	6,160	67	1-8	3,100	37	7=>5	1260.0	2.0	12=>8	4560	21	1-8-12	46120	135	12=>8=>1	129360	411	13,12,10,6,11,2,1,(4,9),14,3,8,5,7	12,13,6,10,(2,11),1,9,4,14,3,8,5,7	12,(10,11),6,8,(2,14),(9,4),1,3,13,(5,7)	1211106821441357913	12.6 - 11.6 - 12.5 - 13.3 - 13.0 - 13.4 - 13.8 - 13.8	12.6 - 24.2 - 36.7 - 50.0 - 63.0 - 76.4 - 90.2 - 104.0 (36.7-41.0)
201344012212	ダ	右	1200	晴	不良	16:40	初夢賞競走 		2013-1-22	16	大井	2			2	350	2	2	150	2	16	240	3	13.0	420	7.0	1-8	900.0	3.0	2-16	1350	3	2-16	640	4	2-13	1,200	13	13-16	2,230	23	1=>8	1710.0	5.0	2=>16	2660	5	2-13-16	7690	20	2=>16=>13	25220	55			10,14,(12,13),2,8,(4,16),11,(6,15),7,3,9,5,1	10,14,(2,12),13,16,4,8,11,15,6,7,(3,9),1,5	12.5 - 10.9 - 11.8 - 12.9 - 12.4 - 13.3	12.5 - 23.4 - 35.2 - 48.1 - 60.5 - 73.8 (35.2-38.6)
201344012301	ダ	右	1200	晴	不良	11:00	3歳		2013-1-23	16	大井	3	41万円以上63万円未満		5	1030	3	5	300	4	4	570	7	12.0	350	5.0	3-4	2620.0	10.0	4-5	13100	28	4-5	1,850	19	5-12	970	8	4-12	2,110	24	4=>3	5530.0	20.0	5=>4	13530	35	4-5-12	22270	55	5=>4=>12	197250	393			(2,4),7,3,12,6,8,14,5,11,9,(1,10),13	2,4,3,6,12,7,5,14,1,(9,8),11,(13,10)	12.6 - 11.0 - 11.8 - 13.0 - 13.2 - 13.9	12.6 - 23.6 - 35.4 - 48.4 - 61.6 - 75.5 (35.4-40.1)
201344012302	ダ	右	1500	曇	重	11:30	3歳		2013-1-23	16	大井	3	41万円以上63万円未満		5	200	1	5	140	2	6	950	11	13.0	110	1.0	4-4	10570.0	21.0	5-6	9840	27	5-6	2,070	24	5-13	260	1	6-13	2,200	25	4=>4	9320.0	28.0	5=>6	14290	37	5-6-13	7960	26	5=>6=>13	84790	226	(5,14),8,12,6,1,13,4,11,2,7,3,10	5,14,1,8,12,6,(4,13),11,2,7,3,10	(10,5),14,13,12,(6,7),1,8,4,3,2,11	105146137128143211	7.1 - 12.2 - 12.9 - 13.3 - 12.6 - 13.8 - 13.7 - 14.1	7.1 - 19.3 - 32.2 - 45.5 - 58.1 - 71.9 - 85.6 - 99.7 (32.2-41.6)
201344012303	ダ	右	1200	曇	重	12:00	C3三　四		2013-1-23	16	大井	3			13	3300	10	13	1,150	10	3	860	9	2.0	550	6.0	3-8	5220.0	17.0	3-13	66890	65	3-13	12,150	63	2-13	4,330	41	2-3	4,660	45	8=>3	12040.0	40.0	13=>3	131000	134	2-3-13	241310	213	13=>3=>2	2223500	1355			(1,9),10,(3,13),2,11,(4,12),8,5,14,7	1,9,2,(3,10),13,4,11,12,(5,8),14,7	13.0 - 11.4 - 12.3 - 12.8 - 12.8 - 13.4	13.0 - 24.4 - 36.7 - 49.5 - 62.3 - 75.7 (36.7-39.0)
201344012304	ダ	右	1500	曇	重	12:30	C3三　四		2013-1-23	16	大井	3			9	870	7	9	260	6	14	230	4	4.0	550	8.0	6-8	1110.0	3.0	9-14	2900	20	9-14	890	14	4-9	2,350	32	4-14	1,170	20	6=>8	2040.0	6.0	9=>14	5560	35	4-9-14	15440	61	9=>14=>4	77450	318	9,14,(2,8),7,3,1,4,11,12,(5,6),10	98142713412651011	91447128121035611	9,14,4,7,1,2,12,10,8,(5,6),3,11	7.2 - 12.6 - 12.8 - 12.8 - 12.6 - 13.0 - 13.5 - 13.8	7.2 - 19.8 - 32.6 - 45.4 - 58.0 - 71.0 - 84.5 - 98.3 (32.6-40.3)
201344012305	ダ	右	1400	曇	重	13:00	C2九　十		2013-1-23	16	大井	3			12	750	3	12	180	3	8	120	1	6.0	270	5.0	5-7	700.0	2.0	8-12	740	2	8-12	370	2	6-12	1,100	13	6-8	760	5	7=>5	2040.0	7.0	12=>8	1710	5	6-8-12	3020	7	12=>8=>6	12520	28		12,(6,8),10,5,7,11,(2,3,9),13,14,4,1	12,8,(6,10),5,11,1,2,3,9,13,14,4	12,8,6,5,10,11,3,(2,1),9,(14,13),4	13.3 - 12.2 - 12.7 - 12.5 - 12.6 - 12.1 - 13.1	13.3 - 25.5 - 38.2 - 50.7 - 63.3 - 75.4 - 88.5 (38.2-37.8)
201344012306	ダ	右	1600	曇	重	13:30	C2九　十		2013-1-23	16	大井	3			6	530	2	6	150	3	10	180	4	14.0	120	1.0	4-6	1890.0	9.0	6-10	2030	8	6-10	500	5	6-14	200	1	10-14	310	3	4=>6	2710.0	12.0	6=>10	3610	12	6-10-14	840	1	6=>10=>14	7900	15	(1,9),2,10,14,7,12,3,(8,11),6,5,13,4	1,9,10,2,14,(3,7),12,8,11,(5,6),13,4	1091467112313845112	1014961371238415112	12.6 - 12.0 - 12.8 - 12.8 - 12.8 - 13.7 - 13.4 - 13.9	12.6 - 24.6 - 37.4 - 50.2 - 63.0 - 76.7 - 90.1 - 104.0 (37.4-41.0)
201344012307	ダ	右	1200	曇	重	14:00	C1五　C2四		2013-1-23	16	大井	3			14	260	2	14	130	1	13	170	3	10.0	420	7.0	8-8	780.0	3.0	13-14	830	3	13-14	320	2	10-14	780	9	10-13	1,530	20	8=>8	820.0	3.0	14=>13	1190	3	10-13-14	3620	11	14=>13=>10	13340	34			9101426131254113817	(9,10),14,2,6,13,5,12,11,4,3,1,8,7	12.4 - 11.1 - 10.3 - 13.4 - 12.8 - 14.2	12.4 - 23.5 - 33.8 - 47.2 - 60.0 - 74.2 (33.8-40.4)
