	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201350010809	ダ	右	1400	晴	良	15:15	B1 		2013-1-8	18	園田	1	(馬齢)		6	1350	8	6	200	5	4	140	2	3.0	130	1.0	4-6	2760	13	4-6	640	9	3-6	450	7	3-4	320	1	6=>4	6240	30	3-4-6	1480	4	6=>4=>3	21130	77	753962814	7,5,3,9,6,2,(1,8),4	765923184	7,6,3,2,5,(8,9),1,4			4-6	2070.0	11.0
201350010810	ダ	右	1700	晴	良	15:50	るり渓ゴルフクラブ特 		2013-1-8	18	園田	1	(馬齢)		1	300	2	1	120	1	11	160	2	9.0	410	8.0	1-11	500	2	1-11	240	1	1-9	1,540	19	9-11	1,150	13	1=>11	810	1	1-9-11	6320	20	1=>11=>9	24790	70	792101115843612	792101115843612	971114108231265	9,7,11,1,4,(2,10),8,12,6,3,5			1-8	490.0	1.0
201350010811	ダ	右	1400	晴	良	16:20	C1		2013-1-8	18	園田	1	(馬齢)		9	100	1	9	100	1	1	130	2	6.0	210	4.0	1-9	310	1	1-9	170	1	6-9	200	2	1-6	510	7	9=>1	390	1	1-6-9	1000	3	9=>1=>6	2060	3	9,2,(1,3),12,8,5,10,(4,6),7-11	9,2,1,12,3,8,5,10,6,4,7-11	9,2,1,(7,12),6,8,10,5,4,3,11	9,1,2,6,8,(7,12),5,10,4,3,11			1-7	390.0	1.0
201350011001	ダ	右	1400	晴	良	11:10	C3三		2013-1-10	18	園田	3	(馬齢)		2	300	2	2	100	1	6	100	2	3.0	520	9.0	2-6	390	1	2-6	260	1	2-3	3,610	31	3-6	2,980	29	2=>6	810	2	2-3-6	9460	27	2=>6=>3	25900	81	2,9,8,5,3,4,1,(7,10),6	29835417106	28953746110	2,9,8,(3,5),(6,7),4,1,10			2-6	330.0	1.0
201350011002	ダ	右	1400	晴	良	11:40	C3二		2013-1-10	18	園田	3	(馬齢)		2	120	1	2	110	1	9	550	9	7.0	150	2.0	2-9	2570	8	2-9	720	8	2-7	160	1	7-9	2,060	22	2=>9	1500	6	2-7-9	2720	12	2=>9=>7	9610	34	17694105238	1,7,6,4,(5,9),10,3,2,8	1,7,9,10,6,5,2,(4,8),3	7,1,9,10,5,2,6,(3,8),4			2-8	460.0	3.0
201350011003	ダ	右	1400	晴	良	12:10	C3一		2013-1-10	18	園田	3	(馬齢)		2	120	1	2	100	1	7	110	2	5.0	150	4.0	2-7	290	1	2-7	140	1	2-5	260	4	5-7	350	5	2=>7	350	1	2-5-7	580	2	2=>7=>5	1330	3	82104769513	82104769513	72108549631	27105893461			2-7	200.0	1.0
201350011004	ダ	右	1400	晴	良	12:40	C2		2013-1-10	18	園田	3	牝(馬齢)		4	140	1	4	220	2	1	450	3				1-4	760	4	1-4	260	2	4-6	270	3	1-6	1,060	13	4=>1	770	5	1-4-6	1180	5	4=>1=>6	4290	15	4321657	4321657	4312657	4,2,(1,3),6,7,5					
201350011501	ダ	右	1400	晴	不良	11:10	C3三		2013-1-15	18	園田	4	(馬齢)		1	180	1	1	110	1	4	110	2	10.0	350	6.0	1-4	330	2	1-4	210	2	1-10	1,060	11	4-10	1,040	10	1=>4	400	2	1-4-10	2650	7	1=>4=>10	4860	15	3,4,8,1,5,10,2,7,6-9	3,4,8,1,5,10,2,7,6-9	3,4,1,10,(5,8),2,7,6=9	3,4,1,10,5,2,7,8,6=9			1-4	330.0	1.0
201350011502	ダ	右	1400	晴	不良	11:40	C3二		2013-1-15	18	園田	4	(馬齢)		7	330	3	7	110	2	3	100	1	4.0	120	3.0	3-7	370	2	3-7	160	2	4-7	230	3	3-4	160	1	7=>3	1180	6	3-4-7	320	1	7=>3=>4	2800	7	3,7,5,(1,9),2,6,4,10,8	37159624108	3,7,4,5,1,(2,9),8,10,6	3,7,4,1,(5,8,10),2,9,6			3-7	350.0	2.0
201350011503	ダ	右	1400	晴	不良	12:10	C3一		2013-1-15	18	園田	4	(馬齢)		10	8350	9	10	630	9	4	390	6	5.0	200	3.0	4-10	41090	39	4-10	6,100	35	5-10	5,450	31	4-5	1,170	13	10=>4	103470	77	4-5-10	68990	92	10=>4=>5	1097610	625	51049378261	51049378261	5,10,9,4,7,(3,8),6,2,1	51049738621			4-8	2130.0	7.0
