	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
200644011801	ダ	右	1200	曇	稍重	10:50	3歳		2006-1-18	17	大井	3	25万円未満																																								1,5,(7,8),2,13,3,12,4,6,(11,10),9	(1,5),7,2,13,8,(3,4,12),6,(11,10),9	12.6 - 11.2 - 12.1 - 13.7 - 13.1 - 14.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 23.8 - 35.9 - 49.6 - 62.7 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 - 76.9 (35.9-41.0)			
200644011802	ダ	右	1400	曇	稍重	11:20	3歳		2006-1-18	17	大井	3	25万円未満																																							3,(2,4,6),7,1,(8,9),5	(3,4),6,2,1,7,8,5,9	(3,4,6),1,2,(7,8),5,9	13.1 - 11.9 - 12.5 - 13.3 - 13.9 - 13.2 - 13.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.1 - 25.0 - 37.5 - 50.8 - 64.7 - 77.9 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 - 91.8 (37.5-41.0)			
200644011803	ダ	右	1200	曇	稍重	11:50	3歳		2006-1-18	17	大井	3	25万円以上60万円未満																																								(3,10),7,(2,9),4,8,6,5,1	3,10,2,7,4,(8,9),6,5-1	12.6 - 11.2 - 11.7 - 12.9 - 12.9 - 14.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.6 - 23.8 - 35.5 - 48.4 - 61.3 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 - 75.6 (35.5-40.1)			
200644011804	ダ	右	1500	曇	稍重	12:20	3歳		2006-1-18	17	大井	3	25万円以上60万円未満																																						(1,10),(2,12),(6,11),3,7,4,8,5,9	1,10,(2,12),(6,11),(3,7),4,8,5,9	1,10,2,12,(7,11),4,3,6,9,8,5	1,10,(2,12),(7,4),11,(3,9),8,5,6	7.2 - 11.7 - 12.6 - 12.9 - 12.9 - 14.0 - 14.3 - 13.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	7.2 - 18.9 - 31.5 - 44.4 - 57.3 - 71.3 - 85.6 - 99.5 - 99.5 - 99.5 - 99.5 - 99.5 - 99.5 - 99.5 - 99.5 (31.5-42.2)			
200644011805	ダ	右	1400	曇	稍重	12:50	4歳		2006-1-18	17	大井	3	95万円以上130万円未満																																							2,5,4,13,(1,7),11,(3,6,12),8,9,(10,14)	(2,5),4,7,13,11,1,12,3,8,14,6,9,10	2,(5,11),4,7,13,12,3,1,8,14,6,10,9	13.4 - 11.4 - 11.7 - 12.6 - 13.8 - 12.9 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.4 - 24.8 - 36.5 - 49.1 - 62.9 - 75.8 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 - 89.4 (36.5-40.3)			
200644011806	ダ	右	1600	曇	稍重	13:20	C3　4歳　選抜牝馬		2006-1-18	17	大井	3																																							5,8,(4,13),6,(1,12),(7,11),3,2,10,9	5,8,13,4,6,12,1,11,(7,3),2,10,9	8,(5,13),12,4,6,3,1,11,10,(7,2),9	8,(5,13),4,12,6,(1,3),10,11,(7,2),9	12.5 - 12.9 - 13.5 - 13.3 - 12.9 - 12.7 - 13.1 - 13.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 25.4 - 38.9 - 52.2 - 65.1 - 77.8 - 90.9 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 - 104.2 (38.9-39.1)			
200644011807	ダ	右	1600	曇	稍重	13:50	C3四		2006-1-18	17	大井	3																																							12,3,11,(1,10),5,9,2,7,8,4,6	12,3,11,1,10,5,(2,9),7,4,8,6	123111052179486	123115102714986	12.8 - 12.0 - 12.4 - 12.3 - 12.7 - 13.5 - 13.9 - 14.2 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.8 - 24.8 - 37.2 - 49.5 - 62.2 - 75.7 - 89.6 - 103.8 - 103.8 - 103.8 - 103.8 - 103.8 - 103.8 - 103.8 - 103.8 (37.2-41.6)			
200644011808	ダ	右	1400	曇	稍重	14:20	C2七　八		2006-1-18	17	大井	3																																								1,6,13,(3,8),5,9,(2,4),11,10,12	1613358924111012	1,6,(3,13),5,8,4,(2,9),10,11,12	13.2 - 11.4 - 11.8 - 12.3 - 13.4 - 12.7 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.2 - 24.6 - 36.4 - 48.7 - 62.1 - 74.8 - 88.4 - 88.4 - 88.4 - 88.4 - 88.4 - 88.4 - 88.4 - 88.4 - 88.4 (36.4-39.7)			
200644011809	ダ	右	1600	曇	稍重	14:50	C2七　八		2006-1-18	17	大井	3																																							8,(5,10),(3,7,6),4,1,9,2	8,10,(3,5,6),7,1,4,(2,9)	8,9,(3,10),(1,5,6),4,7,2	8,(9,10),3,(1,5),6,(7,4),2	13.0 - 12.7 - 13.1 - 12.7 - 11.9 - 13.5 - 13.3 - 13.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.0 - 25.7 - 38.8 - 51.5 - 63.4 - 76.9 - 90.2 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 - 103.6 (38.8-40.2)			
200644011810	ダ	右	1200	曇	稍重	15:25	赤坂特別 		2006-1-18	17	大井	3																																									1,7,8,4,5,(11,12),9,2,3,10,13,6	1,7,4,5,8,(2,12),9,11,3,10,(6,13)	12.3 - 11.0 - 11.6 - 12.6 - 12.5 - 13.6 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.3 - 23.3 - 34.9 - 47.5 - 60.0 - 73.6 - 73.6 - 73.6 - 73.6 - 73.6 - 73.6 - 73.6 - 73.6 - 73.6 - 73.6 (34.9-38.7)			
200644011811	ダ	右	1800	曇	稍重	16:05	TCK女王盃	G3	2006-1-18	17	大井	3	牝(別定)																																						2,5,(1,12),11,4,9,7,(6,8),10,3,13,14	2,5,(1,12),11,4,9,6,7,8,(3,10),13,14	2,5,12,(1,11),9,4,7,6,10,3,8,13,14	2,5,(1,12,11),9,7,(6,10),4,13,3,8,14	12.9 - 12.1 - 13.0 - 12.7 - 12.4 - 12.4 - 12.9 - 12.3 - 13.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.9 - 25.0 - 38.0 - 50.7 - 63.1 - 75.5 - 88.4 - 100.7 - 113.8 - 113.8 - 113.8 - 113.8 - 113.8 - 113.8 - 113.8 (38.0-38.3)			
200644011901	ダ	右	1200	晴	良	11:00	3歳		2006-1-19	17	大井	4	25万円未満																																								8,4,(10,11),2,1,3,6,7,9,5	8,2,(4,11),(3,1),10,6,7,9-5	12.9 - 11.5 - 12.2 - 13.8 - 12.9 - 13.5 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.9 - 24.4 - 36.6 - 50.4 - 63.3 - 76.8 - 76.8 - 76.8 - 76.8 - 76.8 - 76.8 - 76.8 - 76.8 - 76.8 - 76.8 (36.6-40.2)			
200644011902	ダ	右	1400	晴	良	11:30	3歳		2006-1-19	17	大井	4	25万円未満																																							127853964	1,2,8,(3,7),9,5,6,4	1,8,(3,2,9),7,(5,6),4	13.6 - 12.0 - 12.3 - 13.0 - 14.1 - 13.2 - 13.8 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.6 - 25.6 - 37.9 - 50.9 - 65.0 - 78.2 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 - 92.0 (37.9-41.1)			
