	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
200658051110	ダ	右	1000	晴	良	15:35	D2　ー1組		2006-5-11	1	札幌(地)	5	60万円以下	(規定)	7	260	2	7	110	2	4	170	5	4-7	1320	4	7=>4	1880	5.0	4-7-9	420	1.0	7=>4=>9	2780	8.0			7,4,9,3,8,2,(5,6),1	749382561			9.0	100.0	1.0	4-7	990.0	3.0
200658051111	ダ	右	1700	晴	良	16:10	ザッツザプレンティ賞 		2006-5-11	1	札幌(地)	5	400万円以下	(規定)	7	160	1	7	100	1	1	260	6	1-7	900	4	7=>1	1030	3.0	1-7-8	1110	5.0	7=>1=>8	4920	19.0	8,6,(1,3,7,11),2,9,4,5,10	8,6,1,3,2,7,(4,11),9,5-10	8,6,(1,3,7),(2,4,11),9-5-10	(8,7),(1,6),4,(2,9,3),11,5-10			8.0	170.0	4.0	1-6	750.0	5.0
200658051112	ダ	右	1700	晴	良	16:45	えぞ松特別 		2006-5-11	1	札幌(地)	5	60万円以下	(規定)	2	230	1	2	140	2	4	1,150	10	2-4	4260	14	2=>4	7180	22.0	2-4-11	16970	45.0	2=>4=>11	65600	167.0	(2,11),13,14,4,(5,12),1,(9,10),3,7,8,6	(2,11),13,4,(5,14),(1,9,10,12),3-7,8,6	2,(11,13),(4,5),(14,12),(3,9,10),8,1,7-6	2,11,(4,5,13),(3,10),(9,14,12),8-1,7,6			11.0	420.0	6.0	2-3	810.0	3.0
200658051601	ダ	右	1000	晴	良	11:00	3歳　条件		2006-5-16	2	札幌(地)	1	(規定)		4	700	4	4	130	3	8	100	1	4-8	470	1	4=>8	930	4.0	4-6-8	440	1.0	4=>8=>6	2550	6.0			4,(5,6,7,8),2,9,1,3,10	4,(2,5,6,7,8),(1,9),3-10			6.0	120.0	2.0	4-7	330.0	1.0
200658051602	ダ	右	1000	晴	良	11:30	3歳　条件		2006-5-16	2	札幌(地)	1	100万円以下	(規定)	3	120	1	3	120	1	7	600	6	3-7	680	3	3=>7	840	3.0	1-3-7	440	2.0	3=>7=>1	2110	6.0			3,(1,7),4,2,(5,6)	3,7,1,2,(4,6),5								
200658051603	ダ	右	1000	晴	良	12:05	D3　ー4組		2006-5-16	2	札幌(地)	1	40万円以下	(規定)	6	150	1	6	100	1	4	110	3	4-6	370	2	6=>4	550	2.0	2-4-6	350	1.0	6=>4=>2	1080	2.0			(4,6),2,1,(8,7),5,3	(4,6),2,1,8,7,(3,5)			2.0	100.0	2.0			
200658051604	ダ	右	1600	晴	良	12:40	D3　ー3組		2006-5-16	2	札幌(地)	1	40万円以下	(規定)	7	1390	7	7	340	7	6	140	2	6-7	4570	14	7=>6	12850	34.0	3-6-7	19240	43.0	7=>6=>3	85190	174.0	(1,2),(6,5),(3,8),7,4	1,(2,6),(3,5),8,7,4	(1,2),(3,6,5,8),7,4	(3,1,2,8),(6,7,5),4			3.0	250.0	4.0			
200658051605	ダ	右	1000	晴	良	13:15	D3　ー3組		2006-5-16	2	札幌(地)	1	40万円以下	(規定)	9	250	1	9	100	1	8	150	4	8-9	940	3	9=>8	1020	4.0	7-8-9	520	2.0	9=>8=>7	3320	8.0			(3,9),(4,7),8,6,2,5,1	(3,9,7,8),4,(2,6)-5,1			7.0	120.0	2.0	8-8	750.0	3.0
200658051606	ダ	右	1000	晴	良	13:50	D2　ー2組		2006-5-16	2	札幌(地)	1	60万円以下	(規定)	4	230	1	4	100	1	1	380	7	1-4	1620	6	4=>1	1490	6.0	1-4-6	6130	17.0	4=>1=>6	16850	54.0			2,4,6,7,(1,3),8,5	2,4,(6,7),(1,3),8,5			6.0	190.0	5.0			
200658051607	ダ	右	1700	晴	良	14:25	フレッシュチャレンジ		2006-5-16	2	札幌(地)	1	(規定)		8	260	2	8	110	1	7	110	2	7-8	250	1	8=>7	530	2.0	4-7-8	490	2.0	8=>7=>4	1370	3.0	(7,8),5,3,(1,4),6,2	(7,8),(5,3,4),(1,6),2	(7,8)-(5,3),4,1,6=2	(7,8),(5,3,4),(1,6)=2			4.0	120.0	3.0			
200658051608	ダ	右	1000	晴	良	15:00	D3　ー2組		2006-5-16	2	札幌(地)	1	40万円以下	(規定)	8	270	1	8	110	2	6	660	9	6-8	3840	14	8=>6	5350	18.0	6-8-10	3970	12.0	8=>6=>10	28170	80.0			6,(8,11),(3,10),(2,7),9,(1,4,5)	6,(3,8),(7,10,11),(2,9),(1,4,5)			10.0	100.0	1.0	6-7	2030.0	8.0
200658051609	ダ	右	1700	晴	良	15:35	元町特別 		2006-5-16	2	札幌(地)	1	130万円以下	(規定)	6	930	6	6	160	3	7	180	5	6-7	2160	10	6=>7	5580	24.0	2-6-7	2410	10.0	6=>7=>2	30120	104.0	10,(6,5),(3,4),2,(1,9),8,7	(10,6),(3,5),2,(1,4),9,8,7	7,(10,6),3,5,2,4,(1,9),8	(7,6),(10,2),(3,5),4,(1,9),8			2.0	150.0	1.0	6-7	1160.0	4.0
200658051610	ダ	右	1700	晴	良	16:10	トウカイテイオー賞 		2006-5-16	2	札幌(地)	1	160万円以下	(規定)	3	610	3	3	180	4	10	150	2	3-10	880	3	3=>10	1770	7.0	2-3-10	2350	9.0	3=>10=>2	11930	37.0	10,8,(3,7,12),(2,4,6,11),(1,5,9)	10,8,3,(2,7,12),11,(4,6),1,9,5	10,8,(2,3),(12,11),4,7,6,(1,5,9)	10,3,(2,12),11,(8,4),(1,5,6,7,9)			2.0	200.0	5.0	3-7	950.0	3.0
200658051611	ダ	右	1700	晴	良	16:45	中山峠特別 		2006-5-16	2	札幌(地)	1	130万円以下	(規定)	9	860	5	9	330	4	5	180	2	5-9	1060	4	9=>5	3110	11.0	1-5-9	5890	21.0	9=>5=>1	55430	164.0	3,9,(12,13),(2,4,10),(5,11),(1,6,7,8)	3,9,(2,12),(4,13),(5,10),11,(1,6),7,8	3,(2,9),12,(5,13),(1,4,10,11),(6,7),8	(2,5,3,9,12,13,11),(1,4,10,7),(6,8)			1.0	400.0	6.0	4-6	1230.0	6.0
200658051701	ダ	右	1600	晴	良	10:30	D3　ー4組		2006-5-17	2	札幌(地)	2	40万円以下	(規定)	5	110	1	5	100	1	6	730	7	5-6	3040	9	5=>6	6860	14.0	4-5-6	11960	19.0	5=>6=>4	70300	73.0	(2,6),7,(1,4,5),3	(2,6),7,(1,4),(3,5)	(2,5),(6,7),4,3,1	(2,5),(6,4),3,(1,7)								
200658051702	ダ	右	1600	晴	良	11:00	3歳　条件		2006-5-17	2	札幌(地)	2	(規定)		10	2580	6	10	380	6	8	580	7	8-10	11180	24	10=>8	20840	50.0	6-8-10	6120	24.0	10=>8=>6	58890	163.0	(2,7),8,(3,9),(6,10),(4,5),1	2,7,(3,8),6,(4,9,10,5),1	(2,7,8),3,(6,5),4,9,10,1	(7,8),(3,6),(2,5),(1,4,9,10)			6.0	100.0	1.0	7-8	1320.0	6.0
200658051703	ダ	右	1000	晴	良	11:30	ルーキーチャレンジ競		2006-5-17	2	札幌(地)	2	(規定)		6	440	2	6	130	2	9	110	1	6-9	780	4	6=>9	1960	8.0	6-8-9	420	1.0	6=>9=>8	3320	9.0			(6,9),(8,10),11,7,4,(2,3,5)	6,9,8,10,11,(7,4),(2,5),3			8.0	140.0	3.0	6-7	220.0	1.0
200658051704	ダ	右	1700	晴	良	12:00	D3　ー2組		2006-5-17	2	札幌(地)	2	40万円以下	(規定)	1	190	1	1	110	1	10	130	3	1-10	750	4	1=>10	1130	4.0	1-4-10	800	3.0	1=>10=>4	3390	9.0	(1,4),(2,7),8,5,10,3,11,(6,9)	4,(1,7),(2,5,8),10,3,11,6,9	(1,4),(7,8),(2,5),10,3,6,11,9	(1,4,10),(2,5,7),8,(3,11),6,9			4.0	110.0	2.0	1-8	690.0	3.0
200658051705	ダ	右	1000	晴	良	12:35	フレッシュチャレンジ		2006-5-17	2	札幌(地)	2	牝(規定)		5	380	2	5	130	2	2	150	3	2-5	1340	5	5=>2	2030	7.0	2-5-7	560	1.0	5=>2=>7	3900	14.0			(5,7),(1,8),2,4,3-6	5,7,(1,2),8,4,3=6			7.0	110.0	1.0			
200658051706	ダ	右	1000	晴	良	13:10	フレッシュチャレンジ		2006-5-17	2	札幌(地)	2	(規定)		6	780	4	6	230	4	7	110	1	6-7	460	2	6=>7	2060	8.0	3-6-7	860	3.0	6=>7=>3	9350	33.0			(1,6),7,5,(2,3,8),4,9	6,(1,7),(5,3),(2,8),(4,9)			3.0	170.0	3.0	6-7	560.0	3.0
200658051707	ダ	右	1700	晴	良	13:45	D2　ー1組		2006-5-17	2	札幌(地)	2	60万円以下	(規定)	4	440	3	4	140	2	6	250	5	4-6	770	3	4=>6	1450	3.0	4-6-8	1550	5.0	4=>6=>8	7820	23.0	3,(2,4,6),(1,5,7),8	3,(2,4),6,(1,5,7),8	(3,2,4),6,(5,7),1,8	4,6,7,(1,2,5),8,3			8.0	180.0	4.0			
200658051708	ダ	右	1000	晴	良	14:20	D1　ー2組		2006-5-17	2	札幌(地)	2	80万円以下	(規定)	1	650	3	1	130	2	3	110	1	1-3	400	1	1=>3	990	4.0	1-3-6	1430	6.0	1=>3=>6	6810	23.0			3,7,(1,2),4,8,(5,6),9	3,7,(1,2),(8,4),(5,9),6			6.0	340.0	7.0	1-3	410.0	1.0
200658051709	ダ	右	1700	晴	良	14:55	3歳　条件		2006-5-17	2	札幌(地)	2	100万円以下	(規定)	4	150	1	4	110	1	9	200	4	4-9	830	4	4=>9	1050	4.0	4-8-9	630	1.0	4=>9=>8	2850	8.0	(3,4),6,(5,8),(1,9),7,2	(3,4),6,(5,8),1,9,7,2	463851972	4,6,(3,5,1),(9,7),8,2			8.0	120.0	2.0	4-8	210.0	1.0
200658051710	ダ	右	1000	晴	良	15:30	中島公園特別 		2006-5-17	2	札幌(地)	2	150万円以下	(規定)	6	560	3	6	240	3	8	1,170	9	6-8	10150	25	6=>8	49170	59.0	2-6-8	56910	81.0	6=>8=>2	718710	583.0			(4,5,6),(2,8),1,(3,9,10),7,12,11	(4,5,6),(2,8),1,(3,9,10),(7,12),11			2.0	390.0	5.0	5-6	2110.0	8.0
200658051711	ダ	右	1700	晴	良	16:05	創成川特別 		2006-5-17	2	札幌(地)	2	800万円以下	(別定)	7	680	3	7	280	4	1	450	8	1-7	12290	26	7=>1	26660	59.0	1-2-7	34460	72.0	7=>1=>2	283210	457.0	(7,8,9),(2,11),(3,6),(4,13),(5,12),1,10	9,7,8,11,(2,6,13),(4,3),12,5,1,10	(9,7,8),11,(6,13),2,12,(4,3),1,(10,5)	(9,7),(2,8,11),13,(6,1),(4,12),(3,10),5			2.0	380.0	7.0	1-5	8030.0	21.0
200658051712	ダ	右	1000	晴	良	16:45	上富良野町美味かみふ 		2006-5-17	2	札幌(地)	2	100万円以下	(規定)	8	370	2	8	150	2	7	160	3	7-8	680	3	8=>7	1320	5.0	4-7-8	3460	10.0	8=>7=>4	11710	36.0			(6,8),11,7,3,(2,9),(4,12),1,10,5	(6,8),(11,7),(2,3),4,(9,12),1,(5,10)			4.0	350.0	5.0	6-6	1040.0	4.0
200658051801	ダ	右	1600	晴	良	10:30	3歳　条件		2006-5-18	2	札幌(地)	3	100万円以下	(規定)	3	300	2	3	190	3	2	170	2	2-3	510	3	3=>2	1250	4.0	2-3-6	450	1.0	3=>2=>6	1880	1.0	4,(3,5),(1,7),2,6	4,(3,5),7,(1,2,6)	(4,3),(5,7),(1,2,6)	(4,3,5,6),(1,2,7)								
200658051802	ダ	右	1600	晴	良	11:00	3歳　条件		2006-5-18	2	札幌(地)	3	100万円以下	(規定)	2	370	2	2	200	2	6	910	6	2-6	3010	9	2=>6	3700	14.0	2-4-6	2150	9.0	2=>6=>4	14250	48.0	(2,4,6),5,(1,7)	2,4,6,(5,1),7	246157	2,4,6,(5,1),7								
200658051803	ダ	右	1000	晴	良	11:30	2歳　未勝利		2006-5-18	2	札幌(地)	3	(規定)		8	110	1	8	100	1	5	380	8	5-8	2930	9	8=>5	2630	9.0	2-5-8	2370	8.0	8=>5=>2	18580	56.0			8,(3,4),5,(2,6),(7,11),1,10,9	(8,5),(3,4),2,(7,11),(1,6),9,10			2.0	160.0	2.0	5-7	2410.0	9.0
200658051804	ダ	右	1000	晴	良	12:00	3歳　条件		2006-5-18	2	札幌(地)	3	(規定)		8	460	2	8	100	2	3	100	1	3-8	200	1	8=>3	470	2.0	3-6-8	560	2.0	8=>3=>6	2010	5.0			(3,8,10),6,5,(1,7),(4,9),2	8,(3,10,6),5,(1,7,4),(2,9)			6.0	130.0	3.0	3-7	210.0	1.0
200658051805	ダ	右	1700	晴	良	12:30	D3　ー1組		2006-5-18	2	札幌(地)	3	40万円以下	(規定)	2	190	1	2	100	1	4	180	4	2-4	390	2	2=>4	650	2.0	2-4-8	4400	12.0	2=>4=>8	7520	20.0	2,4,(6,5,9),8,7,3,1	2,(4,5),9,6,8,7,3-1	(2,4),5-9,6,8,7,3-1	2,4,5-8,9,(6,7),3,1			8.0	410.0	7.0	2-4	540.0	2.0
200658051806	ダ	右	1000	晴	良	13:05	ルーキーチャレンジ競		2006-5-18	2	札幌(地)	3	(規定)		1	140	1	1	120	2	8	110	1	1-8	150	1	1=>8	330	1.0	1-7-8	600	3.0	1=>8=>7	1430	5.0			1,8,(2,5,7,9),(4,3),6	1,(2,8),7,(5,9),(4,3),6			7.0	280.0	6.0	1-8	150.0	1.0
200658051807	ダ	右	1000	晴	良	13:40	フレッシュチャレンジ		2006-5-18	2	札幌(地)	3	牝(規定)		6	130	1	6	110	2	2	160	3	2-6	720	4	6=>2	820	4.0	2-3-6	1370	5.0	6=>2=>3	4400	12.0			(1,2,6),(3,8,9),(5,7),4	(1,2,6),3,8,7,9,5,4			3.0	110.0	1.0	2-6	880.0	5.0
200658051809	ダ	右	1700	晴	良	14:50	白石特別 		2006-5-18	2	札幌(地)	3	100万円以下	(規定)	6	460	2	6	190	3	9	210	4	6-9	3570	17	6=>9	5620	30.0	1-6-9	2730	11.0	6=>9=>1	27310	105.0	8,(1,9),(2,4),(5,7),(3,6,10)	8,9,1,(2,4),7,5,6,10,3	(8,9),1,4,(2,7),5,6,10,3	(8,9),1,4,(5,2,7),6,10-3			1.0	160.0	1.0	6-8	1210.0	7.0
