	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200630042007	ダ	右	1700	雨	良	13:50	D2　ー1組		2006-4-20	1	門別	2	60万円以下	(規定)	7	170	1	7	140	2	10	320	6	5.0	560	8.0	7-8	360.0	1.0	7-10	1420	6	7=>10	1650	7	5-7-10	11310	39	7=>10=>5	26910	89						
200630042008	ダ	右	1800	雨	良	14:25	C4　ー2組		2006-4-20	1	門別	2	100万円以下	(規定)	6	390	2	6	170	2	2	180	3	4.0	250	6.0				2-6	2080	11	6=>2	3730	16	2-4-6	4610	20	6=>2=>4	19440	74						
200630042009	ダ	右	1200	曇	良	15:00	ホクレンえん麦特別 		2006-4-20	1	門別	2	100万円以下	(規定)	4	570	4	4	280	4	11	340	5	12.0	350	6.0	4-8	1280.0	6.0	4-11	2250	13	4=>11	4090	21	4-11-12	6170	23	4=>11=>12	35250	127						
200630042010	ダ	右	1800	曇	良	15:35	みついし農業協同組合 		2006-4-20	1	門別	2	160万円以下	(規定)	7	600	4	7	250	5	8	240	4	3.0	490	8.0	5-5	2150.0	12.0	7-8	1830	7	7=>8	2770	10	3-7-8	20420	54	7=>8=>3	147240	373						
200630042011	ダ	右	1800	曇	良	16:10	日高獣医師会特別 		2006-4-20	1	門別	2	600万円以下	(別定)	5	230	1	5	140	1	9	220	4	11.0	290	7.0	5-7	580.0	2.0	5-9	540	1	5=>9	760	1	5-9-11	1000	1	5=>9=>11	3060	1						
200630042012	ダ	右	1200	曇	良	16:45	大空町誕生記念芝桜ま 		2006-4-20	1	門別	2	(別定)		3	350	1	3	170	2	1	260	6	7.0	190	3.0	1-3	1030.0	4.0	1-3	1550	7	3=>1	2280	7	1-3-7	5310	23	3=>1=>7	16790	56						
200630042601	ダ	右	1000	曇	重	10:30	3歳　条件		2006-4-26	1	門別	3	(規定)		7	1210	5	7	210	3	4	430	6	1.0	320	5.0				4-7	5670	18	7=>4	14430	32	1-4-7	6440	22	7=>4=>1	203880	245						
200630042602	ダ	右	1000	晴	重	11:00	3歳　条件		2006-4-26	1	門別	3	(規定)		9	180	1	9	100	1	3	130	3	6.0	100	2.0	3-8	260.0	1.0	3-9	270	1	9=>3	360	1	3-6-9	180	1	9=>3=>6	670	1						
200630042603	ダ	右	1700	晴	重	11:30	D3　ー2組		2006-4-26	1	門別	3	40万円以下	(規定)	8	210	2	8	120	2	3	110	1	2.0	340	7.0				3-8	320	1	8=>3	630	2	2-3-8	2190	7	8=>3=>2	6940	19						
200630042604	ダ	右	1200	晴	重	12:00	3歳　条件		2006-4-26	1	門別	3	(規定)		11	830	3	11	130	2	2	110	1	12.0	190	4.0	2-8	380.0	2.0	2-11	550	2	11=>2	1450	5	2-11-12	1140	3	11=>2=>12	9650	33						
200630042605	ダ	右	1200	晴	稍重	12:35	D3　ー1組		2006-4-26	1	門別	3	40万円以下	(規定)	5	460	3	5	140	2	1	190	3	10.0	290	6.0	1-5	1180.0	6.0	1-5	1230	6	5=>1	2690	14	1-5-10	4480	17	5=>1=>10	41860	139						
200630042606	ダ	右	1200	晴	稍重	13:05	フレッシュチャレンジ		2006-4-26	1	門別	3	(規定)		9	750	4	9	200	4	4	130	1	6.0	210	5.0	4-8	320.0	1.0	4-9	780	2	9=>4	1720	7	4-6-9	1730	6	9=>4=>6	9070	26						
200630042607	ダ	右	1200	晴	稍重	13:35	D2　ー2組		2006-4-26	1	門別	3	60万円以下	(規定)	5	810	2	5	140	2	9	130	1	3.0	300	8.0	5-7	430.0	1.0	5-9	400	1	5=>9	1150	4	3-5-9	2130	5	5=>9=>3	11460	34						
200630042608	ダ	右	1700	晴	稍重	14:10	D2　ー2組		2006-4-26	1	門別	3	60万円以下	(規定)	2	1860	6	2	330	6	8	180	2	3.0	300	5.0				2-8	3420	12	2=>8	5340	19	2-3-8	5840	19	2=>8=>3	47660	129						
200630042609	ダ	右	1800	晴	稍重	14:45	日高生産連特別 		2006-4-26	1	門別	3	100万円以下	(規定)	8	3200	8	8	580	8	5	270	4	3.0	160	3.0				5-8	21060	28	8=>5	35340	47	3-5-8	14770	38	8=>5=>3	243640	295						
200630042701	ダ	右	1700	曇	稍重	10:30	3歳　条件		2006-4-27	1	門別	4	(規定)		5	210	1	5	100	1	4	200	5	1.0	140	3.0				4-5	940	4	5=>4	1450	5	1-4-5	1830	6	5=>4=>1	8950	28						
200630042702	ダ	右	1200	曇	稍重	11:00	3歳　条件		2006-4-27	1	門別	4	(規定)		7	640	3	7	240	5	5	110	1	10.0	150	3.0	5-6	460.0	2.0	5-7	650	2	7=>5	2040	7	5-7-10	1260	4	7=>5=>10	8160	24						
200630042703	ダ	右	1000	曇	稍重	11:30	D3　ー2組		2006-4-27	1	門別	4	40万円以下	(規定)	3	560	3	3	150	2	10	100	1	12.0	180	3.0	3-7	620.0	2.0	3-10	540	2	3=>10	2300	8	3-10-12	960	2	3=>10=>12	7860	22						
200630042610	ダ	右	1200	晴	稍重	15:20	日高町合併記念賞		2006-4-26	1	門別	3	60万円以下	(規定)	8	200	1	8	130	2	7	110	1	9.0	180	4.0	6-7	190.0	1.0	7-8	240	1	8=>7	800	2	7-8-9	1710	4	8=>7=>9	6700	18						
200630042611	ダ	右	1800	晴	稍重	15:55	日高こんぶ特別 		2006-4-26	1	門別	3	200万円以下	(規定)	4	510	3	4	180	2	6	340	7	1.0	250	5.0	4-5	1700.0	7.0	4-6	2070	8	4=>6	2770	11	1-4-6	10640	34	4=>6=>1	46340	148						
200630042704	ダ	右	1000	曇	稍重	12:00	D3　ー1組		2006-4-27	1	門別	4	40万円以下	(規定)	5	280	2	5	180	2	10	450	8	12.0	2,040	12.0	5-7	380.0	2.0	5-10	1610	5	5=>10	2220	8	5-10-12	43570	86	5=>10=>12	162240	283						
200630042705	ダ	右	1700	曇	稍重	12:35	D3　ー1組		2006-4-27	1	門別	4	40万円以下	(規定)	8	200	1	8	140	1	10	140	3	11.0	850	11.0	7-8	570.0	3.0	8-10	870	3	8=>10	790	2	8-10-11	8920	27	8=>10=>11	24920	75						
200630042706	ダ	右	1000	曇	稍重	13:05	フレッシュチャレンジ		2006-4-27	1	門別	4	(規定)		5	240	1	5	110	1	6	120	2	2.0	140	4.0				5-6	240	1	5=>6	550	2	2-5-6	370	1	5=>6=>2	1290	1						
200630042707	ダ	右	1000	曇	稍重	13:35	フレッシュチャレンジ		2006-4-27	1	門別	4	(規定)		1	1980	6	1	270	6	8	120	1	2.0	140	3.0	1-8	1630.0	7.0	1-8	1920	8	1=>8	10360	29	1-2-8	2130	9	1=>8=>2	27370	76						
200630042708	ダ	右	1800	曇	稍重	14:10	花水車賞 		2006-4-27	1	門別	4	60万円以下	(規定)	2	170	1	2	110	1	3	130	2	7.0	190	5.0				2-3	280	1	2=>3	450	1	2-3-7	510	2	2=>3=>7	1270	2						
200630042709	ダ	右	1000	曇	稍重	14:45	3歳　条件		2006-4-27	1	門別	4	100万円以下	(規定)	8	230	1	8	120	1	6	140	2	10.0	190	5.0	6-7	240.0	1.0	6-8	280	1	8=>6	500	1	6-8-10	930	3	8=>6=>10	2310	2						
200630042710	ダ	右	1200	曇	稍重	15:20	門別町建設協会特別 		2006-4-27	1	門別	4	80万円以下	(規定)	5	110	1	5	140	1	13	170	3	11.0	160	2.0	3-7	680.0	3.0	5-13	840	2	5=>13	840	2	5-11-13	2030	5	5=>13=>11	6480	12						
200630042711	ダ	右	1800	曇	稍重	15:55	平取町長杯平取義経特 		2006-4-27	1	門別	4	400万円以下	(規定)	14	4280	9	14	700	8	7	160	2	5.0	1,330	10.0	5-8	390.0	1.0	7-14	2480	7	14=>7	10800	31	5-7-14	35560	71	14=>7=>5	372090	506						
200630042712	ダ	右	1700	曇	稍重	16:30	日高建設協会特別 		2006-4-27	1	門別	4	100万円以下	(規定)	5	280	2	5	110	1	7	250	4	6.0	120	3.0				5-7	720	3	5=>7	1050	3	5-6-7	400	1	5=>7=>6	2210	5						
200630042612	ダ	右	1800	晴	稍重	16:30	日本軽種馬登録協会特 		2006-4-26	1	門別	3	80万円以下	(規定)	7	150	1	7	100	1	3	160	4	1	130	2				3-7	740	4	7=>3	1380	5	1-3-7	1200	4	7=>3=>1	5960	12						
