	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠単:的中	枠単:配当	枠単:人気
200642010309	ダ	左	1600	晴	良	15:00	寿特別 		2006-1-3	9	浦和	3	(別定)																																						2191157634108	2911157643108	2911615107834	(2,11,6),9,10,5,7,3,8,1,4	13.6 - 12.1 - 12.7 - 13.6 - 13.8 - 12.3 - 14.4 - 12.1 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	13.6 - 25.7 - 38.4 - 52.0 - 65.8 - 78.1 - 92.5 - 104.6 - 104.6 - 104.6 - 104.6 - 104.6 - 104.6 - 104.6 - 104.6 (38.4-38.8)			
200642010310	ダ	左	1400	晴	良	15:35	宝登山特別 		2006-1-3	9	浦和	3	(ハンデ)																																						1458761032119	1458671023119	(1,4),(5,8),6,2,10,3,11,9,7	4186311521097	12.1 - 11.0 - 12.4 - 12.6 - 12.1 - 14.1 - 13.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.1 - 23.1 - 35.5 - 48.1 - 60.2 - 74.3 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 - 87.7 (35.5-39.6)			
200642010401	ダ	左	1400	曇	良	10:30	3歳七　八		2006-1-4	9	浦和	4	40万円未満	(別定)																																					91104278536	91014275836	39101827546	32195871064	12.5 - 12.1 - 13.5 - 14.1 - 12.5 - 15.4 - 12.9 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 24.6 - 38.1 - 52.2 - 64.7 - 80.1 - 93.0 - 93.0 - 93.0 - 93.0 - 93.0 - 93.0 - 93.0 - 93.0 - 93.0 (38.1-40.8)			
200642010402	ダ	左	1400	晴	良	11:00	3歳七　八		2006-1-4	9	浦和	4	40万円未満	(別定)																																					5610118234917	5,6,10,11,(2,4),8,3,1,9,7	5,(6,10),11,4,9,1,3,8,2,7	5111046139827	12.5 - 12.1 - 13.6 - 13.9 - 12.6 - 15.1 - 13.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.5 - 24.6 - 38.2 - 52.1 - 64.7 - 79.8 - 93.1 - 93.1 - 93.1 - 93.1 - 93.1 - 93.1 - 93.1 - 93.1 - 93.1 (38.2-41.0)			
200642010403	ダ	左	1400	晴	良	11:30	3歳六		2006-1-4	9	浦和	4	40万円以上62万円未満	(別定)																																					3116189451027	3116198451027	(3,11),9,4,8,6,5,10,2,1,7	1193451028617	12.0 - 11.5 - 13.5 - 14.0 - 12.8 - 15.4 - 13.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.0 - 23.5 - 37.0 - 51.0 - 63.8 - 79.2 - 92.9 - 92.9 - 92.9 - 92.9 - 92.9 - 92.9 - 92.9 - 92.9 - 92.9 (37.0-41.9)			
200642010404	ダ	左	1400	晴	良	12:05	4歳五		2006-1-4	9	浦和	4	20万円以上74万円未満	(別定)																																					111128104672935	111128104672935	111108127692453	110118729126453	12.3 - 12.3 - 13.1 - 13.4 - 13.0 - 15.3 - 13.4 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.3 - 24.6 - 37.7 - 51.1 - 64.1 - 79.4 - 92.8 - 92.8 - 92.8 - 92.8 - 92.8 - 92.8 - 92.8 - 92.8 - 92.8 (37.7-41.7)			
200642010405	ダ	左	1400	晴	良	12:40	C3三　四		2006-1-4	9	浦和	4	(別定)																																						291081115746123	291081117541263	210789111512463	7,(2,11),10,8,12,1,9,5,4,6,3	12.2 - 11.9 - 12.7 - 13.0 - 12.5 - 15.3 - 12.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.2 - 24.1 - 36.8 - 49.8 - 62.3 - 77.6 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 - 89.9 (36.8-40.1)			
200642010406	ダ	左	1400	晴	良	13:15	C3三　四		2006-1-4	9	浦和	4	(別定)																																						127851410932611	127854110932611	128745139102116	812341521179106	12.3 - 11.7 - 12.9 - 13.3 - 12.1 - 14.7 - 12.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.3 - 24.0 - 36.9 - 50.2 - 62.3 - 77.0 - 89.3 - 89.3 - 89.3 - 89.3 - 89.3 - 89.3 - 89.3 - 89.3 - 89.3 (36.9-39.1)			
200642010407	ダ	左	1400	晴	良	13:50	特選		2006-1-4	9	浦和	4	(別定)																																						397811041152126	398711041152126	398114107151262	311947121610852	12.8 - 12.0 - 12.4 - 13.4 - 12.4 - 15.1 - 12.7 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.8 - 24.8 - 37.2 - 50.6 - 63.0 - 78.1 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 - 90.8 (37.2-40.2)			
200642010408	ダ	左	1400	曇	良	14:25	C2六		2006-1-4	9	浦和	4	(別定)																																						391051112817426	391051211817426	910312511786412	10,9,(5,7),8,6,12,4,3,1,11,2	12.4 - 11.8 - 13.0 - 13.1 - 12.3 - 14.6 - 12.3 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0	12.4 - 24.2 - 37.2 - 50.3 - 62.6 - 77.2 - 89.5 - 89.5 - 89.5 - 89.5 - 89.5 - 89.5 - 89.5 - 89.5 - 89.5 (37.2-39.2)			
