	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200710010210	芝	右	1200	曇	良	14:50	かささぎ賞 		2007-1-21	1	小倉	2	3歳500万下	(混)(特指)(馬齢)	6	610	4	6	200	5	8	140	1	1.0	160	3.0	5-6	720.0	3.0	6-8	790	3	6-8	340	3	1-6	480	6	1-8	250	2	6=>8	2120	7	1-6-8	930	2			5-(3,6)9(8,11)7(2,1)(4,12)-10	(*5,6)9,8(3,2,1,11)4(7,12)10	11.7 - 10.2 - 11.1 - 11.7 - 11.6 - 12.2	11.7 - 21.9 - 33.0 - 44.7 - 56.3 - 68.5 (33.0-35.5)	6=>8=>1	7230.0	17.0
200710010211	芝	右	1800	曇	良	15:25	太宰府特別 		2007-1-21	1	小倉	2	4歳以上1000万下	[指](定量)	5	1350	6	5	330	5	13	160	1	1.0	200	3.0	3-7	1490.0	7.0	5-13	2220	5	5-13	750	4	1-5	1,470	21	1-13	610	2	5=>13	5660	19	1-5-13	5490	9	1(4,8)(6,9,13)14-15(2,5,10,11)(7,12,16)3	1,4(6,8)(9,13)(2,5,15,14)11(7,10)(12,16)3	(*1,8)(6,13)(4,9,14)15(2,5,12,16)11(7,10,3)	(*1,8,13)(6,9)(5,14,15)12(10,3)(4,7,11,16)2	12.4 - 11.2 - 12.4 - 12.2 - 11.8 - 11.7 - 11.6 - 11.6 - 12.0	12.4 - 23.6 - 36.0 - 48.2 - 60.0 - 71.7 - 83.3 - 94.9 - 106.9 (36.0-35.2)	5=>13=>1	44960.0	128.0
200710010212	芝	右	2000	曇	良	16:00	背振山特別 		2007-1-21	1	小倉	2	4歳以上500万下	(混)[指](定量)	12	390	1	12	190	4	14	350	5	6.0	180	2.0	7-8	1570.0	7.0	12-14	3260	11	12-14	1,450	15	6-12	440	4	6-14	1,360	13	12=>14	5220	17	6-12-14	5860	12	1(2,5)-(10,11)(3,6,7)-(4,14)15(9,8,12,13)	1,5(2,11)(10,6,7)3(4,14)15(9,12,13)8	(*5,11,7)(1,2,6,3)(10,9,15,14,12)(4,8)13	11(5,6)(7,3)(2,9,15,14,12)(10,8)(4,13)=1	11.9 - 10.9 - 11.4 - 12.5 - 12.2 - 12.0 - 12.3 - 12.3 - 12.2 - 12.1	11.9 - 22.8 - 34.2 - 46.7 - 58.9 - 70.9 - 83.2 - 95.5 - 107.7 - 119.8 (34.2-36.6)	12=>14=>6	36990.0	93.0
200710010301	ダ	右	1700	曇	稍重	09:50	3歳未勝利		2007-1-27	1	小倉	3	3歳未勝利	(混)[指](馬齢)	13	11560	11	13	2,460	13	2	210	4	12.0	190	3.0	2-8	2270.0	9.0	2-13	47950	58	2-13	7,730	53	12-13	6,000	48	2-12	650	6	13=>2	124720	124	2-12-13	54100	112	(*4,13)(9,11)8,12(2,10)3,6-7,1-5	(4,*13)-(9,11)8,12(2,10)3,6-7,1-5	(*13,4)11(9,12)(2,8,10)(6,3,1)-7,5	13,4(9,11)12(2,8)(6,10)(3,1)-(5,7)	7.1 - 11.2 - 11.8 - 12.8 - 12.9 - 13.1 - 13.2 - 13.0 - 13.1	7.1 - 18.3 - 30.1 - 42.9 - 55.8 - 68.9 - 82.1 - 95.1 - 108.2 (30.1-39.3)			
200710010302	芝	右	1200	曇	良	10:20	3歳未勝利		2007-1-27	1	小倉	3	3歳未勝利	[指](馬齢)	10	140	1	10	110	1	4	300	6	7.0	170	2.0	3-6	630.0	3.0	4-10	1010	5	4-10	350	5	7-10	200	1	4-7	1,020	14	10=>4	1360	5	4-7-10	1620	4			10,2,13(1,14)(3,8,9,7,12)(5,6,11)(4,15)	(*10,2)(13,14)(1,7)(3,8)(5,6,11,9)4,15 12	12.1 - 10.2 - 11.2 - 12.2 - 12.1 - 12.3	12.1 - 22.3 - 33.5 - 45.7 - 57.8 - 70.1 (33.5-36.6)			
200710010303	芝	右	1800	小雨	良	10:50	3歳未勝利		2007-1-27	1	小倉	3	3歳未勝利	(混)[指](馬齢)	12	180	1	12	110	1	4	680	11	7.0	170	2.0	2-6	2020.0	7.0	4-12	4250	14	4-12	1,360	15	7-12	220	1	4-7	3,190	36	12=>4	6460	22	4-7-12	7460	21	(*6,7)(13,14)(5,9,16)(4,11)(10,12)(2,15)-8,3,1	6(7,13)5(9,14)(4,11,16)(10,12)(2,15)-8-(1,3)	(*6,7)13(5,9,12)(4,10,3)-(2,16)11(14,8)(15,1)	(*6,7,12)(5,9)(4,13,10,3)-2,8,1-(15,11)14-16	12.3 - 11.1 - 12.3 - 12.2 - 12.2 - 12.3 - 11.9 - 12.2 - 12.2	12.3 - 23.4 - 35.7 - 47.9 - 60.1 - 72.4 - 84.3 - 96.5 - 108.7 (35.7-36.3)			
200710010304	芝	右	1200	小雨	良	11:20	3歳新馬		2007-1-27	1	小倉	3	3歳新馬	牝[指](馬齢)	13	390	2	13	160	3	1	160	2	8.0	140	1.0	1-7	710.0	2.0	1-13	1040	2	1-13	550	6	8-13	440	2	1-8	400	1	13=>1	2700	6	1-8-13	1650	1			8(11,13)(1,7)16(2,17,18)(3,10)12(4,14)(5,9)(6,15)	8(11,13)(1,7)-18(2,16,17)-3(10,12)(4,14)(5,9)15,6	12.2 - 10.4 - 11.2 - 11.6 - 12.2 - 12.4	12.2 - 22.6 - 33.8 - 45.4 - 57.6 - 70.0 (33.8-36.2)			
200710010305	ダ	右	1700	雨	稍重	11:50	4歳以上500万下		2007-1-27	1	小倉	3	4歳以上500万下	[指](定量)	8	1230	2	8	220	2	2	250	3	3.0	410	6.0	2-7	3930.0	8.0	2-8	4070	9	2-8	750	7	3-8	1,160	11	2-3	930	10	8=>2	10230	20	2-3-8	11640	28	(*1,10)8,6(3,2,9)(4,5,7)	(*1,10)8-(2,6)(3,9)(5,7)4	(*1,10)8(2,9)(3,6,7)5-4	(*1,10)(8,2)-(3,9)(6,7)5-4	7.0 - 11.5 - 11.4 - 12.4 - 12.3 - 12.2 - 12.5 - 12.4 - 12.9	7.0 - 18.5 - 29.9 - 42.3 - 54.6 - 66.8 - 79.3 - 91.7 - 104.6 (29.9-37.8)			
200710010306	ダ	右	1000	雨	重	12:40	4歳以上500万下		2007-1-27	1	小倉	3	4歳以上500万下	[指](定量)	14	590	4	14	220	3	2	630	7	1.0	1,120	10.0	2-8	7630.0	18.0	2-14	6990	23	2-14	2,240	22	1-14	3,180	32	1-2	5,160	47	14=>2	11710	37	1-2-14	66670	141			3,14(2,5)(6,8)7(1,12)(9,11)10-13 4	(*3,14)-2-7,1(9,12,5,8)11,6-(13,10) 4	12.0 - 10.4 - 11.2 - 11.3 - 12.8	12.0 - 22.4 - 33.6 - 44.9 - 57.7 (33.6-35.3)			
200710010307	芝	右	2600	小雨	稍重	13:10	4歳以上500万下		2007-1-27	1	小倉	3	4歳以上500万下	(混)[指](定量)	8	720	5	8	230	5	6	230	6	1.0	140	2.0	6-7	1930.0	9.0	6-8	3590	15	6-8	940	15	1-8	590	7	1-6	580	6	8=>6	9060	32	1-6-8	4390	16	4,3(1,9,2)-(5,8)6-7-10	2(4,9)(1,3)-(5,8,6)7,10	(2,*4)(9,1)(8,6)-(10,7,3)-5	(*4,9,1,6)8-7(2,10)=3-5	12.7 - 12.2 - 11.9 - 13.1 - 12.3 - 12.7 - 12.7 - 12.2 - 11.9 - 12.0 - 12.2 - 12.6 - 12.7	12.7 - 24.9 - 36.8 - 49.9 - 62.2 - 74.9 - 87.6 - 99.8 - 111.7 - 123.7 - 135.9 - 148.5 - 161.2 (36.8-37.5)			
200710010308	芝	右	1800	小雨	稍重	13:45	4歳以上500万下		2007-1-27	1	小倉	3	4歳以上500万下	牝[指](定量)	4	1010	5	4	260	4	1	260	3	7.0	600	9.0	1-2	1170.0	4.0	1-4	2840	10	1-4	1,080	9	4-7	4,100	52	1-7	2,740	33	4=>1	5850	21	1-4-7	28600	100	6,11(2,15)4(1,9,12)(13,16)(5,10)(3,14)7-8	6,11(2,15)4,1(9,12)(5,13,16)(10,14)(3,7)-8	(*6,11)15(2,4)(1,9)(5,13)(10,12)3,16,14-7=8	(*11,15)(6,2,4)(5,1)(3,9)(10,13)12(7,16,14)=8	12.5 - 11.6 - 12.3 - 12.2 - 11.9 - 11.9 - 12.0 - 12.2 - 12.5	12.5 - 24.1 - 36.4 - 48.6 - 60.5 - 72.4 - 84.4 - 96.6 - 109.1 (36.4-36.7)			
200710010309	ダ	右	1700	曇	重	14:20	4歳以上500万下		2007-1-27	1	小倉	3	4歳以上500万下	(混)[指](定量)	16	390	1	16	160	1	5	220	4	11.0	830	9.0	3-8	970.0	3.0	5-16	1190	3	5-16	420	3	11-16	2,340	28	5-11	3,110	37	16=>5	2300	5	5-11-16	15780	51	(3,*16)-(10,15)(4,6)(9,12)(2,5,11)(8,14)7,1-13	(*3,16)-(4,10)(6,15)2(9,12)(5,11)14(7,8)1=13	16-10,4(3,11)(2,6)(5,12,14)(7,9,15)(8,1)=13	16-(10,4)11-(5,2,12,14)6,7(9,1)3,8,15=13	7.1 - 10.7 - 11.0 - 12.5 - 11.8 - 12.1 - 12.8 - 12.6 - 13.7	7.1 - 17.8 - 28.8 - 41.3 - 53.1 - 65.2 - 78.0 - 90.6 - 104.3 (28.8-39.1)	16=>5=>11	63330.0	186.0
200710010310	芝	右	1800	曇	稍重	14:55	くすのき賞 		2007-1-27	1	小倉	3	3歳500万下	(混)(特指)(馬齢)	7	960	4	7	230	5	5	130	2	1.0	110	1.0	5-6	1470.0	6.0	5-7	1860	7	5-7	630	8	1-7	380	4	1-5	180	1	7=>5	4370	14	1-5-7	1310	3	(*3,4,9,10)1,2,12,11(7,8)5-6	(*3,4,9)(1,2,10)(11,12)(8,5)7,6	(*3,4,9,10)(1,2,5)(11,8,12,6)7	(3,*4,10,5)(1,2)(11,9,8,6)7-12	12.5 - 11.3 - 12.4 - 12.5 - 12.5 - 12.3 - 12.2 - 12.1 - 12.2	12.5 - 23.8 - 36.2 - 48.7 - 61.2 - 73.5 - 85.7 - 97.8 - 110.0 (36.2-36.5)	7=>5=>1	11390.0	28.0
