	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201535050506	ダ	左	1600	晴	良	14:25	B2二組		2015-5-5	1	盛岡	4			8.0	720.0	4.0	8.0	210	4.0	3.0	160	2.0	3-8	2270.0	8.0	3-8	500	6.0	5-8	1,540	22.0	3-5	1,110	18.0	8=>3	4930.0	21.0	3-5-8	8000.0	36.0	8=>3=>5	49370.0	187.0			2,6,(1,8),5,(3,4,7),9	6,8,2,5,1,3,(4,7),9			5.0	450.0	8.0	3-8	2410.0	9.0
201535051701	ダ	左	1200	晴	稍重	11:30	C2十二組		2015-5-17	2	盛岡	2			2.0	120.0	1.0	2.0	100	1.0	3.0	180	5.0	2-3	390.0	2.0	2-3	180	2.0	2-6	120	1.0	3-6	240	4.0	2=>3	560.0	3.0	2-3-6	230.0	1.0	2=>3=>6	880.0	2.0			23867154	2,3,8,6,7,1,5-4			6.0	150.0	3.0			
201535051702	ダ	左	1200	晴	稍重	12:10	C2十一組		2015-5-17	2	盛岡	2			8.0	260.0	1.0	8.0	100	1.0	6.0	110	3.0	6-8	350.0	1.0	6-8	140	1.0	2-8	160	2.0	2-6	220	4.0	8=>6	650.0	2.0	2-6-8	310.0	1.0	8=>6=>2	1060.0	1.0			6,4,8,3,(2,5),7,1	64835271			2.0	100.0	2.0			
201535051703	ダ	左	1200	晴	稍重	12:50	C2十組		2015-5-17	2	盛岡	2			1.0	360.0	2.0	1.0	100	2.0	5.0	100	1.0	1-5	240.0	1.0	1-5	120	1.0	1-7	180	4.0	5-7	160	2.0	1=>5	570.0	3.0	1-5-7	250.0	1.0	1=>5=>7	1270.0	4.0			5,7,8,2,1,(4,6),3	57182463			7.0	100.0	3.0			
201535051704	ダ	左	1400	晴	稍重	13:30	C2九組		2015-5-17	2	盛岡	2			8.0	130.0	1.0	8.0	100	1.0	6.0	120	2.0	6-8	210.0	1.0	6-8	130	1.0	5-8	500	8.0	5-6	650	10.0	8=>6	230.0	1.0	5-6-8	1300.0	6.0	8=>6=>5	2440.0	8.0			68513427	6,8,5,3,1,4,(2,7)			5.0	260.0	6.0			
201535051705	ダ	左	1400	晴	稍重	14:10	C2八組		2015-5-17	2	盛岡	2			1.0	170.0	1.0	1.0	100	1.0	4.0	190	5.0	1-4	2080.0	6.0	1-4	540	7.0	1-8	170	1.0	4-8	1,290	13.0	1=>4	2300.0	9.0	1-4-8	1630.0	6.0	1=>4=>8	7360.0	21.0			1,4,6,8,(2,7),9,5	14687295			8.0	130.0	2.0	1-4	1760.0	6.0
201535051801	ダ	左	1400	晴	良	11:30	C2六組		2015-5-18	2	盛岡	3			2.0	120.0	1.0	2.0	120	1.0	4.0	220	4.0	2-4	340.0	1.0	2-4	160	1.0	2-6	170	2.0	4-6	290	6.0	2=>4	540.0	3.0	2-4-6	570.0	3.0	2=>4=>6	2010.0	5.0			2513467.0	2563147.0								
201535051802	ダ	左	1400	晴	良	12:05	C2五組		2015-5-18	2	盛岡	3			3.0	380.0	3.0	3.0	210	3.0	1.0	480	4.0	1-3	1580.0	5.0	1-3	300	5.0	3-7	160	3.0	1-7	270	4.0	3=>1	2110.0	8.0	1-3-7	700.0	2.0	3=>1=>7	4820.0	16.0			1,4,(3,7),2,5,6	1437526								
201535051803	ダ	左	1400	晴	良	12:40	C2四組		2015-5-18	2	盛岡	3			2.0	370.0	2.0	2.0	190	3.0	1.0	170	2.0	1-2	870.0	4.0	1-2	260	3.0	2-7	290	5.0	1-7	540	9.0	2=>1	1590.0	7.0	1-2-7	1330.0	6.0	2=>1=>7	5030.0	19.0			2,6,(4,7),1,5-3	2671453								
201535051804	ダ	左	1400	晴	良	13:15	C2三組		2015-5-18	2	盛岡	3			7.0	210.0	1.0	7.0	170	2.0	6.0	200	3.0	6-7	350.0	1.0	6-7	210	3.0	5-7	980	11.0	5-6	1,870	14.0	7=>6	670.0	3.0	5-6-7	3590.0	11.0	7=>6=>5	9100.0	31.0			6752341.0	6752341.0								
201535051805	ダ	左	1400	晴	良	13:55	C2二組		2015-5-18	2	盛岡	3			3.0	130.0	1.0	3.0	110	1.0	1.0	140	2.0	1-3	320.0	1.0	1-3	180	1.0	3-4	340	5.0	1-4	580	9.0	3=>1	390.0	1.0	1-3-4	1070.0	4.0	3=>1=>4	2510.0	8.0			4,7,3,(2,5),1-6	4735216								
201535051806	ダ	左	1400	曇	良	14:35	C2一組		2015-5-18	2	盛岡	3			3.0	310.0	2.0	3.0	140	2.0	1.0	110	1.0	1-3	190.0	1.0	1-3	120	1.0	3-6	220	3.0	1-6	200	2.0	3=>1	530.0	2.0	1-3-6	360.0	1.0	3=>1=>6	1710.0	5.0			3462715	3,(4,6),7,(2,1)-5								
201535051807	ダ	左	1400	曇	良	15:15	3歳C1一組		2015-5-18	2	盛岡	3			3.0	120.0	1.0	3.0	100	1.0	6.0	120	2.0	3-6	160.0	1.0	3-6	140	1.0	3-8	330	5.0	6-8	700	10.0	3=>6	210.0	1.0	3-6-8	650.0	3.0	3=>6=>8	1460.0	4.0			83576412.0	83657421.0			8.0	190.0	5.0			
201535051808	ダ	左	1600	曇	良	15:55	アメジスト賞 		2015-5-18	2	盛岡	3	(定量)		5.0	580.0	3.0	5.0	150	2.0	1.0	230	4.0	1-5	1840.0	6.0	1-5	580	6.0	3-5	1,400	15.0	1-3	2,140	19.0	5=>1	2820.0	9.0	1-3-5	8810.0	26.0	5=>1=>3	19430.0	56.0			4,6,10,7,5,(3,9),11,12,1,2,8	4,(6,3),7,(10,5),1,11,9,2,12,8			3.0	370.0	6.0	1-5	1520.0	5.0
201535051809	ダ	左	1600	曇	良	16:35	グリーンマーブル賞B		2015-5-18	2	盛岡	3			3.0	460.0	4.0	3.0	150	3.0	10.0	130	2.0	3-10	1340.0	7.0	3-10	420	5.0	2-3	300	1.0	2-10	340	4.0	3=>10	2840.0	13.0	2-3-10	1280.0	2.0	3=>10=>2	8990.0	26.0			8,6,11,1,(5,2),7,9,10,3,4	8,6,11,2,5,7,(1,9),3,10-4			2.0	130.0	1.0	3-8	1850.0	12.0
