	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201536032108	ダ	右	1600	晴	重	15:55	ウェルカム3歳A		2015-3-21	12	水沢	1			1.0	140.0	1.0	1.0	110	2.0	6.0	100	1.0	1-6	320.0	1.0	1-6	160	1.0	1-2	220	2.0	2-6	250	3.0	1=>6	440.0	1.0	1-2-6	390.0	1.0	1=>6=>2	1040.0	1.0	8,(7,1),6,2,5,3,4,9	817625349	8,1,6,2,7,(5,3),4-9	(8,1),6,5,2,3,4,7,9			2.0	140	3.0	1-6	270.0	1.0
201536032109	ダ	右	1600	晴	重	16:30	春の扉B1二組		2015-3-21	12	水沢	1			7.0	740.0	4.0	7.0	290	3.0	1.0	790	11.0	1-7	17650.0	52.0	1-7	2,820	43.0	7-10	1,110	15.0	1-10	5,840	53.0	7=>1	30930.0	98.0	1-7-10	60260.0	146.0	7=>1=>10	296610.0	827.0	9451211631078	9451231161078	9,4,5,(1,2),(3,6),7,(10,11),8	9451237106118			10.0	310	4.0	1-6	5290.0	19.0
201536032110	ダ	右	1400	晴	重	17:05	新たな希望スタートB		2015-3-21	12	水沢	1			8.0	1230.0	4.0	8.0	100	1.0	6.0	120	2.0	6-8	1020.0	3.0	6-8	360	3.0	5-8	1,020	16.0	5-6	440	4.0	8=>6	2760.0	9.0	5-6-8	2180.0	9.0	8=>6=>5	14520.0	45.0	8,(2,3),1,(4,10),5,7,11,6,9,12	8,2,1,3,4,5,10,(6,7),11,9,12	8,2,3,1,(5,10),11,4,6,7,12,9	812563114109712			5.0	220	6.0	5-6	630.0	3.0
201536032301	ダ	右	1400	曇	重	11:30	C2六組		2015-3-23	12	水沢	3			5.0	110.0	1.0	5.0	100	1.0	4.0	120	2.0	4-5	280.0	2.0	4-5	210	2.0	1-5	290	3.0	1-4	640	9.0	5=>4	410.0	2.0	1-4-5	1060.0	4.0	5=>4=>1	1550.0	5.0	5,(7,4,6),1,3,2,8	57416328	54716328	5,(1,4),6,7,3,8,2			1.0	170	4.0			
201536032302	ダ	右	1400	曇	重	12:05	C2五組		2015-3-23	12	水沢	3			1.0	130.0	1.0	1.0	110	1.0	3.0	150	2.0	1-3	670.0	4.0	1-3	240	2.0	1-4	320	4.0	3-4	460	6.0	1=>3	810.0	2.0	1-3-4	980.0	4.0	1=>3=>4	2990.0	8.0	1,(4,8),5,6,3,7,2	1,4,8,(5,3),6,7,2	14837562	1,3,(4,8),5,7,2,6			4.0	210	5.0			
201536032303	ダ	右	1400	曇	重	12:40	C2四組		2015-3-23	12	水沢	3			2.0	230.0	1.0	2.0	140	2.0	3.0	140	3.0	2-3	340.0	1.0	2-3	190	2.0	1-2	420	6.0	1-3	420	7.0	2=>3	420.0	1.0	1-2-3	630.0	3.0	2=>3=>1	1780.0	4.0	25168437	25164837	(2,5),(1,6),(3,8),4,7	25143687			1.0	170	4.0			
201536032304	ダ	右	1400	曇	重	13:15	C2三組		2015-3-23	12	水沢	3			7.0	240.0	1.0	7.0	100	2.0	2.0	100	1.0	2-7	290.0	1.0	2-7	150	1.0	1-7	210	3.0	1-2	170	2.0	7=>2	550.0	1.0	1-2-7	340.0	1.0	7=>2=>1	1300.0	1.0	576193428	5,7,6,1,(3,9),2,(8,4)	576139284	(5,7),1,2,6,3,9,8,4			1.0	110	3.0	2-7	350.0	1.0
201536032305	ダ	右	1400	曇	重	13:55	C2二組		2015-3-23	12	水沢	3			7.0	1570.0	7.0	7.0	460	8.0	2.0	130	2.0	2-7	4050.0	22.0	2-7	1,350	22.0	5-7	1,050	21.0	2-5	320	2.0	7=>2	10100.0	51.0	2-5-7	4410.0	20.0	7=>2=>5	49940.0	216.0	739562841	7,3,9,5,6,(2,8),4,1	739562841	739526481			5.0	110	1.0	2-7	3710.0	16.0
201536032801	ダ	右	1400	晴	良	11:30	3歳B2二組		2015-3-28	12	水沢	4			2.0	200.0	1.0	2.0	130	1.0	3.0	450	5.0	2-3	770.0	3.0	2-3	290	2.0	2-4	320	3.0	3-4	810	12.0	2=>3	1110.0	3.0	2-3-4	1610.0	6.0	2=>3=>4	4760.0	15.0	2351476	2,3,(1,5),4,7,6	2351476	2,3,1,4,5,(7,6)								
201536032802	ダ	右	1400	晴	良	12:05	3歳B2一組		2015-3-28	12	水沢	4			6.0	3430.0	6.0	6.0	520	6.0	2.0	230	3.0	2-6	5200.0	13.0	2-6	1,060	12.0	4-6	3,790	21.0	2-4	1,210	14.0	6=>2	18550.0	29.0	2-4-6	15800.0	31.0	6=>2=>4	232260.0	177.0	2,(3,7),5,6,4,1	2375641	2,3,7,6,5,(4,1)	2637451								
