	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
199909010306	芝	右	2000	晴	良	12:55	4歳新馬		1999-3-6	1	阪神	3	4歳新馬	(混)[指](馬齢)	9	1180	6	9	260	5	4	190	3	11.0	220	4.0	3-6	2240	12																							12.9 - 11.4 - 13.1 - 13.9 - 13.4 - 12.8 - 12.1 - 11.9 - 11.8 - 11.5	12.9 - 24.3 - 37.4 - 51.3 - 64.7 - 77.5 - 89.6 - 101.5 - 113.3 - 124.8 (12.9-12.9)	4-9	3030.0	14.0
199909010307	芝	右	1600	晴	良	13:25	4歳未勝利		1999-3-6	1	阪神	3	4歳未勝利	(混)[指](馬齢)	3	4300	8	3	730	8	12	120	1	14.0	540	7.0	3-7	600	3																							12.9 - 11.9 - 12.7 - 12.7 - 12.3 - 11.9 - 11.3 - 11.8	12.9 - 24.8 - 37.5 - 50.2 - 62.5 - 74.4 - 85.7 - 97.5 (12.9-12.9)	3-12	2260.0	8.0
199909010308	ダ	右	1400	晴	良	14:00	4歳500万下		1999-3-6	1	阪神	3	4歳500万下	(特指)(馬齢)	7	650	3	7	190	3	9	320	6	13.0	130	1.0	4-5	1260	6																							12.7 - 11.3 - 11.9 - 12.5 - 12.8 - 12.5 - 13.6	12.7 - 24.0 - 35.9 - 48.4 - 61.2 - 73.7 - 87.3 (12.7-12.7)	7-9	4250.0	17.0
199909010309	ダ	右	1800	晴	良	14:35	吹田特別 		1999-3-6	1	阪神	3	4歳以上900万下	(混)[指](ハンデ)	15	290	1	15	160	1	9	590	8	8.0	530	7.0	5-8	3150	14																							13.0 - 11.7 - 12.5 - 12.5 - 12.5 - 12.7 - 12.6 - 12.3 - 13.5	13.0 - 24.7 - 37.2 - 49.7 - 62.2 - 74.9 - 87.5 - 99.8 - 113.3 (13.0-13.0)	9-15	5300.0	18.0
199909010310	芝	右	1400	晴	良	15:10	うずしおステークス 		1999-3-6	1	阪神	3	4歳以上1600万下	(混)	3	130	1	3	110	1	1	580	10	6.0	490	7.0	1-3	1890	5																							12.5 - 10.6 - 11.3 - 11.5 - 11.6 - 11.5 - 11.8	12.5 - 23.1 - 34.4 - 45.9 - 57.5 - 69.0 - 80.8 (12.5-12.5)	1-3	2080.0	8.0
199909010311	芝	右	1600	晴	良	15:45	チューリップ賞	G3	1999-3-6	1	阪神	3	4歳オープン	牝(指)(定量)	3	550	2	3	140	2	14	100	1	11.0	260	5.0	3-8	290	1																							12.8 - 11.4 - 11.7 - 11.9 - 11.5 - 11.9 - 11.4 - 12.5	12.8 - 24.2 - 35.9 - 47.8 - 59.3 - 71.2 - 82.6 - 95.1 (12.8-12.8)	3-14	320.0	1.0
199909010401	ダ	右	1800	雨	稍重	10:05	4歳新馬		1999-3-7	1	阪神	4	4歳新馬	[指](馬齢)	5	260	2	5	160	2	6	430	5				5-6	1170	7																							13.4 - 12.4 - 14.8 - 14.1 - 13.5 - 13.4 - 12.3 - 12.3 - 12.1	13.4 - 25.8 - 40.6 - 54.7 - 68.2 - 81.6 - 93.9 - 106.2 - 118.3 (13.4-13.4)			
199909010402	ダ	右	1200	雨	重	10:30	4歳未勝利		1999-3-7	1	阪神	4	4歳未勝利	(混)[指](馬齢)	7	540	3	7	140	4	6	100	1	9.0	140	3.0	6-7	150	1																							12.8 - 11.5 - 12.4 - 12.7 - 12.4 - 12.7	12.8 - 24.3 - 36.7 - 49.4 - 61.8 - 74.5 (12.8-12.8)	6-7	390.0	2.0
199909010403	ダ	右	1800	雨	重	10:55	4歳未勝利		1999-3-7	1	阪神	4	4歳未勝利	[指](馬齢)	2	210	1	2	100	1	8	140	3	9.0	110	2.0	2-7	360	1																							13.1 - 12.1 - 13.8 - 13.5 - 13.0 - 12.9 - 12.7 - 12.4 - 12.9	13.1 - 25.2 - 39.0 - 52.5 - 65.5 - 78.4 - 91.1 - 103.5 - 116.4 (13.1-13.1)	2-8	440.0	1.0
199909010404	ダ	右	1400	雨	重	11:20	4歳未勝利		1999-3-7	1	阪神	4	4歳未勝利	[指](馬齢)	9	3190	6	9	620	7	8	250	5	5.0	160	2.0	7-7	9480	20																							12.6 - 11.5 - 12.4 - 12.7 - 12.6 - 12.7 - 13.1	12.6 - 24.1 - 36.5 - 49.2 - 61.8 - 74.5 - 87.6 (12.6-12.6)	8-9	10350.0	23.0
