	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198703010402	芝	右	1800	曇	良	10:25	4歳未勝利		1987-6-28	1	福島	4	4歳未勝利	(父)(馬齢)	10	200	1	10	130	1	1	480	8	4.0	190.0	4.0	1-7	2250	9																							13.0 - 11.0 - 12.5 - 12.3 - 12.0 - 12.3 - 12.9 - 12.7 - 12.5	13.0 - 24.0 - 36.5 - 48.8 - 60.8 - 73.1 - 86.0 - 98.7 - 111.2 (13.0-13.0)
198703010403	芝	右	2000	曇	良	10:50	4歳未勝利		1987-6-28	1	福島	4	4歳未勝利	(馬齢)	6	220	1	6	110	1	7	150	4	8.0	130.0	2.0	6-7	780	3																							12.8 - 11.6 - 11.6 - 13.4 - 13.2 - 12.6 - 11.9 - 11.6 - 12.3 - 12.3	12.8 - 24.4 - 36.0 - 49.4 - 62.6 - 75.2 - 87.1 - 98.7 - 111.0 - 123.3 (12.8-12.8)
198703010404	ダ	右	1000	曇	稍重	11:20	4歳未勝利		1987-6-28	1	福島	4	4歳未勝利	(馬齢)	4	140	1	4	100	1	10	150	4	3.0	110.0	2.0	4-8	660	3																							12.3 - 10.8 - 11.9 - 12.3 - 13.0	12.3 - 23.1 - 35.0 - 47.3 - 60.3 (12.3-12.3)
198703010405	障		2800	曇	良	11:50	障害4歳以上オープン		1987-6-28	1	福島	4	障害4歳以上オープン	(別定)	4	770	5	4	350	5	1	300	4				1-4	2120	10																								
198703010406	芝	右	1700	曇	良	12:50	4歳未勝利		1987-6-28	1	福島	4	4歳未勝利	(馬齢)	3	490	2	3	190	2	12	190	3	2.0	250.0	6.0	3-8	860	3																							7.4 - 10.7 - 12.3 - 12.1 - 12.2 - 12.3 - 12.3 - 12.5 - 12.9	7.4 - 18.1 - 30.4 - 42.5 - 54.7 - 67.0 - 79.3 - 91.8 - 104.7 (7.4-7.4)
198703010407	ダ	右	1700	曇	良	13:25	4歳400万下		1987-6-28	1	福島	4	4歳400万下	(馬齢)	5	190	1	5	110	1	8	210	5	2.0	130.0	2.0	5-8	1180	5																							7.0 - 10.8 - 11.6 - 12.5 - 13.1 - 12.5 - 12.6 - 13.3 - 13.9	7.0 - 17.8 - 29.4 - 41.9 - 55.0 - 67.5 - 80.1 - 93.4 - 107.3 (7.0-7.0)
198703010408	ダ	右	1700	曇	良	14:00	4歳400万下		1987-6-28	1	福島	4	4歳400万下	(馬齢)	4	150	1	4	110	1	7	170	3	2.0	280.0	6.0	4-7	590	2																							7.0 - 11.0 - 11.7 - 12.2 - 13.3 - 12.7 - 13.0 - 13.0 - 13.3	7.0 - 18.0 - 29.7 - 41.9 - 55.2 - 67.9 - 80.9 - 93.9 - 107.2 (7.0-7.0)
198703010409	芝	右	1800	曇	良	14:35	さくらんぼ賞 		1987-6-28	1	福島	4	4歳400万下	牝(別定)	2	550	3	2	170	3	8	230	5	3.0	130.0	1.0	2-8	2750	13																							12.5 - 10.5 - 12.7 - 12.4 - 12.1 - 12.0 - 12.4 - 12.1 - 12.6	12.5 - 23.0 - 35.7 - 48.1 - 60.2 - 72.2 - 84.6 - 96.7 - 109.3 (12.5-12.5)
198703010410	芝	右	2000	曇	良	15:10	栗子特別 		1987-6-28	1	福島	4	4歳以上900万下	(混)(ハンデ)	8	440	2	8	170	2	9	160	1	3.0	420.0	10.0	6-6	860	3																							12.5 - 11.5 - 11.5 - 12.2 - 12.5 - 12.5 - 11.8 - 12.2 - 12.3 - 12.6	12.5 - 24.0 - 35.5 - 47.7 - 60.2 - 72.7 - 84.5 - 96.7 - 109.0 - 121.6 (12.5-12.5)
198703010411	芝	右	1800	曇	良	15:45	吾妻小富士賞 		1987-6-28	1	福島	4	4歳以上オープン	(混)(別定)	2	260	1	2	140	1	8	570	10	9.0	510.0	8.0	2-6	990	4																							12.5 - 11.1 - 12.4 - 12.2 - 12.5 - 11.4 - 11.7 - 11.6 - 12.4	12.5 - 23.6 - 36.0 - 48.2 - 60.7 - 72.1 - 83.8 - 95.4 - 107.8 (12.5-12.5)
198703010412	芝	右	1000	曇	良	16:20	4歳以上400万下		1987-6-28	1	福島	4	4歳以上400万下	(馬齢)	2	330	1	2	130	1	4	190	4	5.0	160.0	2.0	2-4	1020	4																							12.4 - 10.3 - 11.1 - 11.9 - 12.3	12.4 - 22.7 - 33.8 - 45.7 - 58.0 (12.4-12.4)
198703010501	芝	右	1000	晴	稍重	10:20	3歳未勝利		1987-7-4	1	福島	5	3歳未勝利	[抽](馬齢)	4	120	1	4	100	1	3	110	2				3-4	130	1																							12.8 - 11.4 - 11.7 - 11.9 - 12.4	12.8 - 24.2 - 35.9 - 47.8 - 60.2 (12.8-12.8)
