	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200302010209	芝	右	2000	晴	良	14:20	3歳以上500万下		2003-6-22	1	函館	2	3歳以上500万下	(特指)(定量)	9	710	4	9	180	4	3	110	1	1.0	160	3.0	2-5	540	2	3-9	580.0	2.0	3-9	250	2.0	1-9	460	5.0	1-3	230	1.0	9=>3	2040	5	1-3-9	980	1	16(9,7)12(8,11)14(1,2,15)(3,5,10)-13-6,4	16(9,7)(8,11,12)(1,2,14)(3,15)5(13,10)-6,4	(*16,9)12(8,11)(1,7,2)(3,14)(13,15)5-6-(10,4)	(*16,9)(8,11,12)1(3,2)(13,14)(5,15)6-(7,4)-10	12.6 - 11.0 - 12.0 - 12.9 - 12.8 - 12.5 - 12.1 - 12.2 - 11.7 - 12.4	12.6 - 23.6 - 35.6 - 48.5 - 61.3 - 73.8 - 85.9 - 98.1 - 109.8 - 122.2 (35.6-36.3)
200302010210	芝	右	1200	晴	良	14:55	基坂特別 		2003-6-22	1	函館	2	3歳以上500万下	(混)[指](定量)	16	1080	4	16	280	4	2	630	8	15.0	590	7.0	1-8	3950	15	2-16	7010.0	21.0	2-16	2,490	22.0	15-16	2,610	25.0	2-15	6,890	56.0	16=>2	17030	48	2-15-16	59150	141			(*3,16)(2,9)(11,13)(1,10)(7,15)(5,8,14)(4,12)6	(*3,16)(2,11,13)9(1,10,15)(5,7,8,14)(4,12)6	12.1 - 10.5 - 11.1 - 11.8 - 11.8 - 12.5	12.1 - 22.6 - 33.7 - 45.5 - 57.3 - 69.8 (33.7-36.1)
200302010211	ダ	右	1700	晴	良	15:30	大沼ステークス 		2003-6-22	1	函館	2	3歳以上オープン	(混)(特指)(ハンデ)	6	2000	7	6	290	6	3	110	1	8.0	270	5.0	3-6	1190	4													6=>3	4250	15	3-6-8	3790	16	4-(3,5)2(6,7)-(1,8)	4-3(2,5)(6,7)-1,8	(*3,5)(2,6)4,8,1-7	3(5,6)2-8-1=4-7	6.8 - 11.0 - 11.3 - 11.5 - 12.2 - 12.7 - 12.5 - 12.9 - 13.1	6.8 - 17.8 - 29.1 - 40.6 - 52.8 - 65.5 - 78.0 - 90.9 - 104.0 (29.1-38.5)
200302010212	芝	右	2000	晴	良	16:10	五稜郭特別 		2003-6-22	1	函館	2	3歳以上1000万下	(混)[指](定量)	7	180	1	7	110	1	4	170	3	5.0	670	8.0	4-6	510	3	4-7	520.0	2.0	4-7	200	2.0	5-7	1,690	18.0	4-5	2,950	27.0	7=>4	750	2	4-5-7	6570	20	8,10(1,11)(4,7,9)3,6,2,5	8,10-(1,11)(4,7,9)3,6,2,5	8,10(1,11)(4,7,9)3(2,6)5	8,11(1,10)(4,7)(3,2)(5,9)6	12.3 - 11.4 - 12.2 - 12.3 - 12.3 - 12.5 - 12.2 - 12.2 - 12.0 - 12.2	12.3 - 23.7 - 35.9 - 48.2 - 60.5 - 73.0 - 85.2 - 97.4 - 109.4 - 121.6 (35.9-36.4)
200302010301	ダ	右	1000	曇	良	09:55	3歳未勝利		2003-6-28	1	函館	3	3歳未勝利	(父)[指](馬齢)	2	680	4	2	140	4	7	110	1	5.0	120	2.0	2-7	600	3	2-7	570.0	3.0	2-7	200	2.0	2-5	320	5.0	5-7	150	1.0	2=>7	1600	7	2-5-7	670	2			7,2,5(1,8,9)3-(10,6)=4	7,2,5(1,9)(8,3)-10-6=4	12.4 - 10.8 - 12.1 - 12.1 - 12.6	12.4 - 23.2 - 35.3 - 47.4 - 60.0 (35.3-36.8)
200302010302	ダ	右	1700	曇	良	10:20	3歳未勝利		2003-6-28	1	函館	3	3歳未勝利	(混)[指](馬齢)	3	1880	6	3	540	7	9	450	5	11.0	880	9.0	3-7	8720	22	3-9	12610.0	33.0	3-9	3,140	31.0	3-11	7,620	47.0	9-11	4,170	38.0	3=>9	26530	70	3-9-11	106290	144	(1,*3,4)-(2,7,11)6,5,9-8,10	(1,*3)4(2,7,11)(5,6)9-8-10	(1,*3,11)(7,9)2,6(5,4)8=10	(1,*3)(7,11)9(5,6)(2,8)-4=10	7.0 - 10.9 - 11.7 - 13.0 - 13.3 - 12.9 - 13.2 - 13.5 - 13.3	7.0 - 17.9 - 29.6 - 42.6 - 55.9 - 68.8 - 82.0 - 95.5 - 108.8 (29.6-40.0)
200302010303	芝	右	1800	曇	良	10:45	3歳未勝利		2003-6-28	1	函館	3	3歳未勝利	[指](馬齢)	8	180	1	8	100	1	4	200	4	5.0	110	2.0	4-7	1050	5	4-8	1170.0	4.0	4-8	360	6.0	5-8	140	1.0	4-5	440	8.0	8=>4	1440	5	4-5-8	790	3	1-8(5,6,9)(2,7,10)(3,4)	1=8-(5,6,9)-(2,7,10)-(3,4)	1-8(5,2,6,9)-4,7,10,3	1(8,2)(5,4,9)6-7-10-3	12.2 - 11.5 - 11.3 - 11.8 - 12.2 - 12.6 - 13.1 - 12.7 - 12.7	12.2 - 23.7 - 35.0 - 46.8 - 59.0 - 71.6 - 84.7 - 97.4 - 110.1 (35.0-38.5)
200302010304	芝	右	1200	曇	良	11:15	3歳未勝利		2003-6-28	1	函館	3	3歳未勝利	牝[指](馬齢)	9	400	2	9	160	1	3	260	5	16.0	230	4.0	2-5	1300	6	3-9	1610.0	6.0	3-9	600	7.0	9-16	580	5.0	3-16	1,290	15.0	9=>3	3130	9	3-9-16	4620	10			(*6,15)-16,12(4,10)(3,9)8,1,2(5,14)(11,7) 13	(*6,15)-16(9,12)(10,3,8)(4,1)(5,2)(14,7)11 13	12.3 - 10.7 - 11.1 - 11.7 - 12.0 - 12.3	12.3 - 23.0 - 34.1 - 45.8 - 57.8 - 70.1 (34.1-36.0)
200302010305	ダ	右	1000	曇	良	12:15	2歳新馬		2003-6-28	1	函館	3	2歳新馬	(混)[指](馬齢)	1	1010	4	1	280	4	12	330	6	4.0	210	2.0	1-8	1470	6	1-12	6820.0	28.0	1-12	2,110	30.0	1-4	1,120	12.0	4-12	1,060	10.0	1=>12	15950	60	1-4-12	12520	47			(*2,6)(7,10)-1,5-(11,12)(4,8)3-9	(*2,6)-10(1,7)-5-12,11(4,8)3-9	12.5 - 10.7 - 11.7 - 12.8 - 13.5	12.5 - 23.2 - 34.9 - 47.7 - 61.2 (34.9-38.0)
200302010306	ダ	右	1700	曇	良	12:45	3歳以上500万下		2003-6-28	1	函館	3	3歳以上500万下	(特指)(別定)	7	810	3	7	240	4	12	680	9	3.0	130	1.0	5-8	1210	5	7-12	11900.0	34.0	7-12	4,270	43.0	3-7	370	3.0	3-12	1,680	18.0	7=>12	29640	74	3-7-12	11880	39	(*7,11,12)(6,2,3)(1,4,10)-(5,8)(9,13)	(*7,11,12)(6,3,10)(1,2)(4,8)5(9,13)	(*7,12)(11,10)(6,3,13)-2(1,9)8(5,4)	7,12-10(11,3,13)(6,9)(1,2)-(5,8)=4	6.8 - 11.5 - 12.2 - 12.7 - 12.9 - 12.2 - 12.3 - 12.8 - 13.9	6.8 - 18.3 - 30.5 - 43.2 - 56.1 - 68.3 - 80.6 - 93.4 - 107.3 (30.5-39.0)
