	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200308010209	芝	右	2000	晴	良	14:35	福寿草特別 		2003-1-6	1	京都	2	3歳500万下	(混)(特指)(馬齢)	5	960	5	5	270	6	13	140	1	14.0	170	3.0	3-7	820	5	5-13	1550.0	6.0	5-13	650	9.0	5-14	720	10.0	13-14	280	1.0	5=>13	3790	16	5-13-14	2000	6	(4,*11)13(1,14)7(2,9)(3,10)(6,8)5,12-16=15	(*4,11)(1,13)14(7,9)2(3,10)8,6,5-(16,12)=15	4(11,13)(1,7,14)(3,2,9)(6,10,8)5-16-12=15	(*4,13)(11,14)(1,7)9(3,2)(10,8)(6,5)-16-12=15	12.9 - 11.3 - 12.2 - 12.4 - 12.2 - 12.4 - 12.2 - 11.9 - 11.7 - 12.2	12.9 - 24.2 - 36.4 - 48.8 - 61.0 - 73.4 - 85.6 - 97.5 - 109.2 - 121.4 (36.4-35.8)
200308010210	芝	右	1200	晴	良	15:10	室町特別 		2003-1-6	1	京都	2	4歳以上1000万下	(混)[指](別定)	10	990	4	10	290	4	11	230	3	3.0	500	7.0	5-6	3060	15	10-11	2960.0	12.0	10-11	960	9.0	3-10	1,890	21.0	3-11	1,730	18.0	10=>11	7060	23	3-10-11	12820	36			(*6,7,8)(9,15)1(4,14,16)12(3,13)(10,11)5-2	(*6,7)8(1,9,15)4(3,14)(12,13,16)(5,10,11)2	12.2 - 10.7 - 11.0 - 11.3 - 12.1 - 12.0	12.2 - 22.9 - 33.9 - 45.2 - 57.3 - 69.3 (33.9-35.4)
200308010211	芝	右	1800	晴	良	15:45	寿ステークス 		2003-1-6	1	京都	2	4歳以上1600万下	(混)[指](別定)	16	1940	10	16	510	8	13	180	2	9.0	360	5.0	7-8	2570	15	13-16	5840.0	26.0	13-16	2,190	29.0	9-16	4,300	55.0	9-13	1,330	11.0	16=>13	14790	61	9-13-16	29520	110			11(1,5,8)(2,4,7)(6,9,12)(15,13)-16-(10,3)14	11,5(1,8)4(2,7,12)(6,9,13)(15,16)(10,3)14	12.7 - 10.6 - 11.4 - 11.9 - 11.8 - 12.0 - 12.2 - 11.5 - 12.1	12.7 - 23.3 - 34.7 - 46.6 - 58.4 - 70.4 - 82.6 - 94.1 - 106.2 (34.7-35.8)
200308010212	ダ	右	1400	晴	稍重	16:20	4歳以上1000万下		2003-1-6	1	京都	2	4歳以上1000万下	(混)[指](別定)	10	610	2	10	180	2	12	130	1	11.0	270	6.0	5-6	300	1	10-12	610.0	1.0	10-12	280	1.0	10-11	1,050	12.0	11-12	640	6.0	10=>12	1490	4	10-11-12	2160	4			9,10,12(1,2,15)(8,16)(6,11,14,7)(4,5,13)3	(*9,10)12(2,15)(1,8,16)(6,11,14)13(3,7)(4,5)	12.3 - 11.0 - 11.5 - 12.2 - 12.3 - 12.4 - 12.9	12.3 - 23.3 - 34.8 - 47.0 - 59.3 - 71.7 - 84.6 (34.8-37.6)
200308010301	ダ	右	1200	晴	稍重	10:05	3歳未勝利		2003-1-11	1	京都	3	3歳未勝利	(市)(抽)[指](馬齢)	3	800	3	3	170	3	2	640	9	1.0	120	1.0	1-2	610	2	2-3	9820.0	28.0	2-3	3,290	33.0	1-3	370	2.0	1-2	1,110	11.0	3=>2	19540	55	1-2-3	7210	22			1(9,4,14)2(3,7,10,15)(5,8)(6,12,13,16)=11	1(9,4,14)2(3,7)5,8(6,10,15)-(12,13,16)-11	12.8 - 11.3 - 12.1 - 12.3 - 13.1 - 12.9	12.8 - 24.1 - 36.2 - 48.5 - 61.6 - 74.5 (36.2-38.3)
200308010302	ダ	右	1800	晴	稍重	10:30	3歳未勝利		2003-1-11	1	京都	3	3歳未勝利	牝[指](馬齢)	2	140	1	2	120	1	12	170	2	3.0	2,140	13.0	1-6	330	1	2-12	470.0	1.0	2-12	230	1.0	2-3	3,620	35.0	3-12	9,900	65.0	2=>12	730	1	2-3-12	19330	54	2(6,9)(3,12)(1,8,10)13(4,7,14)-(16,11)15=5	2,6(3,9)12,1(8,10)(4,7,13)-14,16,11-15=5	2,6(3,9,12)-1,4(8,10)(16,11,7)14-(13,15)-5	(*2,12)-6,3,9(1,4)(16,11)-(7,8)(15,14)13,10-5	12.4 - 11.4 - 13.0 - 13.0 - 13.5 - 13.2 - 12.7 - 13.0 - 13.2	12.4 - 23.8 - 36.8 - 49.8 - 63.3 - 76.5 - 89.2 - 102.2 - 115.4 (36.8-38.9)
200308010303	ダ	右	1400	晴	稍重	10:55	3歳未勝利		2003-1-11	1	京都	3	3歳未勝利	[指](馬齢)	15	510	3	15	160	3	1	150	2	7.0	240	5.0	1-8	970	5	1-15	1080.0	3.0	1-15	480	3.0	7-15	1,000	11.0	1-7	760	9.0	15=>1	2490	7	1-7-15	3900	14			(*12,5)(1,11)2-7-(3,16)15-(4,8,10)6-13-9,14	(*12,5,11)-1,7-2,16(3,15)-4(8,13)(6,10)=(14,9)	12.5 - 11.0 - 11.7 - 12.3 - 12.8 - 13.9 - 13.4	12.5 - 23.5 - 35.2 - 47.5 - 60.3 - 74.2 - 87.6 (35.2-40.1)
200308010304	ダ	右	1800	晴	稍重	11:25	3歳新馬		2003-1-11	1	京都	3	3歳新馬	(混)[指](馬齢)	9	3330	11	9	910	11	8	510	8	2.0	210	2.0	5-5	12560	31	8-9	14490.0	46.0	8-9	3,980	48.0	2-9	2,910	37.0	2-8	1,630	18.0	9=>8	38240	109	2-8-9	24350	81	2,6(4,9)10-(1,11)(13,14)(3,5)(8,7)15=12	2,6,9(4,10)-(1,11)14,3(13,5)(8,15)7=12	(*2,6)(9,10)(4,11)14(1,5)(15,3)(8,7)-13=12	(*2,6)(9,10)-4(1,14)(5,11)8,15(7,3)-13=12	12.3 - 11.4 - 13.0 - 13.5 - 13.4 - 12.9 - 12.8 - 13.2 - 13.2	12.3 - 23.7 - 36.7 - 50.2 - 63.6 - 76.5 - 89.3 - 102.5 - 115.7 (36.7-39.2)
200308010305	ダ	右	1200	晴	稍重	11:55	3歳新馬		2003-1-11	1	京都	3	3歳新馬	[指](馬齢)	10	240	1	10	110	1	13	170	2	15.0	320	5.0	5-7	840	3	10-13	630.0	2.0	10-13	350	2.0	10-15	790	8.0	13-15	1,860	17.0	10=>13	1030	2	10-13-15	4440	7			8(10,11,13)-(15,16)-6(1,12,14)(9,7)-2(4,5) 3	8(10,11,13)-(15,16)=6(1,12,14)(9,7,2)(4,5) 3	12.9 - 11.3 - 11.9 - 12.3 - 13.4 - 14.1	12.9 - 24.2 - 36.1 - 48.4 - 61.8 - 75.9 (36.1-39.8)
200308010306	ダ	右	1200	晴	良	12:55	4歳以上500万下		2003-1-11	1	京都	3	4歳以上500万下	(混)[指](別定)	2	150	1	2	110	1	4	150	2	3.0	260	5.0	1-2	330	1	2-4	530.0	1.0	2-4	230	1.0	2-3	410	3.0	3-4	770	8.0	2=>4	720	1	2-3-4	1350	1			(2,*4)(7,15,16)3-(6,9)-(11,10,12)1(14,13)8,5	(*2,4)(3,7,16)15-(6,9)10,12(11,13)1,14,8-5	12.5 - 11.0 - 11.6 - 12.1 - 12.6 - 12.9	12.5 - 23.5 - 35.1 - 47.2 - 59.8 - 72.7 (35.1-37.6)
