	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200309010210	ダ	右	1200	晴	重	15:10	なにわステークス 		2003-3-2	1	阪神	2	4歳以上1600万下	(混)[指](ハンデ)	11	640	5	11	260	5	10	930	9	7.0	350	7.0	7-8	2760	16	10-11	19490.0	35.0	10-11	3,520	32.0	7-11	1,170	19.0	7-10	4,660	38.0	11=>10	30840	62	7-10-11	50780	94			8,10(7,11)(2,6)4,9,12,5(1,3)	(*8,10)(7,11)(2,6)(4,9)12(1,3)5	12.4 - 10.9 - 11.6 - 11.7 - 11.9 - 12.4	12.4 - 23.3 - 34.9 - 46.6 - 58.5 - 70.9 (34.9-36.0)
200309010211	芝	右	1200	晴	稍重	15:45	阪急杯	G3	2003-3-2	1	阪神	2	4歳以上オープン	(混)(指)(別定)	7	250	1	7	130	1	1	170	3	9.0	200	4.0	1-4	590	2	1-7	780.0	2.0	1-7	320	2.0	7-9	520	5.0	1-9	660	7.0	7=>1	1200	3	1-7-9	2220	6			7(1,2,8)(9,10)(13,14)(3,15)(5,4,12)6-11	7,2(1,8)(9,10)13,14(3,4,15)(12,6)(5,11)	12.0 - 10.7 - 11.1 - 11.5 - 11.3 - 11.9	12.0 - 22.7 - 33.8 - 45.3 - 56.6 - 68.5 (33.8-34.7)
200309010212	ダ	右	1200	晴	重	16:20	4歳以上1000万下		2003-3-2	1	阪神	2	4歳以上1000万下	(混)[指](別定)	5	970	5	5	380	5	14	500	8	13.0	960	12.0	3-7	7020	25	5-14	9840.0	40.0	5-14	3,270	41.0	5-13	4,920	59.0	13-14	5,910	65.0	5=>14	19710	75	5-13-14	68950	197			(9,*14,16)(5,13)(7,12)(8,15)(2,11,10)-3,6,1,4	(9,*14,16)(13,12)5(7,10)15(2,8)11,3,1,6,4	12.7 - 10.6 - 11.7 - 11.9 - 12.2 - 12.5	12.7 - 23.3 - 35.0 - 46.9 - 59.1 - 71.6 (35.0-36.6)
200309010301	ダ	右	1800	晴	重	10:05	3歳未勝利		2003-3-8	1	阪神	3	3歳未勝利	[指](馬齢)	6	280	1	6	110	1	1	150	4	2.0	110	2.0	1-6	570	2	1-6	920.0	4.0	1-6	320	4.0	2-6	200	1.0	1-2	350	6.0	6=>1	1520	5	1-2-6	880	2	(*1,3)(4,7)(2,11)9-(8,10)6=5	(*1,3)(4,7)(2,11)9(8,10)6=5	1,3(2,7,11)(9,4)-(8,10)6-5	(*1,3,11)-2(9,6)(7,5)-8-(4,10)	13.0 - 11.4 - 13.1 - 12.9 - 12.6 - 12.6 - 12.4 - 12.8 - 13.7	13.0 - 24.4 - 37.5 - 50.4 - 63.0 - 75.6 - 88.0 - 100.8 - 114.5 (37.5-38.9)
200309010302	ダ	右	1200	晴	重	10:30	3歳新馬		2003-3-8	1	阪神	3	3歳新馬	牝[指](馬齢)	5	150	1	5	110	1	9	400	6	15.0	1,250	12.0	3-5	750	3	5-9	1400.0	4.0	5-9	650	5.0	5-15	1,580	16.0	9-15	7,570	58.0	5=>9	1600	5	5-9-15	17990	50			(*14,16)2(7,5)9(8,15)-10(1,12)3-13-11,4=6	(*14,16)(2,5,9)(8,7,12)(10,15)3-1-(13,11)-4=6	12.8 - 10.9 - 11.9 - 12.7 - 13.0 - 13.1	12.8 - 23.7 - 35.6 - 48.3 - 61.3 - 74.4 (35.6-38.8)
200309010303	ダ	右	1400	晴	重	10:55	3歳未勝利		2003-3-8	1	阪神	3	3歳未勝利	(父)[指](馬齢)	3	170	1	3	120	1	14	260	5	2.0	200	4.0	2-7	1050	4	3-14	1020.0	4.0	3-14	410	4.0	2-3	330	3.0	2-14	1,570	19.0	3=>14	1150	3	2-3-14	2900	8			14,3,8(10,12)5(1,16)-(4,2)6,15(9,11)13-7	14,3(10,8,12)1-(5,2)16,6,4,11-(15,13)-(9,7)	12.3 - 10.7 - 11.4 - 12.3 - 12.6 - 12.7 - 13.3	12.3 - 23.0 - 34.4 - 46.7 - 59.3 - 72.0 - 85.3 (34.4-38.6)
200309010304	ダ	右	1200	晴	重	11:25	3歳新馬		2003-3-8	1	阪神	3	3歳新馬	[指](馬齢)	1	190	1	1	110	1	3	120	2	5.0	270	5.0	1-2	240	1	1-3	250.0	1.0	1-3	160	1.0	1-5	580	6.0	3-5	750	10.0	1=>3	400	1	1-3-5	1110	2			(*1,3,5)11(2,8)10(4,12)9(6,13)15=14,7	(*1,3)(11,5)-8(4,10,12)(2,6,9,13)15=14,7	12.7 - 11.0 - 11.5 - 11.9 - 12.4 - 13.6	12.7 - 23.7 - 35.2 - 47.1 - 59.5 - 73.1 (35.2-37.9)
200309010305	障		3000	晴	稍重  ダート	11:55	障害4歳以上未勝利		2003-3-8	1	阪神	3	障害4歳以上未勝利	(混)(定量)	3	370	2	3	160	2	12	240	4	11.0	160	3.0	3-8	1460	7	3-12	1910.0	5.0	3-12	670	5.0	3-11	380	3.0	11-12	810	6.0	3=>12	2800	8	3-11-12	2960	5	3,11,9,1(12,7)8(5,2)-6-4 10,13	(*3,11)-(9,1)(12,7)(8,5)2,6-4 10,13	3,11-(8,12)1(6,7)(9,2)5-4 10,13	(*3,11)12,8-(6,1)-7,2=(9,5)=4 10,13		
200309010306	芝	右	2200	晴	稍重	12:55	3歳未勝利		2003-3-8	1	阪神	3	3歳未勝利	(混)[指](馬齢)	6	420	2	6	160	3	8	330	6	10.0	150	1.0	3-4	1360	6	6-8	2910.0	14.0	6-8	810	10.0	6-10	330	2.0	8-10	720	5.0	6=>8	4530	15	6-8-10	2630	5	6,15(4,13,14)(10,11,16)(1,7,12)3(2,8)(5,9)	6,15(4,14)(13,16)11(1,10,7,12)(2,3,8)(5,9)	6(15,14,16,7)(4,13,11)(1,10,8)12(2,3)-(5,9)	6,14(4,13,16,7,8)(10,11)-3,2(5,12)-(15,1)9	12.8 - 11.7 - 12.3 - 13.6 - 13.5 - 12.8 - 12.3 - 11.8 - 11.9 - 11.8 - 12.6	12.8 - 24.5 - 36.8 - 50.4 - 63.9 - 76.7 - 89.0 - 100.8 - 112.7 - 124.5 - 137.1 (36.8-36.3)
200309010307	ダ	右	1200	晴	重	13:25	3歳500万下		2003-3-8	1	阪神	3	3歳500万下	(特指)(馬齢)	3	620	2	3	170	2	13	480	8	11.0	110	1.0	2-7	8150	17	3-13	12660.0	30.0	3-13	2,630	27.0	3-11	230	1.0	11-13	1,010	11.0	3=>13	25290	54	3-11-13	5450	21			(*3,10)15(2,6,14)(12,13)9-1(8,7,11)5 4	3(10,15)(6,14,12)(2,13)-9(1,11)-(8,5)=7 4	12.5 - 10.7 - 11.6 - 12.3 - 12.5 - 13.5	12.5 - 23.2 - 34.8 - 47.1 - 59.6 - 73.1 (34.8-38.3)
