	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200305010209	芝	左	2000	晴	良	14:25	秩父特別 		2003-4-27	1	東京	2	4歳以上1000万下	(混)[指](ハンデ)	11	910	5	11	300	5	9	200	3	7.0	440	8.0	6-7	580	2	9-11	2220.0	10.0	9-11	890	12.0	7-11	2,530	27.0	7-9	1,650	22.0	11=>9	4910	25	7-9-11	13510	45		9,6(4,8)-(7,11)(3,5,12)10-(1,2)-13	9,6(4,8)(7,11)(3,5,12)10,2,1,13	9,6-8,4(7,11)(3,5,12,2)10,13,1	12.9 - 11.6 - 12.1 - 12.1 - 12.3 - 11.9 - 11.8 - 11.0 - 11.7 - 12.2	12.9 - 24.5 - 36.6 - 48.7 - 61.0 - 72.9 - 84.7 - 95.7 - 107.4 - 119.6 (36.6-34.9)
200305010210	ダ	左	2100	晴	良	15:00	丹沢ステークス 		2003-4-27	1	東京	2	4歳以上1600万下	(混)[指](別定)	9	210	1	9	120	1	1	280	5	6.0	560	8.0	1-5	420	1	1-9	1470.0	5.0	1-9	610	5.0	6-9	1,200	13.0	1-6	3,300	33.0	9=>1	1920	6	1-6-9	8880	26	2-(3,9,12)(1,11,13)-7,15,10(6,16)14,4,5 8	2,9(3,12)(1,11,13)(7,15)-(10,16)6-(4,14)-5 8	2-(9,12)3,13(1,11,15)(7,16)10,6(4,14)5 8	2,9,12,3-1(11,15)(13,16,6)(10,7)4(5,14) 8	7.1 - 11.3 - 12.2 - 12.5 - 12.5 - 12.8 - 12.5 - 12.7 - 12.4 - 13.1 - 13.2	7.1 - 18.4 - 30.6 - 43.1 - 55.6 - 68.4 - 80.9 - 93.6 - 106.0 - 119.1 - 132.3 (30.6-38.7)
200305010211	芝	左	2000	晴	良	15:35	サンスポ賞フローラS	G2	2003-4-27	1	東京	2	3歳オープン	(混)	11	16540	14	11	3,780	14	18	260	3	13.0	340	4.0	6-8	2290	7	11-18	81720.0	86.0	11-18	19,330	101.0	11-13	19,650	102.0	13-18	1,290	16.0	11=>18	256520	208	11-13-18	274660	318		10,1,4(2,8)-6(5,18)9,13,17(7,16)(12,15)(11,14)-3	10,1(2,8)(5,4)6(7,9,18)(11,13,17)(12,16)14,15,3	10,1(2,8)(5,6)4,7,18(11,9)(13,17)(14,12,16)(3,15)	12.8 - 10.7 - 11.4 - 12.5 - 12.8 - 12.2 - 12.4 - 11.4 - 12.1 - 12.3	12.8 - 23.5 - 34.9 - 47.4 - 60.2 - 72.4 - 84.8 - 96.2 - 108.3 - 120.6 (34.9-35.8)
200305010212	ダ	左	1600	晴	良	16:15	4歳以上1000万下		2003-4-27	1	東京	2	4歳以上1000万下	(混)[指](別定)	9	1900	8	9	620	8	2	3,650	15	6.0	440	6.0	1-5	21480	30	2-9	90480.0	97.0	2-9	18,050	95.0	6-9	2,170	24.0	2-6	11,090	76.0	9=>2	153070	174	2-6-9	191580	274			3,13-5,7,10-9-2,11,16(6,14)15(8,12)-(1,4)	(*3,13)-5-(2,7,9)11,10(6,14,16)(8,12,15)-(1,4)	12.5 - 10.9 - 11.4 - 12.0 - 12.7 - 12.9 - 12.9 - 13.0	12.5 - 23.4 - 34.8 - 46.8 - 59.5 - 72.4 - 85.3 - 98.3 (34.8-38.8)
200305010301	ダ	左	1600	晴	良	10:00	3歳未勝利		2003-5-3	1	東京	3	3歳未勝利	(市)(抽)[指](馬齢)	4	140	1	4	120	1	3	290	4				3-4	700	3													4=>3	970	4	2-3-4	500	2			6(3,4)(2,5)1,7	6,4(3,2,5)1,7	13.2 - 11.7 - 12.4 - 12.9 - 13.2 - 12.8 - 12.6 - 12.5	13.2 - 24.9 - 37.3 - 50.2 - 63.4 - 76.2 - 88.8 - 101.3 (37.3-37.9)
200305010302	ダ	左	2100	晴	良	10:25	3歳未勝利		2003-5-3	1	東京	3	3歳未勝利	(混)[指](馬齢)	1	800	4	1	350	6	4	200	3	9.0	770	9.0	1-4	2880	12	1-4	2700.0	10.0	1-4	990	11.0	1-9	3,620	36.0	4-9	2,330	25.0	1=>4	5750	22	1-4-9	28240	63	1-(9,8)6(2,5,7)-4,3	1,8,9-6,5(2,7)4,3	1(9,8)(2,6,5)7,4,3	1,8(9,6,5,7)(2,4)3	7.0 - 11.4 - 12.6 - 12.8 - 13.0 - 13.8 - 13.9 - 13.7 - 12.4 - 12.2 - 12.7	7.0 - 18.4 - 31.0 - 43.8 - 56.8 - 70.6 - 84.5 - 98.2 - 110.6 - 122.8 - 135.5 (31.0-37.3)
200305010303	芝	左	1800	晴	良	10:50	3歳未勝利		2003-5-3	1	東京	3	3歳未勝利	[指](馬齢)	3	280	1	3	110	1	5	150	4	7.0	110	2.0	3-5	1110	4													3=>5	1720	7	3-5-7	790	2		5(3,7)(1,4,6)-(2,8)	5,3(7,6)(1,4,8)2	5,3(1,6)7(2,8,4)	13.9 - 12.7 - 12.8 - 13.4 - 13.5 - 13.0 - 11.3 - 11.0 - 11.6	13.9 - 26.6 - 39.4 - 52.8 - 66.3 - 79.3 - 90.6 - 101.6 - 113.2 (39.4-33.9)
200305010304	ダ	左	1300	晴	良	11:20	3歳未勝利		2003-5-3	1	東京	3	3歳未勝利	[指](馬齢)	15	390	2	15	160	2	16	160	1	1.0	980	10.0	8-8	740	4	15-16	740.0	1.0	15-16	290	1.0	1-15	2,760	28.0	1-16	2,520	26.0	15=>16	1430	1	1-15-16	9080	24			(*14,15)(4,5,13)-8(3,11)(2,9,7)1(10,16,12)=6	(*14,15)(4,13)-5,8,3,11(2,9)(1,7)(10,16)=12-6	7.2 - 10.8 - 11.4 - 12.3 - 12.4 - 12.4 - 13.0	7.2 - 18.0 - 29.4 - 41.7 - 54.1 - 66.5 - 79.5 (29.4-37.8)
200305010305	障		3100	晴	良  ダート	11:50	障害4歳以上オープン		2003-5-3	1	東京	3	障害4歳以上オープン	(混)(別定)	2	1850	7	2	570	8	1	260	5	9.0	160	2.0	1-2	5170	19	1-2	5590.0	21.0	1-2	1,760	21.0	2-9	1,420	16.0	1-9	600	5.0	2=>1	16140	46	1-2-9	7950	21	12,11,1,4(2,6,14)9(3,10,13)8(5,7)	12(1,11)(4,6,14)(2,9,10,13)(3,8)(5,7)	12(1,11)(6,14)(2,8)(4,10)(9,13)(5,3)7	12,6(2,1,14)11,8(9,4)10-5(7,13) 3		
200305010306	芝	左	1400	晴	良	12:50	3歳未勝利		2003-5-3	1	東京	3	3歳未勝利	牝[指](馬齢)	17	1060	5	17	200	3	12	130	1	7.0	190	2.0	6-8	500	1	12-17	1310.0	4.0	12-17	520	5.0	7-17	1,190	14.0	7-12	410	1.0	17=>12	3440	9	7-12-17	2890	6			(6,*18)-12,17,2(4,10)(3,7)8(9,11,13)15(1,16,14)5	18-6-12,17,2(4,10)3(9,7)-(11,8)13(1,16)(15,14)5	12.1 - 10.7 - 11.0 - 11.9 - 11.6 - 12.1 - 12.6	12.1 - 22.8 - 33.8 - 45.7 - 57.3 - 69.4 - 82.0 (33.8-36.3)
