	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200303010209	ダ	右	1700	晴	重	14:20	4歳以上500万下		2003-4-6	1	福島	2	4歳以上500万下	(別定)	4	410	1	4	170	1	2	650	9	9.0	450	8.0	2-3	5640	21	2-4	3830.0	18.0	2-4	1,750	26.0	4-9	1,360	18.0	2-9	6,080	55.0	4=>2	7110	33	2-4-9	25910	92	14(2,9,12)11(4,5,10)6-(1,13)3,7-8	14,9,2(5,12)-4,6(1,11)10(3,13)7,8	(*14,9)(2,5,12)6-(4,1)-(3,11,13)8,10,7	(14,*9)(2,5)6(4,1)-13(11,12,8)3-7-10	6.5 - 11.4 - 11.7 - 12.0 - 12.4 - 12.6 - 12.9 - 13.1 - 12.9	6.5 - 17.9 - 29.6 - 41.6 - 54.0 - 66.6 - 79.5 - 92.6 - 105.5 (29.6-38.9)
200303010210	芝	右	2000	晴	良	14:55	飯盛山特別 		2003-4-6	1	福島	2	4歳以上500万下	(混)(別定)	7	410	1	7	180	2	12	1,000	12	5.0	1,300	14.0	4-6	1470	6	7-12	6040.0	26.0	7-12	2,140	25.0	5-7	4,190	53.0	5-12	24,160	111.0	7=>12	8090	30	5-7-12	144240	306	(*6,16)9(1,10)(12,14)5(7,8)(3,13)11(2,15)4	(6,*16)9(1,10)(5,12,14)(7,8)3(11,13,2,15)-4	(*6,16,9)10(1,12,14,8)7(5,3,11,2,15)13,4	(*6,9)(1,12)(5,16,7)(3,10,14,8)(11,2)(4,13)-15	12.4 - 11.1 - 11.3 - 12.4 - 12.5 - 12.8 - 12.5 - 12.3 - 12.3 - 12.4	12.4 - 23.5 - 34.8 - 47.2 - 59.7 - 72.5 - 85.0 - 97.3 - 109.6 - 122.0 (34.8-37.0)
200303010211	芝	右	1200	晴	良	15:30	福島中央テレビ杯 		2003-4-6	1	福島	2	4歳以上1000万下	(混)(別定)	13	13540	15	13	2,770	15	10	570	8	2.0	430	5.0	5-7	3220	13	10-13	95450.0	104.0	10-13	18,670	103.0	2-13	10,620	87.0	2-10	2,450	30.0	13=>10	216140	210	2-10-13	286640	402			2(3,6,7,12)(16,9)(5,8,11)(14,15)(10,13)(1,4)	2,3(5,6,12,9,11)(7,8)16(10,13,14)(1,4,15)	12.2 - 10.5 - 11.3 - 12.0 - 12.1 - 12.6	12.2 - 22.7 - 34.0 - 46.0 - 58.1 - 70.7 (34.0-36.7)
200303010212	芝	右	1200	晴	良	16:10	喜多方特別 		2003-4-6	1	福島	2	4歳以上500万下	(混)(別定)	12	750	5	12	270	5	1	760	10	4.0	200	2.0	1-6	2010	7	1-12	18710.0	58.0	1-12	4,300	52.0	4-12	950	8.0	1-4	2,560	27.0	12=>1	27950	88	1-4-12	28480	90			11(15,16)(9,2,12)6(1,4,8,10,14)(7,13)3-5	(*11,15,16)(9,2,12)(1,6)4(3,10,14)(8,13)7-5	12.1 - 10.5 - 11.1 - 11.8 - 12.1 - 12.5	12.1 - 22.6 - 33.7 - 45.5 - 57.6 - 70.1 (33.7-36.4)
200303010301	ダ	右	1000	曇	良	09:55	3歳未勝利		2003-4-12	1	福島	3	3歳未勝利	(馬齢)	2	1380	6	2	440	6	9	210	3	10.0	1,160	10.0	2-7	3870	13	2-9	4160.0	14.0	2-9	1,310	14.0	2-10	10,550	53.0	9-10	4,160	32.0	2=>9	12070	35	2-9-10	77890	120			(*4,5)(10,11,12)(1,9)2,7(3,6)=8	(*4,5)(9,10)12,11(1,2)-6(3,7)-8	12.8 - 11.4 - 12.1 - 12.6 - 12.6	12.8 - 24.2 - 36.3 - 48.9 - 61.5 (36.3-37.3)
200303010302	ダ	右	1700	曇	良	10:20	3歳未勝利		2003-4-12	1	福島	3	3歳未勝利	(馬齢)	8	510	2	8	160	3	9	450	6	7.0	240	4.0	7-7	4160	13	8-9	4080.0	13.0	8-9	1,060	10.0	7-8	480	5.0	7-9	1,370	16.0	8=>9	6970	24	7-8-9	4940	16	(*8,11)10,7,3-(9,5)-(4,1,2)6	(8,*11)-10-7,3(9,5)-(1,2)-6-4	8(11,7)(9,10,5)(1,3)2-6-4	8(9,7)(10,5)11(1,3,2)-4,6	6.8 - 11.5 - 12.0 - 12.5 - 13.4 - 13.7 - 13.4 - 12.8 - 12.8	6.8 - 18.3 - 30.3 - 42.8 - 56.2 - 69.9 - 83.3 - 96.1 - 108.9 (30.3-39.0)
200303010303	ダ	右	1700	曇	良	10:45	3歳未勝利		2003-4-12	1	福島	3	3歳未勝利	(馬齢)	1	440	1	1	190	2	9	200	3	2.0	480	9.0	1-6	1490	8	1-9	1690.0	2.0	1-9	470	1.0	1-2	1,390	20.0	2-9	1,740	28.0	1=>9	2930	4	1-2-9	8130	31	1,5-12(6,13)(3,10)9-7-2=11=8-4	1,5(6,12)13(3,9)-10-7,2-11=8,4	1,5(12,9)(6,7,2)13-3(11,10)-8=4	1-(5,9,2)(6,7)13(12,11)3,8,10=4	6.7 - 11.1 - 11.7 - 13.4 - 13.9 - 13.1 - 12.7 - 12.6 - 13.0	6.7 - 17.8 - 29.5 - 42.9 - 56.8 - 69.9 - 82.6 - 95.2 - 108.2 (29.5-38.3)
200303010304	芝	右	1200	曇	良	11:15	3歳未勝利		2003-4-12	1	福島	3	3歳未勝利	牝(馬齢)	16	260	1	16	120	1	9	130	2	14.0	200	4.0	5-8	530	1	9-16	680.0	1.0	9-16	260	1.0	14-16	390	4.0	9-14	630	6.0	16=>9	1050	1	9-14-16	1650	2			16-8(13,9)(2,14)(1,10,12)(6,7)-(4,11,3)-15-5	16,9(8,1,14)2,6(11,13)(4,10)(7,3)12-15,5	12.3 - 11.0 - 11.4 - 12.0 - 11.9 - 12.6	12.3 - 23.3 - 34.7 - 46.7 - 58.6 - 71.2 (34.7-36.5)
200303010305	芝	右	1800	曇	良	11:45	3歳未勝利		2003-4-12	1	福島	3	3歳未勝利	(混)(馬齢)	1	4290	11	1	1,530	13	10	280	4	16.0	120	1.0	1-5	3930	16	1-10	30390.0	65.0	1-10	8,760	70.0	1-16	2,850	36.0	10-16	520	3.0	1=>10	71660	134	1-10-16	25930	92	16(6,7)1(12,15)(2,4,10)(3,5,9)11,14,13-8	16,6(1,7)(12,15)(2,4)10(3,5)9(13,11,14)-8	16,6(1,7)(12,10)(2,15)(4,5,9)(3,13,14)11-8	16(1,6)(7,10)12,9,2-(4,15,5)13,3-8,14 11	12.6 - 10.9 - 12.1 - 12.4 - 12.5 - 12.2 - 12.1 - 12.3 - 12.9	12.6 - 23.5 - 35.6 - 48.0 - 60.5 - 72.7 - 84.8 - 97.1 - 110.0 (35.6-37.3)
200303010306	ダ	右	1700	小雨	良	12:45	4歳以上500万下		2003-4-12	1	福島	3	4歳以上500万下	牝(別定)	1	290	1	1	120	1	8	230	4	13.0	330	7.0	1-5	990	4	1-8	1320.0	3.0	1-8	450	3.0	1-13	1,160	14.0	8-13	1,660	20.0	1=>8	2030	5	1-8-13	7140	20	13(3,8)9(2,5,14)(7,12)(6,11)10,1-4	13(3,8)(2,5,9)14(6,7,12)-(1,10,11)-4	(*13,8)9(2,5,14)-(6,3,7,12,10)(1,4)11	(*13,8)9,2-(6,5,10)(14,1)7,12(3,4)-11	6.7 - 11.4 - 11.9 - 12.5 - 13.1 - 13.1 - 12.8 - 12.5 - 13.5	6.7 - 18.1 - 30.0 - 42.5 - 55.6 - 68.7 - 81.5 - 94.0 - 107.5 (30.0-38.8)
