	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200301010209	芝	右	1200	晴	良	14:20	まりも特別 		2003-8-17	1	札幌	2	3歳以上500万下	(混)(特指)(別定)	10	190	1	10	140	1	3	640	9	7.0	220	4.0	2-5	1780	9	3-10	5660.0	20.0	3-10	1,920	21.0	7-10	480	3.0	3-7	4,920	46.0	10=>3	6820	26	3-7-10	16060	52			10-(3,5,9)(1,2,6,15)(7,11)(4,12)8(14,16)13	10-3-1(5,9)(2,6,15)7,4,8(14,12)13(11,16)	12.2 - 10.6 - 10.8 - 11.1 - 11.7 - 12.5	12.2 - 22.8 - 33.6 - 44.7 - 56.4 - 68.9 (33.6-35.3)
200301010210	芝	右	2000	晴	良	14:55	知床特別 		2003-8-17	1	札幌	2	3歳以上500万下	(混)(特指)(別定)	4	360	1	4	140	2	12	140	1	11.0	290	5.0	3-7	500	1	4-12	610.0	1.0	4-12	250	1.0	4-11	900	9.0	11-12	670	6.0	4=>12	1030	1	4-11-12	2370	3	9-1-(6,15)(4,10)(2,12,14)(3,13)(7,11)5-8	9=1-6(4,15,10)14(2,12)13,3(7,5,11)-8	9=(1,15,10)(4,12,14)(2,13)(6,3,11)7,5,8	9-(15,10,12)(4,11)2,14(1,7,13)(8,3)5-6	12.5 - 10.5 - 11.4 - 11.6 - 11.8 - 12.7 - 13.0 - 12.9 - 12.8 - 12.0	12.5 - 23.0 - 34.4 - 46.0 - 57.8 - 70.5 - 83.5 - 96.4 - 109.2 - 121.2 (34.4-37.7)
200301010211	芝	右	1800	晴	良	15:30	クイーンステークス	G3	2003-8-17	1	札幌	2	3歳以上オープン	(混)	6	3520	7	6	410	7	2	110	1	11.0	120	2.0	2-6	1750	7	2-6	2160.0	8.0	2-6	750	10.0	6-11	1,180	17.0	2-11	160	1.0	6=>2	9460	25	2-6-11	2100	6	(1,*6)4(5,11)(2,9)-(3,10)7,8	6,1,4,5,2,11,9,10(3,7)8	6,4(1,5)2,11(9,7,10)8,3	6,1,4(2,5,11)(9,7,10)8-3	12.4 - 11.6 - 12.2 - 12.6 - 12.6 - 12.2 - 11.3 - 11.2 - 11.6	12.4 - 24.0 - 36.2 - 48.8 - 61.4 - 73.6 - 84.9 - 96.1 - 107.7 (36.2-34.1)
200301010301	ダ	右	1000	小雨	良	09:55	2歳未勝利		2003-8-23	1	札幌	3	2歳未勝利	(混)[指](馬齢)	11	140	1	11	100	1	5	130	2	2.0	420	6.0	5-8	370	1	5-11	300.0	1.0	5-11	160	1.0	2-11	600	8.0	2-5	1,050	12.0	11=>5	490	1	2-5-11	1920	5			5,11(1,2,12)3,4,7(6,10)8,9	(*5,11)-2(1,12)-4(8,3)7-6-(9,10)	12.6 - 11.0 - 11.6 - 12.0 - 13.4	12.6 - 23.6 - 35.2 - 47.2 - 60.6 (35.2-37.0)
200301010302	ダ	右	1700	小雨	良	10:20	3歳未勝利		2003-8-23	1	札幌	3	3歳未勝利	牝[指](馬齢)	8	1300	5	8	280	5	10	150	3	4.0	140	2.0	6-7	1290	6	8-10	2160.0	9.0	8-10	800	10.0	4-8	620	7.0	4-10	450	4.0	8=>10	5120	22	4-8-10	3090	9	8,10(1,2,5)(3,6,9)12(4,13)11,7	8,10(1,2,5)(6,9)(3,12)4(11,13)7	(*8,10)5(1,9,12)(2,6)(11,13)3(4,7)	8,10(1,5,12)2,9-(6,11)(3,4,7)-13	6.9 - 12.0 - 13.1 - 13.8 - 13.6 - 12.9 - 12.4 - 12.8 - 13.5	6.9 - 18.9 - 32.0 - 45.8 - 59.4 - 72.3 - 84.7 - 97.5 - 111.0 (32.0-38.7)
200301010303	芝	右	1800	小雨	良	10:45	3歳未勝利		2003-8-23	1	札幌	3	3歳未勝利	(混)[指](馬齢)	7	1680	7	7	440	8	2	260	4	12.0	270	5.0	2-5	2180	13	2-7	5030.0	30.0	2-7	2,200	37.0	7-12	2,440	40.0	2-12	750	6.0	7=>2	14870	77	2-7-12	13580	70	6,5(1,11)10,7(8,9)12,2,13-(3,4,14)	6,5(1,7,11)(8,10)(2,9,12)-13-(3,4,14)	(*6,5)(1,7,11)(8,2,10,12)9,13-(3,4,14)	(*6,7)(5,2,11,10,12)(1,8,9)(13,3)=4-14	12.7 - 11.6 - 12.0 - 12.3 - 12.3 - 12.1 - 12.2 - 12.4 - 12.5	12.7 - 24.3 - 36.3 - 48.6 - 60.9 - 73.0 - 85.2 - 97.6 - 110.1 (36.3-37.1)
200301010304	芝	右	1200	小雨	良	11:15	2歳500万下		2003-8-23	1	札幌	3	2歳500万下	(混)(特指)(馬齢)	9	210	1	9	100	1	1	130	2	15.0	150	3.0	1-5	360	1	1-9	440.0	1.0	1-9	170	1.0	9-15	320	2.0	1-15	380	4.0	9=>1	610	1	1-9-15	920	1			(*11,14)3(4,9)(1,5)15-12-7(6,10)(2,8)13	(*14,3)(11,1,9)(4,5)-15(6,12)(7,10,8)(2,13)	12.0 - 10.5 - 11.1 - 11.8 - 12.8 - 13.0	12.0 - 22.5 - 33.6 - 45.4 - 58.2 - 71.2 (33.6-37.6)
200301010305	芝	右	1200	曇	良	12:15	2歳新馬		2003-8-23	1	札幌	3	2歳新馬	(混)[指](馬齢)	8	150	1	8	110	1	3	130	2	6.0	320	6.0	3-8	280	1	3-8	330.0	1.0	3-8	180	1.0	6-8	510	7.0	3-6	750	11.0	8=>3	510	1	3-6-8	1580	7			(*8,9)5(7,4,6)-3=1=2	(*8,5)-6,9(7,4,3)=1=2	12.4 - 11.0 - 11.3 - 11.7 - 12.0 - 12.2	12.4 - 23.4 - 34.7 - 46.4 - 58.4 - 70.6 (34.7-35.9)
200301010306	ダ	右	1700	曇	良	12:45	3歳以上500万下		2003-8-23	1	札幌	3	3歳以上500万下	(父)[指](別定)	2	580	3	2	200	3	1	110	1	6.0	340	6.0	1-2	580	3	1-2	600.0	2.0	1-2	300	2.0	2-6	1,170	13.0	1-6	530	7.0	2=>1	1580	6	1-2-6	1810	7	13,1-2(3,7)4(5,12)6-10(8,9,11)	13(1,2,7)(3,4,5,12)-6-8(10,9)-11	(*2,6)13,1,12(7,5)(3,4,8)10-9-11	(*2,6)-1,13-(12,5)8-7,10-3-4-(11,9)	7.0 - 11.2 - 12.4 - 12.8 - 12.4 - 12.0 - 12.5 - 13.0 - 13.3	7.0 - 18.2 - 30.6 - 43.4 - 55.8 - 67.8 - 80.3 - 93.3 - 106.6 (30.6-38.8)
200301010307	ダ	右	1700	曇	良	13:15	3歳以上500万下		2003-8-23	1	札幌	3	3歳以上500万下	(特指)(別定)	6	330	2	6	130	2	8	110	1	3.0	350	6.0	5-6	360	1	6-8	440.0	1.0	6-8	200	1.0	3-6	820	9.0	3-8	580	6.0	6=>8	980	2	3-6-8	1730	4	(*12,4)5,3,8(1,9)(2,6,13)7-(10,11)	(*12,4)5,3,8(1,9)-(6,13)2,7-(10,11)	(*12,4)(3,5,8)(9,6)1-13,2(11,7)-10	(*12,4)(3,8)6-5,9(1,13)7(2,11)10	6.9 - 11.7 - 12.3 - 12.3 - 12.3 - 12.4 - 12.6 - 13.3 - 13.5	6.9 - 18.6 - 30.9 - 43.2 - 55.5 - 67.9 - 80.5 - 93.8 - 107.3 (30.9-39.4)
