	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200306010209	芝	右	2000	晴	良	14:25	寒竹賞 		2003-1-6	1	中山	2	3歳500万下	(混)(特指)(馬齢)	15	5280	11	15	2,150	14	7	230	4	10.0	140	1.0	4-8	9840	23	7-15	41660.0	61.0	7-15	8,790	64.0	10-15	4,730	45.0	7-10	450	2.0	15=>7	117190	139	7-10-15	37220	92	4-7(6,10)(2,11,13)-3,15-8(1,12)-(16,14)5 9	4-7(6,10)(2,13)11,3,15-8(1,12)-(16,14)-5 9	4-(7,10)(6,2,13)11(3,15)-(1,8)12=14,16-5 9	(4,*7,10)2(11,13)(6,15)(3,1)(12,8)=14,16,5 9	12.3 - 10.9 - 12.1 - 12.0 - 12.0 - 11.9 - 12.2 - 12.2 - 12.8 - 13.0	12.3 - 23.2 - 35.3 - 47.3 - 59.3 - 71.2 - 83.4 - 95.6 - 108.4 - 121.4 (35.3-38.0)
200306010210	ダ	右	2400	晴	稍重	15:00	成田特別 		2003-1-6	1	中山	2	4歳以上1000万下	(混)[指](別定)	4	830	3	4	250	4	13	140	1	16.0	230	3.0	2-7	1080	4	4-13	1190.0	2.0	4-13	550	4.0	4-16	1,280	15.0	13-16	530	2.0	4=>13	2920	7	4-13-16	3370	5	(*9,10)15(4,16)(2,3)(11,8,7)(12,14)(5,13)1,6	(*9,10)15,4,16(2,3)(11,8,7)(5,12,14)(1,13)-6	(10,*13)(9,4,16)15-(8,3,14)2(11,12,7)1,5,6	(*10,13)(4,16)-(9,8,15,14)-2,11(12,3)(5,7)(6,1)	13.1 - 12.2 - 13.4 - 13.3 - 13.9 - 14.0 - 13.7 - 13.1 - 12.0 - 12.7 - 13.2 - 13.6	13.1 - 25.3 - 38.7 - 52.0 - 65.9 - 79.9 - 93.6 - 106.7 - 118.7 - 131.4 - 144.6 - 158.2 (38.7-39.5)
200306010211	ダ	右	1200	晴	稍重	15:35	ジャニュアリーS 		2003-1-6	1	中山	2	4歳以上1600万下	(混)[指](別定)	13	1110	5	13	380	6	9	240	3	5.0	730	9.0	5-7	2980	16	9-13	3590.0	12.0	9-13	1,330	12.0	5-13	5,150	60.0	5-9	2,890	35.0	13=>9	8010	31	5-9-13	26230	89			(15,*16)(8,11)(2,10)(5,9)(6,14,13)(1,3,7)(4,12)	16(15,8,11)9(2,5,14,13)(3,10,6)1(4,12)7	11.9 - 10.4 - 11.0 - 12.1 - 12.9 - 13.0	11.9 - 22.3 - 33.3 - 45.4 - 58.3 - 71.3 (33.3-38.0)
200306010212	ダ	右	1800	晴	稍重	16:10	4歳以上1000万下		2003-1-6	1	中山	2	4歳以上1000万下	[指](別定)	5	360	1	5	160	3	10	200	4	4.0	160	2.0	4-6	1060	5	5-10	1130.0	4.0	5-10	440	4.0	4-5	340	2.0	4-10	600	6.0	5=>10	1960	6	4-5-10	1780	3	14(5,8)(1,4,10)12(2,6,7)(3,13)-9-11	14(5,8)(1,10)(4,12)(2,6)7,3,13-9-11	(*14,5)(8,10)(4,12)(1,2,6)(3,7)-13-(9,11)	(*5,10)(14,4)(8,12)(2,7)(1,3,6)-(9,11)-13	12.5 - 11.9 - 12.8 - 13.3 - 12.5 - 12.3 - 12.7 - 13.0 - 13.5	12.5 - 24.4 - 37.2 - 50.5 - 63.0 - 75.3 - 88.0 - 101.0 - 114.5 (37.2-39.2)
200306010301	ダ	右	1800	晴	良	10:00	3歳未勝利		2003-1-11	1	中山	3	3歳未勝利	牝[指](馬齢)	1	390	2	1	200	2	2	1,120	8	15.0	340	5.0	1-1	12970	26	1-2	10490.0	27.0	1-2	2,690	26.0	1-15	1,110	12.0	2-15	7,820	58.0	1=>2	16510	49	1-2-15	54530	117	11(16,15)(1,12,13)(5,6,10,14)(2,4)3-9=8 7	(*11,16)(1,15)(12,13)5(6,10)(2,4,14)3-9=8 7	(*11,16)(1,15)(5,13,14)(2,6)10(12,3)9-4,8 7	(*11,16,15)(1,14)(5,6)2,9-(13,10)3-4(12,8) 7	12.8 - 12.0 - 13.2 - 13.6 - 12.9 - 13.2 - 13.6 - 14.0 - 13.8	12.8 - 24.8 - 38.0 - 51.6 - 64.5 - 77.7 - 91.3 - 105.3 - 119.1 (38.0-41.4)
200306010302	ダ	右	1200	晴	良	10:25	3歳未勝利		2003-1-11	1	中山	3	3歳未勝利	(混)[指](馬齢)	5	230	1	5	130	1	9	920	11	2.0	300	4.0	3-5	6010	19	5-9	10270.0	33.0	5-9	3,540	36.0	2-5	610	4.0	2-9	5,860	46.0	5=>9	15470	48	2-5-9	24820	73			(*1,5)(3,9)(8,14)(2,11)(12,16)(6,10)-15-4-13-7	(*1,5)9(3,14)2,11(12,16)(8,6)(4,10)-15-13-7	12.2 - 10.5 - 11.4 - 12.6 - 13.0 - 13.6	12.2 - 22.7 - 34.1 - 46.7 - 59.7 - 73.3 (34.1-39.2)
200306010303	ダ	右	1800	晴	良	10:50	3歳新馬		2003-1-11	1	中山	3	3歳新馬	(父)[指](馬齢)	4	3090	10	4	730	10	2	270	5	6.0	230	3.0	1-2	5420	23	2-4	9770.0	33.0	2-4	3,150	35.0	4-6	3,420	39.0	2-6	880	8.0	4=>2	30010	95	2-4-6	23650	71	(4,*15)(10,11)(7,16)(2,8,9,14)(6,13)(3,5,12)-1	(4,*15,11)(7,10,16)(2,8,9,14)(6,13)(3,5,12)-1	4(15,11)16(7,14,1)(2,8,13)(6,9,12)10(3,5)	4-(11,16,1)7(2,8,14,9)(15,6,12)(3,5,13)-10	13.1 - 12.6 - 13.9 - 14.0 - 13.0 - 12.8 - 13.3 - 13.3 - 13.8	13.1 - 25.7 - 39.6 - 53.6 - 66.6 - 79.4 - 92.7 - 106.0 - 119.8 (39.6-40.4)
200306010304	ダ	右	1200	晴	良	11:20	3歳新馬		2003-1-11	1	中山	3	3歳新馬	[指](馬齢)	4	220	1	4	140	1	10	1,200	11	5.0	2,500	16.0	2-5	2550	11	4-10	4890.0	15.0	4-10	1,890	19.0	4-5	4,850	46.0	5-10	15,400	93.0	4=>10	6020	19	4-5-10	63690	152			10(4,14,12)(5,11)(3,15)-(8,16)6(2,9)-7-13=1	(*10,4)-(5,11,14,12)3-15(8,6)-16-(2,9)7-13-1	12.4 - 11.0 - 12.0 - 12.6 - 12.4 - 12.9	12.4 - 23.4 - 35.4 - 48.0 - 60.4 - 73.3 (35.4-37.9)
200306010305	ダ	右	1800	晴	良	11:50	4歳以上500万下		2003-1-11	1	中山	3	4歳以上500万下	牝[指](別定)	8	1350	6	8	330	3	9	390	7	16.0	960	11.0	4-5	3900	18	8-9	5600.0	25.0	8-9	1,760	20.0	8-16	5,350	59.0	9-16	3,590	45.0	8=>9	10990	42	8-9-16	45080	143	8(4,9)1,16-2-(7,10)-(12,11)(5,15)6(3,13)14	(*8,4)(1,9)16,2(7,10)-(12,11,15)-(5,6)(3,13)14	8(4,9)(1,16)(10,11)(2,7)-(5,12,15)6(14,3,13)	8,9,4(1,16)(7,10)(2,11)5,14,12(13,6)(3,15)	12.7 - 12.5 - 13.0 - 13.3 - 12.9 - 12.7 - 12.7 - 12.5 - 13.6	12.7 - 25.2 - 38.2 - 51.5 - 64.4 - 77.1 - 89.8 - 102.3 - 115.9 (38.2-38.8)
200306010306	芝	右	1600	晴	良	12:50	3歳新馬		2003-1-11	1	中山	3	3歳新馬	(混)[指](馬齢)	6	490	3	6	160	2	4	780	11	15.0	170	3.0	2-3	2850	12	4-6	11720.0	38.0	4-6	3,220	34.0	6-15	470	3.0	4-15	3,580	40.0	6=>4	16840	56	4-6-15	22290	64		(2,*8,10)(6,12)(3,7,9,14)(1,13,16)(4,15)11,5	2(8,6)(3,7,12)(9,10,15)(1,13)(11,4,14,5,16)	2-(8,6)7,9,10(4,12,15)3(13,11)(1,14)5-16	12.9 - 11.5 - 12.3 - 12.3 - 12.0 - 11.6 - 12.0 - 12.7	12.9 - 24.4 - 36.7 - 49.0 - 61.0 - 72.6 - 84.6 - 97.3 (36.7-36.3)
200306010307	ダ	右	1200	晴	良	13:20	4歳以上500万下		2003-1-11	1	中山	3	4歳以上500万下	(混)[指](別定)	7	140	1	7	110	1	6	380	5	1.0	900	9.0	3-4	1290	5	6-7	1310.0	4.0	6-7	590	5.0	1-7	1,190	12.0	1-6	7,480	52.0	7=>6	1760	6	1-6-7	12240	36			(*7,16)(11,12)(1,5)(13,15)2,9,10(3,14)-6(4,8)	7,16-(1,12)11,13(2,5)(10,15)9,3,6-(14,4)-8	12.1 - 10.6 - 11.1 - 12.2 - 12.8 - 13.7	12.1 - 22.7 - 33.8 - 46.0 - 58.8 - 72.5 (33.8-38.7)
200306010308	ダ	右	1800	晴	良	13:50	4歳以上1000万下		2003-1-11	1	中山	3	4歳以上1000万下	[指](別定)	16	300	1	16	120	1	5	220	4	7.0	140	2.0	3-8	1240	7	5-16	1460.0	4.0	5-16	510	4.0	7-16	260	1.0	5-7	540	5.0	16=>5	2490	5	5-7-16	1840	3	5,14,16(4,9)(3,6,8,12)(7,10)(1,13)11,2-15	5,14(4,16)(3,9)(6,12)8(7,10)13(1,11)-2-15	5(14,16)(4,3,10)(9,13)(6,7,12,8)(1,11)-(2,15)	5(14,16)(4,3)(7,10)9,13-(12,8)-11(6,1,2,15)	12.9 - 12.2 - 12.6 - 12.9 - 12.6 - 12.3 - 12.6 - 12.8 - 14.0	12.9 - 25.1 - 37.7 - 50.6 - 63.2 - 75.5 - 88.1 - 100.9 - 114.9 (37.7-39.4)
200306010309	障		3200	晴	良  ダート	14:25	中山新春ジャンプS 		2003-1-11	1	中山	3	障害4歳以上オープン	(混)(別定)	8	550	2	8	190	2	1	510	8	6.0	190	3.0	1-7	4670	13	1-8	6510.0	25.0	1-8	1,660	24.0	6-8	590	4.0	1-6	1,570	21.0	8=>1	10970	40	1-6-8	9290	33	6=3=10,1-2,5(8,9)7=4 11	6=3=10,1-2(5,9)8,7=4 11	6=3(10,1)-(2,8)=9-(5,7)=4 11	6-(3,10)(1,8)=2-9,7=5=4 11		
