	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200304010210	芝	左	1600	晴	良	14:45	4歳以上500万下		2003-5-4	1	新潟	2	4歳以上500万下	(混)[指](別定)	8	2710	10	8.0	800	10.0	14.0	240	2.0	5.0	570	8.0	4-7	1060	4	8=>14	19010	65	5-8-14	60110	172			14(7,16)1(3,5,12)(6,11,15)9(2,4,13)(8,10)	14(7,16)1(5,12)(3,11)(9,6)15(2,4)13,8,10	12.8 - 11.5 - 11.9 - 12.3 - 12.1 - 11.7 - 10.7 - 11.8	12.8 - 24.3 - 36.2 - 48.5 - 60.6 - 72.3 - 83.0 - 94.8 (36.2-34.2)	8-14	6900.0	25.0	8-14	2,240	25.0	5-8	10,090	86.0	5-14	2,310	26.0
200304010211	芝	直	1000	晴	良	15:25	駿風ステークス 		2003-5-4	1	新潟	2	4歳以上オープン	(混)[指](別定)	3	590	3	3.0	220	4.0	12.0	130	1.0	10.0	420	7.0	3-8	570	3	3=>12	2330	6	3-10-12	6880	20					11.9 - 10.1 - 10.5 - 10.5 - 11.2	11.9 - 22.0 - 32.5 - 43.0 - 54.2 (32.5-32.2)	3-12	1010.0	3.0	3-12	440	3.0	3-10	2,310	27.0	10-12	1,200	15.0
200304010212	芝	左	1400	晴	良	16:10	湯沢特別 		2003-5-4	1	新潟	2	4歳以上500万下	(混)[指](別定)	15	990	5	15.0	290	5.0	11.0	230	3.0	5.0	160	1.0	6-8	3390	12	15=>11	9200	37	5-11-15	6850	18			2-15(3,6,16)13(7,8,10,5,11)(1,12)(9,4) 14	2-15(3,13)(6,16,5,11)(7,8,10)(1,12)(9,4) 14	12.4 - 11.0 - 11.5 - 12.0 - 12.1 - 12.1 - 12.0	12.4 - 23.4 - 34.9 - 46.9 - 59.0 - 71.1 - 83.1 (34.9-36.2)	11-15	4390.0	17.0	11-15	1,360	16.0	5-15	880	8.0	5-11	850	7.0
200304010301	ダ	左	1800	晴	稍重	09:55	3歳未勝利		2003-5-10	1	新潟	3	3歳未勝利	(馬齢)	8	130	1	8.0	100	1.0	7.0	180	4.0	1.0	110	2.0	7-8	1320	4	8=>7	1870	5	1-7-8	530	2	1,2(6,8)7-5,4-3	1,2(7,6,8)(5,4)-3	1,2(6,8)7(5,4)-3	(*1,2,8)(7,6)5,4-3	13.1 - 11.5 - 13.2 - 13.8 - 13.1 - 12.4 - 12.8 - 12.6 - 12.9	13.1 - 24.6 - 37.8 - 51.6 - 64.7 - 77.1 - 89.9 - 102.5 - 115.4 (37.8-38.3)												
200304010302	芝	左	1800	晴	良	10:20	3歳未勝利		2003-5-10	1	新潟	3	3歳未勝利	(混)(馬齢)	10	200	1	10.0	100	1.0	7.0	150	3.0	3.0	120	2.0	7-8	460	2	10=>7	1120	3	3-7-10	660	1			7,6(3,5,10)2(1,8)(9,4)	7,6(3,5,10)2(1,8)(9,4)	13.1 - 12.9 - 13.0 - 13.5 - 13.2 - 12.6 - 11.8 - 10.4 - 11.3	13.1 - 26.0 - 39.0 - 52.5 - 65.7 - 78.3 - 90.1 - 100.5 - 111.8 (39.0-33.5)	7-10	460.0	2.0	7-10	180	2.0	3-10	140	1.0	3-7	310	4.0
200304010303	ダ	左	1800	晴	稍重	10:45	3歳未勝利		2003-5-10	1	新潟	3	3歳未勝利	(馬齢)	2	390	3	2.0	140	3.0	9.0	110	1.0	6.0	110	2.0	2-8	510	2	2=>9	1740	8	2-6-9	350	1	2,6(1,9)7,10-3,8-4-5	2,6(1,9)7,10,3,8,4-5	2(6,9)1(7,10)-3-8-4=5	2(6,9)1,10,7-3-8-4-5	12.9 - 11.5 - 12.9 - 13.7 - 13.0 - 12.6 - 12.4 - 12.5 - 12.6	12.9 - 24.4 - 37.3 - 51.0 - 64.0 - 76.6 - 89.0 - 101.5 - 114.1 (37.3-37.5)	2-9	780.0	3.0	2-9	210	3.0	2-6	180	2.0	6-9	130	1.0
200304010304	ダ	左	1200	晴	稍重	11:15	3歳未勝利		2003-5-10	1	新潟	3	3歳未勝利	(馬齢)	12	360	2	12.0	140	2.0	2.0	130	1.0	15.0	440	8.0	2-7	430	1	12=>2	1040	2	2-12-15	2860	7			2,15(8,12)(11,10)14-(7,9)3(1,4)(6,13)-5	2,15,12(8,10)11(9,14)3,7(1,4,6)-(5,13)	12.2 - 10.9 - 11.7 - 13.2 - 12.9 - 13.2	12.2 - 23.1 - 34.8 - 48.0 - 60.9 - 74.1 (34.8-39.3)	2-12	440.0	1.0	2-12	220	1.0	12-15	1,440	17.0	2-15	960	13.0
200304010305	芝	直	1000	晴	良	11:45	3歳未勝利		2003-5-10	1	新潟	3	3歳未勝利	牝(馬齢)	6	530	3	6.0	180	3.0	5.0	140	1.0	15.0	280	6.0	3-3	950	5	6=>5	2420	6	5-6-15	2760	7					12.4 - 10.5 - 10.8 - 10.7 - 11.7	12.4 - 22.9 - 33.7 - 44.4 - 56.1 (33.7-33.2)	5-6	1030.0	2.0	5-6	380	2.0	6-15	1,000	12.0	5-15	520	3.0
200304010306	芝	左	1200	晴	良	12:45	3歳未勝利		2003-5-10	1	新潟	3	3歳未勝利	(混)(馬齢)	3	280	1	3.0	150	2.0	7.0	350	4.0	9.0	350	5.0	2-4	880	4	3=>7	2930	10	3-7-9	5930	24			(14,*9)12-(3,6)10(4,16)13(7,11)8(2,5)-1=15	9(14,12)-(3,6)(4,16,10)(7,13)11-(2,8,5)1=15	12.2 - 10.5 - 11.7 - 12.1 - 11.9 - 12.2	12.2 - 22.7 - 34.4 - 46.5 - 58.4 - 70.6 (34.4-36.2)	3-7	2050.0	10.0	3-7	750	9.0	3-9	840	10.0	7-9	1,680	21.0
200304010307	ダ	左	1200	晴	良	13:15	4歳以上500万下		2003-5-10	1	新潟	3	4歳以上500万下	牝(別定)	2	1780	6	2.0	350	4.0	10.0	270	2.0	8.0	410	6.0	2-6	3460	8	2=>10	10780	23	2-8-10	22580	63			(*7,13)(3,4,11,8)2(15,9)-14,10,12(6,1) 5	(*7,13,8)(3,4,11)9(2,15)10(14,1)12,6 5	12.2 - 10.9 - 12.0 - 12.8 - 12.8 - 12.6	12.2 - 23.1 - 35.1 - 47.9 - 60.7 - 73.3 (35.1-38.2)	2-10	6170.0	13.0	2-10	1,610	14.0	2-8	3,190	32.0	8-10	1,620	15.0
