	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201830051604	ダ	右	1200	晴	良	16:10	3歳以上C4ー3		2018-5-16	3	門別	1	(馬齢)		1.0	250.0	2.0	1.0	140.0	3.0	4.0	120.0	1.0	1-4	290.0	1.0	1-4	160	1.0	1-7	310	5.0	4-7	300	4.0	1=>4	500.0	2.0	1-4-7	530.0	2.0	1=>4=>7	1690.0	5.0			4176532.0	4175632.0								
201830051605	ダ	右	1700	晴	良	16:40	3歳以上C4ー4		2018-5-16	3	門別	1	(馬齢)		1.0	210.0	2.0	1.0	100.0	1.0	3.0	110.0	2.0	1-3	240.0	1.0	1-3	110	1.0	1-7	320	7.0	3-7	310	6.0	1=>3	420.0	2.0	1-3-7	670.0	4.0	1=>3=>7	1760.0	5.0	1567324	1567342	1475362	1745362								
201830051606	ダ	右	1200	晴	良	17:15	3歳以上C4ー3		2018-5-16	3	門別	1	(馬齢)		7.0	260.0	2.0	7.0	110.0	2.0	8.0	170.0	5.0	7-8	1260.0	4.0	7-8	310	4.0	2-7	150	1.0	2-8	370	6.0	7=>8	2010.0	9.0	2-7-8	520.0	2.0	7=>8=>2	4560.0	17.0			2,6,7,1,(3,8),4,5	2,6,7,8,(1,3),4,5			2.0	100	1.0			
201830051607	ダ	右	1000	晴	良	17:45	JRA認定フレッシュ		2018-5-16	3	門別	1	(馬齢)		4.0	790.0	3.0	4.0	310.0	5.0	6.0	130.0	1.0	4-6	460.0	2.0	4-6	160	2.0	4-7	250	5.0	6-7	150	1.0	4=>6	1880.0	7.0	4-6-7	400.0	1.0	4=>6=>7	5890.0	18.0			(6,7),4-8,5,1,3	6,7,4-8,5,1,3								
201830051608	ダ	右	1200	晴	良	18:15	3歳以上C3ー3C4		2018-5-16	3	門別	1	(馬齢)		8.0	140.0	1.0	8.0	100.0	1.0	4.0	110.0	2.0	4-8	160.0	1.0	4-8	130	1.0	7-8	250	3.0	4-7	360	6.0	8=>4	200.0	1.0	4-7-8	440.0	2.0	8=>4=>7	1090.0	2.0			8,7,(4,6),3,2,1,5	8,(4,7),(3,6),2,1,5			7.0	160	4.0			
201830051609	ダ	右	1600	晴	良	18:50	鶉月特別 		2018-5-16	3	門別	1	(別定)		2.0	380.0	3.0	2.0	120.0	2.0	4.0	250.0	5.0	2-4	2560.0	9.0	2-4	820	10.0	2-8	200	2.0	4-8	820	10.0	2=>4	3650.0	12.0	2-4-8	1430.0	7.0	2=>4=>8	12460.0	41.0	7,(1,5),(2,6),8,4,3	7,5,(1,8),(2,6),4,3	7,5,(1,8),2,6,4-3	(7,5,2,8,4),1,6,3			8.0	140	3.0			
201830051701	ダ	右	1200	晴	良	14:40	3歳条件未勝利		2018-5-17	3	門別	2	(馬齢)		7.0	110.0	1.0	7.0	100.0	1.0	1.0	100.0	2.0	1-7	150.0	1.0	1-7	120	1.0	3-7	460	7.0	1-3	880	9.0	7=>1	190.0	1.0	1-3-7	1030.0	4.0	7=>1=>3	2640.0	8.0			7,3,1,8,2,(5,4)-6	7,(1,3),(2,8),4,5-6			3.0	660	7.0			
201830051702	ダ	右	1000	晴	良	15:10	3歳以上C4ー4		2018-5-17	3	門別	2	(馬齢)		5.0	490.0	3.0	5.0	290.0	4.0	4.0	250.0	3.0	4-5	970.0	7.0	4-5	370	6.0	5-6	220	2.0	4-6	310	5.0	5=>4	2040.0	11.0	4-5-6	750.0	4.0	5=>4=>6	6380.0	31.0			5,4,6,7,1,3-2	5461732								
201830051703	ダ	右	1200	晴	良	15:40	3歳条件4ー2		2018-5-17	3	門別	2	(馬齢)		6.0	160.0	1.0	6.0	160.0	2.0	9.0	220.0	3.0	6-9	370.0	2.0	6-9	200	1.0	6-8	430	6.0	8-9	1,010	13.0	6=>9	390.0	2.0	6-8-9	2100.0	7.0	6=>9=>8	3930.0	14.0			(1,6),(2,3,9),7,5,11,10,8,4	6,(1,9),2,3,(5,7),11,(10,8),4			8.0	680	7.0	6-7	380.0	2.0
201830051704	ダ	右	1000	晴	良	16:10	3歳以上C4ー4		2018-5-17	3	門別	2	(馬齢)		8.0	140.0	1.0	8.0	100.0	1.0	1.0	110.0	3.0	1-8	290.0	2.0	1-8	120	1.0	4-8	150	2.0	1-4	230	5.0	8=>1	450.0	2.0	1-4-8	230.0	1.0	8=>1=>4	770.0	2.0			(4,8),(1,5),2,3-6	8,4,(1,5),2,3-6			4.0	100	2.0			
201830051705	ダ	右	1000	晴	良	16:40	JRA認定フレッシュ		2018-5-17	3	門別	2	(馬齢)		8.0	170.0	1.0	8.0	100.0	1.0	7.0	120.0	3.0	7-8	520.0	2.0	7-8	230	2.0	2-8	110	1.0	2-7	250	3.0	8=>7	570.0	3.0	2-7-8	340.0	1.0	8=>7=>2	1220.0	2.0			2,(6,7),8,1,4,3,5	2,7,8,6,1-(4,5),3			2.0	100	2.0			
201830051706	ダ	右	1200	晴	良	17:15	JRA認定フレッシュ		2018-5-17	3	門別	2	(馬齢)		6.0	260.0	1.0	6.0	120.0	2.0	5.0	170.0	4.0	5-6	440.0	2.0	5-6	200	2.0	3-6	170	1.0	3-5	210	3.0	6=>5	810.0	2.0	3-5-6	380.0	1.0	6=>5=>3	1510.0	2.0			3,7,6,(2,5)-8,1=4	(3,7),6,5,2-1,8-4			3.0	130	3.0			
201830051707	ダ	右	1200	晴	良	17:45	ニリンソウ特別 		2018-5-17	3	門別	2	(馬齢)		4.0	140.0	1.0	4.0	100.0	1.0	2.0	130.0	2.0	2-4	170.0	1.0	2-4	120	1.0	1-4	140	2.0	1-2	220	5.0	4=>2	250.0	1.0	1-2-4	310.0	2.0	4=>2=>1	780.0	2.0			(2,4),6,(1,7),3,5	(2,4),6,1,3,7,5								
201830051708	ダ	右	1200	晴	良	18:15	アークトゥルス特別 		2018-5-17	3	門別	2	(別定)		3.0	1600.0	5.0	3.0	280.0	5.0	4.0	710.0	7.0	3-4	8650.0	13.0	3-4	3,300	19.0	3-8	950	10.0	4-8	2,480	14.0	3=>4	20610.0	31.0	3-4-8	16130.0	27.0	3=>4=>8	193910.0	186.0			(2,3,5,7),8,4,6,1	(3,5,7),(2,8),4,6,1			8.0	190	3.0			
201830051709	ダ	右	1700	晴	良	18:50	ビオラ特別 		2018-5-17	3	門別	2	(馬齢)		6.0	170.0	1.0	6.0	120.0	1.0	3.0	1,060	9.0	3-6	5620.0	13.0	3-6	1,400	14.0	5-6	260	2.0	3-5	3,840	25.0	6=>3	4980.0	14.0	3-5-6	8760.0	25.0	6=>3=>5	31140.0	80.0	(2,12),5,8,6,11,9,7,1,(3,10),4	(2,12),5,8,6,11,9,(1,7),10,3,4	2,(12,5),(6,11),9,8,10,(1,7),3,4	(2,6,5),11,12,9,(1,7),10,(3,8),4			5.0	170	3.0	3-5	5660.0	12.0
201830052201	ダ	右	1200	晴	良	15:00	3歳条件未勝利		2018-5-22	3	門別	3	(馬齢)		3.0	130.0	1.0	3.0	110.0	2.0	8.0	110	1.0	3-8	710.0	3.0	3-8	320	3.0	2-3	380	5.0	2-8	710	10.0	3=>8	710.0	4.0	2-3-8	1290.0	6.0	3=>8=>2	2780.0	11.0			3,(2,7),6,5,8,9,4,1	3,2,7,(6,8),5,9,4-1			2.0	180	5.0	3-8	640.0	4.0
201830052202	ダ	右	1200	晴	良	15:30	3歳条件未勝利		2018-5-22	3	門別	3	(馬齢)		1.0	830.0	4.0	1.0	190.0	4.0	3.0	200	5.0	1-3	3030.0	13.0	1-3	430	5.0	1-4	250	1.0	3-4	460	8.0	1=>3	3400.0	17.0	1-3-4	1310.0	6.0	1=>3=>4	8830.0	33.0			(5,8),9,(3,6),4,1,2,7	(3,5),8,(6,9),(1,4),2,7			4.0	150	1.0	1-3	1980.0	11.0
