	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201143011810	ダ	左	1600	晴	良	15:15	C1四　五		2011-1-18	10	船橋	2			13.0	5290.0	10.0	13.0	1,970	13.0	2.0	420	4.0	5.0	1,080	9.0	2-8	16910.0	26.0	2-13	32060.0	54.0	2-13	7,190	58.0	5-13	15,840	77.0	2-5	4,880	42.0	8=>2	58370.0	59.0	13=>2	67470.0	106.0	2-5-13	304430.0	272.0	13=>2=>5	1913390.0	1589.0	7,8,10,9,(3,4,12),14,11,13,2,6,5,1	7,8,10,9,(3,4),(11,14,12),13,2,6,5,1	7,8,10,3,9,(11,4),13,(14,12),6,2,(1,5)	7,8,13,(3,10),11,4,14,2,(9,12),(1,6),5	12.6 - 11.6 - 12.7 - 12.9 - 12.4 - 12.8 - 14.0 - 14.2	12.6 - 24.2 - 36.9 - 49.8 - 62.2 - 75.0 - 89.0 - 103.2 (36.9-41.0)
201143011811	ダ	左	1700	晴	良	15:50	フレンドリーブーツ特 		2011-1-18	10	船橋	2	(別定)		6.0	210.0	1.0	6.0	110	1.0	7.0	130	2.0	14.0	530	8.0	4-5	330.0	1.0	6-7	280.0	1.0	6-7	190	1.0	6-14	1,410	14.0	7-14	1,650	19.0	4=>5	460.0	1.0	6=>7	420.0	1.0	6-7-14	3250.0	9.0	6=>7=>14	8510.0	18.0	6,7,(1,10),(5,11),(3,9),2,14,12,13,8,4	6,7,(1,10),5,(3,9,11),2,14,12,(8,13),4	6,7,(1,10),5,(3,11),9,(2,14),(12,13),8,4	(6,7),1,(5,10),3,(9,11),(12,14),2,13,8,4	6.7 - 11.5 - 12.9 - 13.8 - 13.4 - 12.3 - 12.2 - 12.3 - 13.7	6.7 - 18.2 - 31.1 - 44.9 - 58.3 - 70.6 - 82.8 - 95.1 - 108.8 (31.1-38.2)
201143011901	ダ	左	1500	晴	良	10:30	4歳イ		2011-1-19	10	船橋	3	105万円以上159万円未満		1.0	940.0	4.0	1.0	210	3.0	6.0	190	2.0	3.0	2,450	9.0	1-6	2350.0	6.0	1-6	2250.0	6.0	1-6	560	6.0	1-3	3,620	19.0	3-6	4,190	21.0	1=>6	4240.0	12.0	1=>6	5260.0	13.0	1-3-6	29420.0	38.0	1=>6=>3	102940.0	146.0	8,9,4,2,3,(1,6),5,7	8,9,4,2,3,1,6,(5,7)	91432675	(9,1),4,3,6,2,7,5	6.9 - 12.0 - 12.6 - 13.3 - 12.7 - 12.6 - 13.3 - 13.8	6.9 - 18.9 - 31.5 - 44.8 - 57.5 - 70.1 - 83.4 - 97.2 (31.5-39.7)
201143011902	ダ	左	1500	晴	良	11:00	4歳ア		2011-1-19	10	船橋	3	105万円以上159万円未満		10.0	170.0	1.0	10.0	110	1.0	3.0	260	6.0	4.0	120	2.0	3-8	670.0	4.0	3-10	800.0	4.0	3-10	430	7.0	4-10	240	1.0	3-4	800	12.0	8=>3	1080.0	5.0	10=>3	1160.0	4.0	3-4-10	1340.0	5.0	10=>3=>4	4350.0	9.0	2,4,7,(1,3),(9,10),6,5,8	(2,4,10),(1,7),(3,9),6,5,8	(2,4),10,1,3,(5,6,7),9,8	(2,4,10),1,3,(6,7),5,9,8	7.1 - 12.3 - 13.2 - 12.2 - 12.4 - 12.8 - 13.9 - 14.2	7.1 - 19.4 - 32.6 - 44.8 - 57.2 - 70.0 - 83.9 - 98.1 (32.6-40.9)
201143011903	ダ	左	1200	晴	良	11:30	3歳		2011-1-19	10	船橋	3	37万円以上105万円未満		5.0	400.0	2.0	5.0	130	2.0	4.0	210	4.0	3.0	100	1.0	4-5	3770.0	13.0	4-5	4950.0	13.0	4-5	1,130	15.0	3-5	140	1.0	3-4	790	9.0	5=>4	5490.0	18.0	5=>4	6910.0	16.0	3-4-5	1620.0	5.0	5=>4=>3	16410.0	42.0		5,(3,6),2,(9,10),4,8,1,12,11,7	5,3,6,10,(2,9,8),(1,4),7,12,11	5,(3,6),8,10,9,4,2,1,7,12,11	12.6 - 11.4 - 12.0 - 12.3 - 13.2 - 14.2	12.6 - 24.0 - 36.0 - 48.3 - 61.5 - 75.7 (36.0-39.7)
201143011904	ダ	左	1500	晴	良	12:00	3歳		2011-1-19	10	船橋	3	37万円以上105万円未満		6.0	500.0	3.0	6.0	150	2.0	8.0	140	1.0	7.0	960	11.0	5-6	490.0	1.0	6-8	570.0	1.0	6-8	230	1.0	6-7	2,920	36.0	7-8	1,870	24.0	5=>6	1200.0	3.0	6=>8	1380.0	4.0	6-7-8	10360.0	33.0	6=>8=>7	30790.0	89.0	4,(3,9),10,(1,2),8,12,7,6,11,5	4,9,(3,10),1,2,(8,12),7,6,11,5	4,(9,10),(3,12),(2,8),(1,7),(6,11),5	10,4,12,3,7,8,(2,6,11),9,1,5	7.1 - 11.7 - 12.0 - 12.9 - 13.2 - 13.9 - 14.1 - 14.3	7.1 - 18.8 - 30.8 - 43.7 - 56.9 - 70.8 - 84.9 - 99.2 (30.8-42.3)
201143011905	ダ	左	1200	晴	良	12:30	C2七　八		2011-1-19	10	船橋	3			8.0	140.0	1.0	8.0	100	1.0	1.0	330	7.0	9.0	140	2.0	1-6	1850.0	7.0	1-8	2150.0	7.0	1-8	630	6.0	8-9	230	1.0	1-9	1,900	23.0	6=>1	2870.0	9.0	8=>1	2290.0	9.0	1-8-9	3110.0	11.0	8=>1=>9	12290.0	39.0		2,(8,12),10,9,(1,4,11),5,7,(3,6)	(2,8,10),1,9,(4,5,12,11),7,(3,6)	8,10,2,1,9,(5,11),4,12,7,(3,6)	12.6 - 11.6 - 11.9 - 12.5 - 12.7 - 13.7	12.6 - 24.2 - 36.1 - 48.6 - 61.3 - 75.0 (36.1-38.9)
201143011906	ダ	左	1600	晴	良	13:00	C2七　八		2011-1-19	10	船橋	3			2.0	220.0	1.0	2.0	130	1.0	5.0	160	2.0	7.0	420	9.0	2-4	570.0	2.0	2-5	610.0	1.0	2-5	320	2.0	2-7	1,090	11.0	5-7	1,610	19.0	2=>4	780.0	1.0	2=>5	1050.0	1.0	2-5-7	3490.0	10.0	2=>5=>7	9750.0	16.0	6,7,8,13,2,9,(1,3,4),5,10,11,12,14	6,7,8,2,(1,13),(3,4),9,5,10,(12,11),14	(6,7),8,(2,13),(1,4),(3,9),5,10,12,14-11	7,6,2,8,13,(1,4,5),(3,9),(10,12),14=11	12.7 - 11.7 - 13.0 - 13.1 - 12.9 - 13.0 - 13.9 - 14.2	12.7 - 24.4 - 37.4 - 50.5 - 63.4 - 76.4 - 90.3 - 104.5 (37.4-41.1)
201143011907	ダ	左	1800	晴	良	13:30	C1　C2　選抜馬		2011-1-19	10	船橋	3			5.0	460.0	3.0	5.0	140	3.0	11.0	340	6.0	7.0	140	1.0	4-7	550.0	2.0	5-11	3220.0	14.0	5-11	1,050	15.0	5-7	340	2.0	7-11	750	7.0	4=>7	970.0	3.0	5=>11	4360.0	18.0	5-7-11	2780.0	7.0	5=>11=>7	21570.0	63.0	2,7,13,14,6,(9,11),(1,12),8,10,3,5,4	2,7,(13,14),6,11,(9,12),1,8,(3,10),5,4	5,(2,7),(13,11),6,14,(9,8),(1,12,4),10,3	5,7,11,13,8,6,4,2,1,9,10,(3,14),12	12.4 - 11.8 - 12.8 - 13.6 - 13.2 - 12.5 - 13.1 - 12.9 - 13.8	12.4 - 24.2 - 37.0 - 50.6 - 63.8 - 76.3 - 89.4 - 102.3 - 116.1 (37.0-39.8)
201143011908	ダ	左	1600	晴	良	14:05	C1二　三		2011-1-19	10	船橋	3			2.0	110.0	1.0	2.0	100	1.0	1.0	340	6.0	3.0	180	4.0	1-2	1120.0	4.0	1-2	960.0	5.0	1-2	480	5.0	2-3	250	2.0	1-3	1,180	14.0	2=>1	1160.0	4.0	2=>1	1250.0	4.0	1-2-3	1530.0	4.0	2=>1=>3	5070.0	13.0	2,3,12,7,(4,11),9,(1,13),5,14,8,10-6	2,3,(7,12),4,9,1,13,5,14,8,(11,10)-6	2,3,13,(12,9),7,(4,14),1,(5,8,10),11-6	2,3,12,13,(7,4),(14,9),1,(5,8),10,11=6	12.8 - 12.2 - 13.3 - 13.3 - 12.2 - 12.4 - 13.5 - 14.0	12.8 - 25.0 - 38.3 - 51.6 - 63.8 - 76.2 - 89.7 - 103.7 (38.3-39.9)
201143012001	ダ	左	1500	晴	良	10:40	3歳		2011-1-20	10	船橋	4	37万円未満		7.0	210.0	1.0	7.0	110	2.0	8.0	110	1.0	5.0	130	3.0	6-6	870.0	2.0	7-8	590.0	1.0	7-8	210	1.0	5-7	300	2.0	5-8	410	3.0	6=>6	640.0	2.0	7=>8	870.0	1.0	5-7-8	1220.0	2.0	7=>8=>5	3640.0	2.0	(1,6,7),12,2,10,8,9,(3,5),4,11	1,6,7,2,12,(8,10),9,11,3,5,4	(1,6),7,(2,8),12,(10,11),9,5,3,4	(6,7),1,8,2,(10,11),9,12,5,3-4	6.9 - 12.0 - 12.8 - 13.5 - 12.9 - 13.4 - 13.8 - 14.1	6.9 - 18.9 - 31.7 - 45.2 - 58.1 - 71.5 - 85.3 - 99.4 (31.7-41.3)
201143012002	ダ	左	1200	晴	良	11:10	3歳		2011-1-20	10	船橋	4	37万円未満		5.0	130.0	1.0	5.0	110	1.0	6.0	240	4.0	12.0	250	5.0	5-5	690.0	3.0	5-6	680.0	3.0	5-6	220	2.0	5-12	420	4.0	6-12	2,020	22.0	5=>5	580.0	3.0	5=>6	790.0	3.0	5-6-12	2840.0	11.0	5=>6=>12	6200.0	13.0		568107911223411	561089127132114	5,6,10,(9,8),12,3,1,7,2,11,4	12.2 - 12.0 - 11.9 - 12.4 - 12.9 - 13.9	12.2 - 24.2 - 36.1 - 48.5 - 61.4 - 75.3 (36.1-39.2)
201143012003	ダ	左	1200	晴	良	11:40	4歳		2011-1-20	10	船橋	4	61.5万円未満		10.0	470.0	3.0	10.0	220	4.0	9.0	380	6.0	6.0	200	3.0	7-8	2980.0	11.0	9-10	3880.0	14.0	9-10	1,770	26.0	6-10	680	7.0	6-9	1,980	28.0	8=>7	5150.0	15.0	10=>9	14400.0	46.0	6-9-10	5330.0	22.0	10=>9=>6	60060.0	190.0		3610789114521	3,6,10,(7,9),(8,11),4-5,1,2	3610978114512	12.3 - 11.7 - 12.5 - 12.6 - 13.2 - 13.9	12.3 - 24.0 - 36.5 - 49.1 - 62.3 - 76.2 (36.5-39.7)
