	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200007010210	芝	左	1200	曇	良	14:55	鈴鹿特別 		2000-3-5	1	中京	2	4歳以上900万下	牝(別定)	3	330	1	3	160	2	11	180	3	7.0	330	6.0	3-7	660	2	3-11	750.0	2.0	3-11	320	2.0	3-7	720	8.0	7-11	1,290	16.0					12.1 - 10.6 - 11.1 - 11.7 - 11.8 - 11.7	12.1 - 22.7 - 33.8 - 45.5 - 57.3 - 69.0 (12.1-12.1)									
200007010211	芝	左	2000	曇	良	15:35	トヨタ賞中京記念	G3	2000-3-5	1	中京	2	4歳以上オープン	(混)(ハンデ)	13	770	3	13	300	4	11	350	6	12.0	390	8.0	7-8	1790	9	11-13	3880.0	19.0	11-13	1,370	17.0	12-13	1,860	29.0	11-12	2,400	34.0					12.8 - 10.7 - 11.3 - 12.4 - 12.3 - 11.7 - 11.8 - 11.9 - 12.2 - 12.0	12.8 - 23.5 - 34.8 - 47.2 - 59.5 - 71.2 - 83.0 - 94.9 - 107.1 - 119.1 (12.8-12.8)									
200007010301	ダ	左	1700	曇	良	09:50	4歳未出走		2000-3-11	1	中京	3	4歳未出走	(馬齢)	5	150	1	5	120	1	9	350	6	1.0	440	7.0	5-8	370	1	5-9	1250.0	5.0	5-9	500	5.0	1-5	630	9.0	1-9	1,900	23.0					7.2 - 11.7 - 13.2 - 14.9 - 13.7 - 12.9 - 13.1 - 12.8 - 12.8	7.2 - 18.9 - 32.1 - 47.0 - 60.7 - 73.6 - 86.7 - 99.5 - 112.3 (7.2-7.2)									
200007010302	ダ	左	1700	曇	良	10:15	4歳未勝利		2000-3-11	1	中京	3	4歳未勝利	(馬齢)	7	490	3	7	180	3	2	650	7	9.0	1,090	9.0	2-7	6550	19	2-7	5840.0	20.0	2-7	1,510	20.0	7-9	1,800	23.0	2-9	3,310	32.0					7.1 - 11.3 - 11.7 - 12.8 - 12.9 - 13.2 - 13.6 - 13.8 - 13.7	7.1 - 18.4 - 30.1 - 42.9 - 55.8 - 69.0 - 82.6 - 96.4 - 110.1 (7.1-7.1)									
200007010303	ダ	左	1700	曇	良	10:40	4歳未勝利		2000-3-11	1	中京	3	4歳未勝利	牝(馬齢)	4	1310	6	4	290	6	10	150	3	7.0	120	1.0	4-8	3220	12	4-10	3220.0	12.0	4-10	960	15.0	4-7	720	9.0	7-10	320	2.0					7.1 - 11.2 - 12.1 - 13.8 - 13.5 - 13.1 - 13.5 - 13.6 - 13.5	7.1 - 18.3 - 30.4 - 44.2 - 57.7 - 70.8 - 84.3 - 97.9 - 111.4 (7.1-7.1)									
200007010304	ダ	左	1000	曇	良	11:10	4歳未勝利		2000-3-11	1	中京	3	4歳未勝利	(混)(馬齢)	4	750	3	4	250	3	13	160	2	3.0	1,420	12.0	4-8	400	2	4-13	1310.0	4.0	4-13	430	3.0	3-4	3,330	30.0	3-13	2,620	26.0					12.8 - 10.9 - 11.9 - 12.2 - 12.9	12.8 - 23.7 - 35.6 - 47.8 - 60.7 (12.8-12.8)									
200007010305	芝	左	1000	曇	良	11:40	4歳未勝利		2000-3-11	1	中京	3	4歳未勝利	(混)(馬齢)	3	470	2	3	200	2	12	220	3	4.0	610	8.0	2-6	1220	5	3-12	1490.0	6.0	3-12	560	4.0	3-4	1,460	17.0	4-12	1,510	19.0					12.5 - 10.9 - 11.4 - 11.6 - 11.7	12.5 - 23.4 - 34.8 - 46.4 - 58.1 (12.5-12.5)									
200007010306	ダ	左	2300	曇	良	12:40	4歳以上500万下		2000-3-11	1	中京	3	4歳以上500万下	(混)(別定)	6	280	1	6	120	2	3	110	1	2.0	140	3.0	3-6	460	1	3-6	520.0	1.0	3-6	210	1.0	2-6	260	2.0	2-3	300	3.0					7.4 - 11.7 - 12.8 - 13.1 - 12.9 - 12.9 - 13.9 - 13.1 - 12.8 - 13.2 - 12.9 - 12.5	7.4 - 19.1 - 31.9 - 45.0 - 57.9 - 70.8 - 84.7 - 97.8 - 110.6 - 123.8 - 136.7 - 149.2 (7.4-7.4)									
200007010307	ダ	左	1000	曇	良	13:15	4歳以上500万下		2000-3-11	1	中京	3	4歳以上500万下	牝(別定)	12	250	1	12	140	1	14	320	5	13.0	220	3.0	6-7	600	2	12-14	1590.0	3.0	12-14	770	7.0	12-13	550	2.0	13-14	1,500	19.0					12.5 - 11.0 - 12.2 - 12.3 - 12.6	12.5 - 23.5 - 35.7 - 48.0 - 60.6 (12.5-12.5)									
200007010308	ダ	左	1700	曇	良	13:50	4歳以上500万下		2000-3-11	1	中京	3	4歳以上500万下	(別定)	4	990	6	4	390	6	5	230	3	8.0	1,090	11.0	3-3	3230	12	4-5	3270.0	14.0	4-5	1,240	16.0	4-8	6,930	62.0	5-8	3,120	38.0					7.1 - 10.9 - 12.3 - 14.4 - 13.7 - 13.0 - 12.8 - 12.5 - 12.6	7.1 - 18.0 - 30.3 - 44.7 - 58.4 - 71.4 - 84.2 - 96.7 - 109.3 (7.1-7.1)									
