	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200008010304	ダ	右	1200	曇	良	11:20	4歳新馬		2000-1-8	1	京都	3	4歳新馬	(混)[指](馬齢)	11	170	1	11	100	1	2	110	2	7.0	170	4.0	2-7	310	2	2-11	320.0	1.0	2-11	170	1.0	7-11	320	4.0	2-7	400	5.0					12.9 - 11.2 - 11.8 - 12.0 - 12.3 - 12.6	12.9 - 24.1 - 35.9 - 47.9 - 60.2 - 72.8 (12.9-12.9)									
200008010305	芝	右	1400	曇	良	11:50	4歳新馬		2000-1-8	1	京都	3	4歳新馬	(混)[指](馬齢)	8	620	3	8	230	5	15	160	2	5.0	210	3.0	4-8	1130	6	8-15	1090.0	5.0	8-15	470	4.0	5-8	710	8.0	5-15	490	6.0					12.7 - 11.2 - 12.1 - 12.0 - 11.8 - 11.9 - 11.8	12.7 - 23.9 - 36.0 - 48.0 - 59.8 - 71.7 - 83.5 (12.7-12.7)									
200008010306	ダ	右	1800	曇	良	12:50	4歳以上500万下		2000-1-8	1	京都	3	4歳以上500万下	(父)[指](別定)	15	370	2	15	160	2	12	550	8	1.0	310	4.0	6-8	3020	13	12-15	5460.0	18.0	12-15	1,550	17.0	1-15	710	5.0	1-12	2,960	31.0					12.3 - 11.5 - 13.0 - 13.5 - 13.6 - 13.2 - 12.6 - 13.0 - 12.6	12.3 - 23.8 - 36.8 - 50.3 - 63.9 - 77.1 - 89.7 - 102.7 - 115.3 (12.3-12.3)									
200008010307	ダ	右	1200	曇	良	13:20	4歳以上500万下		2000-1-8	1	京都	3	4歳以上500万下	(混)[指](別定)	12	410	2	12	130	2	7	130	1	5.0	160	3.0	4-6	320	1	7-12	530.0	1.0	7-12	260	1.0	5-12	340	3.0	5-7	290	2.0					12.7 - 11.2 - 12.1 - 12.2 - 12.4 - 12.6	12.7 - 23.9 - 36.0 - 48.2 - 60.6 - 73.2 (12.7-12.7)									
200008010308	障		3170	曇	良  ダート	13:50	牛若丸ジャンプS 		2000-1-8	1	京都	3	障害4歳以上オープン	(混)(別定)	6	310	2	6	130	2	8	130	1	7.0	240	4.0	6-7	290	1	6-8	370.0	1.0	6-8	210	1.0	6-7	570	6.0	7-8	520	4.0															
200008010309	芝	右	2000	曇	良	14:25	福寿草特別 		2000-1-8	1	京都	3	4歳500万下	(混)(特指)(馬齢)	9	120	1	9	100	1	3	190	4	10.0	290	6.0	3-7	530	3	3-9	520.0	3.0	3-9	270	3.0	9-10	410	4.0	3-10	1,100	15.0					12.4 - 11.2 - 12.8 - 13.0 - 13.7 - 12.8 - 12.2 - 11.9 - 11.5 - 11.6	12.4 - 23.6 - 36.4 - 49.4 - 63.1 - 75.9 - 88.1 - 100.0 - 111.5 - 123.1 (12.4-12.4)									
200008010310	芝	右	1200	曇	良	15:00	室町特別 		2000-1-8	1	京都	3	4歳以上900万下	(混)[指](別定)	15	5630	12	15	890	12	13	140	1	2.0	530	6.0	7-8	2100	10	13-15	3590.0	13.0	13-15	1,380	14.0	2-15	11,480	84.0	2-13	1,240	12.0					12.6 - 11.3 - 11.2 - 11.6 - 11.5 - 11.8	12.6 - 23.9 - 35.1 - 46.7 - 58.2 - 70.0 (12.6-12.6)									
200008010311	ダ	右	1800	曇	良	15:40	雅ステークス 		2000-1-8	1	京都	3	4歳以上1600万下	(混)[指](別定)	5	540	3	5	210	3	16	190	2	7.0	520	9.0	3-8	1160	6	5-16	1420.0	4.0	5-16	680	4.0	5-7	2,800	40.0	7-16	2,030	24.0					12.2 - 11.6 - 13.4 - 13.4 - 12.9 - 12.7 - 12.1 - 12.0 - 12.0	12.2 - 23.8 - 37.2 - 50.6 - 63.5 - 76.2 - 88.3 - 100.3 - 112.3 (12.2-12.2)									
200008010312	ダ	右	1200	曇	良	16:15	4歳以上900万下		2000-1-8	1	京都	3	4歳以上900万下	(混)[指](別定)	2	600	2	2	260	4	13	200	2	15.0	320	7.0	1-7	950	2	2-13	2640.0	9.0	2-13	1,130	11.0	2-15	1,470	16.0	13-15	1,070	9.0					12.4 - 11.2 - 11.7 - 11.8 - 12.7 - 12.6	12.4 - 23.6 - 35.3 - 47.1 - 59.8 - 72.4 (12.4-12.4)									
200008010401	ダ	右	1800	曇	良	10:05	4歳未勝利		2000-1-9	1	京都	4	4歳未勝利	(混)[指](馬齢)	11	180	1	11	120	1	2	230	5	12.0	140	2.0	2-8	710	3	2-11	1040.0	4.0	2-11	470	6.0	11-12	240	1.0	2-12	520	8.0					12.3 - 11.9 - 13.5 - 13.4 - 13.4 - 12.8 - 12.8 - 12.8 - 12.6	12.3 - 24.2 - 37.7 - 51.1 - 64.5 - 77.3 - 90.1 - 102.9 - 115.5 (12.3-12.3)									
200008010402	ダ	右	1200	曇	良	10:30	4歳未勝利		2000-1-9	1	京都	4	4歳未勝利	[指](馬齢)	4	170	1	4	100	1	8	120	2	2.0	470	7.0	4-6	240	1	4-8	280.0	1.0	4-8	180	1.0	2-4	760	9.0	2-8	1,770	19.0					12.9 - 11.4 - 12.0 - 12.5 - 12.6 - 12.9	12.9 - 24.3 - 36.3 - 48.8 - 61.4 - 74.3 (12.9-12.9)									
200008010403	ダ	右	1800	曇	良	10:55	4歳新馬		2000-1-9	1	京都	4	4歳新馬	[指](馬齢)	12	380	3	12	170	2	3	510	7	11.0	910	8.0	3-8	3320	14	3-12	3770.0	15.0	3-12	1,200	15.0	11-12	2,060	23.0	3-11	7,110	49.0					12.7 - 12.3 - 13.9 - 13.5 - 13.5 - 13.0 - 12.3 - 13.1 - 13.0	12.7 - 25.0 - 38.9 - 52.4 - 65.9 - 78.9 - 91.2 - 104.3 - 117.3 (12.7-12.7)									
200008010404	ダ	右	1400	曇	良	11:20	4歳新馬		2000-1-9	1	京都	4	4歳新馬	牝[指](馬齢)	13	150	1	13	110	1	3	180	2	4.0	340	7.0	3-8	440	2	3-13	590.0	1.0	3-13	330	1.0	4-13	490	5.0	3-4	1,130	14.0					12.6 - 11.2 - 12.2 - 12.3 - 12.8 - 12.8 - 12.6	12.6 - 23.8 - 36.0 - 48.3 - 61.1 - 73.9 - 86.5 (12.6-12.6)									
200008010405	障		2910	曇	良  ダート	11:55	障害4歳以上未勝利		2000-1-9	1	京都	4	障害4歳以上未勝利	(混)(馬齢)	1	1500	7	1	350	7	8	560	9	10.0	170	1.0	1-5	5240	21	1-8	17550.0	45.0	1-8	3,210	44.0	1-10	820	7.0	8-10	1,810	28.0															
200008010406	ダ	右	1800	曇	良	12:50	4歳以上900万下		2000-1-9	1	京都	4	4歳以上900万下	牝[指](別定)	4	340	1	4	120	2	7	130	3	5.0	120	1.0	4-7	750	3	4-7	790.0	3.0	4-7	280	3.0	4-5	210	1.0	5-7	270	2.0					13.0 - 12.5 - 13.5 - 13.0 - 13.5 - 13.0 - 12.5 - 12.2 - 12.3	13.0 - 25.5 - 39.0 - 52.0 - 65.5 - 78.5 - 91.0 - 103.2 - 115.5 (13.0-13.0)									
