	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
200006010201	ダ	右	1800	曇	良	10:00	4歳未勝利		2000-1-6	1	中山	2	4歳未勝利	(混)[指](馬齢)	14	230	1	14	130	1	3	440	8	2.0	230	4.0	3-8	880	3	3-14	1,160	16.0	2-14	500	3.0	2-3	2,260	27.0														12.8 - 12.3 - 13.2 - 13.8 - 12.8 - 13.2 - 12.8 - 13.3 - 13.5	12.8 - 25.1 - 38.3 - 52.1 - 64.9 - 78.1 - 90.9 - 104.2 - 117.7 (12.8-12.8)	3-14	2380.0	8.0
200006010202	ダ	右	1200	曇	良	10:25	4歳未勝利		2000-1-6	1	中山	2	4歳未勝利	牝[指](馬齢)	13	190	1	13	110	1	3	130	2	9.0	270	7.0	3-8	420	2	3-13	240	1.0	9-13	430	4.0	3-9	690	9.0														12.4 - 10.9 - 11.8 - 12.8 - 12.8 - 13.5	12.4 - 23.3 - 35.1 - 47.9 - 60.7 - 74.2 (12.4-12.4)	3-13	480.0	1.0
200006010203	ダ	右	1800	曇	良	10:50	4歳新馬		2000-1-6	1	中山	2	4歳新馬	(混)[指](馬齢)	3	510	2	3	140	3	6	110	2	9.0	100	1.0	3-6	1170	5	3-6	250	3.0	3-9	180	2.0	6-9	150	1.0														12.9 - 12.2 - 13.1 - 13.1 - 13.1 - 12.5 - 12.9 - 13.4 - 13.9	12.9 - 25.1 - 38.2 - 51.3 - 64.4 - 76.9 - 89.8 - 103.2 - 117.1 (12.9-12.9)	3-6	1190.0	4.0
200006010204	ダ	右	1800	曇	良	11:15	4歳新馬		2000-1-6	1	中山	2	4歳新馬	(父)[指](馬齢)	14	3140	7	14	510	5	3	480	4	5.0	1,420	11.0	3-8	1870	6	3-14	3,840	34.0	5-14	13,290	62.0	3-5	8,760	57.0														12.6 - 12.1 - 13.1 - 13.8 - 12.9 - 12.7 - 13.3 - 13.3 - 13.6	12.6 - 24.7 - 37.8 - 51.6 - 64.5 - 77.2 - 90.5 - 103.8 - 117.4 (12.6-12.6)	3-14	17270.0	33.0
200006010205	障		2700	晴	良  ダート	11:45	障害4歳以上未勝利		2000-1-6	1	中山	2	障害4歳以上未勝利	(混)(馬齢)	11	300	2	11	140	2	4	130	1	8.0	330	7.0	4-7	380	1	4-11	270	2.0	8-11	890	11.0	4-8	960	14.0																4-11	580.0	2.0
200006010206	ダ	右	1200	晴	良	12:45	4歳新馬		2000-1-6	1	中山	2	4歳新馬	[指](馬齢)	10	990	5	10	260	4	5	180	2	3.0	1,950	12.0	3-6	870	4	5-10	680	7.0	3-10	21,060	83.0	3-5	10,850	60.0														12.3 - 10.8 - 11.7 - 12.8 - 12.9 - 14.1	12.3 - 23.1 - 34.8 - 47.6 - 60.5 - 74.6 (12.3-12.3)	5-10	1740.0	6.0
200006010207	ダ	右	2400	曇	良	13:15	4歳以上500万下		2000-1-6	1	中山	2	4歳以上500万下	(混)[指](別定)	4	170	1	4	110	1	14	220	4	15.0	450	8.0	2-7	550	2	4-14	370	2.0	4-15	850	9.0	14-15	1,930	24.0														13.2 - 12.3 - 12.8 - 13.1 - 14.2 - 13.9 - 13.9 - 12.9 - 12.6 - 12.5 - 12.7 - 13.3	13.2 - 25.5 - 38.3 - 51.4 - 65.6 - 79.5 - 93.4 - 106.3 - 118.9 - 131.4 - 144.1 - 157.4 (13.2-13.2)	4-14	770.0	3.0
200006010208	ダ	右	1200	曇	良	13:45	4歳以上500万下		2000-1-6	1	中山	2	4歳以上500万下	[指](別定)	2	2470	9	2	510	8	13	140	2	3.0	430	5.0	1-7	2010	6	2-13	1,120	13.0	2-3	2,570	28.0	3-13	760	6.0														12.3 - 10.7 - 11.4 - 12.0 - 12.8 - 13.6	12.3 - 23.0 - 34.4 - 46.4 - 59.2 - 72.8 (12.3-12.3)	2-13	2580.0	9.0
200006010209	芝	右	1600	曇	良	14:15	ジュニアカップ 		2000-1-6	1	中山	2	4歳オープン	(混)(特指)(別定)	2	140	1	2	100	1	9	100	2	4.0	130	3.0	2-8	220	1	2-9	140	1.0	2-4	180	2.0	4-9	250	3.0														12.7 - 12.0 - 11.8 - 12.0 - 12.1 - 12.2 - 12.2 - 11.7	12.7 - 24.7 - 36.5 - 48.5 - 60.6 - 72.8 - 85.0 - 96.7 (12.7-12.7)	2-9	230.0	1.0
200006010210	芝	右	2000	晴	良	14:50	東雲賞 		2000-1-6	1	中山	2	4歳以上900万下	(混)[指](別定)	2	1140	6	2	310	4	15	150	2	11.0	340	6.0	1-8	1000	3	2-15	720	5.0	2-11	1,830	23.0	11-15	790	6.0														12.8 - 11.9 - 13.2 - 13.7 - 12.5 - 11.9 - 12.0 - 12.3 - 11.6 - 12.4	12.8 - 24.7 - 37.9 - 51.6 - 64.1 - 76.0 - 88.0 - 100.3 - 111.9 - 124.3 (12.8-12.8)	2-15	1750.0	6.0
200006010211	芝	右	1200	晴	良	15:30	サンライズステークス 		2000-1-6	1	中山	2	4歳以上1600万下	(混)[指](別定)	15	380	1	15	160	3	6	470	7	13.0	150	1.0	3-8	2750	13	6-15	1,430	17.0	13-15	440	3.0	6-13	1,040	12.0														12.0 - 10.5 - 11.0 - 11.9 - 11.9 - 12.0	12.0 - 22.5 - 33.5 - 45.4 - 57.3 - 69.3 (12.0-12.0)	6-15	4310.0	17.0
200006010212	ダ	右	1200	晴	良	16:10	4歳以上900万下		2000-1-6	1	中山	2	4歳以上900万下	牝[指](別定)	5	760	5	5	200	3	4	440	8	2.0	330	5.0	3-3	4420	23	4-5	1,610	25.0	2-5	1,340	19.0	2-4	1,860	31.0														11.9 - 10.8 - 11.3 - 12.0 - 12.7 - 13.4	11.9 - 22.7 - 34.0 - 46.0 - 58.7 - 72.1 (11.9-11.9)	4-5	4460.0	22.0
200006010301	ダ	右	1200	曇	良	10:00	4歳未勝利		2000-1-8	1	中山	3	4歳未勝利	(市)(抽)[指](馬齢)	8	170	1	8	110	1	7	350	5	6.0	360	7.0	6-6	870	4	7-8	420	4.0	6-8	490	5.0	6-7	1,540	22.0														12.3 - 10.8 - 11.5 - 12.5 - 13.1 - 13.7	12.3 - 23.1 - 34.6 - 47.1 - 60.2 - 73.9 (12.3-12.3)	7-8	890.0	4.0
200006010302	ダ	右	1800	曇	良	10:25	4歳未勝利		2000-1-8	1	中山	3	4歳未勝利	牝[指](馬齢)	7	220	1	7	120	2	5	120	1	8.0	450	8.0	4-5	290	1	5-7	190	1.0	7-8	890	11.0	5-8	970	13.0														12.9 - 11.8 - 13.3 - 13.5 - 13.1 - 12.7 - 12.6 - 13.2 - 14.4	12.9 - 24.7 - 38.0 - 51.5 - 64.6 - 77.3 - 89.9 - 103.1 - 117.5 (12.9-12.9)	5-7	330.0	1.0
200006010303	ダ	右	1200	曇	良	10:50	4歳未勝利		2000-1-8	1	中山	3	4歳未勝利	(混)[指](馬齢)	6	230	2	6	110	2	5	100	1	8.0	620	8.0	5-6	180	1	5-6	150	1.0	6-8	1,340	16.0	5-8	1,220	15.0														12.3 - 10.6 - 11.5 - 12.4 - 12.7 - 13.5	12.3 - 22.9 - 34.4 - 46.8 - 59.5 - 73.0 (12.3-12.3)	5-6	210.0	1.0
200006010304	ダ	右	1800	曇	良	11:15	4歳新馬		2000-1-8	1	中山	3	4歳新馬	[指](馬齢)	5	350	2	5	150	3	1	150	2	7.0	300	5.0	1-5	1040	6	1-5	430	5.0	5-7	610	8.0	1-7	790	11.0														12.8 - 11.9 - 13.7 - 13.8 - 13.2 - 12.9 - 13.0 - 12.9 - 13.1	12.8 - 24.7 - 38.4 - 52.2 - 65.4 - 78.3 - 91.3 - 104.2 - 117.3 (12.8-12.8)	1-5	1000.0	5.0
200006010305	ダ	右	1200	曇	良	11:45	4歳新馬		2000-1-8	1	中山	3	4歳新馬	牝[指](馬齢)	7	350	1	7	160	2	8	200	3	3.0	320	5.0	4-4	980	4	7-8	420	2.0	3-7	630	4.0	3-8	960	11.0														12.5 - 10.9 - 11.5 - 12.3 - 12.9 - 13.4	12.5 - 23.4 - 34.9 - 47.2 - 60.1 - 73.5 (12.5-12.5)	7-8	970.0	2.0
200006010306	芝	右	1800	曇	良	12:45	4歳新馬		2000-1-8	1	中山	3	4歳新馬	(混)[指](馬齢)	3	290	1	3	130	1	8	460	7	2.0	140	2.0	2-5	540	3	3-8	1,260	16.0	2-3	270	1.0	2-8	1,370	17.0														13.1 - 12.9 - 13.9 - 13.4 - 13.2 - 13.1 - 12.3 - 11.8 - 11.6	13.1 - 26.0 - 39.9 - 53.3 - 66.5 - 79.6 - 91.9 - 103.7 - 115.3 (13.1-13.1)	3-8	4020.0	15.0
200006010307	ダ	右	1800	曇	良	13:15	4歳以上500万下		2000-1-8	1	中山	3	4歳以上500万下	(混)[指](別定)	2	700	3	2	240	5	14	570	7	5.0	110	1.0	1-7	6990	17	2-14	2,620	25.0	2-5	410	4.0	5-14	1,010	14.0														12.9 - 11.7 - 13.0 - 13.5 - 12.7 - 12.4 - 12.6 - 12.7 - 13.2	12.9 - 24.6 - 37.6 - 51.1 - 63.8 - 76.2 - 88.8 - 101.5 - 114.7 (12.9-12.9)	2-14	12090.0	26.0
200006010308	ダ	右	1200	曇	良	13:45	4歳以上500万下		2000-1-8	1	中山	3	4歳以上500万下	[指](別定)	1	1200	6	1	420	7	16	330	5	12.0	610	9.0	1-8	1290	5	1-16	1,950	26.0	1-12	4,130	51.0	12-16	2,580	35.0														12.2 - 10.8 - 11.4 - 12.3 - 12.7 - 13.1	12.2 - 23.0 - 34.4 - 46.7 - 59.4 - 72.5 (12.2-12.2)	1-16	4900.0	24.0
200006010309	ダ	右	1800	曇	良	14:15	呉竹賞 		2000-1-8	1	中山	3	4歳500万下	牝(特指)(馬齢)	5	150	1	5	100	1	10	180	3	6.0	660	8.0	5-8	290	2	5-10	240	2.0	5-6	1,130	12.0	6-10	2,470	25.0														12.9 - 11.9 - 13.6 - 13.9 - 13.4 - 13.0 - 12.6 - 12.6 - 13.2	12.9 - 24.8 - 38.4 - 52.3 - 65.7 - 78.7 - 91.3 - 103.9 - 117.1 (12.9-12.9)	5-10	460.0	2.0
200006010310	芝	右	1200	曇	良	14:50	若水賞 		2000-1-8	1	中山	3	4歳以上900万下	(混)[指](別定)	12	1240	5	12	410	5	1	200	2	6.0	2,070	13.0	1-6	2710	13	1-12	990	10.0	6-12	8,890	71.0	1-6	5,560	56.0														12.0 - 10.4 - 11.0 - 12.0 - 12.1 - 12.3	12.0 - 22.4 - 33.4 - 45.4 - 57.5 - 69.8 (12.0-12.0)	1-12	2840.0	12.0
200006010311	ダ	右	1800	曇	良	15:30	アレキサンドライトS 		2000-1-8	1	中山	3	4歳以上1600万下	(混)[指](別定)	3	1140	5	3	450	6	5	600	8	11.0	270	3.0	2-3	1090	5	3-5	3,030	39.0	3-11	1,420	17.0	5-11	2,790	36.0														12.5 - 11.4 - 12.8 - 12.8 - 12.2 - 12.4 - 12.6 - 12.8 - 13.0	12.5 - 23.9 - 36.7 - 49.5 - 61.7 - 74.1 - 86.7 - 99.5 - 112.5 (12.5-12.5)	3-5	13280.0	42.0
200006010401	ダ	右	1200	曇	良	10:00	4歳未勝利		2000-1-9	1	中山	4	4歳未勝利	(父)[指](馬齢)	4	2080	6	4	440	6	10	160	2	11.0	730	8.0	4-8	3680	12	4-10	1,170	15.0	4-11	3,380	29.0	10-11	1,320	17.0														12.4 - 11.0 - 11.6 - 12.2 - 13.0 - 13.9	12.4 - 23.4 - 35.0 - 47.2 - 60.2 - 74.1 (12.4-12.4)	4-10	3770.0	15.0
200006010402	ダ	右	1000	曇	良	10:25	4歳未勝利		2000-1-9	1	中山	4	4歳未勝利	[指](馬齢)	4	200	1	4	110	1	9	120	2	2.0	220	4.0	4-7	170	1	4-9	170	1.0	2-4	390	4.0	2-9	470	6.0														12.3 - 10.8 - 11.7 - 12.7 - 13.5	12.3 - 23.1 - 34.8 - 47.5 - 61.0 (12.3-12.3)	4-9	280.0	1.0
200006010403	ダ	右	1800	曇	良	10:50	4歳未勝利		2000-1-9	1	中山	4	4歳未勝利	(混)[指](馬齢)	6	350	2	6	130	2	1	130	1	14.0	260	5.0	1-4	460	1	1-6	250	1.0	6-14	660	7.0	1-14	580	6.0														12.8 - 12.2 - 13.0 - 13.6 - 12.9 - 13.0 - 13.4 - 13.1 - 13.7	12.8 - 25.0 - 38.0 - 51.6 - 64.5 - 77.5 - 90.9 - 104.0 - 117.7 (12.8-12.8)	1-6	510.0	1.0
200006010404	ダ	右	1200	曇	良	11:15	4歳新馬		2000-1-9	1	中山	4	4歳新馬	(混)[指](馬齢)	15	550	3	15	210	3	1	130	1	10.0	300	5.0	1-8	790	2	1-15	420	3.0	10-15	990	11.0	1-10	770	8.0														12.3 - 11.1 - 11.5 - 12.1 - 12.8 - 13.9	12.3 - 23.4 - 34.9 - 47.0 - 59.8 - 73.7 (12.3-12.3)	1-15	950.0	3.0
200006010405	ダ	右	1800	曇	良	11:45	4歳新馬		2000-1-9	1	中山	4	4歳新馬	[指](馬齢)	12	240	1	12	120	1	4	140	2	8.0	170	3.0	4-8	350	1	4-12	240	1.0	8-12	350	2.0	4-8	420	3.0														12.7 - 12.2 - 13.5 - 13.6 - 13.2 - 13.1 - 12.5 - 12.7 - 13.6	12.7 - 24.9 - 38.4 - 52.0 - 65.2 - 78.3 - 90.8 - 103.5 - 117.1 (12.7-12.7)	4-12	480.0	1.0
200006010406	ダ	右	1800	曇	良	12:45	4歳以上500万下		2000-1-9	1	中山	4	4歳以上500万下	[指](別定)	10	1550	5	10	300	4	16	300	5	7.0	130	1.0	5-8	7590	24	10-16	2,860	31.0	7-10	550	4.0	7-16	890	7.0														12.8 - 11.9 - 12.8 - 13.1 - 12.2 - 12.2 - 12.6 - 13.3 - 13.5	12.8 - 24.7 - 37.5 - 50.6 - 62.8 - 75.0 - 87.6 - 100.9 - 114.4 (12.8-12.8)	10-16	12950.0	32.0
200006010407	ダ	右	1200	曇	良	13:15	4歳以上500万下		2000-1-9	1	中山	4	4歳以上500万下	(混)[指](別定)	12	180	1	12	110	1	9	680	10	4.0	260	4.0	5-6	2210	8	9-12	1,560	17.0	4-12	450	3.0	4-9	5,520	52.0														12.2 - 10.6 - 11.3 - 12.3 - 12.9 - 13.3	12.2 - 22.8 - 34.1 - 46.4 - 59.3 - 72.6 (12.2-12.2)	9-12	4480.0	14.0
200006010409	芝	右	1200	曇	良	14:15	寒竹賞 		2000-1-9	1	中山	4	4歳500万下	(混)(特指)(馬齢)	11	290	1	11	150	3	6	140	2	4.0	160	4.0	5-7	660	2	6-11	370	3.0	4-11	390	6.0	4-6	360	2.0														12.1 - 10.8 - 11.4 - 12.3 - 11.6 - 11.7	12.1 - 22.9 - 34.3 - 46.6 - 58.2 - 69.9 (12.1-12.1)	6-11	960.0	4.0
200006010410	芝	右	2500	曇	良	14:50	迎春ステークス 		2000-1-9	1	中山	4	4歳以上1600万下	(混)[指](別定)	5	540	3	5	150	3	3	110	1	2.0	120	2.0	3-5	740	2	3-5	260	2.0	2-5	300	3.0	2-3	190	1.0														6.8 - 11.6 - 12.6 - 11.0 - 11.8 - 12.7 - 12.3 - 12.4 - 12.2 - 12.8 - 13.7 - 13.7 - 12.7	6.8 - 18.4 - 31.0 - 42.0 - 53.8 - 66.5 - 78.8 - 91.2 - 103.4 - 116.2 - 129.9 - 143.6 - 156.3 (6.8-6.8)	3-5	730.0	2.0
200006010411	ダ	右	1200	曇	良	15:30	ガーネットステークス	G3	2000-1-9	1	中山	4	4歳以上オープン	(混)(指)(別定)	14	2690	7	14	360	6	5	110	1	13.0	280	5.0	3-8	1220	5	5-14	700	7.0	13-14	1,790	21.0	5-13	530	5.0														12.0 - 10.5 - 10.7 - 12.0 - 12.1 - 12.9	12.0 - 22.5 - 33.2 - 45.2 - 57.3 - 70.2 (12.0-12.0)	5-14	1520.0	6.0
200006010501	ダ	右	1800	曇	重	10:00	4歳未勝利		2000-1-15	1	中山	5	4歳未勝利	(混)[指](馬齢)	12	200	1	12	100	1	7	110	2	8.0	610	8.0	4-6	180	1	7-12	140	1.0	8-12	950	11.0	7-8	1,210	15.0														12.7 - 11.7 - 13.1 - 13.1 - 12.8 - 12.7 - 13.3 - 13.3 - 13.5	12.7 - 24.4 - 37.5 - 50.6 - 63.4 - 76.1 - 89.4 - 102.7 - 116.2 (12.7-12.7)	7-12	190.0	1.0
200006010502	ダ	右	1000	曇	重	10:25	4歳未勝利		2000-1-15	1	中山	5	4歳未勝利	[指](馬齢)	8	150	1	8	100	1	1	130	3	7.0	100	2.0	1-7	450	2	1-8	190	2.0	7-8	140	1.0	1-7	270	4.0														12.3 - 11.0 - 11.6 - 12.2 - 12.8	12.3 - 23.3 - 34.9 - 47.1 - 59.9 (12.3-12.3)	1-8	440.0	2.0
200006010503	ダ	右	1200	曇	重	10:50	4歳未勝利		2000-1-15	1	中山	5	4歳未勝利	牝[指](馬齢)	13	330	2	13	110	1	3	120	2	1.0	180	3.0	3-8	300	1	3-13	230	1.0	1-13	320	2.0	1-3	410	4.0														12.4 - 10.6 - 11.2 - 12.1 - 12.8 - 13.4	12.4 - 23.0 - 34.2 - 46.3 - 59.1 - 72.5 (12.4-12.4)	3-13	470.0	1.0
200006010504	ダ	右	1000	曇	重	11:15	4歳新馬		2000-1-15	1	中山	5	4歳新馬	[指](馬齢)	8	2510	6	8	270	6	5	100	1	1.0	200	3.0	5-7	400	2	5-8	400	5.0	1-8	1,200	16.0	1-5	270	2.0														12.3 - 11.2 - 11.7 - 12.0 - 12.7	12.3 - 23.5 - 35.2 - 47.2 - 59.9 (12.3-12.3)	5-8	910.0	5.0
200006010505	ダ	右	1800	曇	重	11:40	4歳新馬		2000-1-15	1	中山	5	4歳新馬	(混)[指](馬齢)	5	230	1	5	110	1	6	320	6	1.0	140	3.0	5-6	1610	6	5-6	550	7.0	1-5	190	2.0	1-6	750	11.0														13.2 - 12.1 - 13.2 - 13.3 - 12.9 - 12.5 - 13.1 - 12.7 - 13.1	13.2 - 25.3 - 38.5 - 51.8 - 64.7 - 77.2 - 90.3 - 103.0 - 116.1 (13.2-13.2)	5-6	1590.0	6.0
200006010506	ダ	右	1800	晴	重	12:40	4歳以上500万下		2000-1-15	1	中山	5	4歳以上500万下	(父)[指](別定)	4	530	4	4	190	3	5	220	5	2.0	150	1.0	2-3	1440	8	4-5	710	7.0	2-4	610	4.0	2-5	550	2.0														12.7 - 11.5 - 13.4 - 13.2 - 12.9 - 11.9 - 12.5 - 13.0 - 13.6	12.7 - 24.2 - 37.6 - 50.8 - 63.7 - 75.6 - 88.1 - 101.1 - 114.7 (12.7-12.7)	4-5	2000.0	8.0
200006010507	ダ	右	2400	晴	重	13:10	4歳以上500万下		2000-1-15	1	中山	5	4歳以上500万下	(混)[指](別定)	12	560	3	12	240	4	1	310	5	3.0	130	1.0	1-7	2320	10	1-12	1,350	16.0	3-12	460	3.0	1-3	600	6.0														13.1 - 11.6 - 12.9 - 12.6 - 13.2 - 13.9 - 13.4 - 12.4 - 12.4 - 12.7 - 13.1 - 13.6	13.1 - 24.7 - 37.6 - 50.2 - 63.4 - 77.3 - 90.7 - 103.1 - 115.5 - 128.2 - 141.3 - 154.9 (13.1-13.1)	1-12	5110.0	19.0
200006010508	障		3200	晴	稍重  ダート	13:40	中山新春ジャンプS 		2000-1-15	1	中山	5	障害4歳以上オープン	(混)(別定)	5	1640	7	5	350	7	2	220	5	10.0	160	1.0	2-5	2970	12	2-5	820	15.0	5-10	840	17.0	2-10	500	5.0																2-5	2730.0	17.0
200006010509	ダ	右	1800	晴	稍重	14:15	黒竹賞 		2000-1-15	1	中山	5	4歳500万下	(混)(特指)(馬齢)	11	170	1	11	110	1	12	380	5	9.0	530	7.0	8-8	1200	3	11-12	600	5.0	9-11	780	8.0	9-12	3,420	32.0														12.5 - 11.4 - 13.5 - 14.1 - 12.5 - 11.9 - 12.2 - 12.6 - 13.3	12.5 - 23.9 - 37.4 - 51.5 - 64.0 - 75.9 - 88.1 - 100.7 - 114.0 (12.5-12.5)	11-12	1220.0	4.0
200006010510	芝	右	2200	晴	良	14:50	初茜賞 		2000-1-15	1	中山	5	4歳以上900万下	(混)[指](別定)	2	2070	7	2	360	7	4	130	1	1.0	230	5.0	2-3	2230	11	2-4	880	12.0	1-2	1,480	20.0	1-4	430	4.0														13.1 - 12.7 - 13.4 - 12.8 - 13.6 - 12.6 - 12.1 - 11.8 - 11.6 - 11.5 - 12.2	13.1 - 25.8 - 39.2 - 52.0 - 65.6 - 78.2 - 90.3 - 102.1 - 113.7 - 125.2 - 137.4 (13.1-13.1)	2-4	2270.0	10.0
200006010511	ダ	右	1200	晴	稍重	15:30	ジャニュアリーS 		2000-1-15	1	中山	5	4歳以上1600万下	(混)[指](別定)	1	1180	5	1	220	4	15	130	1	8.0	310	6.0	1-8	930	3	1-15	570	4.0	1-8	1,410	18.0	8-15	570	3.0														12.0 - 10.5 - 11.1 - 11.9 - 11.8 - 12.9	12.0 - 22.5 - 33.6 - 45.5 - 57.3 - 70.2 (12.0-12.0)	1-15	1230.0	3.0
200006010601	ダ	右	1200	晴	稍重	10:00	4歳未勝利		2000-1-16	1	中山	6	4歳未勝利	(混)[指](馬齢)	2	360	2	2	140	2	3	250	4	8.0	1,910	9.0	2-3	1440	6	2-3	460	5.0	2-8	3,280	24.0	3-8	7,080	35.0														12.4 - 10.6 - 11.3 - 12.2 - 13.4 - 13.5	12.4 - 23.0 - 34.3 - 46.5 - 59.9 - 73.4 (12.4-12.4)	2-3	1510.0	6.0
