	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気
200002010307	ダ	右	1700	曇	良	13:10	4歳以上500万下		2000-6-19	1	函館	3	4歳以上500万下	(特指)(別定)	6	710	4	6	200	4	5	190	3	1.0	130	1.0	5-5	2420	11	5-6	2370.0	10.0	5-6	870	10.0	1-6	700	7.0	1-5	500	2.0					7.2 - 11.2 - 11.7 - 12.8 - 12.9 - 13.1 - 13.0 - 12.7 - 12.3	7.2 - 18.4 - 30.1 - 42.9 - 55.8 - 68.9 - 81.9 - 94.6 - 106.9 (7.2-7.2)									
200002010308	芝	右	1000	曇	良	13:40	4歳以上500万下		2000-6-19	1	函館	3	4歳以上500万下	(特指)(別定)	12	670	5	12	250	4	7	300	5	8.0	480	6.0	5-7	1640	9	7-12	2160.0	9.0	7-12	890	10.0	8-12	2,140	26.0	7-8	1,530	18.0					12.2 - 10.7 - 11.5 - 11.7 - 11.4	12.2 - 22.9 - 34.4 - 46.1 - 57.5 (12.2-12.2)									
200002010309	ダ	右	1000	曇	良	14:15	木古内特別 		2000-6-19	1	函館	3	4歳以上500万下	(混)[指](別定)	3	530	3	3	170	3	9	140	2	10.0	290	4.0	3-7	820	3	3-9	1060.0	3.0	3-9	480	5.0	3-10	990	10.0	9-10	600	7.0					12.4 - 10.7 - 11.8 - 12.4 - 12.6	12.4 - 23.1 - 34.9 - 47.3 - 59.9 (12.4-12.4)									
200002010310	芝	右	1800	曇	良	14:55	遊楽部特別 		2000-6-19	1	函館	3	4歳以上500万下	牝(特指)(別定)	7	570	3	7	230	3	2	2,950	14	5.0	540	8.0	2-5	14450	28	2-7	34840.0	63.0	2-7	9,680	70.0	5-7	1,060	11.0	2-5	15,800	82.0					12.4 - 11.3 - 12.2 - 12.2 - 12.0 - 12.2 - 12.1 - 12.4 - 12.3	12.4 - 23.7 - 35.9 - 48.1 - 60.1 - 72.3 - 84.4 - 96.8 - 109.1 (12.4-12.4)									
200002010311	芝	右	1200	曇	良	15:35	道新スポーツ杯 		2000-6-19	1	函館	3	4歳以上900万下	(混)[指](ハンデ)	5	570	3	5	220	3	8	200	2	4.0	260	5.0	5-7	1470	7	5-8	1640.0	6.0	5-8	690	6.0	4-5	960	14.0	4-8	950	12.0					12.5 - 10.8 - 11.4 - 11.5 - 12.0 - 11.5	12.5 - 23.3 - 34.7 - 46.2 - 58.2 - 69.7 (12.5-12.5)									
200002010312	ダ	右	1700	曇	良	16:10	4歳以上500万下		2000-6-19	1	函館	3	4歳以上500万下	(混)[指](別定)	2	760	2	2	160	3	8	190	4	4.0	100	1.0	2-7	2130	8	2-8	3550.0	9.0	2-8	680	9.0	2-4	170	1.0	4-8	310	3.0					7.0 - 11.1 - 12.0 - 12.7 - 12.7 - 12.9 - 13.2 - 12.8 - 12.6	7.0 - 18.1 - 30.1 - 42.8 - 55.5 - 68.4 - 81.6 - 94.4 - 107.0 (7.0-7.0)									
200002010401	ダ	右	1000	晴	良	09:50	4歳未勝利		2000-6-18	1	函館	4	4歳未勝利	[指](馬齢)	3	590	3	3	200	3	4	120	2	5.0	260	5.0	3-4	830	3	3-4	850.0	3.0	3-4	330	2.0	3-5	1,030	13.0	4-5	610	6.0					12.4 - 11.0 - 12.1 - 12.2 - 12.6	12.4 - 23.4 - 35.5 - 47.7 - 60.3 (12.4-12.4)									
200002010402	ダ	右	1700	晴	良	10:15	4歳未勝利		2000-6-18	1	函館	4	4歳未勝利	(混)[指](馬齢)	3	600	4	3	200	4	5	150	2	10.0	300	6.0	3-5	1150	5	3-5	1090.0	4.0	3-5	480	5.0	3-10	1,250	13.0	5-10	810	10.0					7.2 - 10.9 - 11.7 - 12.8 - 12.7 - 12.6 - 13.0 - 13.0 - 13.6	7.2 - 18.1 - 29.8 - 42.6 - 55.3 - 67.9 - 80.9 - 93.9 - 107.5 (7.2-7.2)									
200002010403	芝	右	1800	晴	良	10:40	4歳未勝利		2000-6-18	1	函館	4	4歳未勝利	牝[指](馬齢)	11	2300	8	11	420	8	5	280	5	4.0	260	4.0	3-6	5110	19	5-11	7530.0	25.0	5-11	2,440	27.0	4-11	2,170	25.0	4-5	1,130	16.0					12.4 - 11.3 - 12.1 - 12.5 - 12.4 - 12.4 - 12.7 - 12.7 - 12.9	12.4 - 23.7 - 35.8 - 48.3 - 60.7 - 73.1 - 85.8 - 98.5 - 111.4 (12.4-12.4)									
200002010404	芝	右	1200	晴	良	11:10	4歳未勝利		2000-6-18	1	函館	4	4歳未勝利	[指](馬齢)	1	250	1	1	130	1	12	210	5	13.0	180	3.0	1-8	470	1	1-12	1080.0	5.0	1-12	510	5.0	1-13	480	4.0	12-13	670	10.0					12.3 - 10.7 - 11.6 - 11.9 - 11.9 - 12.1	12.3 - 23.0 - 34.6 - 46.5 - 58.4 - 70.5 (12.3-12.3)									
200002010405	ダ	右	1000	晴	良	11:40	3歳新馬		2000-6-18	1	函館	4	3歳新馬	(混)[指](馬齢)	4	230	1	4	120	1	11	120	2	8.0	250	5.0	4-8	320	1	4-11	350.0	1.0	4-11	190	1.0	4-8	790	7.0	8-11	800	8.0					12.5 - 11.6 - 11.6 - 11.5 - 12.2	12.5 - 24.1 - 35.7 - 47.2 - 59.4 (12.5-12.5)									
200002010406	芝	右	1200	晴	良	12:40	3歳新馬		2000-6-18	1	函館	4	3歳新馬	[指](馬齢)	7	170	1	7	120	1	10	320	5	5.0	270	4.0	6-8	1010	4	7-10	1450.0	4.0	7-10	690	5.0	5-7	600	4.0	5-10	1,810	23.0					12.3 - 10.3 - 11.2 - 12.4 - 12.6 - 12.3	12.3 - 22.6 - 33.8 - 46.2 - 58.8 - 71.1 (12.3-12.3)									
200002010407	ダ	右	1000	晴	良	13:10	4歳以上500万下		2000-6-18	1	函館	4	4歳以上500万下	[指](別定)	5	170	1	5	120	1	8	510	8	6.0	170	3.0	5-6	770	4	5-8	1920.0	7.0	5-8	730	8.0	5-6	210	1.0	6-8	1,530	18.0					12.4 - 10.9 - 11.7 - 12.5 - 12.5	12.4 - 23.3 - 35.0 - 47.5 - 60.0 (12.4-12.4)									
200002010408	芝	右	2000	晴	良	13:40	4歳以上500万下		2000-6-18	1	函館	4	4歳以上500万下	[指](別定)	1	190	1	1	110	1	5	360	6	9.0	160	2.0	1-5	1700	8	1-5	1610.0	6.0	1-5	660	10.0	1-9	250	1.0	5-9	1,140	14.0					12.6 - 11.0 - 11.6 - 12.5 - 12.4 - 12.6 - 12.8 - 12.8 - 12.7 - 12.1	12.6 - 23.6 - 35.2 - 47.7 - 60.1 - 72.7 - 85.5 - 98.3 - 111.0 - 123.1 (12.6-12.6)									
200002010409	芝	右	2000	晴	良	14:15	湯川特別 		2000-6-18	1	函館	4	4歳以上500万下	(混)(特指)(別定)	8	210	1	8	110	1	9	130	2	3.0	320	7.0	8-8	270	1	8-9	260.0	1.0	8-9	150	1.0	3-8	630	10.0	3-9	660	11.0					12.6 - 10.8 - 12.5 - 13.1 - 13.1 - 12.4 - 11.5 - 12.0 - 12.4 - 12.1	12.6 - 23.4 - 35.9 - 49.0 - 62.1 - 74.5 - 86.0 - 98.0 - 110.4 - 122.5 (12.6-12.6)									
200002010410	芝	右	1200	晴	良	14:55	仁山特別 		2000-6-18	1	函館	4	4歳以上500万下	(混)[指](別定)	6	5130	9	6	800	9	5	400	5	11.0	370	4.0	5-5	10870	20	5-6	11930.0	33.0	5-6	2,740	31.0	6-11	4,730	44.0	5-11	1,780	20.0					12.2 - 10.6 - 11.2 - 11.9 - 11.9 - 12.1	12.2 - 22.8 - 34.0 - 45.9 - 57.8 - 69.9 (12.2-12.2)									
200002010411	ダ	右	1700	晴	良	15:35	駒場特別 		2000-6-18	1	函館	4	4歳以上900万下	(混)(特指)(別定)	4	1820	6	4	220	5	6	120	1	1.0	200	4.0	4-6	1590	6	4-6	1560.0	5.0	4-6	590	6.0	1-4	1,140	16.0	1-6	340	3.0					7.1 - 11.0 - 11.8 - 12.6 - 12.6 - 12.3 - 12.5 - 12.4 - 13.2	7.1 - 18.1 - 29.9 - 42.5 - 55.1 - 67.4 - 79.9 - 92.3 - 105.5 (7.1-7.1)									
200002010412	ダ	右	1700	晴	良	16:10	4歳以上500万下		2000-6-18	1	函館	4	4歳以上500万下	[指](別定)	9	210	1	9	120	1	5	210	4	4.0	260	5.0	5-8	750	3	5-9	870.0	3.0	5-9	350	4.0	4-9	690	7.0	4-5	1,150	13.0					7.1 - 11.2 - 12.0 - 13.3 - 13.5 - 12.4 - 12.6 - 13.0 - 12.7	7.1 - 18.3 - 30.3 - 43.6 - 57.1 - 69.5 - 82.1 - 95.1 - 107.8 (7.1-7.1)									
200002010501	ダ	右	1700	曇	良	09:50	4歳未勝利		2000-6-24	1	函館	5	4歳未勝利	(混)[指](馬齢)	8	530	2	8	120	2	1	120	3	4.0	100	1.0	1-8	1360	5																	7.4 - 11.2 - 12.5 - 12.8 - 13.4 - 12.6 - 13.0 - 12.8 - 12.9	7.4 - 18.6 - 31.1 - 43.9 - 57.3 - 69.9 - 82.9 - 95.7 - 108.6 (7.4-7.4)									
200002010502	ダ	右	1000	曇	良	10:15	4歳未勝利		2000-6-24	1	函館	5	4歳未勝利	[指](馬齢)	3	380	2	3	130	2	1	110	1	8.0	1,000	8.0	1-3	190	1																	12.6 - 11.1 - 11.8 - 12.2 - 12.8	12.6 - 23.7 - 35.5 - 47.7 - 60.5 (12.6-12.6)									
200002010503	ダ	右	1700	曇	良	10:40	4歳未勝利		2000-6-24	1	函館	5	4歳未勝利	[指](馬齢)	9	540	4	9	210	3	7	1,170	7	4.0	210	4.0	7-8	470	2	7-9	14350.0	24.0	7-9	2,580	23.0	4-9	500	6.0	4-7	2,820	25.0					7.2 - 10.9 - 11.7 - 12.9 - 13.1 - 13.0 - 13.2 - 13.4 - 13.6	7.2 - 18.1 - 29.8 - 42.7 - 55.8 - 68.8 - 82.0 - 95.4 - 109.0 (7.2-7.2)									
200002010504	芝	右	1200	曇	良	11:10	4歳未勝利		2000-6-24	1	函館	5	4歳未勝利	牝[指](馬齢)	10	1330	4	10	290	4	11	140	2	4.0	180	3.0	7-7	2300	9	10-11	2240.0	8.0	10-11	910	8.0	4-10	1,110	14.0	4-11	390	3.0					12.4 - 10.7 - 11.3 - 11.8 - 12.2 - 12.5	12.4 - 23.1 - 34.4 - 46.2 - 58.4 - 70.9 (12.4-12.4)									
200002010505	芝	右	1800	晴	良	11:40	4歳未勝利		2000-6-24	1	函館	5	4歳未勝利	[指](馬齢)	3	490	2	3	250	4	13	220	2	8.0	1,030	8.0	3-8	840	4	3-13	1410.0	4.0	3-13	560	6.0	3-8	2,030	22.0	8-13	3,240	33.0					12.5 - 11.5 - 12.3 - 12.8 - 12.8 - 12.4 - 12.1 - 12.2 - 12.5	12.5 - 24.0 - 36.3 - 49.1 - 61.9 - 74.3 - 86.4 - 98.6 - 111.1 (12.5-12.5)									
