	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201701010405	芝	右	1800	晴	良	12:10	2歳新馬		2017-8-6	1	札幌	4	2歳新馬	[指](馬齢)	12	340	1	12	150	1	11	180	4	11-12	840	1	11-12	390	3	2-12	2,610	31	2-11	2,590	30	12=>11	1550	1	2-11-12	11840	42	12=>11=>2	48100	137	13,12,11(4,7)(1,6,8)3(2,9)5 10	13-12,11(4,3)7(1,8)6,2,9,5 10	13,12(4,11)1(2,6,3)8(5,7,9) 10	(*13,12)11,4(1,3,8)2(5,9)6=7 10	12.6 - 11.7 - 12.9 - 12.9 - 12.9 - 12.9 - 12.2 - 11.3 - 11.7	12.6 - 24.3 - 37.2 - 50.1 - 63.0 - 75.9 - 88.1 - 99.4 - 111.1 (37.2-35.2)	2.0	790.0	10.0	7-8	730.0	3.0
201701010501	ダ	右	1700	雨	稍重	09:55	2歳未勝利		2017-8-12	1	札幌	5	2歳未勝利	(混)[指](馬齢)	2	1580	4	2	350	3	11	150	2	2-11	1270	2	2-11	850	6	1-2	3,200	32	1-11	1,590	18	2=>11	4780	15	1-2-11	11390	37	2=>11=>1	64850	196	(*2,11)6(7,8)1,14(10,12)4,13,3(5,9)	(*2,11)6(7,8)1,14(4,10)12(3,13)(5,9)	(*2,11)10(6,7,14)(8,4)1(3,12,13)5,9	(*2,11)-6-(1,7)10-(3,14)(12,4,5)8,13-9	6.9 - 10.7 - 11.5 - 12.3 - 12.7 - 12.9 - 12.7 - 12.4 - 12.8	6.9 - 17.6 - 29.1 - 41.4 - 54.1 - 67.0 - 79.7 - 92.1 - 104.9 (29.1-37.9)	1.0	750.0	11.0	2-7	1360.0	4.0
201701010502	芝	右	1800	雨	稍重	10:20	2歳未勝利		2017-8-12	1	札幌	5	2歳未勝利	(混)[指](馬齢)	5	750	3	5	120	3	4	100	1	4-5	480	2	4-5	120	2	5-7	170	3	4-7	110	1	5=>4	1470	5	4-5-7	190	1	5=>4=>7	2650	7	6(5,9)(2,4)8(3,7)-1	6(9,7)5,4,2,8,3-1	(*6,7)(9,4)(8,5)=2,1,3	(*7,4)(9,5)8,1,6-2-3	13.0 - 12.7 - 12.9 - 11.9 - 12.4 - 12.7 - 12.5 - 12.1 - 12.6	13.0 - 25.7 - 38.6 - 50.5 - 62.9 - 75.6 - 88.1 - 100.2 - 112.8 (38.6-37.2)	7.0	100.0	2.0	4-5	470.0	2.0
201701010503	ダ	右	1000	雨	重	10:50	3歳未勝利		2017-8-12	1	札幌	5	3歳未勝利	[指](馬齢)	7	240	1	7	120	1	1	190	4	1-7	1570	5	1-7	480	4	2-7	210	1	1-2	550	7	7=>1	2600	9	1-2-7	1610	3	7=>1=>2	10210	21			(*8,7,9)2(4,11)(1,6)(3,5)10	(*8,7)(1,2,9)(4,11)(3,6)10,5	12.4 - 11.0 - 11.3 - 11.4 - 11.9	12.4 - 23.4 - 34.7 - 46.1 - 58.0 (34.7-34.6)	2.0	130.0	2.0	1-6	1690.0	6.0
201701010504	ダ	右	1700	雨	不良	11:20	3歳未勝利		2017-8-12	1	札幌	5	3歳未勝利	(混)[指](馬齢)	12	410	3	12	210	3	6	450	6	6-12	4420	16	6-12	1,350	15	11-12	2,280	25	6-11	6,620	57	12=>6	6970	25	6-11-12	37930	110	12=>6=>11	145340	447	12(6,8)13(2,3,11)10(7,9)(1,5)-4,14	12-(6,8)13(2,3)11(7,9,10)5,1-4-14	12(6,13,11)8,2,9(7,3,5,10)-1(4,14)	12-6,11,13(8,2)-(9,5)(7,3)1,4,14,10	6.9 - 11.1 - 11.9 - 12.3 - 12.9 - 12.6 - 12.2 - 12.4 - 13.4	6.9 - 18.0 - 29.9 - 42.2 - 55.1 - 67.7 - 79.9 - 92.3 - 105.7 (29.9-38.0)	11.0	1,270	13.0	4-7	690.0	2.0
201701010505	芝	右	1500	雨	重	12:10	2歳新馬		2017-8-12	1	札幌	5	2歳新馬	牝[指](馬齢)	11	240	1	11	120	1	14	140	2	11-14	560	1	11-14	270	1	4-11	600	5	4-14	800	7	11=>14	930	1	4-11-14	1840	2	11=>14=>4	5430	4		12(4,14)-11,5(6,7)1(2,3,8)-(9,10,13)	(*12,14)(4,11)-5,7(1,6,8)(2,3,13)-10,9	(*12,14)11,4-(5,7)8-(6,13)3(1,9)2=10	6.8 - 12.0 - 12.4 - 12.2 - 12.1 - 12.0 - 12.3 - 12.7	6.8 - 18.8 - 31.2 - 43.4 - 55.5 - 67.5 - 79.8 - 92.5 (31.2-37.0)	4.0	240	5.0	7-8	320.0	1.0
201701010506	芝	右	2000	雨	重	12:40	3歳未勝利		2017-8-12	1	札幌	5	3歳未勝利	(混)[指](馬齢)	8	580	3	8	200	3	2	310	4	2-8	2230	7	2-8	780	6	8-14	5,070	49	2-14	8,250	67	8=>2	4400	14	2-8-14	38050	106	8=>2=>14	157680	450	16-(6,15)(5,13)14,7,8,1(4,9)2,11-3,12,10	16=(6,15)(5,13)-(7,14)(1,8)(4,9)(2,11)-3,12-10	5(6,15)13(7,14)(1,8)(16,4,9)(3,2,11)12-10	13(5,14)15(7,8)(3,6,1)(12,4,2,9)-10,11=16	12.5 - 10.7 - 11.8 - 12.8 - 13.0 - 13.4 - 12.3 - 12.4 - 12.5 - 13.3	12.5 - 23.2 - 35.0 - 47.8 - 60.8 - 74.2 - 86.5 - 98.9 - 111.4 - 124.7 (35.0-38.2)	14.0	1,270	11.0	1-4	220.0	1.0
201701010507	ダ	右	1700	雨	不良	13:10	3歳以上500万下		2017-8-12	1	札幌	5	3歳以上500万下	牝[指](定量)	10	630	2	10	330	2	14	910	8	10-14	8210	23	10-14	1,910	17	5-10	900	8	5-14	2,750	31	10=>14	11860	30	5-10-14	22640	61	10=>14=>5	96030	256	3(10,14)6,11(2,4,9)(7,8)-(5,12)-13-1	3,10(6,14)-11(2,9)(7,4,8)-12(5,13)=1	(*3,10)(14,9)-(6,11)2(7,12)4(5,8)13=1	(*3,10)(14,9)-(11,2)7(6,12)5,8,13,4-1	6.9 - 11.1 - 11.7 - 12.2 - 12.3 - 12.3 - 12.3 - 12.5 - 12.8	6.9 - 18.0 - 29.7 - 41.9 - 54.2 - 66.5 - 78.8 - 91.3 - 104.1 (29.7-37.6)	5.0	440	3.0	6-8	1290.0	7.0
201701010508	芝	右	1200	雨	重	13:40	3歳以上500万下		2017-8-12	1	札幌	5	3歳以上500万下	(混)[指](定量)	5	660	3	5	190	3	8	210	4	5-8	2350	9	5-8	740	8	5-11	1,210	11	8-11	1,290	13	5=>8	4880	18	5-8-11	8800	25	5=>8=>11	37790	109			(*8,15)11(1,9,16)(6,13)(2,10)3(14,5)(12,7)-4	8(15,11)(1,13,16)5,10(9,7)2(12,14)4-3 6	12.2 - 10.9 - 11.8 - 12.0 - 11.8 - 12.2	12.2 - 23.1 - 34.9 - 46.9 - 58.7 - 70.9 (34.9-36.0)	11.0	250	5.0	3-4	2520.0	10.0
201701010509	ダ	右	1700	小雨	不良	14:15	3歳以上500万下		2017-8-12	1	札幌	5	3歳以上500万下	[指](定量)	1	190	1	1	110	1	5	470	8	1-5	3150	10	1-5	830	8	1-10	360	3	5-10	1,980	24	1=>5	3810	14	1-5-10	5070	19	1=>5=>10	24850	79	1,8(10,12)14(2,3,9)-5-6,7-11,13-4	1,8,10(2,3,12)(9,14)5,6-7(11,13)=4	(*1,8)(2,10)(3,12)(5,9,14)6-(7,13)11-4	1-8(2,10)3(5,12)6-(11,14)7,9(4,13)	7.0 - 10.8 - 11.6 - 12.0 - 12.6 - 12.5 - 12.4 - 11.7 - 12.0	7.0 - 17.8 - 29.4 - 41.4 - 54.0 - 66.5 - 78.9 - 90.6 - 102.6 (29.4-36.1)	10.0	200	4.0	1-4	950.0	5.0
