	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201045010310	ダ	左	1600	曇	良	16:05	宝船特別 		2010-1-3	11	川崎	3	(別定)		5	210	1	5	130	1	4	1,020	8	10.0	150	3.0	4-5	4490.0	12.0	4-5	3860	11	4-5	1,340	12	5-10	250	2	4-10	1,930	17	5=>4	6030.0	17.0	5=>4	5770	16	4-5-10	4480	14	5=>4=>10	27350	72	7911485110362	7911485110362.0	7911654108312	7491153610812	12.7 - 11.4 - 12.4 - 13.3 - 12.4 - 13.1 - 14.2 - 13.0	12.7 - 24.1 - 36.5 - 49.8 - 62.2 - 75.3 - 89.5 - 102.5 (36.5-40.3)
201045010311	ダ	左	2100	曇	良	16:45	報知オールスターカッ	G	2010-1-3	11	川崎	3	(別定)		5	430	3	5	160	3	12	540	9	11.0	150	2.0	4-7	750.0	3.0	5-12	7390	23	5-12	1,920	23	5-11	370	3	11-12	1,250	14	4=>7	1490.0	6.0	5=>12	9070	27	5-11-12	7580	24	5=>12=>11	53680	144	6912511412381471310	6.912511142381471e+18	1296115123481013714	1295111864210313714	7.0 - 11.1 - 12.2 - 13.1 - 13.1 - 14.0 - 13.6 - 12.0 - 12.6 - 13.4 - 12.8	7.0 - 18.1 - 30.3 - 43.4 - 56.5 - 70.5 - 84.1 - 96.1 - 108.7 - 122.1 - 134.9 (30.3-38.8)
201045010401	ダ	左	1400	曇	良	11:30	3歳8　未受賞未		2010-1-4	11	川崎	4			1	480	2	1	140	3	4	110	2	5.0	100	1.0				1-4	1480	5	1-4	330	5	1-5	190	2	4-5	180	1				1=>4	3980	14	1-4-5	550	1	1=>4=>5	8590	34	45613728	56413728.0	56417382	56417382	13.4 - 13.5 - 13.3 - 11.8 - 13.4 - 14.0 - 13.4	13.4 - 26.9 - 40.2 - 52.0 - 65.4 - 79.4 - 92.8 (40.2-40.8)
201045010402	ダ	左	1400	曇	良	12:00	4歳2　ロ		2010-1-4	11	川崎	4	128万円以上		3	420	2	3	120	2	2	100	1	10.0	200	4.0	2-3	440.0	2.0	2-3	510	1	2-3	270	1	3-10	750	10	2-10	430	3	3=>2	1230.0	4.0	3=>2	1330	3	2-3-10	1580	3	3=>2=>10	6900	12	938712101256411	937811210245611.0	379811012245611	391710285461211	12.9 - 12.0 - 13.7 - 12.0 - 13.3 - 13.7 - 13.6	12.9 - 24.9 - 38.6 - 50.6 - 63.9 - 77.6 - 91.2 (38.6-40.6)
201045010403	ダ	左	1400	曇	良	12:30	4歳1　イ		2010-1-4	11	川崎	4	128万円以上		12	110	1	12	110	1	11	190	3	8.0	500	8.0	8-8	620.0	3.0	11-12	560	2	11-12	250	2	8-12	1,160	15	8-11	2,300	24	8=>8	600.0	3.0	12=>11	690	2	8-11-12	4690	15	12=>11=>8	9230	27	521112348106197	511122348101679.0	511128341027196	512118103471926	12.8 - 12.2 - 14.0 - 12.0 - 13.0 - 13.0 - 13.1	12.8 - 25.0 - 39.0 - 51.0 - 64.0 - 77.0 - 90.1 (39.0-39.1)
201045010404	ダ	左	1500	曇	良	13:00	C3一　二		2010-1-4	11	川崎	4			2	3670	8	2	1,020	9	8	350	6	6.0	160	2.0	2-7	21590.0	28.0	2-8	9610	27	2-8	2,100	26	2-6	1,260	15	6-8	430	3	2=>7	72710.0	57.0	2=>8	41780	68	2-6-8	11080	36	2=>8=>6	134530	313	56741092138	56710924138.0	56271019348	56210173894	5.8 - 11.4 - 12.5 - 13.8 - 12.3 - 13.1 - 13.6 - 13.5	5.8 - 17.2 - 29.7 - 43.5 - 55.8 - 68.9 - 82.5 - 96.0 (29.7-40.2)
201045010405	ダ	左	1500	曇	良	13:30	C3一　二		2010-1-4	11	川崎	4			5	130	1	5	130	1	3	2,190	11	10.0	2,900	12.0	3-5	8650.0	19.0	3-5	9150	20	3-5	2,980	22	5-10	7,820	42	3-10	63,820	65	5=>3	9840.0	25.0	5=>3	14780	36	3-5-10	238850	154	5=>3=>10	638230	585	710423121198516	710243121198516.0	7,(10,4),2,3,5,12,11,9,1,8,6	7,10,5,(2,3),4,11,12,9,1,6,8	5.9 - 11.9 - 12.8 - 14.0 - 12.3 - 13.1 - 13.8 - 12.8	5.9 - 17.8 - 30.6 - 44.6 - 56.9 - 70.0 - 83.8 - 96.6 (30.6-39.7)
201045010406	ダ	左	1400	曇	良	14:00	C212　1314		2010-1-4	11	川崎	4			9	1400	5	9	280	4	5	130	1	1.0	350	7.0	5-7	1490.0	5.0	5-9	2790	11	5-9	920	9	1-9	3,410	36	1-5	1,290	17	7=>5	3570.0	15.0	9=>5	6540	24	1-5-9	12660	40	9=>5=>1	87340	247	109543711618122	591034711168212.0	591047381112612	591034718116212	13.2 - 12.2 - 13.2 - 11.9 - 12.7 - 13.1 - 13.4	13.2 - 25.4 - 38.6 - 50.5 - 63.2 - 76.3 - 89.7 (38.6-39.2)
201045010407	ダ	左	1400	晴	良	14:30	C212　1314		2010-1-4	11	川崎	4			3	470	2	3	110	2	7	100	1	9.0	240	6.0	3-7	320.0	1.0	3-7	370	1	3-7	230	2	3-9	750	10	7-9	430	6	3=>7	1050.0	5.0	3=>7	1350	6	3-7-9	1220	4	3=>7=>9	7510	24	96734218510	96734215810.0	96734258101	9,7,(3,6),4,2,5,1,8,10	12.7 - 12.0 - 13.4 - 11.8 - 12.9 - 13.1 - 13.6	12.7 - 24.7 - 38.1 - 49.9 - 62.8 - 75.9 - 89.5 (38.1-39.6)
201045010408	ダ	左	1600	晴	良	15:00	C212　1314		2010-1-4	11	川崎	4			3	320	1	3	140	2	13	120	1	5.0	520	10.0	3-8	600.0	1.0	3-13	760	1	3-13	340	1	3-5	1,080	14	5-13	1,450	23	3=>8	1180.0	3.0	3=>13	1400	2	3-5-13	2950	6	3=>13=>5	12830	23	1231141213146810759	1.2348116131251471e+18	1243135812791110614	2131345812796101114	12.9 - 11.9 - 13.0 - 14.2 - 12.4 - 13.1 - 13.7 - 13.0	12.9 - 24.8 - 37.8 - 52.0 - 64.4 - 77.5 - 91.2 - 104.2 (37.8-39.8)
201045010409	ダ	左	1500	晴	良	15:35	C1三		2010-1-4	11	川崎	4			3	3480	8	3	380	7	7	140	2	2.0	210	3.0	3-5	6740.0	17.0	3-7	7130	20	3-7	1,500	18	2-3	1,350	16	2-7	440	4	3=>5	18310.0	35.0	3=>7	26200	55	2-3-7	6800	26	3=>7=>2	48910	167	91211101371628354	9.121011713162835e+16	91210711132163854	91272101133116845	5.7 - 11.5 - 12.2 - 13.5 - 12.3 - 13.5 - 14.4 - 13.0	5.7 - 17.2 - 29.4 - 42.9 - 55.2 - 68.7 - 83.1 - 96.1 (29.4-40.9)
201045010410	ダ	左	1500	晴	良	16:10	門松特別 		2010-1-4	11	川崎	4	(別定)		8	1580	5	8	370	5	12	140	1	10.0	700	8.0	5-7	1790.0	6.0	8-12	2500	8	8-12	1,070	11	8-10	3,750	34	10-12	1,670	15	5=>7	5060.0	21.0	8=>12	6670	21	8-10-12	14190	38	8=>12=>10	111070	243	6413123811114107592	6.413123811110148e+18	4136128113110714952	4131281111037561492	5.7 - 11.0 - 11.9 - 13.5 - 12.6 - 13.6 - 13.6 - 13.1	5.7 - 16.7 - 28.6 - 42.1 - 54.7 - 68.3 - 81.9 - 95.0 (28.6-40.3)
201045010411	ダ	左	1500	晴	良	16:45	初詣特別 		2010-1-4	11	川崎	4	(別定)		4	1030	5	4	410	6	5	450	7	3.0	1,530	12.0	3-4	1040.0	5.0	4-5	7860	24	4-5	1,900	21	3-4	3,010	30	3-5	8,540	60	3=>4	2540.0	13.0	4=>5	12480	42	3-4-5	98320	156	4=>5=>3	518420	824	1213910261487411531	1.2139210671484513e+18	4,(13,9,10,14),12,7,2,5,6,8,11,1,3	4147510211139681312	5.6 - 11.1 - 12.3 - 13.6 - 12.2 - 12.7 - 13.4 - 13.8	5.6 - 16.7 - 29.0 - 42.6 - 54.8 - 67.5 - 80.9 - 94.7 (29.0-39.9)
201045012501	ダ	左	1500	晴	良	11:00	C3九　十		2010-1-25	12	川崎	1			5	1610	6	5	290	5	11	460	6	4.0	190	3.0	4-7	1560.0	8.0	5-11	6240	18	5-11	1,710	16	4-5	700	11	4-11	730	12	4=>7	2400.0	14.0	5=>11	14600	37	4-5-11	5400	18	5=>11=>4	41060	114	1071452963111381412	1.0714526911313814e+18	1071541162913381412	1051114276931381412	5.7 - 11.6 - 12.7 - 13.6 - 12.5 - 13.6 - 14.4 - 14.2	5.7 - 17.3 - 30.0 - 43.6 - 56.1 - 69.7 - 84.1 - 98.3 (30.0-42.2)
201045012502	ダ	左	1400	晴	良	11:30	3歳5　ロ		2010-1-25	12	川崎	1	58万円以上107万円未満		10	180	1	10	110	1	6	650	7	8.0	1,780	10.0	6-8	2740.0	6.0	6-10	5780	12	6-10	1,750	13	8-10	3,160	25	6-8	8,690	36	8=>6	2840.0	9.0	10=>6	6630	16	6-8-10	45530	60	10=>6=>8	191010	251	68109154372	68109143752.0	68109174325	10,6,8,9,1,7,4,2,3-5	12.9 - 12.0 - 13.7 - 12.6 - 13.1 - 13.2 - 13.7	12.9 - 24.9 - 38.6 - 51.2 - 64.3 - 77.5 - 91.2 (38.6-40.0)
201045012503	ダ	左	1400	晴	良	12:00	3歳4　イ		2010-1-25	12	川崎	1	58万円以上107万円未満		7	1250	7	7	240	4	8	140	1	11.0	570	9.0	6-6	1860.0	10.0	7-8	1570	5	7-8	820	9	7-11	4,140	41	8-11	1,210	16	6=>6	1950.0	8.0	7=>8	3220	13	7-8-11	14580	44	7=>8=>11	94950	279	7,8,9,12,3,5,1,2,10,4,11-6	7,8,9,3,5,12,1,10,2,4,11-6	7,(8,9),(3,12),5,10,1,4,2,11,6	789351101241126	13.4 - 12.6 - 13.6 - 12.1 - 12.5 - 12.7 - 13.8	13.4 - 26.0 - 39.6 - 51.7 - 64.2 - 76.9 - 90.7 (39.6-39.0)
