	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202030042207	ダ	右	1600	晴	良	18:55	3歳以上C4ー2		2020-4-22	1	門別	3	(馬齢)		4.0	380.0	3.0	4.0	180	2.0	5.0	200	3.0				4-5	720.0	3.0	4-5	150	3.0	4-7	140	1.0	5-7	140	2.0	4=>5	1040.0	4.0	4-5-7	280.0	1.0	4=>5=>7	2580.0	9.0	2573416	2,5,7,(3,4),1,6	(2,5),7,4,(1,3),6	4,(5,7),1,2,(3,6)					
202030042208	ダ	右	1700	晴	良	19:30	クロッカス特別 		2020-4-22	1	門別	3	(馬齢)		2.0	350.0	2.0	2.0	130	2.0	7.0	130	3.0	6.0	100.0	1.0	2-7	760.0	3.0	2-7	300	3.0	2-6	190	1.0	6-7	240	2.0	2=>7	1730.0	6.0	2-6-7	550.0	1.0	2=>7=>6	3960.0	9.0	912763485	9,(1,2),7,6,3,(4,8)-5	(9,2,7),6,1,3,(4,8)-5	2,7,6,1,(9,3),8,4,5			2-7	770.0	3.0
202030042209	ダ	右	1800	晴	良	20:05	エゾヤマザクラ特別 		2020-4-22	1	門別	3	(別定)		7.0	290.0	2.0	7.0	190	2.0	6.0	270	4.0				6-7	1230.0	5.0	6-7	370	5.0	5-7	170	1.0	5-6	360	4.0	7=>6	1880.0	8.0	5-6-7	650.0	2.0	7=>6=>5	4150.0	15.0	4,5,7,2,(1,6),3	(4,5),7,2,6,1,3	4572613	(5,7),4,6,2,1,3					
202030042210	ダ	右	1200	晴	良	20:40	ジャスタウェイ・プレ 		2020-4-22	1	門別	3	(別定)		5.0	420.0	3.0	5.0	150	3.0	9.0	120	1.0	11.0	310.0	6.0	5-9	610.0	2.0	5-9	260	2.0	5-11	1,460	16.0	9-11	760	9.0	5=>9	1250.0	4.0	5-9-11	3450.0	13.0	5=>9=>11	12920.0	47.0			1,(4,12),10,(3,5,9),6,11-2,7-8	(12,10,9),(1,5),(3,4,11),(6,2),7,8			5-7	290.0	1.0
202030042301	ダ	右	1200	晴	良	15:45	3歳条件未勝利		2020-4-23	1	門別	4	(馬齢)		8.0	150.0	1.0	8.0	130	1.0	7.0	280	6.0	9.0	180.0	4.0	7-8	850.0	5.0	7-8	260	3.0	8-9	250	1.0	7-9	2,410	26.0	8=>7	1080.0	5.0	7-8-9	2470.0	9.0	8=>7=>9	7940.0	23.0			3,8,7,(1,4),(6,9),2,11,10,5	(8,7),(3,1,9),(2,4),6,11,10,5			6-7	630.0	4.0
202030042302	ダ	右	1200	曇	良	16:20	チロロの巨石賞		2020-4-23	1	門別	4	(馬齢)		2.0	2890.0	7.0	2.0	270	6.0	5.0	150	1.0	7.0	240.0	5.0	2-5	950.0	4.0	2-5	580	6.0	2-7	1,250	18.0	5-7	630	8.0	2=>5	5280.0	23.0	2-5-7	4070.0	18.0	2=>5=>7	37180.0	135.0			1,(5,8),(2,3),6,4-7	(1,5),(8,3),(2,6),4,7					
202030042303	ダ	右	1000	曇	良	16:55	静内みゆき通り賞		2020-4-23	1	門別	4	(馬齢)		3.0	720.0	4.0	3.0	280	3.0	6.0	340	4.0				3-6	1970.0	10.0	3-6	500	10.0	3-7	300	4.0	6-7	300	5.0	3=>6	4010.0	20.0	3-6-7	1160.0	5.0	3=>6=>7	11850.0	58.0			6,4,7,(1,2),3,5	6,4,(7,3),2,5,1					
202030042304	ダ	右	1000	曇	良	17:25	JRA認定フレッシュ		2020-4-23	1	門別	4	(馬齢)		7.0	180.0	1.0	7.0	130	1.0	4.0	290	5.0	2.0	320.0	6.0	4-7	2200.0	9.0	4-7	710	9.0	2-7	640	7.0	2-4	1,900	17.0	7=>4	2810.0	9.0	2-4-7	5100.0	13.0	7=>4=>2	15010.0	46.0			7,1,(4,2),5,6,(3,8)	7,(4,1),(3,2,5),6,8					
202030042305	ダ	右	1100	曇	良	17:55	JRA認定フレッシュ		2020-4-23	1	門別	4	(馬齢)		5.0	360.0	3.0	5.0	150	2.0	1.0	310	4.0	7.0	580.0	7.0	1-5	1760.0	5.0	1-5	590	5.0	5-7	980	10.0	1-7	2,160	21.0	5=>1	2810.0	8.0	1-5-7	7970.0	24.0	5=>1=>7	27500.0	84.0			8,7,(1,6,3),5,2,4	7,(8,3),1,5,6,2,4					
202030042306	ダ	右	1200	雪	良	18:25	3歳以上C4ー2		2020-4-23	1	門別	4	(馬齢)		3.0	140.0	1.0	3.0	110	1.0	7.0	160	2.0				3-7	360.0	2.0	3-7	180	2.0	2-3	210	3.0	2-7	430	6.0	3=>7	530.0	2.0	2-3-7	820.0	4.0	3=>7=>2	2000.0	5.0			6,7,(2,3),(4,5),1	(6,7),(2,3),4,(1,5)					
