	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
202046031610	ダ	右	1500	曇	不良	15:55	チューリップ賞		2020-3-16	21	金沢	2	牝(定量)		1	1790	5	1.0	260	6.0	8.0	100	1.0	7.0	140	2.0	1-8	830	4	1-8	350	4	1-7	1,890	21	7-8	250	1	1=>8	3940	13	1-7-8	2000	6	1=>8=>7	25590	77	3,(9,12),8,2,1,10,(7,11),4,6,5	3,9,(1,2,12),8-7,10,4,6,11,5	3,(1,8),2,9,12,7,10,4,6,11,5	183279461210115			1-6	1160.0	5.0	1=>6	5690.0	16.0
202046031611	ダ	右	1700	曇	不良	16:30	楽天競馬でポイント還 		2020-3-16	21	金沢	2	(定量)		7	230	1	7.0	110	1.0	9.0	150	3.0	1.0	220	5.0	7-9	340	1	7-9	190	1	1-7	500	6	1-9	920	11	7=>9	660	2	1-7-9	2430	6	7=>9=>1	6500	18	7,2,6,3,10,9,11,(1,8),4-5	7,2,6,9,3,10,1,11,4,8=5	7,2,9,6,(1,10),11,(3,4,8)=5	7921611104835			6-7	170.0	1.0	6=>7	350.0	1.0
202046031612	ダ	右	1500	曇	不良	17:05	菜の花特別 		2020-3-16	21	金沢	2	(定量)		9	140	1	9.0	100	1.0	1.0	140	4.0	2.0	110	2.0	1-9	650	3	1-9	220	3	2-9	130	1	1-2	290	6	9=>1	830	4	1-2-9	460	2	9=>1=>2	1900	4	1,(2,4),8,9,6,7,10,5,3	1,(2,4),8,(6,9),(7,10),5,3	21964781053	2,(1,9),6,10,3,4,7,8			1-8	660.0	3.0	8=>1	840.0	4.0
202046031701	ダ	右	1400	曇	不良	10:50	C17		2020-3-17	21	金沢	3	(定量)		3	180	1	3.0	100	1.0	10.0	110	2.0	4.0	120	3.0	3-10	190	1	3-10	140	1	3-4	220	3	4-10	260	5	3=>10	330	1	3-4-10	400	1	3=>10=>4	1150	2	3,4,10,(1,9),(2,6,7),5,8	3,4,(2,10),1,9,7,6,5-8	(3,10),(2,4),(1,7),9,5,6-8	3,10,(2,4),1,7,5,9,6-8			3-8	150.0	1.0	3=>8	240.0	1.0
202046031702	ダ	右	1500	曇	不良	11:20	C16		2020-3-17	21	金沢	3	(定量)		4	110	1	4.0	110	1.0	3.0	190	3.0				3-4	410	2	3-4	150	2	1-4	160	3	1-3	240	5	4=>3	450	2	1-3-4	340	2	4=>3=>1	1260	5	432615	436215	4,3,(1,6,2)-5	4,3,1,6,2-5								
202046031703	ダ	右	1500	曇	不良	11:55	C15		2020-3-17	21	金沢	3	(定量)		5	480	2	5.0	140	3.0	8.0	110	1.0	7.0	340	6.0	5-8	310	1	5-8	180	1	5-7	760	9	7-8	500	6	5=>8	1210	4	5-7-8	1140	4	5=>8=>7	8360	27	7,8,5,(3,9),6,2,(1,10),4	7,8,5,9,3,6,(2,10),4,1	(7,8),5,9,3,6,4,1,10,2	8,7,5,(3,4),(6,9),1,10,2			5-7	240.0	1.0	5=>7	800.0	3.0
202046031704	ダ	右	1400	曇	不良	12:30	C14		2020-3-17	21	金沢	3	(定量)		3	130	1	3.0	100	1.0	5.0	150	4.0	7.0	100	2.0	3-5	480	2	3-5	130	2	3-7	110	1	5-7	240	4	3=>5	740	3	3-5-7	320	1	3=>5=>7	1250	4	3,(5,8),9,6,2,7,4-1	3,5,8,9,2,6,4,7-1	3,5,8,9-7,2,4,6-1	3-5,8,7,9,2,4,6-1			3-5	450.0	2.0	3=>5	430.0	3.0
202046031705	ダ	右	1400	曇	不良	13:05	アルメリア賞		2020-3-17	21	金沢	3	牝(定量)		11	180	1	11.0	120	1.0	8.0	130	2.0	5.0	310	6.0	8-11	360	1	8-11	180	1	5-11	530	7	5-8	770	11	11=>8	550	1	5-8-11	1420	4	11=>8=>5	4590	7	11,8,(1,9),5,6,(2,10),4,3,7	11,8,1,9,5,6,10,2-4,3,7	11,8,(1,5,9),(6,10),2,4,3,7	1158962141037			7-8	220.0	1.0	8=>7	480.0	1.0
202046031706	ダ	右	1500	曇	不良	13:40	C12		2020-3-17	21	金沢	3	(定量)		10	210	1	10.0	100	1.0	2.0	100	2.0	1.0	100	3.0	2-10	210	1	2-10	140	1	1-10	160	3	1-2	150	2	10=>2	670	3	1-2-10	220	1	10=>2=>1	1150	3	(7,10),5,8,9,2,(1,11),6,4=3	(5,7,10),2,1,8,9,11,6,4=3	710251691184	107219611548			2-8	190.0	1.0	8=>2	670.0	3.0
202046031707	ダ	右	1400	曇	不良	14:15	B26		2020-3-17	21	金沢	3	(定量)		4	470	3	4.0	170	4.0	10.0	130	2.0	9.0	110	1.0	4-10	1360	5	4-10	480	6	4-9	340	3	9-10	480	5	4=>10	2380	9	4-9-10	1880	3	4=>10=>9	10780	18	7,(1,11),3,4,10,8,5,9,6-2	7,(1,11,10),(3,4),5,8,9,6,2	7,10,11,(1,4),(5,3,9),8,6-2	7,10,4,11,9,(5,3),1,6,8,2			4-8	1220.0	5.0	4=>8	3710.0	18.0
202046031708	ダ	右	1500	曇	不良	14:50	アクアマリン特別 		2020-3-17	21	金沢	3	(定量)		5	920	4	5.0	170	4.0	8.0	100	2.0	6.0	100	1.0	5-8	630	3	5-8	190	4	5-6	470	7	6-8	150	1	5=>8	1840	9	5-6-8	620	3	5=>8=>6	6450	24	23461857	2,4,(1,8,6),(3,5),7	8,4,(1,2,6),5,7-3	8,5,1,6,4,7,2-3								
202046031709	ダ	右	1500	曇	不良	15:25	B25		2020-3-17	21	金沢	3	(定量)		4	120	1	4.0	110	1.0	2.0	110	2.0	8.0	410	7.0	2-4	260	1	2-4	140	1	4-8	160	3	2-8	520	8	4=>2	250	1	2-4-8	690	3	4=>2=>8	1630	4	48527361	4,8,2,5,(3,7),6,1	4,2,8,(3,5),7,6,1	42853761								
202046031710	ダ	右	1500	曇	不良	16:00	B24		2020-3-17	21	金沢	3	(定量)		3	150	1	3.0	100	1.0	9.0	120	2.0	11.0	140	4.0	3-9	330	1	3-9	180	2	3-11	140	1	9-11	300	4	3=>9	560	2	3-9-11	410	1	3=>9=>11	1050	1	12,5,(3,9),(8,11),4,1,7,2=10	12,5,3,9,8,11,4,7,1,2=10	3,9,11,12,5,8,7,4,2-1	3,9,11,12,5,8,7,4,2=1			3-7	590.0	2.0	3=>7	380.0	2.0
202046031711	ダ	右	1700	曇	不良	16:35	楽天競馬でポイント貯 		2020-3-17	21	金沢	3	(別定)		8	200	1	8.0	110	1.0	6.0	150	4.0	10.0	130	2.0	6-8	1150	4	6-8	320	5	8-10	140	1	6-10	290	4	8=>6	1390	5	6-8-10	630	2	8=>6=>10	3090	6	2,8,9,10,(4,7),3,(1,6)-5	2,(9,8),10,7,4,6,(1,3)-5	8,2,10,(9,6),1,(4,7),3,5	8,10,6,2,(1,7),9,4,(5,3)			6-7	520.0	3.0	7=>6	960.0	4.0
202046031712	ダ	右	1700	曇	不良	17:10	桜暦特別 		2020-3-17	21	金沢	3	(定量)		5	200	1	5.0	140	2.0	1.0	960	10.0	3.0	720	9.0	1-5	3380	8	1-5	1,000	10	3-5	970	8	1-3	4,410	29	5=>1	6020	12	1-3-5	19450	34	5=>1=>3	39140	92	1,8,(3,4),10,(5,12),9,11,6,(2,7)	1,(3,8),4,5,12,10,9,6,11,(2,7)	1,5,8,(12,9,11),3,6,10,4-7,2	1,5,3,8,6,(12,11),9,10,4,7=2			1-5	3100.0	8.0	5=>1	4400.0	10.0
202046032201	ダ	右	1400	曇	稍重	11:50	3歳B　4		2020-3-22	22	金沢	1	(定量)		2	180	1	2.0	120	1.0	6.0	150	3.0				2-6	220	1	2-6	100	1	2-5	130	2	5-6	180	3	2=>6	420	2	2-5-6	150	1	2=>6=>5	550	1	2,6,1,(3,5),7,4	2,6,1,5,3,7-4	(2,6),5,1,(7,3)=4	2,6,5=1,3,7=4								
202046032202	ダ	右	1400	曇	稍重	12:25	3歳B　3		2020-3-22	22	金沢	1	(定量)		2	310	3	2.0	110	1.0	5.0	250	4.0	1.0	160	3.0	2-5	1550	5	2-5	380	5	1-2	130	1	1-5	400	6	2=>5	2790	8	1-2-5	750	2	2=>5=>1	5250	17	24156387	2,4,1,5,6,3,8-7	2,5,4,1,6,3,8-7	2,5,1,4,(8,6),3=7								
202046032203	ダ	右	1400	曇	稍重	13:00	C27		2020-3-22	22	金沢	1	(定量)		2	140	1	2.0	110	1.0	8.0	180	3.0				2-8	370	2	2-8	140	2	2-3	120	1	3-8	200	4	2=>8	480	2	2-3-8	230	1	2=>8=>3	1030	3	2684537	2,6,8,(4,5),3,7	2685437	2,6,8,3,4,5-7								
202046032204	ダ	右	1400	曇	稍重	13:35	C26		2020-3-22	22	金沢	1	(定量)		6	120	1	6.0	100	1.0	8.0	100	2.0	2.0	150	4.0	6-8	120	1	6-8	120	1	2-6	310	5	2-8	450	6	6=>8	180	1	2-6-8	950	3	6=>8=>2	1100	4	689527134	6,8,9,5,2,1,7,3=4	6,8,9,2,5,1,7,3=4	6,8,9,2-(5,1)-7,3=4			6-8	110.0	1.0	6=>8	100.0	1.0
202046032205	ダ	右	1500	曇	稍重	14:10	フリージア賞		2020-3-22	22	金沢	1	牝(定量)		7	180	1	7.0	110	1.0	5.0	160	2.0				5-7	330	1	5-7	210	3	3-7	410	6	3-5	550	8	7=>5	520	1	3-5-7	970	4	7=>5=>3	2240	6	7,3,(2,4),5,1,6	7324516	7354216	7354216								
202046032206	ダ	右	1400	曇	稍重	14:45	C25		2020-3-22	22	金沢	1	(定量)		6	110	1	6.0	100	1.0	10.0	190	3.0	8.0	540	6.0	6-10	410	2	6-10	200	2	6-8	980	7	8-10	3,430	18	6=>10	360	2	6-8-10	3390	8	6=>10=>8	9480	21	10,6,9,4,8,3,1,5-2	10,6-4,9,3,8,1,5-2	10,6=4,8,9,3,1,5,2	6,10=8,4,(3,9),1,2,5			6-8	340.0	2.0	6=>8	270.0	2.0
202046032207	ダ	右	1500	曇	稍重	15:20	カストル特別 		2020-3-22	22	金沢	1	(定量)		6	480	3	6.0	140	4.0	1.0	110	1.0	3.0	120	2.0	1-6	920	5	1-6	290	5	3-6	540	9	1-3	210	1	6=>1	2280	13	1-3-6	1010	5	6=>1=>3	7430	30	1,(6,7),(3,8),2,5,4	17683254	1,7,6,(3,8),2,5,4	1,6,8,3,7,(5,2),4								
202046032208	ダ	右	1500	曇	稍重	16:00	C24		2020-3-22	22	金沢	1	(定量)		5	710	4	5.0	170	3.0	3.0	130	1.0	7.0	680	7.0	3-5	680	3	3-5	260	3	5-7	1,110	15	3-7	840	11	5=>3	2350	10	3-5-7	3960	16	5=>3=>7	17270	66	9,5,7,8,(4,6),3,2-1	9,5,8,7,4,6,3,2=1	5,9,8,(4,7),(3,6),2=1	5,8,(9,7),4,3,2,6=1			3-5	710.0	4.0	5=>3	1640.0	9.0
202046032209	ダ	右	1500	曇	稍重	16:35	B13		2020-3-22	22	金沢	1	(定量)		4	230	1	4.0	170	1.0	1.0	250	5.0				1-4	1020	5	1-4	480	8	4-6	1,330	16	1-6	3,720	21	4=>1	1060	3	1-4-6	6640	24	4=>1=>6	15770	69	1,2,4,6,(3,7),5	1,2,4,(7,6),3,5	1,4,2,(3,7,6),5	4,1,(2,6),3,7,5								
202046032210	ダ	右	1500	曇	稍重	17:10	楽天競馬でネット投票 		2020-3-22	22	金沢	1	(定量)		7	790	4	7.0	170	4.0	1.0	110	1.0	4.0	120	2.0	1-7	1130	5	1-7	400	5	4-7	290	4	1-4	200	1	7=>1	3020	12	1-4-7	850	2	7=>1=>4	8040	24	7,3,1,4,6,8,(2,5),9	731465829	741365829	7,4,1,3,6,5-8-2,9			1-7	940.0	5.0	7=>1	2740.0	13.0
202046032401	ダ	右	1400	曇	稍重	11:45	3歳A　4		2020-3-24	22	金沢	2	(定量)		6	200	1	6.0	130	1.0	5.0	200	3.0				5-6	440	2	5-6	270	3	6-7	330	4	5-7	610	9	6=>5	660	3	5-6-7	840	3	6=>5=>7	2940	10	1364527	1,3,6,4,(2,5),7	(1,3,6),5,4,7,2	6531742								
202046032402	ダ	右	1500	曇	稍重	12:20	C23		2020-3-24	22	金沢	2	(定量)		8	340	2	8.0	110	2.0	9.0	110	1.0	7.0	160	4.0	8-9	290	1	8-9	190	1	7-8	410	6	7-9	250	2	8=>9	700	2	7-8-9	470	2	8=>9=>7	2430	4	987562143	987562143	985762143	(9,8),7,5,(1,2),6-(3,4)			8-8	290.0	1.0	8=>8	300.0	1.0
202046032403	ダ	右	1500	曇	稍重	12:55	3歳A　3		2020-3-24	22	金沢	2	(定量)		1	190	1	1.0	160	2.0	5.0	220	4.0	3.0	280	5.0	1-5	1100	2	1-5	490	5	1-3	580	8	3-5	1,480	17	1=>5	1880	6	1-3-5	3520	14	1=>5=>3	11220	38	12685734	12685734	(1,2,6),5,8,7,3-4	1,6,2,5,8,7,3-4								
202046032404	ダ	右	1400	曇	稍重	13:30	C22		2020-3-24	22	金沢	2	(定量)		5	180	1	5.0	100	1.0	4.0	130	2.0	1.0	530	7.0	4-5	130	1	4-5	120	1	1-5	910	11	1-4	970	12	5=>4	190	1	1-4-5	1260	3	5=>4=>1	2780	6	4,5,10,(3,6),1,(2,8),9,7	45103618279	45108163279	54110863297			4-5	130.0	1.0	5=>4	210.0	1.0
202046032405	ダ	右	1500	曇	稍重	14:05	3歳A　2		2020-3-24	22	金沢	2	(定量)		3	240	1	3.0	120	1.0	2.0	140	2.0				2-3	350	1	2-3	150	1	3-4	180	3	2-4	150	2	3=>2	700	1	2-3-4	490	3	3=>2=>4	1790	2	514362	514362	(5,3),1,4,(6,2)	354126								
202046032406	ダ	右	1400	曇	稍重	14:40	桜草特別 		2020-3-24	22	金沢	2	(定量)		3	130	1	3.0	100	1.0	6.0	260	4.0				3-6	310	2	3-6	150	2	2-3	150	3	2-6	260	5	3=>6	480	3	2-3-6	380	1	3=>6=>2	1050	3	3624175	3,6,2,4,1,7-5	3621475	3621475								
202046032407	ダ	右	1500	曇	稍重	15:15	ゼラニウム賞		2020-3-24	22	金沢	2	牝(定量)		6	540	2	6.0	470	4.0	7.0	480	5.0				6-7	4330	9	6-7	860	9	3-6	260	4	3-7	410	6	6=>7	6440	14	3-6-7	2540	9	6=>7=>3	23110	52	4,3,1,6,(5,7)	431657	(4,3),6,1,7,5	634715								
202046032408	ダ	右	1500	曇	稍重	15:50	まいもんまつり”春の 		2020-3-24	22	金沢	2	(定量)		2	200	1	2.0	120	1.0	5.0	450	5.0				2-5	1170	6	2-5	450	7	2-6	240	3	5-6	780	12	2=>5	1560	5	2-5-6	1450	6	2=>5=>6	6350	22	8,2,(3,7),(6,5),1	8253761	2857361	2583761								
