	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202035051901	ダ	左	1400	雨	不良	11:00	C2六組		2020-5-19	1	盛岡	3			3.0	1070.0	4.0	3.0	340	6.0	1.0	160.0	4.0	8.0	110	1.0	1-3	6170.0	13.0	1-3	1,190	15.0	3-8	490	7.0	1-8	210	2.0	3=>1	12260.0	27.0	1-3-8	1530.0	8.0	3=>1=>8	28290.0	75.0			13785264.0	13725864.0					
202035051902	ダ	左	1400	雨	不良	11:35	C2五組		2020-5-19	1	盛岡	3			6.0	750.0	4.0	6.0	180	5.0	7.0	120.0	1.0	4.0	160	3.0	6-7	840.0	4.0	6-7	250	4.0	4-6	590	10.0	4-7	220	2.0	6=>7	1840.0	7.0	4-6-7	1160.0	6.0	6=>7=>4	9050.0	37.0			46785231.0	46873251.0					
202035051903	ダ	左	1400	雨	不良	12:10	C2四組		2020-5-19	1	盛岡	3			3.0	300.0	2.0	3.0	140	2.0	8.0	170.0	4.0	1.0	110	1.0	3-8	660.0	3.0	3-8	260	5.0	1-3	180	1.0	1-8	210	2.0	3=>8	1140.0	4.0	1-3-8	580.0	1.0	3=>8=>1	3690.0	7.0			896237514.0	893215647.0			3-8	380.0	2.0
202035051904	ダ	左	1400	雨	不良	12:45	C2三組		2020-5-19	1	盛岡	3			8.0	260.0	1.0	8.0	150	2.0	2.0	610.0	7.0	1.0	300	5.0	2-8	4980.0	17.0	2-8	1,520	17.0	1-8	720	8.0	1-2	4,640	30.0	8=>2	5610.0	18.0	1-2-8	15020.0	44.0	8=>2=>1	46990.0	152.0			1,3,8,5,(2,4),6,7,9	182364579			2-8	4320.0	15.0
202035051905	ダ	左	1400	雨	不良	13:20	C2二組		2020-5-19	1	盛岡	3			1.0	550.0	3.0	1.0	160	3.0	7.0	310.0	5.0	8.0	140	2.0	1-7	4190.0	14.0	1-7	900	11.0	1-8	350	4.0	7-8	730	8.0	1=>7	7870.0	23.0	1-7-8	3520.0	11.0	1=>7=>8	33710.0	108.0			3,7,9,(2,4,5),1,8,6	(3,7),1,2,(5,8),9,4,6			1-7	4700.0	15.0
202035051906	ダ	左	1400	雨	不良	13:55	C2一組		2020-5-19	1	盛岡	3			2.0	170.0	1.0	2.0	130	1.0	3.0	620.0	7.0	1.0	670	8.0	2-3	2750.0	8.0	2-3	840	11.0	1-2	690	8.0	1-3	6,530	33.0	2=>3	2610.0	9.0	1-2-3	14950.0	39.0	2=>3=>1	37440.0	98.0			274351968.0	273416958.0			2-3	2670.0	8.0
202035051907	ダ	左	1400	雨	不良	14:30	3歳B2二組		2020-5-19	1	盛岡	3			8.0	300.0	2.0	8.0	110	1.0	3.0	130.0	2.0	7.0	170	4.0	3-8	310.0	1.0	3-8	200	1.0	7-8	620	8.0	3-7	510	6.0	8=>3	730.0	2.0	3-7-8	1240.0	3.0	8=>3=>7	5190.0	10.0			398756241.0	389752461.0			3-8	190.0	1.0
202035051908	ダ	左	1400	雨	不良	15:05	3歳B2一組		2020-5-19	1	盛岡	3			3.0	150.0	1.0	3.0	110	1.0	7.0	260.0	4.0				3-7	730.0	3.0	3-7	270	3.0	1-3	380	5.0	1-7	800	11.0	3=>7	860.0	3.0	1-3-7	3320.0	6.0	3=>7=>1	5420.0	18.0			1,(2,3),7,4,5,6	3127456					
202035051909	ダ	左	1200	雨	不良	15:45	B2		2020-5-19	1	盛岡	3			3.0	260.0	1.0	3.0	160	2.0	2.0	380.0	7.0	6.0	550	8.0	2-3	1770.0	6.0	2-3	660	9.0	3-6	1,490	20.0	2-6	4,810	28.0	3=>2	3010.0	9.0	2-3-6	15520.0	40.0	3=>2=>6	53060.0	157.0			67215843.0	61257843.0					
202035051910	ダ	左	1200	雨	不良	16:25	B2		2020-5-19	1	盛岡	3			9.0	560.0	3.0	9.0	260	4.0	6.0	290.0	5.0	1.0	3,280	9.0	6-9	3040.0	13.0	6-9	1,070	13.0	1-9	7,430	32.0	1-6	10,270	35.0	9=>6	5490.0	20.0	1-6-9	67400.0	73.0	9=>6=>1	100980.0	268.0			4,7,9,(3,5,8),6,1,2	497831652			6-8	2150.0	12.0
