	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200809010209	芝	右	2200	晴	良	14:35	すみれステークス 		2008-3-2	1	阪神	2	3歳オープン	(混)(特指)(別定)	6	240	1	6	110	1	8	160	2	7.0	170	4.0	6-7	430.0	2.0	6-8	760	3	6-8	280	2	6-7	280	3	7-8	600	7	6=>8	1250	3	6-7-8	1210	4	(*3,6)10(2,4,9)(7,11)=8-5,1	3,6,10(2,4,9)(7,11)-8=5,1	3(6,10,9)(2,4,11)7,8,5,1	3,6(10,9)(2,11)4(7,5)(8,1)	13.1 - 11.5 - 11.7 - 12.7 - 12.8 - 12.8 - 12.9 - 12.8 - 11.7 - 11.4 - 12.0	13.1 - 24.6 - 36.3 - 49.0 - 61.8 - 74.6 - 87.5 - 100.3 - 112.0 - 123.4 - 135.4 (36.3-35.1)	6=>8=>7	5350.0	9.0
200809010210	ダ	右	1200	晴	良	15:10	なにわステークス 		2008-3-2	1	阪神	2	4歳以上1600万下	(混)[指](ハンデ)	9	600	4	9	250	4	8	410	7	2.0	980	10.0	4-5	1420.0	10.0	8-9	3190	18	8-9	1,560	18	2-9	2,890	34	2-8	6,620	59	9=>8	6980	31	2-8-9	46220	120			(*4,7,8)(1,9)2(6,12,14)15(11,13)(10,3,16) 5	(*4,7,8)(1,9)2(6,14)12,11(10,15,13)16,3 5	12.2 - 11.0 - 11.7 - 11.8 - 11.8 - 12.1	12.2 - 23.2 - 34.9 - 46.7 - 58.5 - 70.6 (34.9-35.7)	9=>8=>2	195640.0	537.0
200809010211	芝	右	1400	晴	良	15:45	阪急杯	G3	2008-3-2	1	阪神	2	4歳以上オープン	(国際)(指)(別定)	3	460	3	3	160	2	4	150	1	2.0	410	7.0	2-2	810.0	3.0	3-4	820	1	3-4	330	1	2-3	1,450	18	2-4	1,380	14	3=>4	1720	3	2-3-4	4650	6			3,8(11,13)(2,15,16)(4,14)1(6,10)5,12,9-7	3(8,11,13)(2,15,16)4(1,14,10)(5,6,12)-9,7	12.4 - 11.1 - 11.2 - 11.4 - 11.2 - 11.4 - 12.0	12.4 - 23.5 - 34.7 - 46.1 - 57.3 - 68.7 - 80.7 (34.7-34.6)	3=>4=>2	23350.0	39.0
200809010301	ダ	右	1200	晴	良	10:10	3歳未勝利		2008-3-8	1	阪神	3	3歳未勝利	牝[指](馬齢)	8	160	1	8	110	1	4	160	3	1.0	520	6.0	4-6	350.0	2.0	4-8	420	2	4-8	210	2	1-8	1,380	12	1-4	2,210	23	8=>4	630	2	1-4-8	4520	12			(*4,12)(5,8)(2,3)1,6(10,11,7)13,9	(*4,12)(5,8)(1,2,3)6,10,11(9,7)13	12.4 - 11.5 - 12.0 - 12.2 - 12.1 - 12.9	12.4 - 23.9 - 35.9 - 48.1 - 60.2 - 73.1 (35.9-37.2)			
200809010302	ダ	右	1800	晴	良	10:40	3歳未勝利		2008-3-8	1	阪神	3	3歳未勝利	[指](馬齢)	8	230	2	8	100	2	3	100	1	2.0	140	3.0	3-8	150.0	1.0	3-8	140	1	3-8	120	1	2-8	190	3	2-3	170	2	8=>3	340	2	2-3-8	220	1	3,6(4,9)7,5(1,8)2	3,6(4,9)7(5,8)(1,2)	(*3,6)9(4,7)(5,8)(1,2)	(*3,6)-(4,9,8)-(5,7,2)1	13.2 - 11.7 - 14.6 - 13.0 - 13.0 - 12.6 - 12.3 - 12.5 - 12.7	13.2 - 24.9 - 39.5 - 52.5 - 65.5 - 78.1 - 90.4 - 102.9 - 115.6 (39.5-37.5)			
200809010303	ダ	右	1400	晴	良	11:10	3歳未勝利		2008-3-8	1	阪神	3	3歳未勝利	[指](馬齢)	12	250	1	12	110	1	7	170	4	11.0	150	2.0	4-7	260.0	1.0	7-12	710	3	7-12	300	4	11-12	200	1	7-11	450	5	12=>7	1100	3	7-11-12	850	2			(*4,6)(7,14)8,11,1(5,13)(3,9)12(10,15)-2	(*4,6)(14,11)(7,8)(1,5)(13,12)(9,10,15)3-2	12.6 - 10.9 - 11.8 - 12.4 - 12.7 - 12.6 - 12.8	12.6 - 23.5 - 35.3 - 47.7 - 60.4 - 73.0 - 85.8 (35.3-38.1)			
200809010304	芝	右	2000	晴	良	11:40	3歳未勝利		2008-3-8	1	阪神	3	3歳未勝利	(混)[指](馬齢)	12	310	2	12	160	2	8	540	7	2.0	700	8.0	4-6	360.0	1.0	8-12	2600	10	8-12	960	10	2-12	1,740	16	2-8	8,970	56	12=>8	4240	13	2-8-12	30870	73	13,14(2,4,15)12,3(1,5,6)-16(9,7,8)10,11	(*13,14)(4,15)2,12(3,6)5(1,16)9,8-10,11 7	(*13,14)(2,12,4)15(3,5,6,16)-(9,1)8-10-11 7	13(14,4)(2,12,15)(5,16,1)(3,6,8)9,10-11 7	12.7 - 11.3 - 13.0 - 13.4 - 13.0 - 13.0 - 12.3 - 12.2 - 12.0 - 12.0	12.7 - 24.0 - 37.0 - 50.4 - 63.4 - 76.4 - 88.7 - 100.9 - 112.9 - 124.9 (37.0-36.2)			
200809010305	ダ	右	1800	晴	良	12:30	3歳新馬		2008-3-8	1	阪神	3	3歳新馬	[指](馬齢)	7	960	4	7	250	3	1	330	5	6.0	150	2.0	1-7	10480.0	22.0	1-7	9220	22	1-7	2,110	22	6-7	470	4	1-6	920	12	7=>1	20670	43	1-6-7	7450	26	9,1(3,8)-(7,6)5=4 2	9(1,8)(7,3)(5,6)=4 2	(*9,8)(7,3)(1,6)5,4 2	9(7,8,3,6)1(5,4) 2	13.3 - 11.2 - 13.7 - 13.2 - 13.3 - 13.6 - 13.1 - 12.1 - 12.2	13.3 - 24.5 - 38.2 - 51.4 - 64.7 - 78.3 - 91.4 - 103.5 - 115.7 (38.2-37.4)			
200809010306	ダ	右	1800	晴	良	13:00	4歳以上500万下		2008-3-8	1	阪神	3	4歳以上500万下	[指](定量)	5	440	3	5	150	3	3	200	4	1.0	110	1.0				3-5	2870	9	3-5	410	6	1-5	170	2	1-3	240	3	5=>3	5060	15	1-3-5	810	3	7,8(5,6)-(2,4)(1,3)	(*7,8)(5,6)(2,4)(1,3)	7,8(5,6)(2,4)3-1	(*7,8)(5,6)(2,4)3-1	13.0 - 11.7 - 13.5 - 13.0 - 12.9 - 12.6 - 12.4 - 12.0 - 12.1	13.0 - 24.7 - 38.2 - 51.2 - 64.1 - 76.7 - 89.1 - 101.1 - 113.2 (38.2-36.5)			
200809010307	ダ	右	1200	晴	良	13:30	4歳以上500万下		2008-3-8	1	阪神	3	4歳以上500万下	[指](定量)	9	150	1	9	110	1	4	900	8	6.0	390	6.0	4-7	3410.0	10.0	4-9	4390	13	4-9	1,450	15	6-9	520	5	4-6	7,090	41	9=>4	5200	14	4-6-9	17490	39			9,7,4(6,11)(2,8)(5,10)1,3	9(4,7)(6,11)-8(2,10)(5,1)3	12.5 - 11.1 - 11.8 - 12.0 - 11.5 - 12.2	12.5 - 23.6 - 35.4 - 47.4 - 58.9 - 71.1 (35.4-35.7)			
