	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連単:的中	三連単:配当	三連単:人気
200802010209	ダ	右	1700	曇	良	14:15	3歳以上500万下		2008-6-22	1	函館	2	3歳以上500万下	[指](定量)	5	650	4	5	180	2	10	300	5	13.0	360	6.0	4-7	1960.0	12.0	5-10	2240	10	5-10	930	11	5-13	1,290	15	10-13	1,560	20	5=>10	4700	18	5-10-13	9830	33	(*6,8,9)(11,13)(2,7)(1,4,3,10)(5,12)	6,8,9(2,7,11,13)(4,3,10)1-(5,12)	(*6,9)(13,10)(2,7)(4,5)(8,3)-11,12-1	(6,9,13,*10)(2,7,5)-(4,3)-12=(8,11)-1	7.0 - 11.2 - 11.9 - 12.6 - 12.6 - 12.7 - 12.9 - 12.7 - 13.5	7.0 - 18.2 - 30.1 - 42.7 - 55.3 - 68.0 - 80.9 - 93.6 - 107.1 (30.1-39.1)	5=>10=>13	56530.0	187.0
200802010210	芝	右	2000	曇	良	14:50	湯川特別 		2008-6-22	1	函館	2	3歳以上500万下	(混)(特指)(定量)	5	400	2	5	200	2	14	460	5	13.0	400	4.0	3-7	1390.0	6.0	5-14	3640	12	5-14	1,160	11	5-13	1,000	8	13-14	2,150	22	5=>14	5800	19	5-13-14	11640	34	4,14,10,15,2,11(6,12)(5,16)(1,8)(3,9)7-13	4,14,10,2,15(6,11)12,5(1,8,16)3,9,7,13	(*4,14)10(2,11)15(6,12)5(1,8,16,13)(3,9)7	(*4,14)10(2,11,12,13)(6,15,5,16)(1,3,8,9)7	12.4 - 10.6 - 11.3 - 12.4 - 12.6 - 12.9 - 12.7 - 12.5 - 12.0 - 12.2	12.4 - 23.0 - 34.3 - 46.7 - 59.3 - 72.2 - 84.9 - 97.4 - 109.4 - 121.6 (34.3-36.7)	5=>14=>13	64870.0	172.0
200802010211	芝	右	2000	曇	良	15:25	HTB杯 		2008-6-22	1	函館	2	3歳以上1000万下	(混)[指](ハンデ)	9	560	3	9	180	2	11	530	8	12.0	200	3.0	6-7	870.0	3.0	9-11	6590	26	9-11	1,630	23	9-12	550	4	11-12	1,680	24	9=>11	10760	43	9-11-12	10030	35	12,10,9(7,14)(3,1,8,13)2,4(5,11)6	12-10-9(7,14)1(3,8,13)2,4,11,5,6	12(10,9)13(7,1,14)(3,4,2)(8,11)5,6	12(10,9,13)(7,1,14,2)(3,4,11)5(6,8)	12.4 - 10.8 - 12.0 - 12.2 - 12.4 - 12.6 - 12.3 - 12.1 - 11.7 - 12.4	12.4 - 23.2 - 35.2 - 47.4 - 59.8 - 72.4 - 84.7 - 96.8 - 108.5 - 120.9 (35.2-36.2)	9=>11=>12	63480.0	211.0
200802010212	芝	右	1200	曇	良	16:00	基坂特別 		2008-6-22	1	函館	2	3歳以上500万下	(混)[指](定量)	11	280	1	11	130	1	3	130	2	1.0	160	3.0	2-6	380.0	1.0	3-11	430	1	3-11	190	1	1-11	350	4	1-3	330	3	11=>3	770	1	1-3-11	890	2			10,11(6,14,7)3,15(1,4)-(5,2,13,12)8,9-16	(*10,11)14(6,3,7)15(1,4)(13,12)(5,2,9)8=16	12.0 - 10.8 - 11.3 - 11.6 - 11.6 - 12.2	12.0 - 22.8 - 34.1 - 45.7 - 57.3 - 69.5 (34.1-35.4)	11=>3=>1	3240.0	1.0
200802010301	ダ	右	1700	晴	良	09:55	3歳未勝利		2008-6-28	1	函館	3	3歳未勝利	牝[指](馬齢)	5	1250	5	5	270	5	8	140	2	2.0	130	1.0	5-7	2510.0	8.0	5-8	2620	11	5-8	740	11	2-5	630	8	2-8	280	1	5=>8	6090	27	2-5-8	2230	7	2(5,10)3-1,11(4,9)-(6,8)-7	2(5,10)3(1,4)-(8,11,9)6=7	(*2,5)10,3,8-(4,6)(1,9)=11,7	(*2,5)(3,10,8)=6-(4,9)1,11,7	7.0 - 11.1 - 11.9 - 13.1 - 12.8 - 12.9 - 13.1 - 12.6 - 13.3	7.0 - 18.1 - 30.0 - 43.1 - 55.9 - 68.8 - 81.9 - 94.5 - 107.8 (30.0-39.0)			
200802010302	ダ	右	1000	晴	良	10:20	3歳未勝利		2008-6-28	1	函館	3	3歳未勝利	(混)[指](馬齢)	10	150	1	10	110	1	6	120	2	4.0	210	4.0	6-8	290.0	1.0	6-10	260	1	6-10	150	1	4-10	360	5	4-6	450	7	10=>6	420	1	4-6-10	840	2			(*1,4)(6,8,10)11-(2,5)3-(7,9)	(*1,4)10,6-8(2,5,11)-3-(7,9)	12.6 - 11.1 - 11.8 - 11.7 - 13.0	12.6 - 23.7 - 35.5 - 47.2 - 60.2 (35.5-36.5)			
200802010303	芝	右	2600	晴	良	10:50	3歳未勝利		2008-6-28	1	函館	3	3歳未勝利	[指](馬齢)	6	1800	6	6	270	7	8	110	1	2.0	140	2.0	6-8	2040.0	7.0	6-8	1830	7	6-8	490	7	2-6	810	12	2-8	200	2	6=>8	5920	23	2-6-8	2020	8	8(3,7)(6,5)-(2,9)-1,4	8(3,7)(6,5)-(2,9)-1-4	8(3,7)6(2,5,1)9-4	8,6(3,1)2,7,5,9-4	12.5 - 11.4 - 11.4 - 12.0 - 12.9 - 12.9 - 13.2 - 12.8 - 12.8 - 12.3 - 12.5 - 12.0 - 13.2	12.5 - 23.9 - 35.3 - 47.3 - 60.2 - 73.1 - 86.3 - 99.1 - 111.9 - 124.2 - 136.7 - 148.7 - 161.9 (35.3-37.7)			
200802010304	ダ	右	1700	晴	良	11:20	3歳未勝利		2008-6-28	1	函館	3	3歳未勝利	[指](馬齢)	4	280	1	4	120	1	11	170	4	6.0	150	3.0	4-8	680.0	3.0	4-11	980	3	4-11	380	3	4-6	270	2	6-11	450	4	4=>11	1840	6	4-6-11	1370	2	2(4,9)1(6,10)11,7-8-3,5	(*2,9)4(1,6,10,11)-7,8-(3,5)	(*2,9)(4,11)6,1(8,7)-10,5-3	(2,9,*4,11)-6(8,7)-1-(10,5)=3	7.0 - 11.0 - 11.7 - 12.8 - 13.0 - 13.2 - 13.6 - 12.8 - 13.7	7.0 - 18.0 - 29.7 - 42.5 - 55.5 - 68.7 - 82.3 - 95.1 - 108.8 (29.7-40.1)			
200802010305	芝	右	1200	晴	良	11:50	2歳新馬		2008-6-28	1	函館	3	2歳新馬	[指](馬齢)	10	800	5	10	220	2	1	430	7	7.0	260	5.0	1-7	4800.0	23.0	1-10	4010	18	1-10	1,430	18	7-10	810	10	1-7	1,810	25	10=>1	7060	33	1-7-10	7440	31			(*10,12)-11,7,1-(5,8)-(9,6)-(3,4)-2	(*10,12)(11,7)(1,5)-8-(9,6)-(3,4)=2	12.4 - 10.6 - 11.0 - 12.2 - 11.5 - 12.4	12.4 - 23.0 - 34.0 - 46.2 - 57.7 - 70.1 (34.0-36.1)			
200802010306	芝	右	2000	晴	良	12:40	3歳未勝利		2008-6-28	1	函館	3	3歳未勝利	牝[指](馬齢)	2	750	3	2	300	4	3	510	8	1.0	340	5.0	2-3	5660.0	22.0	2-3	6910	28	2-3	2,030	28	1-2	1,600	21	1-3	1,800	24	2=>3	12270	49	1-2-3	15470	48	2,8,4(1,12,9)5-11-6,3-10 7	2-8,1(4,12)(5,9)-11-6,3,10 7	2(8,12)10(1,5)4(6,3)-11,9 7	2(8,12)(1,5,10)(6,4,3)-11-9 7	12.6 - 10.7 - 11.3 - 12.1 - 12.7 - 13.0 - 12.6 - 12.1 - 11.5 - 12.5	12.6 - 23.3 - 34.6 - 46.7 - 59.4 - 72.4 - 85.0 - 97.1 - 108.6 - 121.1 (34.6-36.1)			
