horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	重賞/勝利	特別/出走	特別/勝利	平場/出走	平場/勝利	芝/出走	芝/勝利	ダート/出走	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
2003102809	2020	391	3	2	23	2	0.0	0.0	2.0	0.0	21.0	2.0	3.0	0.0	20.0	2.0	0.667	0.97	1809.0	0.0	1300.0	2017100808.0
2003102809	2019	477	4	0	17	0	0.0	0.0	2.0	0.0	15.0	0.0	0.0	0.0	17.0	0.0	0.0	0.44	1095.0	0.0	0.0	2015101903.0
2003102809	2018	519	4	1	17	1	0.0	0.0	0.0	0.0	17.0	1.0	4.0	0.0	13.0	1.0	0.25	0.28	705.0	0.0	1700.0	2015101903.0
2003102809	2017	645	3	0	4	0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.06	110.0	0.0	0.0	2014104725.0
2002107011	2021	638	1	0	3	0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2015102789.0
2002107011	2020	525	4	0	18	0	0.0	0.0	0.0	0.0	18.0	0.0	4.0	0.0	14.0	0.0	0.0	0.31	768.0	0.0	0.0	2017105766.0
2002107011	2019	693	2	0	5	0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2015102789.0
2002107011	2018	669	1	0	4	0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2015102789.0
2002107011	2017	645	1	0	2	0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.18	110.0	0.0	0.0	2015102789.0
1998101683	2021	485	1	1	2	1	0.0	0.0	0.0	0.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	1.03	510.0	1200.0	0.0	2019109133.0
1998101683	2020	702	1	0	1	0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2017101246.0
1998101683	2019	693	1	0	4	0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2017101246.0
1998101683	2018	669	1	0	3	0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2015101915.0
1998101683	2017	682	1	0	1	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2015101915.0
1999104188	2021	338	1	1	4	2	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	4.0	2.0	1.0	2.94	1453.0	0.0	1600.0	2018102023.0
1999104188	2020	564	2	0	5	0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.47	580.0	0.0	0.0	2018102023.0
1999104188	2019	361	3	1	16	1	0.0	0.0	12.0	1.0	4.0	0.0	8.0	0.0	8.0	1.0	0.333	1.18	2180.5	0.0	1200.0	2015100589.0
1999104188	2018	367	2	1	13	1	0.0	0.0	6.0	0.0	7.0	1.0	7.0	0.0	6.0	1.0	0.5	1.58	1965.8	0.0	1200.0	2015100589.0
1999104188	2017	420	2	2	9	2	0.0	0.0	1.0	0.0	8.0	2.0	4.0	1.0	5.0	1.0	1.0	1.13	1410.0	1000.0	1200.0	2015100589.0
1995100385	2021	259	4	1	19	1	0.0	0.0	5.0	0.0	14.0	1.0	13.0	1.0	6.0	0.0	0.25	1.28	2535.9	2600.0	0.0	2017101915.0
1995100385	2020	362	5	2	27	2	0.0	0.0	8.0	0.0	19.0	2.0	13.0	1.0	14.0	1.0	0.4	0.72	2227.2	2400.0	1200.0	2015105615.0
1995100385	2019	287	6	3	28	3	1.0	0.0	4.0	0.0	23.0	3.0	6.0	0.0	22.0	3.0	0.5	0.95	3527.0	0.0	1066.7	2016101250.0
1995100385	2018	340	4	3	20	3	0.0	0.0	2.0	0.0	18.0	3.0	0.0	0.0	20.0	3.0	0.75	0.97	2415.0	0.0	1233.3	2016105712.0
1995100385	2017	608	1	0	3	0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.4	250.0	0.0	0.0	2015105615.0
2002100996	2021	271	6	2	22	3	0.0	0.0	0.0	0.0	22.0	3.0	9.0	0.0	13.0	3.0	0.333	0.77	2273.0	0.0	1400.0	2018101989.0
2002100996	2020	598	4	0	11	0	0.0	0.0	0.0	0.0	11.0	0.0	6.0	0.0	5.0	0.0	0.0	0.17	410.0	0.0	0.0	2017101514.0
2002100996	2019	643	3	0	9	0	0.0	0.0	1.0	0.0	8.0	0.0	7.0	0.0	2.0	0.0	0.0	0.07	130.0	0.0	0.0	2016101247.0
2002100996	2018	663	2	0	9	0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	0.0	5.0	0.0	0.0	0.04	50.0	0.0	0.0	2015101522.0
2002100996	2017	595	1	0	3	0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	1.0	0.0	0.0	0.45	280.0	0.0	0.0	2015102010.0
2005101358	2021	155	18	3	54	4	0.0	0.0	7.0	0.0	47.0	4.0	13.0	0.0	41.0	4.0	0.167	0.56	5027.3	0.0	1400.0	2017101193.0
2005101358	2020	228	22	5	74	5	2.0	0.0	6.0	0.0	66.0	5.0	16.0	2.0	58.0	3.0	0.227	0.38	5193.3	1400.0	1633.3	2017106611.0
2005101358	2019	300	14	2	34	3	1.0	0.0	3.0	0.0	30.0	3.0	9.0	0.0	25.0	3.0	0.143	0.37	3162.0	0.0	1466.7	2016103341.0
2005101358	2018	353	6	2	16	2	0.0	0.0	2.0	0.0	14.0	2.0	5.0	1.0	11.0	1.0	0.333	0.58	2183.3	1600.0	1800.0	2016103148.0
2005101358	2017	682	1	0	2	0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2015101026.0
2001103312	2021	203	15	4	51	4	0.0	0.0	0.0	0.0	51.0	4.0	19.0	1.0	32.0	3.0	0.267	0.5	3680.0	2400.0	1366.7	2018101497.0
2001103312	2020	455	15	0	59	0	0.0	0.0	0.0	0.0	59.0	0.0	33.0	0.0	26.0	0.0	0.0	0.12	1121.0	0.0	0.0	2016102979.0
2001103312	2019	390	9	0	35	0	0.0	0.0	0.0	0.0	35.0	0.0	14.0	0.0	17.0	0.0	0.0	0.33	1840.0	0.0	0.0	2016102979.0
2001103312	2018	630	2	0	4	0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	0.1	125.0	0.0	0.0	2016101734.0
2001103312	2017	682	1	0	3	0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2015101235.0
1998101457	2021	245	6	2	26	2	0.0	0.0	7.0	0.0	19.0	2.0	15.0	0.0	11.0	2.0	0.333	0.93	2763.0	0.0	1400.0	2017100531.0
1998101457	2020	238	9	2	41	3	0.0	0.0	7.0	0.0	34.0	3.0	23.0	0.0	12.0	2.0	0.222	0.86	4791.3	0.0	1750.0	2017100531.0
1998101457	2019	337	5	2	22	2	0.0	0.0	3.0	0.0	19.0	2.0	10.0	1.0	12.0	1.0	0.4	0.78	2410.0	2000.0	1200.0	2016104238.0
1998101457	2018	420	2	1	11	1	0.0	0.0	0.0	0.0	11.0	1.0	4.0	0.0	7.0	1.0	0.5	1.12	1400.0	0.0	1600.0	2015104066.0
1998101457	2017	578	1	0	4	0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	1.0	0.0	0.0	0.62	390.0	0.0	0.0	2015104066.0
