	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201254010808	ダ	右	1400	晴	良	19:15	C1　ー2		2012-1-8	14	高知	2	(見込)		8.0	2640.0	4.0	8.0	250	5.0	9.0	160	3.0	1.0	100	1.0	8-9	3770.0	7.0	8-9	550	7.0	1-8	370	5.0	1-9	270	3.0	8=>9	17300.0	17.0	1-8-9	2010.0	4.0	8=>9=>1	44410.0	57.0	79152810346	79152381046	97152381046	9,1,(5,8),3,2,4,6,7,10					
201254010809	ダ	右	1400	晴	良	19:50	田野町ドンド焼き特別 		2012-1-8	14	高知	2	(見込)		1.0	190.0	1.0	1.0	130	2.0	4.0	140	3.0				1-4	280.0	2.0	1-4	140	1.0	1-5	290	5.0	4-5	420	7.0	1=>4	470.0	3.0	1-4-5	1170.0	3.0	1=>4=>5	3330.0	10.0	4361725	4,3,(1,6),7,(2,5)	4361752	1453762					
201254010810	ダ	右	1400	晴	良	20:25	佐川町えびす祭り特別 		2012-1-8	14	高知	2	(見込)		9.0	140.0	1.0	9.0	110	1.0	6.0	240	5.0	2.0	150	4.0	6-9	460.0	2.0	6-9	290	3.0	2-9	420	6.0	2-6	710	9.0	9=>6	550.0	2.0	2-6-9	2250.0	8.0	9=>6=>2	3110.0	8.0	7,8,4,9,1,6,(3,5),2	7,8,4,9,1,(3,6),5,2	7,8,4,9,1,(3,6),5,2	(4,9),(7,8),2,1,(5,6),3					
201254011501	ダ	右	1600	曇	良	15:30	桂浜坂本龍馬像特別		2012-1-15	14	高知	3	(見込)		7.0	230.0	1.0	7.0	110	1.0	9.0	320	7.0	2.0	180	3.0	7-9	1640.0	7.0	7-9	810	9.0	2-7	290	3.0	2-9	900	11.0	7=>9	2450.0	8.0	2-7-9	2230.0	8.0	7=>9=>2	9360.0	27.0	3,4,9,6,7,8,(2,1),5	3,4,9,6,7,8,(2,1),5	349178265	(3,9),(4,2),7,6,5,(8,1)					
201254011502	ダ	右	1300	曇	良	16:00	C3ニ		2012-1-15	14	高知	3	(見込)		5.0	110.0	1.0	5.0	100	1.0	8.0	240	5.0	3.0	130	2.0	5-8	490.0	3.0	5-8	230	3.0	3-5	110	1.0	3-8	540	8.0	5=>8	630.0	3.0	3-5-8	360.0	2.0	5=>8=>3	930.0	4.0	5863941011172	5,8,(3,6),9,(1,4),11,10,(2,7)	5,8,6,3,9,(1,4,10),11,(2,7)	5,8,3,9,6,1,11,(4,10),(2,7)					
201254011503	ダ	右	1300	曇	良	16:35	C2ハ		2012-1-15	14	高知	3	(見込)		10.0	120.0	1.0	10.0	100	2.0	7.0	100	1.0	6.0	240	7.0	7-10	110.0	1.0	7-10	110	1.0	6-10	180	2.0	6-7	310	7.0	10=>7	150.0	1.0	6-7-10	300.0	2.0	10=>7=>6	460.0	1.0	6,10,9,4,7,5,8,(1,2),3	6,10,4,9,(5,7),(1,2),8,3	6,10,(4,7),(5,9),2,1,8,3	10674529183					
201254011504	ダ	右	1300	曇	良	17:10	C2ロ		2012-1-15	14	高知	3	(見込)		2.0	220.0	2.0	2.0	110	3.0	1.0	110	1.0	4.0	110	2.0	1-2	960.0	3.0	1-2	170	3.0	2-4	100	1.0	1-4	130	2.0	2=>1	1140.0	4.0	1-2-4	190.0	1.0	2=>1=>4	2390.0	7.0	2,7,4,1,(3,9),6,10,8,5	2,7,(1,4),(3,9),6,8,5,10	2,4,(1,7),9,3,6,8,5,10	21497836510					
201254011505	ダ	右	1300	曇	良	17:40	タナカラボタモチ特別		2012-1-15	14	高知	3	(見込)		9.0	100.0	1.0	9.0	100	1.0	6.0	100	2.0	4.0	100	3.0	6-9	120.0	1.0	6-9	100	1.0	4-9	160	3.0	4-6	150	2.0	9=>6	200.0	1.0	4-6-9	190.0	1.0	9=>6=>4	390.0	1.0	4,9,(2,7),6,5,3,(1,8)	4,9,(2,7),6,(3,5),8,1	4,9,6,(2,7),(5,8),3,1	(4,9),6,2,(5,8),7,1,3					
201254011506	ダ	右	1300	曇	良	18:10	イナリコダマ親父協賛		2012-1-15	14	高知	3	(見込)		7.0	130.0	1.0	7.0	110	2.0	10.0	640	8.0	2.0	100	1.0	7-10	11110.0	15.0	7-10	1,080	13.0	2-7	110	1.0	2-10	1,790	15.0	7=>10	23910.0	22.0	2-7-10	5530.0	11.0	7=>10=>2	51500.0	74.0	2,4,7,10,8,6,(3,9),5	2,4,7,(6,8,10),(3,9),5	2,7,4,(6,10),9,8,(3,5)	7,2,10,9,8,(3,6),4,5					
201254011507	ダ	右	1300	曇	良	18:40	C1イ		2012-1-15	14	高知	3	(見込)		5.0	300.0	2.0	5.0	100	2.0	2.0	100	1.0	7.0	120	3.0	2-5	150.0	1.0	2-5	120	1.0	5-7	290	5.0	2-7	170	2.0	5=>2	460.0	2.0	2-5-7	370.0	2.0	5=>2=>7	1170.0	4.0	7,6,(3,11),(5,8),2,1,4,9,10	7,6,11,(3,5),8,1,2,4,9,10	7,6,(5,11),2,8,(3,4),1,9,10	7,5,2,6,(8,11),4,1,(3,9),10					
201254011508	ダ	右	1600	曇	良	19:15	A　ー3		2012-1-15	14	高知	3	(見込)		7.0	540.0	4.0	7.0	150	3.0	5.0	140	2.0	8.0	330	6.0	5-7	1570.0	6.0	5-7	640	7.0	7-8	670	9.0	5-8	1,580	18.0	7=>5	1980.0	11.0	5-7-8	4870.0	17.0	7=>5=>8	19300.0	62.0	9,5,(3,8),6,4,(1,2),7	953862417	958372641	5,(9,2,7),8,6,1,3,4					
201254011509	ダ	右	1600	曇	良	19:50	足摺椿まつり特別 		2012-1-15	14	高知	3	(見込)		4.0	480.0	3.0	4.0	130	2.0	1.0	110	1.0				1-4	340.0	2.0	1-4	160	2.0	4-5	330	6.0	1-5	140	1.0	4=>1	1200.0	5.0	1-4-5	290.0	1.0	4=>1=>5	2920.0	8.0	7,4,5,1,6,(2,3)	7,4,5,(1,6),2,3	7,4,5,6,(1,2,3)	4,7,1,(2,5),3,6					
201254011510	ダ	右	1400	曇	良	20:25	ベラトリックス特別 		2012-1-15	14	高知	3	牝(別定)		2.0	340.0	3.0	2.0	150	3.0	1.0	120	2.0	7.0	210	4.0	1-2	470.0	3.0	1-2	230	3.0	2-7	470	5.0	1-7	530	6.0	2=>1	940.0	5.0	1-2-7	1790.0	6.0	2=>1=>7	5020.0	17.0	3,6,(1,4),2,7,9,10,(5,8)	3,6,1,4,2,7,(10,9),8,5	3,(1,7,8),(2,4),6,9,10,5	3,1,(7,8),2,10,9,6,4,5					
201254011601	ダ	右	1300	曇	良	14:10	3歳　ー2		2012-1-16	14	高知	4	(見込)		8.0	410.0	3.0	8.0	180	4.0	10.0	170	2.0	7.0	1,460	9.0	8-10	620.0	3.0	8-10	340	3.0	7-8	3,310	21.0	7-10	4,610	25.0	8=>10	1430.0	6.0	7-8-10	9840.0	21.0	8=>10=>7	75290.0	112.0	6,10,12,5,2,(4,11),8,(3,7),1,9	610122511843719	(6,10),8,12,5,(2,4,11),7,3,1,9	(10,8),6,12,11,2,7,3,4,5,1,9					
201254011602	ダ	右	1300	曇	良	14:40	3歳　ー1		2012-1-16	14	高知	4	(見込)		9.0	130.0	1.0	9.0	100	1.0	8.0	130	3.0	12.0	190	4.0	8-9	270.0	1.0	8-9	210	2.0	9-12	940	7.0	8-12	1,570	12.0	9=>8	280.0	1.0	8-9-12	890.0	4.0	9=>8=>12	1530.0	4.0	9,12,(8,6,7,10),(1,5),11,(2,3),4	912861751021143	9,12,(8,6),7,(1,5),2,11,10,(4,3)	9,8,12,6,1,7,(2,11),4,(10,3),5					
201254011603	ダ	右	1300	曇	良	15:20	C3　ー8		2012-1-16	14	高知	4	(見込)		7.0	210.0	2.0	7.0	120	3.0	6.0	110	1.0	3.0	390	4.0	6-7	210.0	1.0	6-7	140	1.0	3-7	490	6.0	3-6	420	5.0	7=>6	520.0	4.0	3-6-7	1130.0	2.0	7=>6=>3	2350.0	7.0	6,7,(3,4),5,(2,8),1	6,7,(3,4),5,2,8,1	6,7,4,3,5,(2,8),1	67435218					
201254011604	ダ	右	1400	曇	良	15:50	全日本新人王争覇戦競 		2012-1-16	14	高知	4	(見込)		9.0	3220.0	8.0	9.0	690	8.0	1.0	320	5.0	8.0	220	3.0	1-9	10770.0	26.0	1-9	3,170	27.0	8-9	2,060	22.0	1-8	580	6.0	9=>1	41630.0	61.0	1-8-9	18020.0	47.0	9=>1=>8	324240.0	388.0	(3,5),10,9,(1,2,8),4,6,7	3,5,9,(1,10),2,8,4,6,7	8,4,3,(1,5),(9,10),6,2,7	18391046257					
201254011605	ダ	右	1400	曇	良	16:25	全日本新人王争覇戦競 		2012-1-16	14	高知	4	(見込)		4.0	1250.0	6.0	4.0	210	4.0	1.0	190	3.0	9.0	580	9.0	1-4	4960.0	23.0	1-4	1,860	25.0	4-9	3,050	33.0	1-9	3,590	35.0	4=>1	11670.0	46.0	1-4-9	39180.0	84.0	4=>1=>9	174610.0	454.0	(2,4),(6,10),8,9,(3,5),7,1	24610893517	42610985317	4,6,2,10,8,(7,3,9),(5,1)					
