	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201242013111	ダ	左	1400	晴	稍重	16:40	水仙特別 		2012-1-31	9	浦和	2			5	930	5	5	180	5	4	160	3	8.0	120.0	1.0	4-5	2690.0	11.0	4-5	3030	9	4-5	670	10	5-8	280	4	4-8	220	1	5=>4	8820.0	27.0	5=>4	6990	24	4-5-8	1290	4	5=>4=>8	14520	46	291011254687311	2,9,10,1,12,5,(4,8),6,3,(7,11)	210812195114637	218451211103679	12.6 - 12.6 - 13.2 - 13.1 - 12.5 - 13.2 - 13.4	12.6 - 25.2 - 38.4 - 51.5 - 64.0 - 77.2 - 90.6 (38.4-39.1)
201242020101	ダ	左	1300	晴	稍重	10:40	4歳　選抜馬ウ		2012-2-1	9	浦和	3			7	220	1	7	130	1	3	140	2	11.0	300.0	6.0	3-6	560.0	3.0	3-7	580	2	3-7	250	2	7-11	510	7	3-11	1,120	16	6=>3	1230.0	5.0	7=>3	850	2	3-7-11	2010	7	7=>3=>11	6410	14	5467291181013	4,5,6,7,2,11,9,8,3,10-1	5,7,4,6,11,2,9,(8,10),3-1	7,11,6,5,9,(4,10),8,2,3,1	6.4 - 11.8 - 12.2 - 13.0 - 13.4 - 14.6 - 13.8	6.4 - 18.2 - 30.4 - 43.4 - 56.8 - 71.4 - 85.2 (30.4-41.8)
201242020102	ダ	左	1400	晴	稍重	11:10	C3七　八九		2012-2-1	9	浦和	3			11	1570	6	11	590	8	4	160	1	1.0	590.0	9.0	4-8	2810.0	13.0	4-11	3500	14	4-11	1,330	20	1-11	2,330	33	1-4	890	11	8=>4	7420.0	33.0	11=>4	6890	30	1-4-11	5980	20	11=>4=>1	33790	111	673102911811254	671031192181254	671011912435812	111067194251283	12.7 - 12.2 - 13.2 - 13.3 - 12.8 - 14.2 - 13.3	12.7 - 24.9 - 38.1 - 51.4 - 64.2 - 78.4 - 91.7 (38.1-40.3)
201242020103	ダ	左	1400	晴	稍重	11:40	C3七　八九		2012-2-1	9	浦和	3			11	810	3	11	170	4	12	140	2	7.0	110.0	1.0	8-8	1910.0	8.0	11-12	1700	7	11-12	440	4	7-11	300	2	7-12	210	1	8=>8	1710.0	6.0	11=>12	4400	14	7-11-12	1040	1	11=>12=>7	10990	30	791265382110114	791256321810114	791256111310284	7,12,(9,1),(3,11),5,6,10,2,4,8	12.8 - 12.5 - 12.9 - 13.3 - 13.1 - 14.2 - 13.8	12.8 - 25.3 - 38.2 - 51.5 - 64.6 - 78.8 - 92.6 (38.2-41.1)
201242020104	ダ	左	1400	晴	稍重	12:10	C3七　八九		2012-2-1	9	浦和	3			11	1520	6	11	250	6	10	200	4	8.0	120.0	1.0	7-8	1380.0	7.0	10-11	4090	16	10-11	1,300	17	8-11	630	7	8-10	350	2	8=>7	3630.0	16.0	11=>10	13170	37	8-10-11	3490	12	11=>10=>8	49040	135	458210312111796	458210312111796	581043112121796	118510312127964	12.6 - 12.3 - 13.1 - 13.7 - 13.3 - 14.1 - 13.1	12.6 - 24.9 - 38.0 - 51.7 - 65.0 - 79.1 - 92.2 (38.0-40.5)
201242020105	ダ	左	1400	晴	稍重	12:40	C211　12		2012-2-1	9	浦和	3			11	460	2	11	140	2	10	150	3	3.0	100.0	1.0	8-8	1540.0	8.0	10-11	1340	6	10-11	300	2	3-11	190	1	3-10	340	4	8=>8	1580.0	5.0	11=>10	2470	10	3-10-11	990	1	11=>10=>3	8150	21	3574810621119	3574810611219	3578114106129	3,7,11,5,10,8,4,6,(2,1),9	12.8 - 12.1 - 13.5 - 13.7 - 12.8 - 13.8 - 12.8	12.8 - 24.9 - 38.4 - 52.1 - 64.9 - 78.7 - 91.5 (38.4-39.4)
201242020106	ダ	左	1400	晴	稍重	13:10	C211　12		2012-2-1	9	浦和	3			9	300	2	9	200	3	3	420	7	10.0	280.0	5.0	3-7	3410.0	11.0	3-9	3960	17	3-9	1,500	19	9-10	1,310	17	3-10	4,100	36	7=>3	4500.0	18.0	9=>3	7050	27	3-9-10	25850	63	9=>3=>10	114790	302	111297538261014	111259738102614	11,12,9,5,(7,3),10,2,4,(6,1,8)	111295321041768	12.5 - 12.6 - 13.2 - 13.6 - 13.0 - 13.7 - 13.7	12.5 - 25.1 - 38.3 - 51.9 - 64.9 - 78.6 - 92.3 (38.3-40.4)
201242020107	ダ	左	1500	晴	稍重	13:45	C2十		2012-2-1	9	浦和	3			1	410	3	1	150	2	6	240	5	11.0	180.0	3.0	1-6	1950.0	8.0	1-6	2190	9	1-6	850	10	1-11	390	3	6-11	690	8	1=>6	3330.0	12.0	1=>6	3830	14	1-6-11	2730	7	1=>6=>11	17100	48	1068114137259	1061141873295	1061147129853	1061141729538	7.6 - 11.8 - 12.5 - 13.8 - 13.8 - 13.1 - 13.4 - 13.5	7.6 - 19.4 - 31.9 - 45.7 - 59.5 - 72.6 - 86.0 - 99.5 (31.9-40.0)
201242020108	ダ	左	1400	晴	稍重	14:20	C1五		2012-2-1	9	浦和	3			7	1730	6	7	260	6	5	120	1	4.0	200.0	4.0	5-7	590.0	2.0	5-7	930	4	5-7	480	5	4-7	1,030	17	4-5	430	3	7=>5	2180.0	7.0	7=>5	3250	12	4-5-7	2120	7	7=>5=>4	13160	40	45811076923	45817106923	45107861293	4,5,7,8,10,6,3,9,2-1	12.2 - 12.3 - 12.8 - 13.3 - 12.7 - 13.6 - 13.5	12.2 - 24.5 - 37.3 - 50.6 - 63.3 - 76.9 - 90.4 (37.3-39.8)
201242020109	ダ	左	1600	晴	稍重	14:55	若水特別 		2012-2-1	9	浦和	3			1	950	4	1	200	4	3	120	2	4.0	170.0	3.0	1-3	1310.0	6.0	1-3	1340	4	1-3	460	4	1-4	680	8	3-4	220	2	1=>3	2880.0	11.0	1=>3	3210	11	1-3-4	1350	4	1=>3=>4	10750	35	1391024768511	1,3,9,10,2,4,7,(6,8),5,11	1394210118765	1,3-4,2,8,6,7,9,11,5,10	12.4 - 12.0 - 12.2 - 13.3 - 13.4 - 13.1 - 13.3 - 13.7	12.4 - 24.4 - 36.6 - 49.9 - 63.3 - 76.4 - 89.7 - 103.4 (36.6-40.1)
