	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200410010210	芝	右	1800	曇	良	14:55	くすのき賞 		2004-1-18	1	小倉	2	3歳500万下	(混)(特指)(馬齢)	4	350	2	4	130	2	9	120	1	3.0	470	8.0	4-8	260	1	4-9	320.0	1.0	4-9	180	1.0	3-4	1,350	17.0	3-9	1,190	15.0	4=>9	690	2	3-4-9	3570	10	7,5,2(6,9)3(4,10)-8-1	7,2(5,9)6,3(4,10)8-1	7,2(5,9)6(3,10)4,8-1	(*7,9)(5,6,10)(4,2,3)8-1	12.8 - 10.9 - 12.5 - 12.2 - 12.2 - 12.1 - 12.4 - 12.6 - 12.5	12.8 - 23.7 - 36.2 - 48.4 - 60.6 - 72.7 - 85.1 - 97.7 - 110.2 (36.2-37.5)
200410010211	芝	右	2000	小雨	良	15:30	周防灘特別 		2004-1-18	1	小倉	2	4歳以上1000万下	(混)[指](別定)	5	340	2	5	120	2	2	270	5	8.0	120	1.0	1-3	760	2	2-5	1780.0	7.0	2-5	660	7.0	5-8	160	1.0	2-8	540	2.0	5=>2	3070	8	2-5-8	1180	1	6,13(1,11,5)(2,7,12)-8(9,10)18(15,14,17)16-4-3	6(13,11)(1,5)(2,7,12)8,9,10(15,18,17)14,16-4-3	(*6,13)(1,11,5)(2,7,12)(9,8)(14,15,10)17(18,16)4-3	5,2(6,13,8)11,1(14,7,9,12)(18,15,10)(4,17)16=3	12.3 - 10.8 - 11.5 - 12.9 - 12.7 - 12.2 - 12.2 - 12.4 - 12.3 - 12.5	12.3 - 23.1 - 34.6 - 47.5 - 60.2 - 72.4 - 84.6 - 97.0 - 109.3 - 121.8 (34.6-37.2)
200410010212	ダ	右	1700	小雨	重	16:05	早鞆特別 		2004-1-18	1	小倉	2	4歳以上1000万下	(混)[指](ハンデ)	1	500	2	1	170	3	15	140	1	12.0	140	2.0	1-8	1170	4	1-15	1300.0	3.0	1-15	530	3.0	1-12	680	6.0	12-15	350	1.0	1=>15	2770	7	1-12-15	1900	2	(*8,9)-7(2,3,13)(12,15)(1,10,14)4,6-(5,11)	8,9-2,7,13(3,12,15)1,14-10-(6,4)11,5	(*8,9)15(2,7,12)(1,13,14)(3,10,6,4)-11-5	8(9,15)12(2,7)(1,13,14)(11,6)(3,10)-4-5	6.9 - 10.8 - 11.2 - 12.2 - 12.6 - 12.5 - 12.6 - 12.9 - 13.2	6.9 - 17.7 - 28.9 - 41.1 - 53.7 - 66.2 - 78.8 - 91.7 - 104.9 (28.9-38.7)
200410010301	ダ	右	1000	曇	不良	10:55	3歳未勝利		2004-1-24	1	小倉	3	3歳未勝利	[指](馬齢)	8	140	1	8	100	1	10	180	3	13.0	190	4.0	6-7	510	1	8-10	530.0	1.0	8-10	240	1.0	8-13	270	2.0	10-13	710	9.0	8=>10	670	1	8-10-13	1340	2			(*10,8)(4,7,11)13(3,6)9(2,5)12-1	(10,*8)(4,7)(3,13)6,9,11,5(2,12)1	12.4 - 11.5 - 12.2 - 12.2 - 13.5	12.4 - 23.9 - 36.1 - 48.3 - 61.8 (36.1-37.9)
200410010302	芝	右	1200	曇	稍重	11:20	3歳未勝利		2004-1-24	1	小倉	3	3歳未勝利	牝[指](馬齢)	5	860	4	5	290	4	11	150	2	12.0	760	9.0	3-6	1470	7	5-11	1590.0	5.0	5-11	690	5.0	5-12	2,700	27.0	11-12	2,710	28.0	5=>11	4300	13	5-11-12	15260	43			(*5,11,12,13)(3,2)(8,9)18(7,17)10-(14,16)4,6-1 15	(*5,11,12)(3,2,13)(7,8,9)-(10,18)(17,16)(14,6)(4,1) 15	12.3 - 10.9 - 11.5 - 12.1 - 12.1 - 12.6	12.3 - 23.2 - 34.7 - 46.8 - 58.9 - 71.5 (34.7-36.8)
200410010303	芝	右	1800	曇	稍重	11:45	3歳未勝利		2004-1-24	1	小倉	3	3歳未勝利	(混)[指](馬齢)	2	420	2	2	210	3	1	370	7	6.0	730	8.0	1-1	2220	9	1-2	2140.0	9.0	1-2	470	3.0	2-6	2,750	26.0	1-6	7,540	46.0	2=>1	3860	13	1-2-6	20270	53	2,8,15(1,5)16(4,14)13(10,11)(3,9)-(7,12)6	2,8,15(1,5)16(4,14,13)11(10,9)3,12-(7,6)	2(8,15)(1,16,13)(4,14,9,11)5(6,10,3)(7,12)	(*2,8)(1,15)16(9,13)11,6,4(10,3)14,7,12-5	12.2 - 10.9 - 12.5 - 12.3 - 12.3 - 12.9 - 12.2 - 12.3 - 12.5	12.2 - 23.1 - 35.6 - 47.9 - 60.2 - 73.1 - 85.3 - 97.6 - 110.1 (35.6-37.0)
200410010304	芝	右	1200	曇	稍重	12:10	3歳新馬		2004-1-24	1	小倉	3	3歳新馬	牝[指](馬齢)	16	140	1	16	110	1	9	220	2	12.0	480	8.0	5-8	690	2	9-16	780.0	1.0	9-16	340	1.0	12-16	1,080	9.0	9-12	2,370	27.0	16=>9	1010	1	9-12-16	7300	14			(*5,16)(9,17)12-(13,15,18,11)3(10,4)(1,8)6,2-14=7	(*5,16)-9(17,13)(12,18)3,1-(10,15,11)(6,4)8,14,2=7	12.3 - 10.8 - 11.6 - 12.3 - 11.8 - 11.9	12.3 - 23.1 - 34.7 - 47.0 - 58.8 - 70.7 (34.7-36.0)
200410010305	ダ	右	1700	曇	不良	12:35	4歳以上500万下		2004-1-24	1	小倉	3	4歳以上500万下	牝[指](別定)	15	590	3	15	200	3	13	140	1	14.0	430	8.0	7-8	580	2	13-15	740.0	1.0	13-15	350	1.0	14-15	1,900	24.0	13-14	1,100	11.0	15=>13	1750	3	13-14-15	3830	7	9(13,14)(4,8,10)(6,7)(1,3,12)(2,15)5-11	9(13,14)4(8,10)-(1,6,7)(3,12)15,2-5-11	(*13,14)(10,15)4(8,12)(1,7,5)(3,6)(2,11)-9	(*13,14)15,10,4,1(3,8,12)6(2,7)11,5=9	7.1 - 11.2 - 11.9 - 13.4 - 13.3 - 13.2 - 13.1 - 13.4 - 13.2	7.1 - 18.3 - 30.2 - 43.6 - 56.9 - 70.1 - 83.2 - 96.6 - 109.8 (30.2-39.7)
200410010306	ダ	右	1000	曇	不良	13:05	4歳以上500万下		2004-1-24	1	小倉	3	4歳以上500万下	(混)[指](別定)	6	200	1	6	130	1	8	400	6	3.0	1,300	13.0	4-5	1120	5	6-8	1280.0	5.0	6-8	660	5.0	3-6	2,390	26.0	3-8	10,320	74.0	6=>8	2220	5	3-6-8	26880	90			8(2,6,9)10(3,4,12)11,14(5,7)13,1	(2,*8)6,3,9(4,12,10)11,14(5,13)(1,7)	12.5 - 11.2 - 11.8 - 12.4 - 12.6	12.5 - 23.7 - 35.5 - 47.9 - 60.5 (35.5-36.8)
200410010307	ダ	右	1700	曇	不良	13:35	4歳以上500万下		2004-1-24	1	小倉	3	4歳以上500万下	[指](別定)	15	1130	5	15	420	6	8	170	2	9.0	370	5.0	5-8	1700	7	8-15	2390.0	8.0	8-15	1,290	11.0	9-15	2,420	30.0	8-9	1,010	9.0	15=>8	6630	22	8-9-15	13600	43	5,8(2,9,15)(4,10)(3,7,11)(1,14)6-13,12	5,8(2,9,15)10,4(3,7,11)14,1(6,13)12	(*5,8)15(2,10)(9,12)(4,3,7)13(14,11)1,6	8(5,15)2,10(9,13)(3,12)4(7,14)1-6-11	6.9 - 11.2 - 12.1 - 13.6 - 13.4 - 13.2 - 13.0 - 12.8 - 12.8	6.9 - 18.1 - 30.2 - 43.8 - 57.2 - 70.4 - 83.4 - 96.2 - 109.0 (30.2-38.6)
