	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200402010210	芝	右	1800	曇	良	14:55	奥尻特別 		2004-6-20	1	函館	2	3歳以上500万下	(混)[指](定量)	10	1950	9	10	570	9	2	860	11	4.0	390	6.0	2-6	7030	26	10=>2	42330	106	2-4-10	89990	198	1(8,13)(4,5)(2,7,9)(3,12)14(10,6)11	1(8,13)5,4(7,9)(2,3,12)-14(10,11)-6	1(8,13,5)4(2,7,9)(3,12)(10,11,14)=6	1(13,5,4)(8,2)(10,3,7,9)(11,12,14)=6	12.7 - 11.2 - 12.0 - 12.1 - 12.3 - 12.2 - 12.3 - 11.9 - 12.5	12.7 - 23.9 - 35.9 - 48.0 - 60.3 - 72.5 - 84.8 - 96.7 - 109.2 (35.9-36.7)	2-10	23460.0	58.0	2-10	6,450	58.0	4-10	2,990	38.0	2-4	6,030	55.0
200402010211	芝	右	2000	曇	良	15:30	五稜郭特別 		2004-6-20	1	函館	2	3歳以上1000万下	(混)(特指)(定量)	9	1010	3	9	370	5	14	270	3	15.0	650	7.0	5-8	880	3	9=>14	9680	32	9-14-15	35120	88	12-(5,11)14(3,7)(8,13)(1,4)15-(2,9)6,10	(12,*11)14,5(3,7,8)(1,4,13)15-(2,9)-6,10	12(11,14)(5,8)(1,3,7,13)(9,15)(10,4,2,6)	(12,*11,14)(8,13)(5,7,9)15(1,2)(3,6)10,4	12.5 - 10.9 - 11.5 - 12.4 - 12.4 - 12.5 - 12.5 - 12.4 - 11.8 - 12.4	12.5 - 23.4 - 34.9 - 47.3 - 59.7 - 72.2 - 84.7 - 97.1 - 108.9 - 121.3 (34.9-36.6)	9-14	5000.0	15.0	9-14	1,770	17.0	9-15	4,320	39.0	14-15	2,360	26.0
200402010301	ダ	右	1000	曇	良	09:55	3歳未勝利		2004-6-26	1	函館	3	3歳未勝利	[指](馬齢)	3	3830	9	3	1,140	9	5	190	2	10.0	590	8.0	3-5	9120	20	3=>5	35510	67	3-5-10	50810	89			(*3,4)(6,10)(1,7,12)-9,11(5,2,8)	(*3,4)(1,6,10)(7,12)9,5,2(8,11)	12.5 - 10.9 - 12.0 - 12.4 - 12.8	12.5 - 23.4 - 35.4 - 47.8 - 60.6 (35.4-37.2)	3-5	13060.0	31.0	3-5	3,950	34.0	3-10	6,590	41.0	5-10	1,810	23.0
200402010302	ダ	右	1700	曇	良	10:25	3歳未勝利		2004-6-26	1	函館	3	3歳未勝利	[指](馬齢)	10	140	1	10	110	1	7	430	6	6.0	270	4.0	6-7	1110	4	10=>7	2520	7	6-7-10	6170	14	10(7,4)12(3,6,11)(1,2,5)-9=8	10-(7,4)-12(3,6,11)(2,5)1-9-8	10-7,6(3,4,12)(1,2)11,8-9-5	10-7-6-3,1(11,4,2)(8,12)=9=5	7.1 - 11.1 - 11.8 - 12.6 - 13.2 - 13.0 - 12.7 - 12.5 - 13.0	7.1 - 18.2 - 30.0 - 42.6 - 55.8 - 68.8 - 81.5 - 94.0 - 107.0 (30.0-38.2)	7-10	2090.0	5.0	7-10	730	7.0	6-10	460	3.0	6-7	3,380	24.0
200402010303	芝	右	1200	曇	良	10:55	3歳未勝利		2004-6-26	1	函館	3	3歳未勝利	牝[指](馬齢)	15	350	1	15	140	1	9	310	7	8.0	170	2.0	5-8	2040	9	15=>9	4740	19	8-9-15	4910	15			(*8,10)15(1,6,11,13,14)-9(2,5)3,12(7,16)4	(*8,10,15)(1,6,11,14)9,13,5,3,2(12,16)(4,7)	12.3 - 10.8 - 11.5 - 11.9 - 12.0 - 12.8	12.3 - 23.1 - 34.6 - 46.5 - 58.5 - 71.3 (34.6-36.7)	9-15	3100.0	16.0	9-15	940	12.0	8-15	290	1.0	8-9	1,010	14.0
200402010304	芝	右	1800	曇	良	11:25	3歳未勝利		2004-6-26	1	函館	3	3歳未勝利	[指](馬齢)	1	210	1	1	110	1	14	370	5	12.0	910	11.0	1-8	470	1	1=>14	2190	8	1-12-14	15520	46	1-2-(5,13)(3,6,10)(4,8)(7,14)-9(11,12)	1=2-(3,5,13)(4,6,10)(7,8,14)(9,12)11	1=(2,3,10)(5,14)(4,6,13)8-(7,9)-(11,12)	1=10(3,14)2,5(4,6,8)(7,13,9)-11-12	12.3 - 11.2 - 11.9 - 12.1 - 12.4 - 12.4 - 12.7 - 12.6 - 13.4	12.3 - 23.5 - 35.4 - 47.5 - 59.9 - 72.3 - 85.0 - 97.6 - 111.0 (35.4-38.7)	1-14	1650.0	5.0	1-14	820	8.0	1-12	1,360	14.0	12-14	4,850	43.0
200402010305	ダ	右	1000	小雨	良	11:55	2歳新馬		2004-6-26	1	函館	3	2歳新馬	(混)[指](馬齢)	8	610	4	8	240	4	7	1,260	10	6.0	410	5.0	6-6	12760	29	8=>7	18730	54	6-7-8	33810	83			2,6-8,4(3,7)12,11,5(1,9)-10	(*2,6)-8(4,7)-3-(11,12)(1,5)(10,9)	12.5 - 10.8 - 12.0 - 12.6 - 13.4	12.5 - 23.3 - 35.3 - 47.9 - 61.3 (35.3-38.0)	7-8	11860.0	29.0	7-8	3,770	32.0	6-8	1,130	15.0	6-7	5,790	43.0
200402010306	ダ	右	1000	曇	良	12:45	3歳以上500万下		2004-6-26	1	函館	3	3歳以上500万下	牝[指](別定)	5	660	4	5	250	4	9	460	7	1.0	160	1.0	5-7	1470	10	5=>9	12370	44	1-5-9	7100	26			(*7,9)10(2,6)(1,5)4,3,8(11,12)	(*7,9)10(2,5)(1,6)-(4,3,8)(11,12)	12.2 - 10.6 - 11.7 - 12.4 - 12.9	12.2 - 22.8 - 34.5 - 46.9 - 59.8 (34.5-37.0)	5-9	6080.0	23.0	5-9	2,430	30.0	1-5	360	3.0	1-9	1,010	13.0
200402010307	ダ	右	1700	曇	良	13:15	3歳以上500万下		2004-6-26	1	函館	3	3歳以上500万下	[指](別定)	8	250	1	8	110	1	9	130	2	4.0	150	3.0	6-6	350	1	8=>9	700	1	4-8-9	880	1	11(4,5)(3,8)6(1,9,12)(2,7)-10-13	11,5,4(3,8)6,9(1,12)(2,7)-10-13	11,8(4,5,9,10)6(7,12)(3,2)1-13	11(8,9)4,10(5,6)-(2,12)7-1-3=13	6.9 - 11.2 - 11.5 - 12.6 - 12.8 - 12.7 - 12.6 - 12.2 - 13.4	6.9 - 18.1 - 29.6 - 42.2 - 55.0 - 67.7 - 80.3 - 92.5 - 105.9 (29.6-38.2)	8-9	380.0	1.0	8-9	180	1.0	4-8	270	2.0	4-9	410	5.0
200402010308	芝	右	1800	曇	良	13:45	3歳以上500万下		2004-6-26	1	函館	3	3歳以上500万下	(特指)(別定)	11	720	5	11	250	5	12	990	8	6.0	430	6.0	8-8	8130	18	11=>12	18210	44	6-11-12	34990	74	8-12(2,11)(1,6)3(4,5)7,10,9	8=(12,11)2-(1,6)-3-(4,5)7(9,10)	8(11,12)2(1,6)3(9,5,10)4,7	8(11,12)2(1,6,3)(9,5,10)(4,7)	12.5 - 11.2 - 11.8 - 12.3 - 12.4 - 12.8 - 12.3 - 11.9 - 12.6	12.5 - 23.7 - 35.5 - 47.8 - 60.2 - 73.0 - 85.3 - 97.2 - 109.8 (35.5-36.8)	11-12	10700.0	23.0	11-12	2,990	24.0	6-11	1,510	15.0	6-12	5,000	37.0
