	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200404010204	芝	左	2000	晴	良	11:15	3歳未勝利		2004-5-2	1	新潟	2	3歳未勝利	牝[指](馬齢)	15	590	3	15	220	4	11	600	6	10.0	1,220	12.0	6-8	3040	13	15=>11	8350	21	10-11-15	48190	111	11(8,12)(6,7,10)(3,9,15)(5,14)2(1,4)-13	11,8(6,10,12)(7,9,15)(3,14)(5,2,1)(13,4)	11(8,10)12(6,9,15,2)(7,3,14)(13,1)5-4	(*11,8)10(6,9,15,12)(7,3,2)(14,1)(13,5)-4	12.6 - 11.8 - 12.6 - 13.4 - 13.1 - 12.6 - 11.9 - 11.6 - 11.5 - 11.7	12.6 - 24.4 - 37.0 - 50.4 - 63.5 - 76.1 - 88.0 - 99.6 - 111.1 - 122.8 (37.0-34.8)	11-15	4950.0	13.0	11-15	1,670	14.0	10-15	3,020	33.0	10-11	5,740	48.0
200404010205	芝	左	1200	晴	良	11:45	3歳未勝利		2004-5-2	1	新潟	2	3歳未勝利	[指](馬齢)	7	1670	5	7	350	6	1	180	3	2.0	110	1.0	1-5	2060	7	7=>1	11540	32	1-2-7	3130	7			11,2(1,5,8,7)(3,4,9,13)(6,10)-12	11,2(1,5,7)(3,4,9,13)(6,10)-8-12	12.0 - 10.7 - 11.4 - 11.5 - 11.7 - 12.2	12.0 - 22.7 - 34.1 - 45.6 - 57.3 - 69.5 (34.1-35.4)	1-7	6260.0	18.0	1-7	1,620	19.0	2-7	620	5.0	1-2	310	2.0
200404010206	芝	左	1600	晴	良	12:35	3歳未勝利		2004-5-2	1	新潟	2	3歳未勝利	(混)[指](馬齢)	9	350	2	9	130	1	7	130	2	4.0	350	6.0	4-5	330	1	9=>7	1160	2	4-7-9	2630	4			(*3,9,12)-(14,13)15(4,7)5,2-10,1(8,11)=6	(3,*9,12)-14,13(15,7)(4,5)2-(1,10)(8,11)=6	12.2 - 11.1 - 11.7 - 11.7 - 11.8 - 12.2 - 11.5 - 12.5	12.2 - 23.3 - 35.0 - 46.7 - 58.5 - 70.7 - 82.2 - 94.7 (35.0-36.2)	7-9	570.0	1.0	7-9	240	1.0	4-9	930	10.0	4-7	700	8.0
200404010207	ダ	左	1200	晴	良	13:05	4歳以上500万下		2004-5-2	1	新潟	2	4歳以上500万下	牝[指](別定)	5	1200	8	5	410	8	9	270	3	11.0	260	2.0	3-5	3710	20	5=>9	14110	58	5-9-11	18120	71			(*9,10)14(5,13)(8,11)(7,12,15)4(1,3,2)-6	(*9,10)14(5,13)-11(8,7,12)(1,3,4,15)2=6	12.1 - 10.8 - 11.4 - 12.1 - 12.5 - 13.4	12.1 - 22.9 - 34.3 - 46.4 - 58.9 - 72.3 (34.3-38.0)	5-9	5360.0	26.0	5-9	2,080	28.0	5-11	2,370	30.0	9-11	1,190	10.0
200404010208	ダ	左	1800	晴	良	13:35	4歳以上500万下		2004-5-2	1	新潟	2	4歳以上500万下	(混)[指](別定)	12	1030	6	12	290	5	15	490	7	11.0	1,070	9.0	7-8	4010	18	12=>15	13800	49	11-12-15	61160	155	2(1,15)(3,8)10(6,9,11)7-(4,13)-(5,12,14)	2,15(1,3,8)10(6,9,11)7-(4,13)-(5,12,14)	(*2,15,11)(1,3,8,10)(6,9)(4,12,7)-(5,13,14)	(15,*11)2(3,8,10)(1,9,7)6,12(4,5,13)-14	12.7 - 11.5 - 12.3 - 13.2 - 13.0 - 12.6 - 12.6 - 12.4 - 13.1	12.7 - 24.2 - 36.5 - 49.7 - 62.7 - 75.3 - 87.9 - 100.3 - 113.4 (36.5-38.1)	12-15	7190.0	24.0	12-15	2,430	25.0	11-12	3,580	37.0	11-15	8,060	58.0
200404010209	芝	左	1600	晴	良	14:10	4歳以上500万下		2004-5-2	1	新潟	2	4歳以上500万下	[指](別定)	6	270	1	6	130	1	2	300	6	15.0	190	2.0	1-3	1480	7	6=>2	3640	10	2-6-15	4060	8			9-(7,8)(6,11)(5,10,14)(12,16)(3,4,15)(2,13)1	9(7,8)(6,11)(5,10,14,16)(4,12,15)3(2,13)-1	12.2 - 10.7 - 12.2 - 12.3 - 12.0 - 11.3 - 10.7 - 12.2	12.2 - 22.9 - 35.1 - 47.4 - 59.4 - 70.7 - 81.4 - 93.6 (35.1-34.2)	2-6	2210.0	6.0	2-6	780	6.0	6-15	380	1.0	2-15	1,470	20.0
200404010210	ダ	左	1800	晴	良	14:45	わらび賞 		2004-5-2	1	新潟	2	3歳500万下	(混)(特指)(馬齢)	7	1040	4	7	240	3	3	160	2	11.0	1,800	13.0	3-5	1230	5	7=>3	5040	17	3-7-11	60040	156	7(10,14)5(8,9)-(11,12,13)-(3,4)-1(2,6)	(*7,10)14(5,8,9)-(11,13)-12(3,4)-(2,1,6)	7,10-5,8(14,9)11(3,13)(2,12,1,6)-4	7-(5,10)8-(11,9)14,3(13,6)(2,12,1)-4	12.1 - 11.1 - 12.4 - 13.0 - 12.9 - 12.3 - 12.8 - 13.1 - 13.5	12.1 - 23.2 - 35.6 - 48.6 - 61.5 - 73.8 - 86.6 - 99.7 - 113.2 (35.6-39.4)	3-7	2050.0	6.0	3-7	760	5.0	7-11	9,630	71.0	3-11	5,960	59.0
200404010211	芝	直	1000	晴	良	15:25	駿風ステークス 		2004-5-2	1	新潟	2	4歳以上オープン	(混)[指](別定)	10	250	2	10	130	2	7	150	3	9.0	380	5.0	7-8	430	2	10=>7	930	4	7-9-10	2560	9					12.1 - 10.3 - 10.6 - 10.3 - 11.4	12.1 - 22.4 - 33.0 - 43.3 - 54.7 (33.0-32.3)	7-10	580.0	3.0	7-10	250	2.0	9-10	790	7.0	7-9	1,030	13.0
200404010301	芝	左	2000	晴	良	09:55	3歳未勝利		2004-5-8	1	新潟	3	3歳未勝利	(馬齢)	7	9820	8	7	1,410	7	2	490	6	8.0	230	4.0	2-7	27850	26	7=>2	93110	54	2-7-8	57220	48	1,3(5,6,8)(4,7)2	(*1,3)(5,6)(7,8)(4,2)	(*1,3)(5,7,6,8)(4,2)	(*1,3)(5,7,6,8)-(4,2)	12.6 - 10.9 - 12.4 - 13.1 - 13.0 - 12.5 - 12.0 - 11.7 - 12.1 - 12.7	12.6 - 23.5 - 35.9 - 49.0 - 62.0 - 74.5 - 86.5 - 98.2 - 110.3 - 123.0 (35.9-36.5)												
200404010302	ダ	左	1200	晴	良	10:25	3歳未勝利		2004-5-8	1	新潟	3	3歳未勝利	(父)(馬齢)	7	340	1	7	140	1	11	200	3	2.0	250	4.0	4-6	1040	5	7=>11	1860	4	2-7-11	2940	8			11,15(2,7)(14,9)(1,10)6(4,3)13(8,5)=12	(*11,15)(2,7)14(1,6,9)(4,10)-(3,5)(8,13)-12	12.4 - 11.2 - 11.7 - 13.1 - 12.2 - 12.8	12.4 - 23.6 - 35.3 - 48.4 - 60.6 - 73.4 (35.3-38.1)	7-11	920.0	2.0	7-11	270	2.0	2-7	620	6.0	2-11	860	10.0
200404010303	ダ	左	1800	晴	良	10:55	3歳未勝利		2004-5-8	1	新潟	3	3歳未勝利	(混)(馬齢)	2	820	3	2	210	2	12	330	3	4.0	380	5.0	2-8	390	1	2=>12	4810	13	2-4-12	7520	23	(*5,11)(2,6)(1,12)(4,9)-(8,10)=3,7	(*5,11)(2,6)1(4,12)9(8,10)=(3,7)	5(11,6)2(4,12)1-9-(8,10)-(3,7)	5(2,11,6)(4,12)-1-9,10-(8,3,7)	12.5 - 11.7 - 12.9 - 13.6 - 13.1 - 12.7 - 13.4 - 13.2 - 12.9	12.5 - 24.2 - 37.1 - 50.7 - 63.8 - 76.5 - 89.9 - 103.1 - 116.0 (37.1-39.5)	2-12	2220.0	8.0	2-12	750	7.0	2-4	1,060	13.0	4-12	1,050	12.0
200404010304	芝	左	1600	晴	良	11:25	3歳未勝利		2004-5-8	1	新潟	3	3歳未勝利	(馬齢)	9	350	1	9	160	1	12	650	9	5.0	410	8.0	5-7	690	2	9=>12	9650	44	5-9-12	22060	78			(*11,10)8(3,5,9)(1,4)-(7,12)15(2,14)(6,13)	(*11,10)(8,3,9)(1,5)(7,4)(15,12)(2,13)(6,14)	12.5 - 11.6 - 12.7 - 12.6 - 12.2 - 11.7 - 10.8 - 11.9	12.5 - 24.1 - 36.8 - 49.4 - 61.6 - 73.3 - 84.1 - 96.0 (36.8-34.4)	9-12	6140.0	27.0	9-12	1,810	21.0	5-9	820	7.0	5-12	6,970	60.0
200404010305	ダ	左	1200	晴	良	11:55	3歳未勝利		2004-5-8	1	新潟	3	3歳未勝利	(馬齢)	15	1500	4	15	310	4	1	130	1	5.0	650	9.0	1-8	920	3	15=>1	3140	9	1-5-15	10650	30			15(1,10,12)(7,13)(8,6)(5,11)(4,9)-14,3-2	15,1(10,12)(8,6,7,13)(5,11)4,9-14-3-2	12.2 - 10.9 - 12.0 - 12.6 - 11.9 - 13.8	12.2 - 23.1 - 35.1 - 47.7 - 59.6 - 73.4 (35.1-38.3)	1-15	1000.0	3.0	1-15	470	3.0	5-15	4,390	37.0	1-5	1,420	17.0
200404010306	ダ	左	1200	晴	良	12:45	4歳以上500万下		2004-5-8	1	新潟	3	4歳以上500万下	(別定)	9	330	1	9	150	3	2	130	2	15.0	110	1.0	2-5	480	2	9=>2	1360	4	2-9-15	740	1			9(8,12)15(6,11)2(3,4)-(7,14)(1,10,13)-5	(*9,8,12)(6,15)(2,11)(3,4)-(7,14)(1,10)13-5	11.9 - 11.2 - 11.5 - 12.5 - 12.0 - 12.6	11.9 - 23.1 - 34.6 - 47.1 - 59.1 - 71.7 (34.6-37.1)	2-9	800.0	2.0	2-9	290	3.0	9-15	210	1.0	2-15	290	2.0
200404010307	ダ	左	1800	晴	良	13:15	4歳以上500万下		2004-5-8	1	新潟	3	4歳以上500万下	(別定)	6	260	1	6	110	1	2	240	5	11.0	170	2.0	2-4	740	3	6=>2	1900	5	2-6-11	1850	2	(*2,6)-11,4(1,13)-14-(5,12)15(3,8,10)(7,9)	(*2,6)(4,11)(1,13)14-(5,12)(3,8,15,10)(7,9)	2,6(4,11)(1,13)(8,14,10)(15,9)(12,3,7)-5	(*2,6)(4,11)(1,13)(8,14)(10,9)(3,15)(12,7)5	12.7 - 11.2 - 12.6 - 13.6 - 13.1 - 12.6 - 12.6 - 12.3 - 12.8	12.7 - 23.9 - 36.5 - 50.1 - 63.2 - 75.8 - 88.4 - 100.7 - 113.5 (36.5-37.7)	2-6	1180.0	3.0	2-6	490	4.0	6-11	240	1.0	2-11	670	7.0
200404010308	芝	直	1000	晴	良	13:45	4歳以上500万下		2004-5-8	1	新潟	3	4歳以上500万下	牝(別定)	16	180	1	16	100	1	5	190	3	4.0	170	2.0	3-8	650	3	16=>5	1090	2	4-5-16	1300	1					11.9 - 10.3 - 10.4 - 10.1 - 11.8	11.9 - 22.2 - 32.6 - 42.7 - 54.5 (32.6-32.3)	5-16	720.0	2.0	5-16	350	3.0	4-16	220	1.0	4-5	530	5.0
200404010309	芝	左	2000	晴	良	14:20	4歳以上500万下		2004-5-8	1	新潟	3	4歳以上500万下	(別定)	12	5150	12	12	850	10	15	500	7	3.0	610	9.0	7-8	1980	10	12=>15	78640	133	3-12-15	199580	277			13,14-(6,9)(4,8)(1,11)(7,12)(5,15,3)(2,10)	13-14-(6,9)(4,8)(1,11)(7,12)(15,3)-(2,10)5	12.7 - 10.6 - 11.3 - 11.9 - 12.4 - 12.4 - 11.9 - 11.9 - 12.0 - 12.2	12.7 - 23.3 - 34.6 - 46.5 - 58.9 - 71.3 - 83.2 - 95.1 - 107.1 - 119.3 (34.6-36.1)	12-15	33320.0	60.0	12-15	6,520	56.0	3-12	12,550	77.0	3-15	4,710	47.0
200404010310	芝	左	1600	晴	良	14:55	松浜特別 		2004-5-8	1	新潟	3	4歳以上500万下	(混)(別定)	7	700	5	7	240	4	10	500	7	2.0	650	8.0	6-8	790	4	7=>10	10490	39	2-7-10	39250	98			(*3,4)8,2(5,6)(9,11)(1,10)-7	(*3,4)(2,8)5(1,9,11)6,10-7	12.8 - 11.5 - 12.3 - 12.3 - 12.2 - 11.5 - 10.9 - 11.4	12.8 - 24.3 - 36.6 - 48.9 - 61.1 - 72.6 - 83.5 - 94.9 (36.6-33.8)	7-10	5210.0	19.0	7-10	1,530	18.0	2-7	2,650	33.0	2-10	3,820	41.0
200404010311	芝	左	2000	晴	良	15:30	赤倉特別 		2004-5-8	1	新潟	3	4歳以上1000万下	(ハンデ)	12	290	1	12	150	1	7	180	2	13.0	510	10.0	5-8	740	2	12=>7	1390	1	7-12-13	9270	34			8-(1,6)5(3,10)(4,7,12)9,11,13-2	8=(1,6)(3,5,10)(7,12)(4,9)-11,13,2	12.5 - 11.4 - 11.7 - 11.9 - 12.0 - 11.6 - 11.7 - 12.1 - 11.7 - 12.3	12.5 - 23.9 - 35.6 - 47.5 - 59.5 - 71.1 - 82.8 - 94.9 - 106.6 - 118.9 (35.6-36.1)	7-12	850.0	1.0	7-12	390	1.0	12-13	1,290	18.0	7-13	2,600	37.0
200404010401	ダ	左	1800	曇	良	09:50	3歳未勝利		2004-5-9	1	新潟	4	3歳未勝利	牝[指](馬齢)	8	460	2	8	170	2	1	1,040	12	13.0	210	4.0	1-6	11200	26	8=>1	25780	76	1-8-13	31550	99	6,13(1,8)11,7(9,10)(3,4,12)(2,5)	(*6,13)(1,8)11,7(9,10,12)4,3,5,2	(*6,13)(1,8)(9,7,11)(4,10)5(3,12)-2	(6,*13)(1,8)(9,7,11)(4,10)5(3,12)2	12.6 - 11.4 - 12.8 - 13.8 - 13.3 - 13.1 - 13.4 - 12.3 - 12.6	12.6 - 24.0 - 36.8 - 50.6 - 63.9 - 77.0 - 90.4 - 102.7 - 115.3 (36.8-38.3)	1-8	15910.0	44.0	1-8	3,770	40.0	8-13	560	4.0	1-13	6,270	59.0
200404010402	芝	左	1400	曇	良	10:15	3歳未勝利		2004-5-9	1	新潟	4	3歳未勝利	[指](馬齢)	2	190	1	2	110	1	11	290	6	8.0	180	2.0	1-6	1050	3	2=>11	1680	5	2-8-11	1450	3			2(1,7,8)(3,5)(10,13,11)(4,9,16)(12,14)15=6	2(1,7,8)(3,11)13(9,16)(10,5)(4,12)(15,14)=6	12.5 - 10.6 - 11.7 - 12.2 - 11.9 - 11.6 - 11.8	12.5 - 23.1 - 34.8 - 47.0 - 58.9 - 70.5 - 82.3 (34.8-35.3)	2-11	1320.0	4.0	2-11	530	5.0	2-8	190	1.0	8-11	810	9.0
200404010403	ダ	左	1800	曇	良	10:45	3歳未勝利		2004-5-9	1	新潟	4	3歳未勝利	[指](馬齢)	9	700	3	9	250	4	11	150	2	4.0	370	6.0	6-7	1520	6	9=>11	4040	14	4-9-11	7060	20	9(11,13)6(5,12)-(1,4)(2,8)3,10-7	9(11,13)(5,6)12(1,4)(2,8)-3,10=7	(*9,11)13(5,6)12,4(1,8,2)-10,3=7	9,11-13,5,6(4,12)-(1,2)8(10,3)=7	12.7 - 11.7 - 12.9 - 13.5 - 13.2 - 12.5 - 12.3 - 12.1 - 13.3	12.7 - 24.4 - 37.3 - 50.8 - 64.0 - 76.5 - 88.8 - 100.9 - 114.2 (37.3-37.7)	9-11	1990.0	6.0	9-11	530	4.0	4-9	1,300	14.0	4-11	1,160	12.0
200404010404	芝	左	1800	曇	良	11:15	3歳未勝利		2004-5-9	1	新潟	4	3歳未勝利	(混)[指](馬齢)	9	760	2	9	190	4	13	110	1	5.0	180	3.0	6-8	260	1	9=>13	1730	6	5-9-13	1380	3			5,10-(9,13)(3,11,4)-1(2,14)-(12,8)-(6,7)	(*5,10)=(9,13)-11(3,4)-1,2(12,14,8)(6,7)	12.3 - 11.0 - 11.1 - 12.4 - 11.9 - 11.8 - 12.0 - 11.9 - 13.0	12.3 - 23.3 - 34.4 - 46.8 - 58.7 - 70.5 - 82.5 - 94.4 - 107.4 (34.4-36.9)	9-13	530.0	2.0	9-13	240	2.0	5-9	740	9.0	5-13	300	3.0
200404010405	芝	直	1000	曇	良	11:45	3歳未勝利		2004-5-9	1	新潟	4	3歳未勝利	(混)[指](馬齢)	14	250	1	14	140	1	3	970	11	8.0	160	2.0	2-7	3090	11	14=>3	8830	27	3-8-14	6400	17					12.2 - 10.3 - 10.9 - 10.7 - 12.4	12.2 - 22.5 - 33.4 - 44.1 - 56.5 (33.4-34.0)	3-14	6420.0	20.0	3-14	2,230	23.0	8-14	240	1.0	3-8	1,980	19.0
