	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連単:的中	三連単:配当	三連単:人気
200401010209	芝	右	1800	晴	良	15:25	クイーンステークス	G3	2004-8-15	1	札幌	2	3歳以上オープン	(混)	7	880	5	7	280	5	1	310	6	9.0	250	3.0	1-5	3010	19	7=>1	10340	48	1-7-9	9410	35	7,12(4,5,6,13)(3,9)(1,2,10)(8,11)	7(5,12)(4,6,13)(3,9)(1,2,10)(8,11)	7,12(5,13)(6,9)(4,3,10,11)1(2,8)	7-5(12,13)(4,6,3,1,9)(2,10,8)-11	12.6 - 11.5 - 11.8 - 11.9 - 12.2 - 11.9 - 11.4 - 11.5 - 12.7	12.6 - 24.1 - 35.9 - 47.8 - 60.0 - 71.9 - 83.3 - 94.8 - 107.5 (35.9-35.6)	1-7	4180.0	20.0	1-7	1,460	21.0	7-9	930	11.0	1-9	1,050	15.0	7=>1=>9	71170.0	266.0
200401010210	ダ	右	1700	晴	良	16:05	3歳以上500万下		2004-8-15	1	札幌	2	3歳以上500万下	(特指)(別定)	5	530	3	5	220	4	9	320	7	10.0	140	1.0	4-6	2080	10	5=>9	5550	26	5-9-10	4860	15	5(9,12)(2,6)(10,13)(1,4,8,11)3-7	5,9(2,12,13)(6,10)(1,8,11)(4,3)-7	(*5,9,12)(2,13)(6,10)(1,8,11)(4,3)7	5(2,9,12)(6,10,13)(1,8,11)(4,3)7	6.7 - 11.9 - 12.4 - 12.8 - 12.5 - 12.9 - 12.9 - 12.6 - 12.8	6.7 - 18.6 - 31.0 - 43.8 - 56.3 - 69.2 - 82.1 - 94.7 - 107.5 (31.0-38.3)	5-9	3350.0	14.0	5-9	1,360	19.0	5-10	490	3.0	9-10	630	6.0			
200401010211	芝	右	1500	曇	良	16:40	摩周湖特別 		2004-8-15	1	札幌	2	3歳以上1000万下	[指](ハンデ)	2	3070	9	2	610	9	1	180	2	9.0	370	7.0	1-2	8510	21	2=>1	21620	64	1-2-9	21340	74		1,6(2,4,8)(3,11)(9,10)7,5	(*8,1)4-(2,11)(6,10)(3,9)7-5	(*8,1)-(2,4,11)(9,10)(6,7,5)3	6.7 - 11.5 - 11.6 - 11.5 - 12.0 - 12.0 - 11.9 - 12.0	6.7 - 18.2 - 29.8 - 41.3 - 53.3 - 65.3 - 77.2 - 89.2 (29.8-35.9)	1-2	7360.0	31.0	1-2	1,750	25.0	2-9	4,150	39.0	1-9	1,180	18.0			
200401010212	芝	右	2000	雨	良	17:10	日高特別 		2004-8-15	1	札幌	2	3歳以上1000万下	(混)[指](別定)	1	770	5	1	250	4	3	1,010	9	12.0	370	8.0	1-3	11160	17	1=>3	25810	63	1-3-12	52150	95	12(6,9)5(3,11)(10,8)(1,7)4-2	12-6(9,11)(3,5)(10,8)(1,7)4,2	12,6(5,11,8)(3,9,7)(1,10)4,2	(*12,6)(3,5,8)(1,11)(9,10)(2,4)7	12.9 - 11.0 - 11.7 - 12.5 - 12.4 - 11.8 - 12.0 - 12.1 - 12.2 - 12.7	12.9 - 23.9 - 35.6 - 48.1 - 60.5 - 72.3 - 84.3 - 96.4 - 108.6 - 121.3 (35.6-37.0)	1-3	14200.0	31.0	1-3	3,850	30.0	1-12	1,600	24.0	3-12	5,980	41.0	1=>3=>12	384270.0	592.0
200401010301	芝	右	1500	曇	重	10:55	2歳未勝利		2004-8-21	1	札幌	3	2歳未勝利	[指](馬齢)	2	330	1	2	150	2	1	200	5	4.0	130	1.0	1-2	1780	9	2=>1	2840	8	1-2-4	1870	3		2(11,13)(3,7)(8,10)(1,9,12)4-5-6	2(11,13)(8,10)(3,7)-(1,12)9,4,5=6	2-13(11,3,7)-1,8(12,10)4-5-9=6	6.8 - 11.2 - 11.2 - 12.0 - 11.8 - 11.7 - 11.9 - 12.8	6.8 - 18.0 - 29.2 - 41.2 - 53.0 - 64.7 - 76.6 - 89.4 (29.2-36.4)	1-2	1660.0	6.0	1-2	470	3.0	2-4	270	1.0	1-4	450	2.0			
200401010302	ダ	右	1700	曇	重	11:30	3歳未勝利		2004-8-21	1	札幌	3	3歳未勝利	牝[指](馬齢)	8	620	3	8	130	3	10	100	1	13.0	100	2.0	6-7	390	2	8=>10	1380	5	8-10-13	340	1	(*13,10)(2,3)(7,11)(1,8)(4,5)6(9,12)	(*13,10)(7,11)(2,3,8)(1,5)4,6(9,12)	(*13,10)8(7,11)(3,5)6-1(9,12)-2-4	(13,*10)8-5(3,11)-6-(1,9)7,12=2=4	6.7 - 11.1 - 11.7 - 13.0 - 12.7 - 12.7 - 12.8 - 12.8 - 13.0	6.7 - 17.8 - 29.5 - 42.5 - 55.2 - 67.9 - 80.7 - 93.5 - 106.5 (29.5-38.6)	8-10	410.0	2.0	8-10	170	2.0	8-13	250	3.0	10-13	120	1.0			
200401010303	芝	右	1200	曇	稍重	11:55	2歳新馬		2004-8-21	1	札幌	3	2歳新馬	(混)[指](馬齢)	11	2380	5	11	540	7	7	150	1	9.0	540	6.0	4-6	3000	11	11=>7	12750	30	7-9-11	23930	54			(3,*9)11(7,12)-(5,15)14,13(6,16)-8,4-(1,10)2	(3,*9,11)7(5,12)15,13-(6,16)(14,8)4-10=1=2	12.4 - 10.6 - 11.4 - 11.8 - 12.2 - 12.5	12.4 - 23.0 - 34.4 - 46.2 - 58.4 - 70.9 (34.4-36.5)	7-11	4540.0	12.0	7-11	1,540	10.0	9-11	4,600	38.0	7-9	1,230	8.0			
200401010304	芝	右	1200	雨	稍重	12:45	2歳500万下		2004-8-21	1	札幌	3	2歳500万下	(混)(特指)(馬齢)	11	170	1	11	110	1	6	210	3	3.0	540	7.0	4-6	770	3	11=>6	1770	4	3-6-11	8350	21			(*11,14)(8,15)6,7(3,13,12)2-10,9(1,4,5)	11(14,6)8,3(15,7,13)(2,12)-10,9,4,5-1	12.4 - 10.9 - 11.2 - 11.9 - 11.9 - 12.0	12.4 - 23.3 - 34.5 - 46.4 - 58.3 - 70.3 (34.5-35.8)	6-11	1230.0	3.0	6-11	470	4.0	3-11	1,100	10.0	3-6	2,490	21.0			
200401010305	ダ	右	1700	曇	重	13:15	3歳未勝利		2004-8-21	1	札幌	3	3歳未勝利	[指](馬齢)	13	2070	6	13	420	6	2	130	1	5.0	280	4.0	2-8	2020	9	13=>2	5310	19	2-5-13	4290	11	2(4,5)(3,13)(7,9,11)(1,6,10)(8,12)	(*2,11)(4,5,13)(3,7,9)(1,6,10,12)8	(*2,11)(4,5,13)(7,9)(3,10)12(6,8)1	2-(4,13)(11,5)-(7,10)9,3(6,12)8,1	6.9 - 11.5 - 12.6 - 12.7 - 12.5 - 12.5 - 12.4 - 12.3 - 13.4	6.9 - 18.4 - 31.0 - 43.7 - 56.2 - 68.7 - 81.1 - 93.4 - 106.8 (31.0-38.1)	2-13	2000.0	8.0	2-13	670	8.0	5-13	1,840	22.0	2-5	490	3.0			
200401010306	芝	右	1800	曇	稍重	13:45	3歳未勝利		2004-8-21	1	札幌	3	3歳未勝利	(混)[指](馬齢)	7	680	5	7	190	3	2	430	7	5.0	130	1.0	2-5	7220	23	7=>2	7830	35	2-5-7	4600	12	2-13(6,14)(4,5,8)(3,9,11)(1,7)-10,12	2-13(4,6)(3,5,14)(9,8)(1,11)7(10,12)	2(13,6)(14,11)(4,5)(3,7)(1,9,8)12,10	(*2,6)-(14,11,7)(1,4,5)-3-(13,10,8)12-9	12.3 - 11.5 - 12.9 - 12.7 - 12.6 - 12.2 - 12.0 - 11.9 - 12.8	12.3 - 23.8 - 36.7 - 49.4 - 62.0 - 74.2 - 86.2 - 98.1 - 110.9 (36.7-36.7)	2-7	4830.0	18.0	2-7	1,660	24.0	5-7	370	2.0	2-5	920	10.0			
