	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	三連単:的中	三連単:配当	三連単:人気
200401010608	ダ	右	1700	曇	良	14:50	3歳以上500万下		2004-8-29	1	札幌	6	3歳以上500万下	[指](別定)	7	280	1	7	140	1	10	340	6	11.0	260	5.0	5-7	780	3	7=>10	3110	12	7-10-11	5150	17	10-7(9,13)(1,11)8,4(5,12)2,6-3	10(7,13)(9,11)(1,8)(4,5)-(2,12)6-3	(*10,7)(9,11)(8,12)(4,5)(2,13,6,3)1	(10,*7)(9,11)12,2(8,4)(6,5)3-1-13	6.8 - 11.0 - 11.8 - 12.9 - 12.8 - 13.0 - 12.6 - 11.9 - 12.7	6.8 - 17.8 - 29.6 - 42.5 - 55.3 - 68.3 - 80.9 - 92.8 - 105.5 (29.6-37.2)	7-10	2130.0	8.0	7-10	570	5.0	7-11	630	7.0	10-11	1,850	23.0			
200401010609	芝	右	1200	曇	良	15:25	キーンランドカップ 		2004-8-29	1	札幌	6	3歳以上1000万下	(混)[指](ハンデ)	7	370	1	7	150	1	6	180	2	12.0	300	6.0	4-5	510	1	7=>6	1780	2	6-7-12	4140	12			3(5,7)12,6,10(1,2)(4,8)14(9,13)11	3(5,7,12)-6-2(1,10,8)(4,9,14)13,11	12.3 - 10.6 - 11.3 - 11.5 - 11.5 - 12.1	12.3 - 22.9 - 34.2 - 45.7 - 57.2 - 69.3 (34.2-35.1)	6-7	1030.0	2.0	6-7	500	2.0	7-12	960	12.0	6-12	1,020	14.0	7=>6=>12	18160.0	39.0
200401010610	芝	右	1500	曇	良	16:05	3歳以上500万下		2004-8-29	1	札幌	6	3歳以上500万下	(混)[指](別定)	2	1590	7	2	430	7	3	830	9	1.0	220	2.0	2-3	13320	28	2=>3	43720	86	1-2-3	24130	72		(*2,9,12)(6,13)(3,10)(1,5,8,14)(4,7,11)	(*2,9,12)(3,6,13)(1,10,8,14)(4,5,7,11)	(*2,9,12)(3,6,13)(1,14)(10,11)(4,5,8,7)	6.9 - 11.7 - 11.8 - 12.4 - 12.2 - 12.0 - 11.6 - 11.6	6.9 - 18.6 - 30.4 - 42.8 - 55.0 - 67.0 - 78.6 - 90.2 (30.4-35.2)	2-3	18730.0	41.0	2-3	4,520	40.0	1-2	1,260	14.0	1-3	1,080	12.0			
200401010611	ダ	右	1700	曇	良	16:40	苫小牧特別 		2004-8-29	1	札幌	6	3歳以上1000万下	(混)[指](別定)	10	250	2	10	140	2	8	360	5	4.0	310	4.0	6-7	1790	7	10=>8	3230	8	4-8-10	11710	33	(*1,3,11)-(4,10)(2,12)-(5,7)(9,8)(13,6)	1,3,11(2,4,10)12(5,7)(9,13,8)6	(*1,8,10)(3,11,5)(4,12)(13,7)(2,9)6	(1,8,*10)-(4,11)(13,5)9(3,7,12)-6,2	7.0 - 10.8 - 11.9 - 13.1 - 12.9 - 12.4 - 12.5 - 12.1 - 12.5	7.0 - 17.8 - 29.7 - 42.8 - 55.7 - 68.1 - 80.6 - 92.7 - 105.2 (29.7-37.1)	8-10	2470.0	10.0	8-10	800	8.0	4-10	620	4.0	4-8	3,640	30.0			
200401010612	芝	右	2000	曇	良	17:10	知床特別 		2004-8-29	1	札幌	6	3歳以上500万下	(混)(特指)(別定)	3	280	1	3	130	1	11	210	4	13.0	130	2.0	2-6	640	2	3=>11	1950	4	3-11-13	890	1	12=(1,6,9)2,8(5,10,13,14)(7,11)-3-4(15,16)	12=(1,6,9)2(5,8,13)(10,14)(7,11)3,4(15,16)	12(6,9)(1,2,13)(11,14)(5,10,8,3)7(4,16)15	(*12,9,13)(1,11,3)(6,2)(5,14)(10,7)(15,4,16)8	13.0 - 10.6 - 12.0 - 13.3 - 13.5 - 12.5 - 12.4 - 11.9 - 11.7 - 12.1	13.0 - 23.6 - 35.6 - 48.9 - 62.4 - 74.9 - 87.3 - 99.2 - 110.9 - 123.0 (35.6-35.7)	3-11	1200.0	2.0	3-11	410	4.0	3-13	190	1.0	11-13	390	2.0	3=>11=>13	5140.0	6.0
200401010701	芝	右	1200	晴	良	10:55	2歳未勝利		2004-9-4	1	札幌	7	2歳未勝利	[指](馬齢)	5	450	2	5	120	2	1	140	3	2.0	100	1.0	1-5	1120	5	5=>1	1970	7	1-2-5	370	1			1,2,3-5(7,8,6)-4	(*1,2)(5,3)-(8,6)(7,4)	12.2 - 10.6 - 11.0 - 11.8 - 12.0 - 12.4	12.2 - 22.8 - 33.8 - 45.6 - 57.6 - 70.0 (33.8-36.2)															
200401010702	ダ	右	1700	晴	良	11:25	3歳未勝利		2004-9-4	1	札幌	7	3歳未勝利	[指](馬齢)	4	180	1	4	110	1	9	130	3	12.0	130	2.0	4-6	270	1	4=>9	550	1	4-9-12	420	1	(9,*13)(11,12)-(2,3)-7-4,10(6,8)5-1	(*9,13)(11,12)-(2,3)-7,4-(10,6)8-5-1	(*9,11,12)13-4(2,3)(7,6)(10,8,1)=5	(*9,12)4-11=6-(13,3)(7,8,1)10,2-5	6.9 - 11.0 - 11.9 - 12.8 - 12.7 - 12.9 - 12.9 - 12.5 - 13.2	6.9 - 17.9 - 29.8 - 42.6 - 55.3 - 68.2 - 81.1 - 93.6 - 106.8 (29.8-38.6)	4-9	260.0	1.0	4-9	130	1.0	4-12	170	2.0	9-12	230	3.0			
200401010703	芝	右	1800	晴	良	11:55	2歳新馬		2004-9-4	1	札幌	7	2歳新馬	(混)[指](馬齢)	6	250	2	6	120	2	9	110	1	4.0	190	4.0	6-8	230	1	6=>9	550	1	4-6-9	1030	3	(*9,10)8(7,4)-(1,3)-5,6 2	(9,*10)8(7,4)-1,3-5-6 2	(9,*10)(8,4)(7,1,3)-(5,6) 2	(*9,10,4)(7,1,8,3)6=5 2	13.4 - 12.8 - 13.0 - 12.9 - 13.2 - 12.4 - 11.9 - 11.9 - 11.5	13.4 - 26.2 - 39.2 - 52.1 - 65.3 - 77.7 - 89.6 - 101.5 - 113.0 (39.2-35.3)	6-9	280.0	1.0	6-9	150	1.0	4-6	350	4.0	4-9	540	7.0			
200401010704	ダ	右	1000	晴	良	12:45	2歳500万下		2004-9-4	1	札幌	7	2歳500万下	(特指)(馬齢)	10	1870	6	10	270	6	12	120	1	5.0	260	5.0	7-8	1680	6	10=>12	4980	21	5-10-12	4920	16			(5,*8)(6,7,10)-12,11(1,2)-4,3,9	(*5,8)(7,10)-12-2(6,1,11)-4-3=9	12.3 - 10.5 - 11.4 - 12.4 - 13.5	12.3 - 22.8 - 34.2 - 46.6 - 60.1 (34.2-37.3)	10-12	1860.0	8.0	10-12	630	8.0	5-10	1,560	16.0	5-12	480	5.0			
200401010705	芝	右	2000	晴	良	13:15	3歳未勝利		2004-9-4	1	札幌	7	3歳未勝利	(混)[指](馬齢)	10	4320	10	10	1,070	10	14	250	3	5.0	6,330	16.0	5-7	3610	12	10=>14	16290	47	5-10-14	211890	281	10(3,15)(1,16)6(2,7)13(8,12)(5,14,9)-11,4	10-3,15(1,6,16)(2,7)13,8(5,14,12,9)(11,4)	10-(3,15)(1,6,16)(2,7)(14,8)(12,9)(5,13)-(11,4)	10=(1,3,15)(14,6)(5,8,2,16)(7,9)(12,4)11,13	13.0 - 11.6 - 12.2 - 12.7 - 12.6 - 12.4 - 11.9 - 11.8 - 12.2 - 12.7	13.0 - 24.6 - 36.8 - 49.5 - 62.1 - 74.5 - 86.4 - 98.2 - 110.4 - 123.1 (36.8-36.7)	10-14	5990.0	18.0	10-14	2,350	23.0	5-10	38,210	111.0	5-14	18,270	89.0			
200401010706	ダ	右	1700	晴	良	13:45	3歳以上500万下		2004-9-4	1	札幌	7	3歳以上500万下	牝[指](別定)	8	150	1	8	110	1	2	180	3	12.0	220	5.0	2-6	690	3	8=>2	800	2	2-8-12	1710	5	1,12(11,13)(5,6)(8,9)(3,4)-2-10-7	1,12,13(6,11,8)(5,3,4,9)-2,10,7	8(1,12)13-(11,9)6(5,3,4)(2,7)-10	8,12(1,13)-11,5(6,2,9)-(3,7)-(4,10)	7.0 - 11.1 - 12.3 - 12.6 - 12.5 - 12.0 - 12.8 - 13.0 - 13.4	7.0 - 18.1 - 30.4 - 43.0 - 55.5 - 67.5 - 80.3 - 93.3 - 106.7 (30.4-39.2)	2-8	650.0	2.0	2-8	220	2.0	8-12	370	4.0	2-12	950	10.0			
200401010707	ダ	右	1000	晴	良	14:15	3歳以上500万下		2004-9-4	1	札幌	7	3歳以上500万下	(混)[指](別定)	10	230	1	10	150	2	8	1,890	11	1.0	240	4.0	6-7	400	1	10=>8	10350	31	1-8-10	14910	41			(*5,6,8)-(9,10)(2,4,12)7-(1,3)-11	(*5,6,8)-10-(9,4,7)2,3-12(1,11)	12.3 - 10.6 - 11.2 - 12.2 - 13.1	12.3 - 22.9 - 34.1 - 46.3 - 59.4 (34.1-36.5)	8-10	6640.0	20.0	8-10	2,560	25.0	1-10	420	4.0	1-8	4,220	35.0			
200401010708	芝	右	1800	晴	良	14:50	グリーンチャンネルC 		2004-9-4	1	札幌	7	3歳以上500万下	(混)(特指)(別定)	8	2220	8	8	450	8	7	110	1	9.0	190	2.0	5-5	2350	13	8=>7	6520	26	7-8-9	2930	8	9,7(3,14)(4,6,11)(8,10,12)5,13(1,2)	9,7,3(4,14)(8,6)(10,11)12(1,5,13)2	9,7(3,14,6)(8,4,11)(10,13)(1,12,2)5	9,7(3,14)(8,6)11(10,4,12,13)(1,5,2)	12.7 - 11.7 - 12.3 - 12.2 - 12.4 - 11.9 - 11.7 - 11.9 - 12.0	12.7 - 24.4 - 36.7 - 48.9 - 61.3 - 73.2 - 84.9 - 96.8 - 108.8 (36.7-35.6)	7-8	2250.0	7.0	7-8	860	8.0	8-9	1,500	20.0	7-9	280	1.0			
200401010709	ダ	右	1700	晴	良	15:25	エルムステークス	G3	2004-9-4	1	札幌	7	3歳以上オープン	(混)(指)(別定)	13	4700	6	13	380	6	5	100	1	11.0	110	2.0	4-8	1480	5	13=>5	12400	20	5-11-13	1170	4	(*4,12)(5,13)(3,10)6,2,7(1,11)9,8	4,12,13(5,10)3,6,2,7,11(1,9)8	(*4,12,13,10)(5,3)(2,7,6)11(1,9)8	(*13,10)4(5,3,7)-(2,12,11)-(1,9)6,8	7.0 - 10.7 - 11.8 - 12.3 - 12.5 - 12.5 - 11.9 - 12.0 - 12.5	7.0 - 17.7 - 29.5 - 41.8 - 54.3 - 66.8 - 78.7 - 90.7 - 103.2 (29.5-36.4)	5-13	2110.0	5.0	5-13	610	8.0	11-13	1,030	13.0	5-11	120	1.0	13=>5=>11	26470.0	62.0
200401010710	ダ	右	1700	晴	良	16:05	3歳以上500万下		2004-9-4	1	札幌	7	3歳以上500万下	(特指)(別定)	6	250	2	6	110	1	12	190	4	8.0	120	2.0	5-8	1030	4	6=>12	2050	7	6-8-12	880	2	(*1,2,7)(5,8)6(4,11)(9,12)(3,10,13)	1(2,7,8)(5,6)11(4,12)(9,13)(3,10)	(*8,1,7)6(5,2)(4,11)(9,12)(10,13)-3	(*8,1)(7,6)-(11,12)13(5,10)(4,2,9,3)	7.2 - 11.4 - 12.5 - 12.8 - 12.3 - 12.4 - 12.6 - 12.5 - 12.7	7.2 - 18.6 - 31.1 - 43.9 - 56.2 - 68.6 - 81.2 - 93.7 - 106.4 (31.1-37.8)	6-12	1260.0	4.0	6-12	420	5.0	6-8	140	1.0	8-12	420	4.0			
200401010711	芝	右	2600	晴	良	16:40	阿寒湖特別 		2004-9-4	1	札幌	7	3歳以上1000万下	(混)(特指)(別定)	12	170	1	12	130	1	4	2,540	14	3.0	220	3.0	3-7	560	3	12=>4	26340	66	3-4-12	31610	84	3-11-4,13-10(6,8)-(2,7)(12,9)(14,5)1	3,11-4,13-10(6,8)(7,9)12(2,14,5)-1	(*3,11)4(12,13)(6,7,8)(10,9)-14(2,5)1	(*3,12)(11,4)(6,7,13)-(14,8,9)-1(2,10,5)	13.2 - 11.6 - 12.1 - 12.0 - 11.9 - 12.6 - 12.7 - 12.5 - 12.6 - 12.1 - 12.3 - 12.2 - 12.8	13.2 - 24.8 - 36.9 - 48.9 - 60.8 - 73.4 - 86.1 - 98.6 - 111.2 - 123.3 - 135.6 - 147.8 - 160.6 (36.9-37.3)	4-12	19900.0	41.0	4-12	7,190	58.0	3-12	320	2.0	3-4	9,010	65.0			
200401010712	芝	右	1500	晴	良	17:10	大倉山特別 		2004-9-4	1	札幌	7	3歳以上1000万下	牝(特指)(別定)	3	260	1	3	120	1	4	250	5	2.0	190	4.0	3-3	1030	4	3=>4	1590	4	2-3-4	1800	5		14-(4,9,12)(2,5,7)(3,6)(8,11)1-10,13	14(4,9)(2,12)(5,7)(3,6,11)(1,8)10,13	14(4,9,12)(2,5,7)(3,6,11)(8,10)1-13	6.8 - 11.5 - 11.5 - 12.0 - 12.1 - 11.9 - 11.7 - 11.4	6.8 - 18.3 - 29.8 - 41.8 - 53.9 - 65.8 - 77.5 - 88.9 (29.8-35.0)	3-4	1060.0	4.0	3-4	460	4.0	2-3	300	2.0	2-4	940	13.0	3=>4=>2	7330.0	9.0
200401010801	芝	右	1800	晴	良	10:55	2歳未勝利		2004-9-5	1	札幌	8	2歳未勝利	[指](馬齢)	8	110	1	8	100	1	2	140	2	6.0	140	3.0	2-8	420	2	8=>2	520	2	2-6-8	610	1	2,8,1(6,7)-4,5,3	2,8(1,7)6-4(3,5)	2,8(1,6,7)-(3,4)-5	(*2,8)-(1,6,7)3,4-5	12.8 - 12.1 - 12.8 - 13.0 - 13.0 - 12.7 - 12.0 - 11.5 - 11.8	12.8 - 24.9 - 37.7 - 50.7 - 63.7 - 76.4 - 88.4 - 99.9 - 111.7 (37.7-35.3)															
200401010802	芝	右	1500	晴	良	11:25	2歳未勝利		2004-9-5	1	札幌	8	2歳未勝利	(混)[指](馬齢)	6	280	2	6	120	1	1	170	3	3.0	390	7.0	1-6	590	3	6=>1	1160	4	1-3-6	5220	18		1(3,4)9(2,7,11)-5(6,10)8	1(3,4,9)(2,11)-(5,6)-(8,7,10)	1,3-(2,9,6)(4,5,11)-8-10-7	6.7 - 11.6 - 11.3 - 11.8 - 12.1 - 12.0 - 12.1 - 12.1	6.7 - 18.3 - 29.6 - 41.4 - 53.5 - 65.5 - 77.6 - 89.7 (29.6-36.2)	1-6	700.0	3.0	1-6	340	3.0	3-6	1,260	15.0	1-3	1,410	18.0			
200401010803	芝	右	1200	晴	良	11:55	2歳新馬		2004-9-5	1	札幌	8	2歳新馬	(混)[指](馬齢)	6	550	3	6	170	3	2	120	1	8.0	220	5.0	2-6	620	2	6=>2	1860	6	2-6-8	2010	6			(*7,8)-6(3,2)1-4,5-9	(*7,8,2)(6,1)-3-(5,4)=9	12.5 - 10.8 - 11.3 - 11.8 - 11.6 - 12.0	12.5 - 23.3 - 34.6 - 46.4 - 58.0 - 70.0 (34.6-35.4)	2-6	700.0	2.0	2-6	280	2.0	6-8	950	12.0	2-8	370	5.0			
200401010804	ダ	右	1700	晴	良	12:45	3歳未勝利		2004-9-5	1	札幌	8	3歳未勝利	牝[指](馬齢)	9	1680	6	9	410	5	8	240	4	4.0	240	3.0	6-6	4570	11	9=>8	12020	31	4-8-9	10030	31	(*8,9)(2,4,13)10,3,11(5,7)(6,12)=1	8,9(2,13)4(3,10)11(6,5,7)12=1	(*8,9)-(2,13)(4,10)3-(6,5,7)(12,11)=1	(*8,9)=(4,10)(13,3)2-(5,12,7)6-11=1	7.1 - 11.2 - 12.6 - 13.0 - 12.9 - 12.7 - 12.5 - 12.6 - 13.2	7.1 - 18.3 - 30.9 - 43.9 - 56.8 - 69.5 - 82.0 - 94.6 - 107.8 (30.9-38.3)	8-9	4650.0	15.0	8-9	1,290	13.0	4-9	1,320	15.0	4-8	760	9.0			
200401010805	ダ	右	1000	晴	良	13:20	3歳未勝利		2004-9-5	1	札幌	8	3歳未勝利	(混)[指](馬齢)	5	520	2	5	160	3	2	240	5	6.0	160	2.0	2-5	2710	9	5=>2	3710	12	2-5-6	2490	7			(*1,2,6)5,3,7(4,9)(10,11)-8	(*1,2,6,5)3(7,9)(4,10)-11-8	12.6 - 11.1 - 11.9 - 12.1 - 12.7	12.6 - 23.7 - 35.6 - 47.7 - 60.4 (35.6-36.7)	2-5	2140.0	8.0	2-5	630	8.0	5-6	460	5.0	2-6	630	7.0			
200401010806	ダ	右	1700	晴	良	13:50	3歳未勝利		2004-9-5	1	札幌	8	3歳未勝利	[指](馬齢)	12	1590	6	12	270	4	1	480	7	8.0	110	1.0	1-8	6090	15	12=>1	22220	52	1-8-12	7500	22	(*1,4)(7,8,9)11(12,13)-(5,6)(3,2)-10	1(7,4)(8,9)11(12,13)-(5,6)2-3,10	(7,*1)(4,9)(8,12,11)(5,6,13,3)(2,10)	1(4,9)(8,12)7,11,10(5,2,13)(6,3)	6.9 - 11.5 - 12.5 - 13.4 - 13.3 - 12.6 - 12.6 - 12.4 - 12.4	6.9 - 18.4 - 30.9 - 44.3 - 57.6 - 70.2 - 82.8 - 95.2 - 107.6 (30.9-37.4)	1-12	11830.0	29.0	1-12	3,090	29.0	8-12	540	6.0	1-8	1,010	10.0			
200401010807	芝	右	2600	晴	良	14:15	3歳以上500万下		2004-9-5	1	札幌	8	3歳以上500万下	(混)[指](別定)	2	390	2	2	170	3	1	1,110	9	7.0	540	7.0	1-2	5300	17	2=>1	9330	32	1-2-7	42920	91	(*8,5,9)(2,11)(6,7,4)(3,10)1	(*8,5)(2,9,11)(6,7,4)(3,1,10)	(*8,5)(2,9,11)(3,6,7,4)1-10	(8,*5)2(3,9)(6,7,1,11,4)=10	13.5 - 12.1 - 12.1 - 12.5 - 12.4 - 12.9 - 13.2 - 12.9 - 12.2 - 12.0 - 12.0 - 12.0 - 12.1	13.5 - 25.6 - 37.7 - 50.2 - 62.6 - 75.5 - 88.7 - 101.6 - 113.8 - 125.8 - 137.8 - 149.8 - 161.9 (37.7-36.1)	1-2	5700.0	18.0	1-2	1,900	20.0	2-7	1,780	19.0	1-7	5,760	43.0			
200401010808	ダ	右	1700	晴	良	14:50	3歳以上500万下		2004-9-5	1	札幌	8	3歳以上500万下	(混)[指](別定)	10	190	1	10	120	1	12	120	2	6.0	130	3.0	7-8	310	1	10=>12	630	1	6-10-12	610	1	12,6,5(4,10)(1,7,9,11)(3,2)(8,13)	12-6(5,10)(4,7)(1,11)(3,9)2(8,13)	12,6,10(4,7)(5,1,11)(3,9)-2,8,13	12,6,10-7,1(11,9)(5,4)(3,2)=(13,8)	6.8 - 11.4 - 11.9 - 12.7 - 13.2 - 12.7 - 12.5 - 12.1 - 11.8	6.8 - 18.2 - 30.1 - 42.8 - 56.0 - 68.7 - 81.2 - 93.3 - 105.1 (30.1-36.4)	10-12	380.0	1.0	10-12	170	1.0	6-10	300	3.0	6-12	260	2.0			
200401010809	芝	右	1200	晴	良	15:25	HBC賞 		2004-9-5	1	札幌	8	3歳以上1000万下	(混)(特指)(別定)	13	2390	9	13	780	10	3	210	3	4.0	730	8.0	2-7	320	1	13=>3	19300	65	3-4-13	78640	177			15,6(9,5)(1,13)2(7,14)(4,12)10,3,8-11	15(6,5)(1,9,13)(2,7,14,12)(4,3)10,8,11	12.0 - 10.4 - 11.2 - 11.9 - 11.7 - 12.0	12.0 - 22.4 - 33.6 - 45.5 - 57.2 - 69.2 (33.6-35.6)	3-13	7480.0	27.0	3-13	2,310	28.0	4-13	9,100	78.0	3-4	2,240	26.0	13=>3=>4	720570.0	1100.0
200401010810	芝	右	1200	晴	良	16:05	3歳以上500万下		2004-9-5	1	札幌	8	3歳以上500万下	(特指)(別定)	9	580	3	9	240	3	2	1,910	13	7.0	370	7.0	1-5	5000	18	9=>2	42350	90	2-7-9	79380	169			(2,*13,5)(7,8,9)(4,11,12,10)(1,6,16)14(3,15)	(*2,13)(7,5,8,9)(11,12)(4,10)(14,16)(1,6)(3,15)	12.4 - 11.0 - 11.6 - 11.6 - 11.7 - 11.9	12.4 - 23.4 - 35.0 - 46.6 - 58.3 - 70.2 (35.0-35.2)	2-9	26870.0	53.0	2-9	5,810	47.0	7-9	1,460	15.0	2-7	8,570	65.0			
200401010811	ダ	右	1700	晴	良	16:40	層雲峡特別 		2004-9-5	1	札幌	8	3歳以上1000万下	(混)[指](ハンデ)	5	150	1	5	110	1	13	140	2	2.0	160	3.0	4-8	410	1	5=>13	570	1	2-5-13	640	1	1(5,8)(2,13)-(6,7)(4,9,10,11,12) 3	1(5,8)(2,13)-(6,7)(4,9,10)(11,12) 3	1(5,8)(2,13)(4,6)-(9,7)(10,12)11 3	(*1,5)(8,13)(2,4)-(9,6)7-(10,12)=11 3	6.9 - 10.9 - 11.6 - 12.4 - 12.3 - 12.3 - 12.4 - 12.7 - 13.1	6.9 - 17.8 - 29.4 - 41.8 - 54.1 - 66.4 - 78.8 - 91.5 - 104.6 (29.4-38.2)	5-13	440.0	1.0	5-13	170	1.0	2-5	210	2.0	2-13	460	5.0			
200401010812	芝	右	1500	晴	良	17:10	アサカオーメモリアル 		2004-9-5	1	札幌	8	3歳以上500万下	[指](別定)	8	5380	9	8	700	9	2	140	1	10.0	150	2.0	2-5	2340	9	8=>2	27080	60	2-8-10	10210	30		8,1(6,12)13,5(3,10)(7,11,14)(2,9)-4	(*8,1)(12,13)(6,14)(5,10,9)(3,11)(2,7)-4	(*8,12)(1,13)(6,10)14(3,5,11,9)(2,7)-4	6.8 - 11.5 - 11.4 - 12.2 - 11.9 - 11.8 - 11.8 - 11.9	6.8 - 18.3 - 29.7 - 41.9 - 53.8 - 65.6 - 77.4 - 89.3 (29.7-35.5)	2-8	7660.0	22.0	2-8	1,970	20.0	8-10	3,010	28.0	2-10	280	1.0	8=>2=>10	126720.0	308.0
200401020101	ダ	右	1000	晴	良	09:55	2歳未勝利		2004-9-11	2	札幌	1	2歳未勝利	(混)[指](馬齢)	4	1130	4	4	160	4	6	100	1	5.0	110	2.0	4-6	740	3	4=>6	2540	9	4-5-6	710	2			5(4,6)3(1,8)7-(2,9)	5(4,6)3-1-8-(7,9)2	12.4 - 11.1 - 11.6 - 12.0 - 12.5	12.4 - 23.5 - 35.1 - 47.1 - 59.6 (35.1-36.1)	4-6	740.0	3.0	4-6	280	3.0	4-5	550	7.0	5-6	160	1.0			
200401020102	ダ	右	1700	晴	良	10:25	3歳未勝利		2004-9-11	2	札幌	1	3歳未勝利	牝[指](馬齢)	7	240	1	7	140	2	4	220	4	3.0	360	5.0	4-5	910	3	7=>4	1550	4	3-4-7	6100	21	12,6(2,5,8)-(4,3,9)7(13,11)(1,10)	12,6(2,5,8)-9(4,3)7,13-(1,10,11)	(12,*6)(2,9)(5,8,7)(4,3)-(1,13)(10,11)	(*12,6)(4,2,9,7)3,1(8,13)5,10-11	6.7 - 11.3 - 12.2 - 12.6 - 12.7 - 12.5 - 13.1 - 13.7 - 13.1	6.7 - 18.0 - 30.2 - 42.8 - 55.5 - 68.0 - 81.1 - 94.8 - 107.9 (30.2-39.9)	4-7	1050.0	4.0	4-7	420	4.0	3-7	1,200	11.0	3-4	2,260	26.0			
200401020103	ダ	右	1700	晴	良	10:55	3歳未勝利		2004-9-11	2	札幌	1	3歳未勝利	(混)[指](馬齢)	6	130	1	6	110	1	10	170	3	9.0	320	5.0	5-7	320	1	6=>10	650	2	6-9-10	2140	7	10(6,8)(2,7)(1,9)11(4,5,13)12-3	10(6,8)(2,7)9,1(5,11)(4,13)12-3	10,6(8,9)2(7,13,11)(1,12)5,4,3	10,6-9-(2,13,11)(1,12)4,8(5,3) 7	6.7 - 11.5 - 12.4 - 12.8 - 12.9 - 12.6 - 12.4 - 12.6 - 13.0	6.7 - 18.2 - 30.6 - 43.4 - 56.3 - 68.9 - 81.3 - 93.9 - 106.9 (30.6-38.0)	6-10	500.0	2.0	6-10	250	2.0	6-9	430	5.0	9-10	1,180	13.0			
200401020104	芝	右	1800	晴	良	11:25	3歳未勝利		2004-9-11	2	札幌	1	3歳未勝利	[指](馬齢)	4	310	1	4	130	1	10	180	3	8.0	650	9.0	3-6	290	1	4=>10	1550	3	4-8-10	7080	22	4,3(2,6,7,12)(5,13)(10,14)(8,9)-11,1	4(3,12)(2,7)(6,13)5(10,14)8-(11,9)1	4(3,12)(2,6)13(5,14,8)(7,10)(11,1)9	4-12,3,2(10,6,8)-(5,13,14,1)(11,9)-7	12.4 - 11.4 - 12.0 - 12.2 - 12.4 - 12.0 - 11.8 - 12.1 - 12.8	12.4 - 23.8 - 35.8 - 48.0 - 60.4 - 72.4 - 84.2 - 96.3 - 109.1 (35.8-36.7)	4-10	810.0	2.0	4-10	250	1.0	4-8	1,540	19.0	8-10	2,010	24.0			
200401020105	芝	右	1200	晴	良	11:55	2歳新馬		2004-9-11	2	札幌	1	2歳新馬	(混)[指](馬齢)	5	590	3	5	140	3	7	110	1	8.0	110	2.0	5-7	650	2	5=>7	1600	6	5-7-8	290	1			(5,*8)(7,4)6,3-1=2	(*5,8)7(3,6)4-1=2	12.7 - 11.2 - 11.5 - 11.7 - 11.9 - 12.1	12.7 - 23.9 - 35.4 - 47.1 - 59.0 - 71.1 (35.4-35.7)															
200401020106	芝	右	2000	晴	良	12:45	3歳未勝利		2004-9-11	2	札幌	1	3歳未勝利	[指](馬齢)	15	220	1	15	130	1	4	180	2	8.0	1,340	10.0	2-8	710	3	15=>4	1280	3	4-8-15	15680	46	14,3(1,10)(4,15)2(9,12)(5,6)-(7,11)8-16-13	14,3(1,10)(4,15)(2,12)5(9,6)-(8,7,11)-16,13	14(3,10)(1,15)4(2,12)(5,6)(8,7)(16,9,11)-13	14,15,3(1,4)(5,10,2)12(8,6)(7,16,11)=9-13	12.9 - 11.6 - 12.3 - 12.7 - 12.7 - 12.5 - 11.9 - 12.0 - 12.2 - 12.5	12.9 - 24.5 - 36.8 - 49.5 - 62.2 - 74.7 - 86.6 - 98.6 - 110.8 - 123.3 (36.8-36.7)	4-15	880.0	3.0	4-15	280	1.0	8-15	2,210	23.0	4-8	3,940	34.0			
200401020107	ダ	右	1700	晴	良	13:15	3歳以上500万下		2004-9-11	2	札幌	1	3歳以上500万下	牝[指](別定)	5	250	1	5	140	1	6	500	11	3.0	480	10.0	4-5	1320	5	5=>6	5020	19	3-5-6	16940	67	5,6(7,11)(4,12)(9,13)(1,2)-10,3,8	5,6(7,11)(4,9,12)(1,2,13)-10,3-8	5,6,7,11(9,13)12,4,10(1,2)-3,8	5-6-7(9,13)11,4(1,10,12)(2,3)8	6.8 - 11.6 - 12.4 - 12.2 - 12.3 - 12.2 - 12.4 - 12.7 - 13.4	6.8 - 18.4 - 30.8 - 43.0 - 55.3 - 67.5 - 79.9 - 92.6 - 106.0 (30.8-38.5)	5-6	3440.0	16.0	5-6	1,160	13.0	3-5	770	8.0	3-6	5,120	55.0			
